,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Month,Date_Year,Day_Perc_Change,Trend
1,MUTHOOTFIN,NB,2017-05-15,1750.0,1750.0,1750.0,1750.0,1750.0,1750.0,1750.0,50,87500.0,1,50,100.0,5,2017,0.0,Slight
3,MUTHOOTFIN,N9,2017-05-16,1015.97,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,11,11110.0,1,11,100.0,5,2017,-0.4228571428571428,Slight
4,MUTHOOTFIN,NB,2017-05-16,1750.0,1750.0,1750.0,1750.0,1750.0,1750.0,1750.0,7,12250.0,1,7,100.0,5,2017,0.7326732673267327,Slight positive
5,MUTHOOTFIN,NC,2017-05-16,1905.03,1910.0,1910.0,1908.01,1909.0,1909.0,1908.57,95,181314.47,10,90,94.74,5,2017,0.09085714285714275,Slight
7,MUTHOOTFIN,N9,2017-05-17,1010.0,1015.0,1015.0,1001.0,1005.0,1005.0,1009.64,93,93896.1,8,73,78.49,5,2017,-0.4735463593504453,Slight
9,MUTHOOTFIN,N9,2017-05-18,1005.0,1016.0,1016.0,1001.51,1005.0,1005.0,1015.55,620,629638.1,15,610,98.39,5,2017,0.0,Slight
11,MUTHOOTFIN,NF,2017-05-19,889.0,890.03,890.03,890.03,890.03,890.03,890.03,110,97903.3,1,110,100.0,5,2017,-0.11439800995024874,Slight
13,MUTHOOTFIN,N9,2017-05-22,1005.0,1005.0,1005.0,1004.85,1004.85,1004.85,1004.98,40,40199.2,5,40,100.0,5,2017,0.1290068874082897,Slight
14,MUTHOOTFIN,NB,2017-05-22,1750.0,1710.11,1750.0,1710.11,1750.0,1750.0,1728.36,85,146910.75,7,56,65.88,5,2017,0.7415534656913967,Slight positive
15,MUTHOOTFIN,NC,2017-05-22,1909.0,1910.0,1910.1,1910.0,1910.1,1910.1,1910.03,109,208193.4,5,109,100.0,5,2017,0.09148571428571417,Slight
17,MUTHOOTFIN,N9,2017-05-23,1004.85,1004.8,1004.8,1004.8,1004.8,1004.8,1004.8,45,45216.0,2,45,100.0,5,2017,-0.47395424323333857,Slight
18,MUTHOOTFIN,NB,2017-05-23,1750.0,1755.0,1755.0,1755.0,1755.0,1755.0,1755.0,80,140400.0,6,80,100.0,5,2017,0.7466162420382167,Slight positive
20,MUTHOOTFIN,NB,2017-05-24,1755.0,1755.0,1755.0,1755.0,1755.0,1755.0,1755.0,18,31590.0,2,18,100.0,5,2017,0.0,Slight
22,MUTHOOTFIN,N9,2017-05-25,1004.8,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,83,83332.0,1,83,100.0,5,2017,-0.4279202279202279,Slight
23,MUTHOOTFIN,NC,2017-05-25,1910.1,1910.0,1910.0,1910.0,1910.0,1910.0,1910.0,50,95500.0,1,50,100.0,5,2017,0.902390438247012,Slight positive
24,MUTHOOTFIN,NF,2017-05-25,890.03,990.05,990.05,990.05,990.05,990.05,990.05,10,9900.5,1,10,100.0,5,2017,-0.4816492146596859,Slight
26,MUTHOOTFIN,N9,2017-05-26,1004.0,1001.01,1001.01,1001.01,1001.01,1001.01,1001.01,10,10010.1,1,10,100.0,5,2017,0.011070147972324751,Slight
