Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty
MUTHOOTFIN,EQ,2017-05-15,390.7,391.0,396.5,388.5,393.0,392.45,393.38,385865,1.51790704E8,6893,63660,16.5
MUTHOOTFIN,NB,2017-05-15,1750.0,1750.0,1750.0,1750.0,1750.0,1750.0,1750.0,50,87500.0,1,50,100.0
MUTHOOTFIN,EQ,2017-05-16,392.45,393.65,400.95,393.25,393.45,394.8,398.01,514200,2.04657808E8,9938,100880,19.62
MUTHOOTFIN,N9,2017-05-16,1015.97,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,11,11110.0,1,11,100.0
MUTHOOTFIN,NB,2017-05-16,1750.0,1750.0,1750.0,1750.0,1750.0,1750.0,1750.0,7,12250.0,1,7,100.0
MUTHOOTFIN,NC,2017-05-16,1905.03,1910.0,1910.0,1908.01,1909.0,1909.0,1908.57,95,181314.47,10,90,94.74
MUTHOOTFIN,EQ,2017-05-17,394.8,396.9,398.0,392.6,394.1,395.15,394.9,311597,1.23048144E8,6512,116484,37.38
MUTHOOTFIN,N9,2017-05-17,1010.0,1015.0,1015.0,1001.0,1005.0,1005.0,1009.64,93,93896.1,8,73,78.49
MUTHOOTFIN,EQ,2017-05-18,395.15,393.0,395.45,375.1,378.85,379.2,386.45,646434,2.49811872E8,11171,238171,36.84
MUTHOOTFIN,N9,2017-05-18,1005.0,1016.0,1016.0,1001.51,1005.0,1005.0,1015.55,620,629638.1,15,610,98.39
MUTHOOTFIN,EQ,2017-05-19,379.2,395.0,400.9,357.45,381.0,379.15,382.13,3211995,1.22738893E9,42906,1193472,37.16
MUTHOOTFIN,NF,2017-05-19,889.0,890.03,890.03,890.03,890.03,890.03,890.03,110,97903.3,1,110,100.0
MUTHOOTFIN,EQ,2017-05-22,379.15,382.1,393.95,380.8,386.0,385.45,386.04,1733876,6.6934029E8,19865,1424301,82.15
MUTHOOTFIN,N9,2017-05-22,1005.0,1005.0,1005.0,1004.85,1004.85,1004.85,1004.98,40,40199.2,5,40,100.0
MUTHOOTFIN,NB,2017-05-22,1750.0,1710.11,1750.0,1710.11,1750.0,1750.0,1728.36,85,146910.75,7,56,65.88
MUTHOOTFIN,NC,2017-05-22,1909.0,1910.0,1910.1,1910.0,1910.1,1910.1,1910.03,109,208193.4,5,109,100.0
MUTHOOTFIN,EQ,2017-05-23,385.45,386.65,389.75,372.05,381.7,382.85,383.44,915259,3.50951008E8,34400,453098,49.5
MUTHOOTFIN,N9,2017-05-23,1004.85,1004.8,1004.8,1004.8,1004.8,1004.8,1004.8,45,45216.0,2,45,100.0
MUTHOOTFIN,NB,2017-05-23,1750.0,1755.0,1755.0,1755.0,1755.0,1755.0,1755.0,80,140400.0,6,80,100.0
MUTHOOTFIN,EQ,2017-05-24,382.85,384.0,395.4,383.5,387.0,386.05,388.48,760640,2.95493952E8,16850,311133,40.9
MUTHOOTFIN,NB,2017-05-24,1755.0,1755.0,1755.0,1755.0,1755.0,1755.0,1755.0,18,31590.0,2,18,100.0
MUTHOOTFIN,EQ,2017-05-25,386.05,389.8,393.4,386.85,389.5,389.4,390.29,580979,2.26749456E8,15465,361210,62.17
MUTHOOTFIN,N9,2017-05-25,1004.8,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,83,83332.0,1,83,100.0
MUTHOOTFIN,NC,2017-05-25,1910.1,1910.0,1910.0,1910.0,1910.0,1910.0,1910.0,50,95500.0,1,50,100.0
MUTHOOTFIN,NF,2017-05-25,890.03,990.05,990.05,990.05,990.05,990.05,990.05,10,9900.5,1,10,100.0
MUTHOOTFIN,EQ,2017-05-26,389.4,393.95,403.4,389.45,399.0,398.9,398.08,891020,3.54698816E8,18982,407907,45.78
MUTHOOTFIN,N9,2017-05-26,1004.0,1001.01,1001.01,1001.01,1001.01,1001.01,1001.01,10,10010.1,1,10,100.0
MUTHOOTFIN,NB,2017-05-26,1755.0,1715.1,1752.0,1715.05,1752.0,1752.0,1725.63,42,72476.5,5,32,76.19
MUTHOOTFIN,NC,2017-05-26,1910.0,1906.0,1910.0,1906.0,1910.0,1910.0,1906.05,81,154390.0,2,81,100.0
MUTHOOTFIN,EQ,2017-05-29,398.9,397.0,398.75,386.65,391.0,391.0,391.49,365945,1.43263168E8,8549,161197,44.05
MUTHOOTFIN,NB,2017-05-29,1752.0,1745.0,1745.0,1745.0,1745.0,1745.0,1745.0,10,17450.0,1,10,100.0
MUTHOOTFIN,NF,2017-05-29,990.05,990.0,990.0,990.0,990.0,990.0,990.0,10,9900.0,1,10,100.0
MUTHOOTFIN,EQ,2017-05-30,391.0,392.5,396.3,382.5,395.0,395.05,393.63,248705,9.78968E7,7024,117282,47.16
MUTHOOTFIN,NB,2017-05-30,1745.0,1745.0,1745.0,1745.0,1745.0,1745.0,1745.0,20,34900.0,1,20,100.0
MUTHOOTFIN,EQ,2017-05-31,395.05,395.1,415.5,394.45,412.7,412.65,410.66,1302071,5.34714176E8,18580,390110,29.96
MUTHOOTFIN,NB,2017-05-31,1745.0,1746.0,1746.0,1745.0,1745.0,1745.0,1745.18,17,29668.0,2,17,100.0
MUTHOOTFIN,NC,2017-05-31,1910.0,1905.11,1905.11,1905.11,1905.11,1905.11,1905.11,25,47627.75,1,25,100.0
MUTHOOTFIN,EQ,2017-06-01,412.65,412.6,417.95,403.35,409.75,409.95,410.18,987025,4.04858176E8,21362,545941,55.31
MUTHOOTFIN,NB,2017-06-01,1745.0,1745.0,1745.0,1745.0,1745.0,1745.0,1745.0,13,22685.0,2,13,100.0
