Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
MUTHOOTFIN,NB,2017-05-15,1750,1750,1750,1750,1750,1750,1750,50,87500,1,50,100,2017,5,0.75,Slight positive
MUTHOOTFIN,N9,2017-05-16,1015.97,1010,1010,1010,1010,1010,1010,11,11110,1,11,100,2017,5,0.01,Slight
MUTHOOTFIN,NB,2017-05-16,1750,1750,1750,1750,1750,1750,1750,7,12250,1,7,100,2017,5,0.75,Slight positive
MUTHOOTFIN,NC,2017-05-16,1905.03,1910,1910,1908.01,1909,1909,1908.57,95,181314.47,10,90,94.74,2017,5,0.91,Slight positive
MUTHOOTFIN,N9,2017-05-17,1010,1015,1015,1001,1005,1005,1009.64,93,93896.10,8,73,78.49,2017,5,0.01,Slight
MUTHOOTFIN,N9,2017-05-18,1005,1016,1016,1001.51,1005,1005,1015.55,620,629638.10,15,610,98.39,2017,5,0.01,Slight
MUTHOOTFIN,NF,2017-05-19,889,890.03,890.03,890.03,890.03,890.03,890.03,110,97903.30,1,110,100,2017,5,-0.11,Slight
MUTHOOTFIN,N9,2017-05-22,1005,1005,1005,1004.85,1004.85,1004.85,1004.98,40,40199.20,5,40,100,2017,5,0.00,Slight
MUTHOOTFIN,NB,2017-05-22,1750,1710.11,1750,1710.11,1750,1750,1728.36,85,146910.75,7,56,65.88,2017,5,0.75,Slight positive
MUTHOOTFIN,NC,2017-05-22,1909,1910,1910.10,1910,1910.10,1910.10,1910.03,109,208193.40,5,109,100,2017,5,0.91,Slight positive
MUTHOOTFIN,N9,2017-05-23,1004.85,1004.80,1004.80,1004.80,1004.80,1004.80,1004.80,45,45216,2,45,100,2017,5,0.00,Slight
MUTHOOTFIN,NB,2017-05-23,1750,1755,1755,1755,1755,1755,1755,80,140400,6,80,100,2017,5,0.76,Slight positive
MUTHOOTFIN,NB,2017-05-24,1755,1755,1755,1755,1755,1755,1755,18,31590,2,18,100,2017,5,0.76,Slight positive
