,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
0,AXISBANK,EQ,2017-05-15,503.0,505.0,508.5,498.4,500.25,500.1,502.95,8806756,4429384193.25,109965,4320438,49.06,2017,5,0.0,Slight
1,AXISBANK,EQ,2017-05-16,500.1,502.1,504.5,493.5,502.05,501.5,499.85,8610492,4303938307.25,101028,4027982,46.78,2017,5,0.28,Slight
2,AXISBANK,EQ,2017-05-17,501.5,501.35,506.75,498.5,502.0,502.8,502.88,6443135,3240154192.85,84189,2876528,44.64,2017,5,0.26,Slight
3,AXISBANK,EQ,2017-05-18,502.8,498.0,499.1,490.25,492.85,492.0,494.96,9227022,4566992829.2,95624,5348691,57.97,2017,5,-2.15,Negative
4,AXISBANK,EQ,2017-05-19,492.0,495.75,503.85,494.2,501.9,501.7,499.1,7611430,3798899956.75,72985,4190505,55.06,2017,5,1.97,Positive
5,AXISBANK,EQ,2017-05-22,501.7,504.0,507.45,499.5,502.0,502.3,503.0,4970982,2500382611.3,62027,2665857,53.63,2017,5,0.12,Slight
6,AXISBANK,EQ,2017-05-23,502.3,502.25,506.1,495.2,500.5,500.6,500.17,7549551,3776028090.15,69512,4120666,54.58,2017,5,-0.34,Slight
7,AXISBANK,EQ,2017-05-24,500.6,503.0,505.0,495.0,499.65,499.3,498.39,7271148,3623901991.2,61592,4986725,68.58,2017,5,-0.26,Slight
8,AXISBANK,EQ,2017-05-25,499.3,502.0,509.9,495.85,507.85,507.45,504.39,9157557,4619022578.05,106201,4220728,46.09,2017,5,1.63,Positive
9,AXISBANK,EQ,2017-05-26,507.45,508.0,513.0,505.0,510.5,511.45,508.86,5995136,3050682634.7,72779,2824290,47.11,2017,5,0.79,Slight positive
10,AXISBANK,EQ,2017-05-29,511.45,511.9,515.0,502.2,507.45,507.25,507.58,5441466,2761995514.45,62036,2462115,45.25,2017,5,-0.82,Slight negative
11,AXISBANK,EQ,2017-05-30,507.25,505.0,516.95,503.65,514.0,514.4,512.4,4725430,2421320429.3,81509,1690453,35.77,2017,5,1.41,Positive
12,AXISBANK,EQ,2017-05-31,514.4,514.0,516.0,509.5,514.05,514.05,513.03,7263061,3726174066.4,127912,4571507,62.94,2017,5,-0.07,Slight
13,AXISBANK,EQ,2017-06-01,514.05,512.15,515.95,505.5,510.0,509.3,509.17,8105813,4127264524.85,50261,5638214,69.56,2017,6,-0.92,Slight negative
14,AXISBANK,EQ,2017-06-02,509.3,513.5,513.5,506.35,507.5,508.05,509.46,4474040,2279364538.5,69112,2589478,57.88,2017,6,-0.25,Slight
15,AXISBANK,EQ,2017-06-05,508.05,507.35,516.75,507.0,513.8,513.65,513.15,3858825,1980139067.3,57915,1623770,42.08,2017,6,1.1,Positive
16,AXISBANK,EQ,2017-06-06,513.65,514.0,514.4,505.55,509.75,510.2,509.31,3866339,1969153338.35,42061,1846559,47.76,2017,6,-0.67,Slight negative
17,AXISBANK,EQ,2017-06-07,510.2,510.0,515.45,508.1,514.45,514.2,511.95,3389166,1735093532.1,63216,1606010,47.39,2017,6,0.78,Slight positive
18,AXISBANK,EQ,2017-06-08,514.2,514.0,521.8,511.35,515.0,515.75,517.07,5980728,3092442242.75,91962,2729718,45.64,2017,6,0.3,Slight
19,AXISBANK,EQ,2017-06-09,515.75,515.0,516.35,509.4,513.1,513.65,513.11,3242063,1663543219.0,49349,1170363,36.1,2017,6,-0.41,Slight
20,AXISBANK,EQ,2017-06-12,513.65,512.45,513.1,506.0,507.15,507.5,509.94,2360518,1203731095.4,43179,977595,41.41,2017,6,-1.2,Negative
21,AXISBANK,EQ,2017-06-13,507.5,509.0,512.3,505.5,507.0,506.45,508.42,2181945,1109348608.65,51764,950074,43.54,2017,6,-0.21,Slight
22,AXISBANK,EQ,2017-06-14,506.45,509.0,510.9,501.55,508.85,509.5,507.45,4648343,2358824391.2,66054,2697523,58.03,2017,6,0.6,Slight positive
23,AXISBANK,EQ,2017-06-15,509.5,508.85,509.3,504.0,507.4,507.6,506.77,3425367,1735867326.8,58545,2109450,61.58,2017,6,-0.37,Slight
24,AXISBANK,EQ,2017-06-16,507.6,507.65,514.3,507.5,509.15,510.45,510.27,4999502,2551090212.15,56697,2959675,59.2,2017,6,0.56,Slight positive
25,AXISBANK,EQ,2017-06-19,510.45,511.0,525.35,509.3,518.0,520.15,517.27,6844723,3540560814.15,70602,3499580,51.13,2017,6,1.9,Positive
26,AXISBANK,EQ,2017-06-20,520.15,520.2,521.7,510.5,512.95,511.85,515.15,4388846,2260923459.8,55076,2203975,50.22,2017,6,-1.6,Negative
27,AXISBANK,EQ,2017-06-21,511.85,511.05,512.5,506.75,507.35,507.75,509.19,4346995,2213466122.65,73840,2500935,57.53,2017,6,-0.8,Slight negative
28,AXISBANK,EQ,2017-06-22,507.75,508.9,514.45,506.65,508.0,508.0,510.48,3463745,1768166637.3,67487,1707367,49.29,2017,6,0.05,Slight
29,AXISBANK,EQ,2017-06-23,508.0,509.6,510.45,503.65,505.0,504.65,506.14,3548884,1796247623.15,55281,1827409,51.49,2017,6,-0.66,Slight negative
30,AXISBANK,EQ,2017-06-27,504.65,506.0,506.7,484.45,494.0,492.85,491.01,9842829,4832887696.4,110049,6251831,63.52,2017,6,-2.34,Negative
31,AXISBANK,EQ,2017-06-28,492.85,493.8,500.35,490.05,496.45,492.0,493.28,12691859,6260656806.25,76061,10038114,79.09,2017,6,-0.17,Slight
32,AXISBANK,EQ,2017-06-29,492.0,498.0,514.4,497.7,510.7,512.1,510.39,11855524,6050881865.95,96263,4570578,38.55,2017,6,4.09,Among top gainers
33,AXISBANK,EQ,2017-06-30,512.1,510.6,520.0,508.1,519.0,517.35,513.68,7600005,3903959967.35,70339,3757896,49.45,2017,6,1.03,Positive
34,AXISBANK,EQ,2017-07-03,517.35,517.1,521.8,515.0,517.0,517.25,518.62,3701949,1919899522.3,50518,1560626,42.16,2017,7,-0.02,Slight
35,AXISBANK,EQ,2017-07-04,517.25,516.8,517.55,506.55,507.7,508.4,510.84,4086213,2087411115.05,44090,2037542,49.86,2017,7,-1.71,Negative
36,AXISBANK,EQ,2017-07-05,508.4,507.75,515.4,507.75,514.55,513.9,512.56,3154406,1616829190.8,45895,1393508,44.18,2017,7,1.08,Positive
37,AXISBANK,EQ,2017-07-06,513.9,511.0,512.85,508.15,509.45,509.5,510.69,3514758,1794944435.25,29962,1894962,53.91,2017,7,-0.86,Slight negative
38,AXISBANK,EQ,2017-07-07,509.5,508.25,508.95,501.25,504.5,503.15,504.92,3509920,1772241129.1,69429,1645142,46.87,2017,7,-1.25,Negative
39,AXISBANK,EQ,2017-07-10,503.15,521.0,529.75,506.7,510.0,509.95,510.48,1245716,635914884.6,7548,768768,61.71,2017,7,1.35,Positive
40,AXISBANK,EQ,2017-07-11,509.95,512.0,512.4,505.8,507.8,506.8,508.44,3928279,1997289169.35,71571,2473178,62.96,2017,7,-0.62,Slight negative
41,AXISBANK,EQ,2017-07-12,506.8,508.9,509.9,504.2,507.3,506.75,506.27,5504892,2786956087.2,70653,4230384,76.85,2017,7,-0.01,Slight
42,AXISBANK,EQ,2017-07-13,506.75,508.0,516.85,508.0,511.75,511.9,512.99,22231839,11404643882.15,76818,19190329,86.32,2017,7,1.02,Positive
43,AXISBANK,EQ,2017-07-14,511.9,514.0,514.5,507.7,512.5,512.95,512.02,3160157,1618060558.65,38720,1508491,47.73,2017,7,0.21,Slight
44,AXISBANK,EQ,2017-07-17,512.95,513.1,514.0,508.5,510.05,510.5,510.49,3169635,1618081278.1,36620,1956608,61.73,2017,7,-0.48,Slight
45,AXISBANK,EQ,2017-07-18,510.5,509.0,522.7,508.35,516.3,516.55,516.84,7864083,4064479833.55,99239,4398520,55.93,2017,7,1.19,Positive
46,AXISBANK,EQ,2017-07-19,516.55,518.0,521.95,516.05,520.55,520.2,519.44,8119092,4217402863.55,49078,6045489,74.46,2017,7,0.71,Slight positive
47,AXISBANK,EQ,2017-07-20,520.2,520.8,544.2,520.7,539.15,540.0,535.9,16391849,8784360297.85,180579,7134255,43.52,2017,7,3.81,Among top gainers
48,AXISBANK,EQ,2017-07-21,540.0,540.0,542.4,532.25,540.4,540.8,538.2,5567645,2996511405.6,69704,1782212,32.01,2017,7,0.15,Slight
49,AXISBANK,EQ,2017-07-24,540.8,541.0,546.4,531.4,535.5,534.8,540.13,4779353,2581454594.6,63022,1861535,38.95,2017,7,-1.11,Negative
50,AXISBANK,EQ,2017-07-25,534.8,533.5,547.5,529.95,547.4,544.95,539.81,8181916,4416688653.1,103163,2796497,34.18,2017,7,1.9,Positive
51,AXISBANK,EQ,2017-07-26,544.95,538.9,543.95,525.4,526.85,528.85,532.52,12085057,6435505417.1,145641,3897247,32.25,2017,7,-2.95,Negative
52,AXISBANK,EQ,2017-07-27,528.85,532.4,534.95,522.0,523.6,524.65,526.77,12290852,6474397877.9,137599,7522662,61.21,2017,7,-0.79,Slight negative
53,AXISBANK,EQ,2017-07-28,524.65,523.8,529.65,512.0,515.0,515.1,518.0,8268116,4282884793.05,77752,4641265,56.13,2017,7,-1.82,Negative
54,AXISBANK,EQ,2017-07-31,515.1,517.4,521.2,509.4,520.5,519.8,517.58,7245884,3750328858.15,94700,4227353,58.34,2017,7,0.91,Slight positive
55,AXISBANK,EQ,2017-08-01,519.8,518.2,521.75,514.75,515.3,516.55,517.58,4562630,2361543420.4,66142,2865458,62.8,2017,8,-0.63,Slight negative
56,AXISBANK,EQ,2017-08-02,516.55,518.75,524.05,512.6,513.6,516.9,519.92,4079631,2121095779.95,64512,1660576,40.7,2017,8,0.07,Slight
57,AXISBANK,EQ,2017-08-03,516.9,516.0,516.35,504.8,505.4,506.0,508.72,4140945,2106584695.8,80442,2119288,51.18,2017,8,-2.11,Negative
58,AXISBANK,EQ,2017-08-04,506.0,506.0,510.8,504.6,507.8,508.1,507.61,4972811,2524244771.95,61421,3041480,61.16,2017,8,0.42,Slight
59,AXISBANK,EQ,2017-08-07,508.1,509.0,511.8,504.1,505.55,505.8,507.22,5293884,2685185274.3,65862,3435261,64.89,2017,8,-0.45,Slight
60,AXISBANK,EQ,2017-08-08,505.8,507.7,510.95,496.05,499.0,499.45,502.23,8898560,4469119282.3,87901,5499128,61.8,2017,8,-1.26,Negative
61,AXISBANK,EQ,2017-08-09,499.45,494.45,498.65,485.45,487.8,486.95,491.03,7169705,3520543112.45,84055,3981613,55.53,2017,8,-2.5,Negative
62,AXISBANK,EQ,2017-08-10,486.95,485.1,494.15,483.55,488.0,485.5,487.78,10095387,4924316832.45,75987,7105601,70.38,2017,8,-0.3,Slight
63,AXISBANK,EQ,2017-08-11,485.5,482.9,493.35,480.0,488.1,489.7,485.92,9261420,4500292507.4,92632,6294568,67.97,2017,8,0.87,Slight positive
64,AXISBANK,EQ,2017-08-14,489.7,491.0,497.45,489.75,491.2,491.75,492.63,3983656,1962455202.0,67406,1988356,49.91,2017,8,0.42,Slight
65,AXISBANK,EQ,2017-08-16,491.75,492.95,501.55,488.0,501.45,499.5,491.95,5958229,2931153328.05,65228,3244434,54.45,2017,8,1.58,Positive
66,AXISBANK,EQ,2017-08-17,499.5,500.2,503.45,495.0,496.65,497.15,499.14,3948664,1970940670.1,57668,1356369,34.35,2017,8,-0.47,Slight
67,AXISBANK,EQ,2017-08-18,497.15,495.3,495.95,489.85,490.5,490.4,492.39,4166976,2051766459.15,66544,2148636,51.56,2017,8,-1.36,Negative
68,AXISBANK,EQ,2017-08-21,490.4,492.1,503.4,491.8,494.7,494.8,497.23,17884400,8892682221.8,75380,14344383,80.21,2017,8,0.9,Slight positive
69,AXISBANK,EQ,2017-08-22,494.8,496.0,507.0,496.0,499.7,499.2,501.2,6654272,3335126184.85,80954,2953179,44.38,2017,8,0.89,Slight positive
70,AXISBANK,EQ,2017-08-23,499.2,505.0,505.8,500.15,501.6,502.65,502.23,3288488,1651589785.8,56505,1699893,51.69,2017,8,0.69,Slight positive
71,AXISBANK,EQ,2017-08-24,502.65,503.0,510.5,502.05,507.0,506.85,507.22,7157375,3630372929.55,95831,4139754,57.84,2017,8,0.84,Slight positive
