,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
0,BAJFINANCE,EQ,2017-05-15,1314.75,1323.0,1348.5,1317.65,1332.0,1332.95,1335.96,634195,847257919.7,16701,188623,29.74,2017,5,0.0,Slight
1,BAJFINANCE,EQ,2017-05-16,1332.95,1337.4,1358.8,1327.2,1346.0,1347.75,1344.96,788530,1060542484.1,22552,274106,34.76,2017,5,1.11,Positive
2,BAJFINANCE,EQ,2017-05-17,1347.75,1350.0,1374.0,1297.5,1320.0,1324.8,1343.51,2408302,3235569755.55,67508,468034,19.43,2017,5,-1.7,Negative
3,BAJFINANCE,EQ,2017-05-18,1324.8,1299.0,1343.0,1296.05,1310.7,1314.55,1325.97,1210985,1605727642.65,34422,305579,25.23,2017,5,-0.77,Slight negative
4,BAJFINANCE,EQ,2017-05-19,1314.55,1324.0,1333.9,1265.55,1288.0,1289.15,1295.81,1167010,1512225877.7,32394,346261,29.67,2017,5,-1.93,Negative
5,BAJFINANCE,EQ,2017-05-22,1289.15,1299.0,1304.0,1237.35,1240.0,1242.15,1264.99,873873,1105443652.65,39772,391500,44.8,2017,5,-3.65,Among top losers
6,BAJFINANCE,EQ,2017-05-23,1242.15,1249.9,1265.0,1190.55,1230.7,1233.75,1231.01,1348383,1659867589.9,60446,466036,34.56,2017,5,-0.68,Slight negative
7,BAJFINANCE,EQ,2017-05-24,1233.75,1234.0,1254.9,1210.0,1225.0,1224.35,1231.39,787101,969230740.9,42989,266289,33.83,2017,5,-0.76,Slight negative
8,BAJFINANCE,EQ,2017-05-25,1224.35,1230.0,1268.0,1228.25,1263.0,1258.85,1250.15,905807,1132395407.4,38094,349445,38.58,2017,5,2.82,Positive
9,BAJFINANCE,EQ,2017-05-26,1258.85,1261.7,1326.7,1261.7,1314.85,1317.8,1305.26,1306793,1705701981.25,40302,456603,34.94,2017,5,4.68,Among top gainers
10,BAJFINANCE,EQ,2017-05-29,1317.8,1319.4,1333.0,1301.9,1309.95,1307.45,1318.58,652289,860093352.45,24119,192661,29.54,2017,5,-0.79,Slight negative
11,BAJFINANCE,EQ,2017-05-30,1307.45,1305.2,1324.9,1303.7,1322.35,1321.55,1317.44,513005,675851927.35,25635,204921,39.95,2017,5,1.08,Positive
