,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
0,CIPLA,EQ,2017-05-15,567.95,567.0,572.45,561.0,566.65,569.0,568.17,606569,344636374.8,20905,349445,57.61,2017,5,0.0,Slight
1,CIPLA,EQ,2017-05-16,569.0,566.65,570.0,564.0,565.7,565.6,565.88,330195,186850407.4,13421,166079,50.3,2017,5,-0.01,Slight
2,CIPLA,EQ,2017-05-17,565.6,565.1,566.0,560.05,561.05,562.35,562.01,895238,503128350.25,35003,641507,71.66,2017,5,-0.01,Slight
3,CIPLA,EQ,2017-05-18,562.35,559.3,564.95,556.8,560.9,560.1,560.16,2155599,1207477343.35,12636,1862981,86.43,2017,5,-0.0,Slight
4,CIPLA,EQ,2017-05-19,560.1,561.3,566.65,558.65,564.2,564.95,561.86,685662,385248719.65,10878,376701,54.94,2017,5,0.01,Slight
5,CIPLA,EQ,2017-05-22,564.95,567.0,567.7,553.1,555.75,563.1,563.25,948063,533996871.45,15992,713759,75.29,2017,5,-0.0,Slight
6,CIPLA,EQ,2017-05-23,563.1,558.6,558.8,531.25,532.95,533.2,538.11,1225772,659597733.45,24881,487893,39.8,2017,5,-0.05,Slight
7,CIPLA,EQ,2017-05-24,533.2,531.0,536.35,514.0,521.3,519.65,522.69,1340656,700753145.45,35256,505963,37.74,2017,5,-0.03,Slight
8,CIPLA,EQ,2017-05-25,519.65,522.0,525.0,496.4,504.7,504.0,505.53,4378940,2213673893.0,66378,1981607,45.25,2017,5,-0.03,Slight
9,CIPLA,EQ,2017-05-26,504.0,483.0,504.75,480.2,491.25,488.9,489.42,7010307,3431015679.55,112619,1655216,23.61,2017,5,-0.03,Slight
10,CIPLA,EQ,2017-05-29,488.9,492.0,507.5,488.9,505.95,505.35,496.36,4118338,2044165727.55,57601,2685163,65.2,2017,5,0.03,Slight
11,CIPLA,EQ,2017-05-30,505.35,504.8,517.6,501.4,510.0,510.5,512.29,1047968,536865305.85,23806,258147,24.63,2017,5,0.01,Slight
12,CIPLA,EQ,2017-05-31,510.5,514.8,520.1,505.0,519.4,516.35,513.96,1366315,702224797.8,56012,658731,48.21,2017,5,0.01,Slight
