,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
0,DRREDDY,EQ,2017-05-15,2580.8,2600.0,2699.0,2592.0,2667.5,2675.8,2655.42,946756,2514038416.75,60746,392469,41.45,2017,5,0.0,Slight
1,DRREDDY,EQ,2017-05-16,2675.8,2690.8,2734.0,2690.8,2717.5,2724.1,2721.18,440462,1198576504.7,27798,144587,32.83,2017,5,1.81,Positive
2,DRREDDY,EQ,2017-05-17,2724.1,2720.0,2760.0,2686.55,2738.0,2736.9,2731.48,409818,1119407972.5,25364,133595,32.6,2017,5,0.47,Slight
3,DRREDDY,EQ,2017-05-18,2736.9,2695.0,2719.85,2672.2,2681.1,2678.95,2693.81,282411,760761442.05,22125,177774,62.95,2017,5,-2.12,Negative
4,DRREDDY,EQ,2017-05-19,2678.95,2694.95,2694.95,2637.0,2654.8,2656.45,2659.44,260677,693255521.1,35605,152233,58.4,2017,5,-0.84,Slight negative
5,DRREDDY,EQ,2017-05-22,2656.45,2680.0,2681.95,2602.1,2610.0,2608.7,2621.76,154462,404961904.1,21943,69055,44.71,2017,5,-1.8,Negative
6,DRREDDY,EQ,2017-05-23,2608.7,2618.8,2618.8,2542.8,2585.0,2579.45,2573.2,284428,731891214.9,27875,139400,49.01,2017,5,-1.12,Negative
7,DRREDDY,EQ,2017-05-24,2579.45,2573.0,2573.0,2510.0,2513.0,2516.8,2536.0,366315,928974589.0,40598,193026,52.69,2017,5,-2.43,Negative
8,DRREDDY,EQ,2017-05-25,2516.8,2507.4,2508.35,2398.0,2423.0,2427.7,2444.58,808310,1975977067.55,54917,431336,53.36,2017,5,-3.54,Among top losers
9,DRREDDY,EQ,2017-05-26,2427.7,2500.0,2509.95,2403.8,2419.95,2414.4,2435.38,721031,1755982583.05,38740,328084,45.5,2017,5,-0.55,Slight negative
10,DRREDDY,EQ,2017-05-29,2414.4,2430.1,2465.0,2380.35,2415.8,2425.85,2428.14,543508,1319711334.05,38559,222097,40.86,2017,5,0.47,Slight
11,DRREDDY,EQ,2017-05-30,2425.85,2419.95,2500.0,2416.15,2476.0,2481.35,2482.88,437985,1087462474.4,29802,190717,43.54,2017,5,2.29,Positive
12,DRREDDY,EQ,2017-05-31,2481.35,2490.0,2544.0,2464.0,2510.0,2523.85,2521.91,786086,1982434960.25,82413,548143,69.73,2017,5,1.71,Positive
13,DRREDDY,EQ,2017-06-01,2523.85,2540.0,2567.75,2513.9,2517.1,2522.8,2539.65,324502,824120054.8,23053,130170,40.11,2017,6,-0.04,Slight
14,DRREDDY,EQ,2017-06-02,2522.8,2535.2,2574.8,2525.15,2548.35,2554.5,2554.08,293291,749088057.5,18438,163448,55.73,2017,6,1.26,Positive
15,DRREDDY,EQ,2017-06-05,2554.5,2543.15,2568.0,2520.1,2531.0,2535.85,2543.32,224677,571424640.45,17781,124681,55.49,2017,6,-0.73,Slight negative
16,DRREDDY,EQ,2017-06-06,2535.85,2534.95,2565.5,2516.0,2546.25,2549.3,2541.61,172111,437438467.15,14592,45718,26.56,2017,6,0.53,Slight positive
17,DRREDDY,EQ,2017-06-07,2549.3,2538.0,2564.5,2516.05,2535.0,2540.65,2543.22,247189,628654853.6,16479,115767,46.83,2017,6,-0.34,Slight
18,DRREDDY,EQ,2017-06-08,2540.65,2545.5,2666.25,2545.5,2634.0,2636.25,2632.9,845476,2226053263.2,48502,329752,39.0,2017,6,3.76,Among top gainers
19,DRREDDY,EQ,2017-06-09,2636.25,2650.0,2650.0,2602.0,2627.1,2628.8,2624.54,206211,541209021.45,13688,53866,26.12,2017,6,-0.28,Slight
20,DRREDDY,EQ,2017-06-12,2628.8,2626.3,2656.95,2617.05,2627.5,2630.25,2635.01,138429,364762463.7,19006,59581,43.04,2017,6,0.06,Slight
21,DRREDDY,EQ,2017-06-13,2630.25,2633.2,2645.5,2612.05,2629.8,2626.7,2628.47,135916,357250684.35,13501,59164,43.53,2017,6,-0.13,Slight
22,DRREDDY,EQ,2017-06-14,2626.7,2668.0,2699.0,2645.4,2662.05,2669.3,2672.36,748839,2001169218.75,57350,234063,31.26,2017,6,1.62,Positive
23,DRREDDY,EQ,2017-06-15,2669.3,2662.7,2720.95,2655.0,2699.0,2700.5,2700.86,694652,1876156210.65,24980,433148,62.35,2017,6,1.17,Positive
24,DRREDDY,EQ,2017-06-16,2700.5,2714.2,2718.15,2631.0,2680.1,2682.6,2669.56,370538,989172133.85,32227,144362,38.96,2017,6,-0.66,Slight negative
25,DRREDDY,EQ,2017-06-19,2682.6,2672.0,2672.0,2640.55,2649.0,2657.45,2655.97,441803,1173416345.75,21981,261404,59.17,2017,6,-0.94,Slight negative
26,DRREDDY,EQ,2017-06-20,2657.45,2660.35,2695.0,2653.6,2675.1,2676.05,2671.83,196527,525086116.0,18333,69880,35.56,2017,6,0.7,Slight positive
27,DRREDDY,EQ,2017-06-21,2676.05,2675.0,2695.0,2655.75,2686.0,2687.05,2678.4,179216,480012286.55,24341,87975,49.09,2017,6,0.41,Slight
28,DRREDDY,EQ,2017-06-22,2687.05,2690.1,2699.9,2618.55,2633.0,2635.6,2659.3,171787,456833415.15,15252,59192,34.46,2017,6,-1.91,Negative
29,DRREDDY,EQ,2017-06-23,2635.6,2636.1,2659.4,2614.8,2644.0,2643.7,2639.23,232808,614434704.7,17366,105438,45.29,2017,6,0.31,Slight
30,DRREDDY,EQ,2017-06-27,2643.7,2630.25,2670.0,2630.25,2646.1,2653.1,2653.13,265871,705389825.5,28765,135361,50.91,2017,6,0.36,Slight
31,DRREDDY,EQ,2017-06-28,2653.1,2631.0,2664.7,2625.15,2648.0,2651.75,2646.54,191968,508051841.4,20324,94151,49.05,2017,6,-0.05,Slight
32,DRREDDY,EQ,2017-06-29,2651.75,2651.2,2666.95,2640.05,2655.0,2651.5,2651.63,181588,481503495.2,20449,78460,43.21,2017,6,-0.01,Slight
33,DRREDDY,EQ,2017-06-30,2651.5,2650.0,2711.0,2645.0,2690.5,2690.1,2687.15,327643,880426100.25,24633,142471,43.48,2017,6,1.46,Positive
34,DRREDDY,EQ,2017-07-03,2690.1,2700.0,2706.1,2665.0,2675.3,2682.55,2677.64,144646,387309279.5,17660,62782,43.4,2017,7,-0.28,Slight
35,DRREDDY,EQ,2017-07-04,2682.55,2668.1,2676.1,2610.3,2621.8,2623.7,2633.3,264253,695856474.3,17098,108822,41.18,2017,7,-2.19,Negative
36,DRREDDY,EQ,2017-07-05,2623.7,2621.5,2669.0,2621.5,2665.05,2664.95,2647.3,181326,480023556.75,14235,60559,33.4,2017,7,1.57,Positive
37,DRREDDY,EQ,2017-07-06,2664.95,2664.95,2679.0,2642.1,2676.55,2667.9,2661.82,124936,332557419.2,14248,46720,37.4,2017,7,0.11,Slight
38,DRREDDY,EQ,2017-07-07,2667.9,2669.8,2729.5,2667.25,2705.0,2705.4,2714.59,284992,773636376.95,20834,68284,23.96,2017,7,1.41,Positive
39,DRREDDY,EQ,2017-07-10,2705.4,2733.3,2745.5,2700.0,2722.0,2726.2,2733.17,40393,110400852.95,2475,14180,35.11,2017,7,0.77,Slight positive
40,DRREDDY,EQ,2017-07-11,2726.2,2730.0,2732.4,2683.0,2689.9,2691.25,2713.1,160926,436608091.55,16488,78741,48.93,2017,7,-1.28,Negative
41,DRREDDY,EQ,2017-07-12,2691.25,2693.85,2721.45,2668.65,2683.0,2690.1,2694.86,213175,574477093.25,12948,105858,49.66,2017,7,-0.04,Slight
42,DRREDDY,EQ,2017-07-13,2690.1,2693.25,2719.75,2683.0,2691.0,2694.0,2701.55,137183,370606244.0,13427,50096,36.52,2017,7,0.14,Slight
43,DRREDDY,EQ,2017-07-14,2694.0,2699.15,2725.0,2686.4,2700.0,2703.0,2704.52,195286,528154103.95,9780,94145,48.21,2017,7,0.33,Slight
44,DRREDDY,EQ,2017-07-17,2703.0,2697.4,2703.7,2682.3,2696.0,2697.25,2696.48,201896,544407643.35,7956,135481,67.1,2017,7,-0.21,Slight
45,DRREDDY,EQ,2017-07-18,2697.25,2690.0,2743.3,2687.55,2722.0,2718.95,2727.53,301108,821281939.15,21104,95132,31.59,2017,7,0.8,Slight positive
46,DRREDDY,EQ,2017-07-19,2718.95,2723.0,2784.8,2720.35,2780.0,2774.0,2761.79,364602,1006955811.1,21326,170760,46.83,2017,7,2.02,Positive
47,DRREDDY,EQ,2017-07-20,2774.0,2774.95,2778.4,2742.3,2746.0,2750.1,2757.08,187889,518025590.7,13578,105088,55.93,2017,7,-0.86,Slight negative
48,DRREDDY,EQ,2017-07-21,2750.1,2738.0,2780.0,2727.0,2758.1,2762.55,2755.38,282516,778439475.55,16207,104516,36.99,2017,7,0.45,Slight
49,DRREDDY,EQ,2017-07-24,2762.55,2785.0,2787.0,2688.9,2692.0,2696.45,2705.8,517895,1401320059.95,31506,234290,45.24,2017,7,-2.39,Negative
50,DRREDDY,EQ,2017-07-25,2696.45,2696.45,2713.35,2680.0,2687.0,2692.15,2693.25,374960,1009861565.55,23100,200187,53.39,2017,7,-0.16,Slight
51,DRREDDY,EQ,2017-07-26,2692.15,2708.0,2716.55,2680.9,2706.5,2707.35,2696.36,174665,470960137.05,12237,48068,27.52,2017,7,0.56,Slight positive
52,DRREDDY,EQ,2017-07-27,2707.35,2710.0,2723.0,2587.0,2599.0,2620.35,2654.38,1822665,4838047469.25,59608,950000,52.12,2017,7,-3.21,Among top losers
53,DRREDDY,EQ,2017-07-28,2620.35,2499.5,2506.55,2451.1,2465.2,2464.95,2477.93,1548997,3838301243.45,83696,628351,40.57,2017,7,-5.93,Among top losers
54,DRREDDY,EQ,2017-07-31,2464.95,2438.0,2448.1,2375.0,2375.9,2383.2,2397.27,1525068,3655998819.75,60287,848382,55.63,2017,7,-3.32,Among top losers
55,DRREDDY,EQ,2017-08-01,2383.2,2379.0,2458.0,2369.8,2426.0,2431.55,2434.57,1034078,2517534036.05,49499,441348,42.68,2017,8,2.03,Positive
56,DRREDDY,EQ,2017-08-02,2431.55,2435.1,2439.9,2372.4,2380.0,2378.55,2399.24,570459,1368666303.55,33446,299456,52.49,2017,8,-2.18,Negative
57,DRREDDY,EQ,2017-08-03,2378.55,2388.0,2397.0,2314.35,2321.6,2323.95,2355.05,777585,1831252484.7,44064,403217,51.86,2017,8,-2.3,Negative
58,DRREDDY,EQ,2017-08-04,2323.95,2315.0,2315.05,2230.1,2238.0,2239.55,2259.94,1226639,2772125168.15,68535,593155,48.36,2017,8,-3.63,Among top losers
59,DRREDDY,EQ,2017-08-07,2239.55,2240.0,2257.0,2200.0,2202.0,2206.95,2229.8,736078,1641306908.35,39569,355427,48.29,2017,8,-1.46,Negative
60,DRREDDY,EQ,2017-08-08,2206.95,2205.8,2206.95,2084.85,2089.0,2095.65,2144.08,1360991,2918074107.9,70288,572265,42.05,2017,8,-5.04,Among top losers
61,DRREDDY,EQ,2017-08-09,2095.65,2090.9,2105.0,2032.5,2042.1,2048.35,2057.88,1124987,2315092583.4,75234,417081,37.07,2017,8,-2.26,Negative
62,DRREDDY,EQ,2017-08-10,2048.35,2042.0,2099.0,1934.1,1945.1,1944.45,2008.04,1540007,3092401284.4,82468,392238,25.47,2017,8,-5.07,Among top losers
63,DRREDDY,EQ,2017-08-11,1944.45,1925.05,2029.95,1901.15,2016.0,2011.15,1976.92,1857913,3672948660.75,103761,460806,24.8,2017,8,3.43,Among top gainers
64,DRREDDY,EQ,2017-08-14,2011.15,2000.0,2039.9,1970.1,2002.0,2002.05,2004.45,843270,1690295221.6,39430,125561,14.89,2017,8,-0.45,Slight
65,DRREDDY,EQ,2017-08-16,2002.05,1995.0,2017.8,1970.05,1992.45,2005.25,1994.02,662136,1320311276.5,32294,216468,32.69,2017,8,0.16,Slight
66,DRREDDY,EQ,2017-08-17,2005.25,2010.0,2031.9,1992.45,2007.9,2011.25,2011.74,540131,1086605443.75,24709,200279,37.08,2017,8,0.3,Slight
67,DRREDDY,EQ,2017-08-18,2011.25,1998.0,2007.55,1971.3,1981.05,1982.0,1986.4,349297,693842325.25,17725,119347,34.17,2017,8,-1.45,Negative
68,DRREDDY,EQ,2017-08-21,1982.0,1990.0,2001.0,1921.1,1934.5,1931.1,1960.09,418295,819896731.85,19527,133150,31.83,2017,8,-2.57,Negative
69,DRREDDY,EQ,2017-08-22,1931.1,1945.0,2014.0,1935.0,1978.8,1984.15,1979.81,772164,1528737153.65,38427,123757,16.03,2017,8,2.75,Positive
70,DRREDDY,EQ,2017-08-23,1984.15,1991.0,2053.45,1991.0,2028.3,2030.95,2030.2,809996,1644452739.95,39497,130425,16.1,2017,8,2.36,Positive
71,DRREDDY,EQ,2017-08-24,2030.95,2028.0,2100.0,2010.55,2080.0,2088.15,2069.2,1124967,2327782218.15,64453,332467,29.55,2017,8,2.82,Positive
72,DRREDDY,EQ,2017-08-28,2088.15,2084.0,2089.75,2027.1,2050.0,2049.4,2051.48,844176,1731813221.2,39746,101412,12.01,2017,8,-1.86,Negative
73,DRREDDY,EQ,2017-08-29,2049.4,2049.0,2067.5,2032.0,2037.15,2042.05,2049.47,607366,1244778638.25,24715,138700,22.84,2017,8,-0.36,Slight
74,DRREDDY,EQ,2017-08-30,2042.05,2047.0,2074.4,2031.4,2033.0,2038.9,2055.64,401449,825236192.4,20906,133879,33.35,2017,8,-0.15,Slight
75,DRREDDY,EQ,2017-08-31,2038.9,2044.0,2051.7,2006.0,2017.55,2020.9,2024.27,837809,1695950603.8,34811,353188,42.16,2017,8,-0.88,Slight negative
76,DRREDDY,EQ,2017-09-01,2020.9,2115.0,2233.0,2115.0,2212.0,2217.55,2182.67,3613589,7887276769.8,122958,1176466,32.56,2017,9,9.73,Bull run
77,DRREDDY,EQ,2017-09-04,2217.55,2234.0,2236.4,2173.25,2181.9,2195.1,2197.67,947235,2081705870.45,42018,180843,19.09,2017,9,-1.01,Negative
78,DRREDDY,EQ,2017-09-05,2195.1,2198.3,2218.35,2181.9,2203.0,2209.15,2204.59,513527,1132114828.1,21785,179184,34.89,2017,9,0.64,Slight positive
79,DRREDDY,EQ,2017-09-06,2209.15,2185.35,2208.0,2175.75,2191.35,2196.9,2193.9,527252,1156736933.3,31659,228954,43.42,2017,9,-0.55,Slight negative
80,DRREDDY,EQ,2017-09-07,2196.9,2204.0,2235.0,2201.0,2215.0,2224.95,2221.3,491394,1091533618.45,26753,199224,40.54,2017,9,1.28,Positive
81,DRREDDY,EQ,2017-09-08,2224.95,2229.0,2229.0,2066.15,2161.0,2162.5,2156.71,1719424,3708296004.85,67014,435110,25.31,2017,9,-2.81,Negative
82,DRREDDY,EQ,2017-09-11,2162.5,2169.0,2198.0,2154.0,2155.95,2159.5,2175.08,445377,968731294.2,31342,153901,34.56,2017,9,-0.14,Slight
83,DRREDDY,EQ,2017-09-12,2159.5,2165.0,2197.4,2135.4,2162.15,2165.75,2164.65,517997,1121284554.7,30693,117098,22.61,2017,9,0.29,Slight
84,DRREDDY,EQ,2017-09-13,2165.75,2187.0,2228.0,2169.15,2223.95,2217.35,2207.3,755242,1667042477.45,32366,182360,24.15,2017,9,2.38,Positive
85,DRREDDY,EQ,2017-09-14,2217.35,2234.0,2264.95,2230.0,2257.75,2253.35,2248.43,613254,1378858126.25,27683,142995,23.32,2017,9,1.62,Positive
86,DRREDDY,EQ,2017-09-15,2253.35,2225.2,2245.0,2201.1,2208.3,2211.2,2217.85,672801,1492174491.25,32429,260793,38.76,2017,9,-1.87,Negative
87,DRREDDY,EQ,2017-09-18,2211.2,2204.0,2258.55,2175.6,2255.0,2242.05,2213.95,730962,1618314092.5,28151,164945,22.57,2017,9,1.4,Positive
88,DRREDDY,EQ,2017-09-19,2242.05,2232.0,2265.0,2200.0,2240.3,2241.55,2240.35,566790,1269810216.4,27317,119096,21.01,2017,9,-0.02,Slight
89,DRREDDY,EQ,2017-09-20,2241.55,2250.0,2329.0,2240.0,2325.0,2314.7,2297.29,1333098,3062510544.7,68935,412645,30.95,2017,9,3.26,Among top gainers
90,DRREDDY,EQ,2017-09-21,2314.7,2346.25,2500.0,2346.25,2490.0,2486.55,2439.82,4057364,9899217598.6,159039,937065,23.1,2017,9,7.42,Bull run
91,DRREDDY,EQ,2017-09-22,2486.55,2494.0,2526.75,2446.55,2461.0,2457.75,2487.73,1991351,4953947243.9,76280,338991,17.02,2017,9,-1.16,Negative
92,DRREDDY,EQ,2017-09-25,2457.75,2464.0,2475.0,2405.0,2428.2,2417.25,2428.65,911049,2212614781.35,46122,219042,24.04,2017,9,-1.65,Negative
93,DRREDDY,EQ,2017-09-26,2417.25,2414.0,2415.0,2322.65,2369.95,2370.75,2372.01,1424436,3378782415.1,61227,357181,25.08,2017,9,-1.92,Negative
94,DRREDDY,EQ,2017-09-27,2370.75,2360.0,2384.0,2281.1,2311.5,2304.7,2336.0,935536,2185415949.3,41669,269599,28.82,2017,9,-2.79,Negative
95,DRREDDY,EQ,2017-09-28,2304.7,2300.0,2415.0,2272.2,2381.35,2375.4,2375.35,2815633,6688114161.15,97102,1193935,42.4,2017,9,3.07,Among top gainers
96,DRREDDY,EQ,2017-09-29,2375.4,2375.4,2390.7,2320.1,2330.5,2328.75,2352.71,1133595,2667020909.5,47268,369617,32.61,2017,9,-1.96,Negative
97,DRREDDY,EQ,2017-10-03,2328.75,2415.0,2415.0,2320.45,2325.0,2335.55,2361.12,978860,2311202766.15,41957,379766,38.8,2017,10,0.29,Slight
98,DRREDDY,EQ,2017-10-04,2335.55,2342.0,2398.4,2319.55,2392.0,2387.6,2368.38,1187980,2813584718.0,58154,460222,38.74,2017,10,2.23,Positive
99,DRREDDY,EQ,2017-10-05,2387.6,2392.0,2428.4,2376.0,2379.05,2389.15,2400.83,759504,1823439898.8,28910,152902,20.13,2017,10,0.06,Slight
100,DRREDDY,EQ,2017-10-06,2389.15,2395.0,2409.9,2368.0,2377.0,2375.85,2382.66,533762,1271773959.4,27974,110400,20.68,2017,10,-0.56,Slight negative
101,DRREDDY,EQ,2017-10-09,2375.85,2380.0,2433.0,2379.25,2409.85,2408.95,2414.28,633048,1528354478.35,34288,143159,22.61,2017,10,1.39,Positive
102,DRREDDY,EQ,2017-10-10,2408.95,2419.7,2431.25,2401.6,2409.0,2411.35,2419.95,316335,765514347.05,16410,73296,23.17,2017,10,0.1,Slight
103,DRREDDY,EQ,2017-10-11,2411.35,2409.9,2420.05,2351.4,2375.0,2372.15,2386.46,450295,1074611266.15,18538,125193,27.8,2017,10,-1.63,Negative
104,DRREDDY,EQ,2017-10-12,2372.15,2397.0,2397.0,2358.5,2380.0,2379.85,2377.22,416094,989145174.7,26030,124418,29.9,2017,10,0.32,Slight
105,DRREDDY,EQ,2017-10-13,2379.85,2373.0,2379.6,2350.0,2354.5,2354.45,2360.99,341789,806958849.2,21750,88212,25.81,2017,10,-1.07,Negative
106,DRREDDY,EQ,2017-10-16,2354.45,2356.0,2411.0,2356.0,2397.75,2403.5,2388.92,386658,923695986.45,23170,129886,33.59,2017,10,2.08,Positive
107,DRREDDY,EQ,2017-10-17,2403.5,2397.0,2397.0,2375.5,2380.1,2381.35,2383.43,307110,731973933.95,16671,106978,34.83,2017,10,-0.92,Slight negative
108,DRREDDY,EQ,2017-10-18,2381.35,2386.7,2404.0,2376.0,2389.0,2385.4,2390.51,333114,796312997.55,15907,125693,37.73,2017,10,0.17,Slight
109,DRREDDY,EQ,2017-10-19,2385.4,2385.0,2387.0,2362.05,2376.9,2373.05,2374.37,47303,112314876.05,2637,13195,27.89,2017,10,-0.52,Slight negative
110,DRREDDY,EQ,2017-10-23,2373.05,2390.1,2415.0,2352.0,2366.2,2366.2,2374.32,363956,864146410.45,23648,97701,26.84,2017,10,-0.29,Slight
111,DRREDDY,EQ,2017-10-24,2366.2,2373.0,2382.3,2356.0,2363.65,2363.65,2367.37,194673,460863782.75,14175,86042,44.2,2017,10,-0.11,Slight
112,DRREDDY,EQ,2017-10-25,2363.65,2366.0,2395.1,2340.2,2353.05,2348.85,2369.42,295696,700628693.55,17116,120193,40.65,2017,10,-0.63,Slight negative
113,DRREDDY,EQ,2017-10-26,2348.85,2349.4,2357.95,2315.0,2345.05,2344.35,2336.18,449242,1049509947.1,29865,216070,48.1,2017,10,-0.19,Slight
114,DRREDDY,EQ,2017-10-27,2344.35,2354.7,2410.0,2339.8,2393.65,2394.95,2382.9,434936,1036408936.05,25020,130273,29.95,2017,10,2.16,Positive
115,DRREDDY,EQ,2017-10-30,2394.95,2396.0,2465.0,2367.05,2430.0,2438.5,2427.68,832219,2020357811.45,42866,240654,28.92,2017,10,1.82,Positive
