,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
1,HDFC,W2,2017-05-15,204.45,217.95,217.95,205.0,205.0,205.0,209.5,29200,6117400.0,4,29200,100.0,2017,5,0.0,Slight
4,HDFC,W2,2017-05-17,205.0,204.95,207.0,204.95,207.0,207.0,205.75,73000,15019385.0,10,73000,100.0,2017,5,0.01,Slight
6,HDFC,W2,2017-05-18,207.0,205.25,205.25,200.5,201.5,201.5,202.63,153300,31063325.0,16,124100,80.95,2017,5,-0.03,Slight
8,HDFC,W2,2017-05-19,201.5,199.0,199.0,192.05,195.0,195.0,194.81,36500,7110565.0,5,29200,80.0,2017,5,-0.03,Slight
10,HDFC,W2,2017-05-22,195.0,193.0,194.4,193.0,193.0,193.0,193.35,29200,5645820.0,4,21900,75.0,2017,5,-0.01,Slight
12,HDFC,W2,2017-05-23,193.0,196.5,198.8,194.0,194.25,194.25,195.52,36500,7136480.0,5,36500,100.0,2017,5,0.01,Slight
14,HDFC,W2,2017-05-24,194.25,193.0,196.5,190.25,194.0,194.0,193.29,43800,8466175.0,6,29200,66.67,2017,5,-0.0,Slight
16,HDFC,W2,2017-05-25,194.0,198.0,198.0,198.0,198.0,198.0,198.0,7300,1445400.0,1,7300,100.0,2017,5,0.02,Slight
18,HDFC,W2,2017-05-26,198.0,203.95,205.0,203.0,204.5,204.15,203.93,43800,8931915.0,6,14600,33.33,2017,5,0.03,Slight
20,HDFC,W2,2017-05-29,204.15,216.7,224.55,215.0,223.1,223.1,221.41,211700,46872205.0,29,189800,89.66,2017,5,0.09,Slight
22,HDFC,W2,2017-05-30,223.1,221.0,221.0,221.0,221.0,221.0,221.0,7300,1613300.0,1,7300,100.0,2017,5,-0.01,Slight
24,HDFC,W2,2017-05-31,221.0,219.0,223.0,211.5,220.0,218.25,216.3,175200,37895760.0,24,94900,54.17,2017,5,-0.01,Slight
26,HDFC,W2,2017-06-01,218.25,212.0,217.95,212.0,217.95,217.95,214.33,43800,9387800.0,6,14600,33.33,2017,6,-0.0,Slight
28,HDFC,W2,2017-06-02,217.95,224.0,236.8,224.0,235.2,235.2,233.65,131400,30701245.0,18,124100,94.44,2017,6,0.08,Slight
30,HDFC,W2,2017-06-05,235.2,238.0,244.8,238.0,244.8,244.8,243.29,51100,12432265.0,7,43800,85.71,2017,6,0.04,Slight
32,HDFC,W2,2017-06-06,244.8,248.5,248.5,241.0,241.0,242.4,246.86,277400,68479840.0,26,240900,86.84,2017,6,-0.01,Slight
34,HDFC,W2,2017-06-07,242.4,238.0,238.0,238.0,238.0,238.0,238.0,7300,1737400.0,1,7300,100.0,2017,6,-0.02,Slight
36,HDFC,W2,2017-06-08,238.0,240.0,261.75,240.0,260.5,260.5,256.41,153300,39307215.0,21,116800,76.19,2017,6,0.09,Slight
38,HDFC,W2,2017-06-09,260.5,256.0,269.0,256.0,268.0,268.35,264.83,87600,23199035.0,11,51100,58.33,2017,6,0.03,Slight
40,HDFC,W2,2017-06-12,268.35,258.0,270.0,258.0,270.0,270.0,268.84,496400,133452395.0,10,489100,98.53,2017,6,0.01,Slight
42,HDFC,W2,2017-06-13,270.0,273.0,291.5,273.0,286.8,285.95,284.76,584000,166298745.0,58,452600,77.5,2017,6,0.06,Slight
