,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
0,HEROMOTOCO,EQ,2017-05-15,3541.5,3541.0,3558.0,3504.6,3518.0,3515.45,3519.65,215587,758790616.85,17129,110769,51.38,2017,5,0.0,Slight
1,HEROMOTOCO,EQ,2017-05-16,3515.45,3529.5,3631.8,3491.1,3623.0,3619.4,3561.42,372398,1326265605.95,33654,147610,39.64,2017,5,2.96,Positive
2,HEROMOTOCO,EQ,2017-05-17,3619.4,3615.0,3683.95,3595.05,3634.1,3645.95,3651.06,338342,1235308259.25,27003,160855,47.54,2017,5,0.73,Slight positive
3,HEROMOTOCO,EQ,2017-05-18,3645.95,3600.0,3639.0,3577.05,3586.0,3592.05,3602.46,294013,1059169584.35,23822,143430,48.78,2017,5,-1.48,Negative
4,HEROMOTOCO,EQ,2017-05-19,3592.05,3597.0,3656.0,3533.75,3565.0,3571.65,3593.06,270446,971728391.0,26291,113208,41.86,2017,5,-0.57,Slight negative
5,HEROMOTOCO,EQ,2017-05-22,3571.65,3596.75,3645.0,3550.95,3580.15,3562.45,3591.9,255829,918911777.8,22156,119621,46.76,2017,5,-0.26,Slight
6,HEROMOTOCO,EQ,2017-05-23,3562.45,3593.9,3619.0,3550.0,3579.0,3585.0,3584.05,199447,714828089.4,27413,78193,39.2,2017,5,0.63,Slight positive
7,HEROMOTOCO,EQ,2017-05-24,3585.0,3585.0,3612.3,3527.2,3560.0,3567.6,3570.22,256025,914065392.85,39984,166139,64.89,2017,5,-0.49,Slight
8,HEROMOTOCO,EQ,2017-05-25,3567.6,3567.6,3645.25,3527.15,3640.0,3625.85,3588.29,253648,910162981.05,31288,124004,48.89,2017,5,1.63,Positive
9,HEROMOTOCO,EQ,2017-05-26,3625.85,3626.1,3660.1,3605.6,3620.0,3618.4,3636.04,193039,701897907.85,21195,85002,44.03,2017,5,-0.21,Slight
10,HEROMOTOCO,EQ,2017-05-29,3618.4,3621.9,3678.45,3590.55,3675.0,3665.8,3641.01,211133,768738284.25,16843,68418,32.41,2017,5,1.31,Positive
11,HEROMOTOCO,EQ,2017-05-30,3665.8,3660.0,3748.0,3660.0,3736.0,3740.35,3710.5,347224,1288374717.15,22493,171293,49.33,2017,5,2.03,Positive
12,HEROMOTOCO,EQ,2017-05-31,3740.35,3735.0,3762.0,3721.2,3760.0,3745.45,3741.86,424001,1586554078.15,49480,273792,64.57,2017,5,0.14,Slight
