,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
0,HINDALCO,EQ,2017-05-15,191.05,191.95,199.9,191.9,198.7,198.45,197.53,18159344,3586975568.4,83798,5450720,30.02,2017,5,0.0,Slight
1,HINDALCO,EQ,2017-05-16,198.45,198.65,198.85,195.5,196.9,196.5,196.86,10068622,1982077070.25,60041,5000318,49.66,2017,5,-0.01,Slight
2,HINDALCO,EQ,2017-05-17,196.5,196.1,200.35,196.1,198.25,198.85,198.52,10643485,2112960987.9,63106,3766725,35.39,2017,5,0.01,Slight
3,HINDALCO,EQ,2017-05-18,198.85,196.0,196.7,192.3,194.1,194.0,193.96,13959394,2707580659.65,49142,7848028,56.22,2017,5,-0.02,Slight
4,HINDALCO,EQ,2017-05-19,194.0,195.95,196.0,186.0,191.5,191.0,190.88,11428477,2181487373.3,75402,3402216,29.77,2017,5,-0.02,Slight
5,HINDALCO,EQ,2017-05-22,191.0,192.55,194.4,189.15,190.6,190.25,190.72,9699691,1849927279.2,54129,4288301,44.21,2017,5,-0.0,Slight
6,HINDALCO,EQ,2017-05-23,190.25,190.6,195.25,184.55,191.7,192.0,191.08,13372515,2555202128.55,80672,4653306,34.8,2017,5,0.01,Slight
7,HINDALCO,EQ,2017-05-24,192.0,191.95,193.65,185.1,186.9,187.05,188.59,11130641,2099167770.4,51903,3888894,34.94,2017,5,-0.03,Slight
8,HINDALCO,EQ,2017-05-25,187.05,188.0,192.0,185.85,190.95,190.55,188.4,9696039,1826742622.35,67678,4198436,43.3,2017,5,0.02,Slight
9,HINDALCO,EQ,2017-05-26,190.55,190.7,203.15,189.4,198.25,198.4,198.46,17803837,3533295693.15,88063,6054344,34.01,2017,5,0.04,Slight
10,HINDALCO,EQ,2017-05-29,198.4,198.3,204.9,197.25,201.8,201.25,200.84,12516450,2513757829.25,76781,2360308,18.86,2017,5,0.01,Slight
11,HINDALCO,EQ,2017-05-30,201.25,202.45,210.35,201.15,203.65,203.15,205.93,27444380,5651511910.2,147733,5156524,18.79,2017,5,0.01,Slight
12,HINDALCO,EQ,2017-05-31,203.15,203.95,208.25,200.0,200.4,200.7,202.87,26247788,5324991243.1,185648,10856168,41.36,2017,5,-0.01,Slight
13,HINDALCO,EQ,2017-06-01,200.7,200.5,201.45,195.25,197.7,197.25,196.91,12262290,2414602590.85,68892,4906418,40.01,2017,6,-0.02,Slight
14,HINDALCO,EQ,2017-06-02,197.25,198.3,200.2,194.65,197.1,197.05,196.82,8824329,1736800562.2,67533,2894321,32.8,2017,6,-0.0,Slight
15,HINDALCO,EQ,2017-06-05,197.05,197.0,199.8,195.5,197.5,197.1,197.48,7725805,1525710633.2,68760,2438147,31.56,2017,6,0.0,Slight
16,HINDALCO,EQ,2017-06-06,197.1,197.05,198.15,194.8,195.65,195.45,196.02,6027099,1181416382.85,38491,1601583,26.57,2017,6,-0.01,Slight
17,HINDALCO,EQ,2017-06-07,195.45,196.05,197.95,194.85,197.5,197.2,196.44,7822110,1536597582.5,61990,2863173,36.6,2017,6,0.01,Slight
