,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
0,INFRATEL,EQ,2017-05-15,374.7,375.8,375.8,368.65,372.0,371.05,371.08,761032,282404441.4,27740,357531,46.98,2017,5,0.0,Slight
1,INFRATEL,EQ,2017-05-16,371.05,371.15,380.85,370.05,375.75,376.55,377.05,1346372,507645858.5,42924,677288,50.3,2017,5,1.48,Positive
2,INFRATEL,EQ,2017-05-17,376.55,377.6,396.5,375.1,388.95,389.9,383.22,2268036,869162931.1,83975,1371275,60.46,2017,5,3.55,Among top gainers
3,INFRATEL,EQ,2017-05-18,389.9,388.4,388.85,377.0,378.55,378.9,382.6,2014628,770791008.2,50270,1025637,50.91,2017,5,-2.82,Negative
4,INFRATEL,EQ,2017-05-19,378.9,381.1,387.5,374.85,379.4,378.95,379.43,2031322,770752524.35,63099,1020560,50.24,2017,5,0.01,Slight
5,INFRATEL,EQ,2017-05-22,378.95,383.7,389.3,376.15,388.2,387.95,385.56,2772691,1069052134.0,73071,1228540,44.31,2017,5,2.37,Positive
6,INFRATEL,EQ,2017-05-23,387.95,385.0,390.0,378.4,379.9,379.85,382.84,3811223,1459070783.7,60957,2039492,53.51,2017,5,-2.09,Negative
7,INFRATEL,EQ,2017-05-24,379.85,379.85,382.0,367.2,368.45,369.0,372.49,3134390,1167520763.55,83856,1860115,59.35,2017,5,-2.86,Negative
8,INFRATEL,EQ,2017-05-25,369.0,369.1,376.35,365.85,368.7,373.5,371.8,7287977,2709679898.7,89929,6053646,83.06,2017,5,1.22,Positive
9,INFRATEL,EQ,2017-05-26,373.5,370.0,377.2,366.3,369.5,369.95,371.45,1918463,712610729.0,43541,788763,41.11,2017,5,-0.95,Slight negative
10,INFRATEL,EQ,2017-05-29,369.95,370.0,381.4,367.7,377.1,379.35,376.57,3887542,1463947606.95,54997,2827505,72.73,2017,5,2.54,Positive
11,INFRATEL,EQ,2017-05-30,379.35,379.35,379.85,365.65,373.0,372.25,371.46,1273594,473092028.4,28694,420437,33.01,2017,5,-1.87,Negative
12,INFRATEL,EQ,2017-05-31,372.25,374.25,374.35,360.65,368.2,366.6,365.34,3613527,1320155619.05,132010,2260332,62.55,2017,5,-1.52,Negative
13,INFRATEL,EQ,2017-06-01,366.6,370.1,379.45,369.8,377.0,376.25,375.07,2505966,939912213.15,50681,1369539,54.65,2017,6,2.63,Positive
14,INFRATEL,EQ,2017-06-02,376.25,376.45,382.9,371.0,373.3,374.65,376.87,1334349,502873542.4,37710,496717,37.23,2017,6,-0.43,Slight
15,INFRATEL,EQ,2017-06-05,374.65,381.3,384.9,375.6,380.55,382.45,381.61,3563721,1359941983.55,74109,1871029,52.5,2017,6,2.08,Positive
16,INFRATEL,EQ,2017-06-06,382.45,383.0,388.9,379.8,384.7,383.15,384.02,2537956,974632973.95,53194,1811141,71.36,2017,6,0.18,Slight
17,INFRATEL,EQ,2017-06-07,383.15,385.75,388.6,379.7,380.4,383.2,383.79,1610112,617938455.05,45025,812548,50.47,2017,6,0.01,Slight
18,INFRATEL,EQ,2017-06-08,383.2,383.0,383.1,374.8,379.5,379.85,378.44,1107704,419194066.15,20214,342689,30.94,2017,6,-0.87,Slight negative
19,INFRATEL,EQ,2017-06-09,379.85,379.85,384.75,377.1,383.0,382.65,381.29,1545424,589254785.9,34955,494657,32.01,2017,6,0.74,Slight positive
20,INFRATEL,EQ,2017-06-12,382.65,380.55,386.0,376.8,384.75,384.75,382.05,1660758,634484310.35,47895,728996,43.9,2017,6,0.55,Slight positive
21,INFRATEL,EQ,2017-06-13,384.75,385.0,389.85,379.55,381.55,384.2,384.56,1863956,716802446.45,38488,580484,31.14,2017,6,-0.14,Slight
22,INFRATEL,EQ,2017-06-14,384.2,382.7,387.4,381.45,386.9,386.1,384.75,1317476,506897019.55,39782,825288,62.64,2017,6,0.49,Slight
23,INFRATEL,EQ,2017-06-15,386.1,385.3,389.1,370.65,378.25,374.8,378.94,2369536,897923562.7,33682,1201629,50.71,2017,6,-2.93,Negative
24,INFRATEL,EQ,2017-06-16,374.8,374.8,384.65,373.25,375.0,375.1,379.31,2699975,1024121008.9,53617,1350780,50.03,2017,6,0.08,Slight
25,INFRATEL,EQ,2017-06-19,375.1,376.0,383.9,373.5,375.05,376.55,380.64,2163886,823666461.2,50329,1353450,62.55,2017,6,0.39,Slight
26,INFRATEL,EQ,2017-06-20,376.55,377.15,381.5,375.7,377.75,377.1,378.48,1331396,503909527.95,27127,283356,21.28,2017,6,0.15,Slight
27,INFRATEL,EQ,2017-06-21,377.1,377.5,378.1,370.5,371.05,371.7,374.03,2388975,893538570.7,67053,1379532,57.75,2017,6,-1.43,Negative
28,INFRATEL,EQ,2017-06-22,371.7,372.2,376.5,371.0,374.9,375.0,374.83,1120673,420060242.7,40145,595546,53.14,2017,6,0.89,Slight positive
29,INFRATEL,EQ,2017-06-23,375.0,377.35,378.55,371.05,372.5,372.15,375.39,2156583,809553208.85,61112,981685,45.52,2017,6,-0.76,Slight negative
30,INFRATEL,EQ,2017-06-27,372.15,373.7,375.9,368.8,372.65,373.3,373.23,1850097,690519836.75,64523,1074997,58.1,2017,6,0.31,Slight
31,INFRATEL,EQ,2017-06-28,373.3,372.6,379.95,371.1,379.3,376.45,373.66,1768602,660848264.6,33839,1296489,73.31,2017,6,0.84,Slight positive
32,INFRATEL,EQ,2017-06-29,376.45,379.9,382.5,374.25,375.45,378.2,378.89,5450689,2065236593.6,101550,3142730,57.66,2017,6,0.46,Slight
