,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
0,IOC,EQ,2017-05-15,434.9,437.85,443.55,433.85,441.75,442.1,440.94,2539479,1119766160.85,54884,1480363,58.29,2017,5,0.0,Slight
1,IOC,EQ,2017-05-16,442.1,444.0,450.9,442.95,446.2,446.6,446.41,5201774,2322110423.15,90725,3466447,66.64,2017,5,1.02,Positive
2,IOC,EQ,2017-05-17,446.6,447.15,449.9,442.1,444.1,444.25,446.99,3665629,1638498496.8,96434,2455693,66.99,2017,5,-0.53,Slight negative
3,IOC,EQ,2017-05-18,444.25,444.3,445.75,439.15,439.5,439.9,441.58,2724845,1203234026.45,60501,1781119,65.37,2017,5,-0.98,Slight negative
4,IOC,EQ,2017-05-19,439.9,439.5,446.9,433.45,437.0,435.4,440.44,3458809,1523395296.7,119946,2130108,61.59,2017,5,-1.02,Negative
5,IOC,EQ,2017-05-22,435.4,436.3,437.0,423.75,426.0,425.35,429.67,3236957,1390834224.9,89131,2014839,62.24,2017,5,-2.31,Negative
6,IOC,EQ,2017-05-23,425.35,428.0,430.95,418.75,425.5,424.25,424.07,4187364,1775733054.25,96191,2582850,61.68,2017,5,-0.26,Slight
7,IOC,EQ,2017-05-24,424.25,426.5,437.75,421.6,430.0,430.55,430.79,4247142,1829605948.85,100488,2549065,60.02,2017,5,1.48,Positive
8,IOC,EQ,2017-05-25,430.55,431.45,443.5,423.5,435.75,438.95,434.9,10044217,4368227625.1,110511,5573543,55.49,2017,5,1.95,Positive
9,IOC,EQ,2017-05-26,438.95,429.0,433.5,416.0,425.9,426.05,422.3,8573880,3620764079.9,106678,4016702,46.85,2017,5,-2.94,Negative
10,IOC,EQ,2017-05-29,426.05,427.4,432.9,416.0,416.6,419.25,421.48,4826446,2034273338.25,73112,2922312,60.55,2017,5,-1.6,Negative
