Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
LT,EQ,2017-05-15,1740.6,1748.6,1751.55,1736.5,1742.0,1742.4,1743.15,797134,1389521427.0,52614,529359,66.41,2017,5,0.0,Slight
LT,EQ,2017-05-16,1742.4,1747.0,1748.25,1727.55,1740.6,1740.7,1736.62,1102926,1915364571.0,48756,674148,61.12,2017,5,-0.1,Slight
LT,EQ,2017-05-17,1740.7,1743.9,1764.0,1730.5,1754.3,1755.45,1749.36,1668586,2918954732.05,77513,830692,49.78,2017,5,0.85,Slight positive
LT,EQ,2017-05-18,1755.45,1739.65,1750.1,1716.4,1722.1,1722.6,1725.53,1437220,2479967984.1,47602,915874,63.73,2017,5,-1.87,Negative
LT,EQ,2017-05-19,1722.6,1729.0,1734.0,1697.55,1720.05,1724.55,1718.73,1512094,2598885487.7,59280,838396,55.45,2017,5,0.11,Slight
LT,EQ,2017-05-22,1724.55,1733.0,1759.0,1729.0,1753.0,1751.95,1749.85,1892816,3312148103.45,81450,1222100,64.57,2017,5,1.59,Positive
LT,EQ,2017-05-23,1751.95,1755.0,1764.9,1727.4,1735.5,1740.75,1744.75,975870,1702647793.75,54639,431247,44.19,2017,5,-0.64,Slight negative
LT,EQ,2017-05-24,1740.75,1742.1,1756.9,1677.6,1689.45,1684.45,1721.17,1448713,2493486953.6,50761,754200,52.06,2017,5,-3.23,Among top losers
LT,EQ,2017-05-25,1684.45,1692.0,1775.0,1692.0,1765.0,1768.85,1753.44,3603181,6317947623.4,95146,2346405,65.12,2017,5,5.01,Among top gainers
LT,EQ,2017-05-26,1768.85,1770.0,1799.0,1753.85,1784.1,1787.6,1779.89,2044054,3638198841.0,71833,995635,48.71,2017,5,1.06,Positive
LT,EQ,2017-05-29,1787.6,1783.9,1809.95,1766.0,1778.3,1782.4,1790.3,2022439,3620774940.9,90245,792039,39.16,2017,5,-0.29,Slight
LT,EQ,2017-05-30,1782.4,1816.0,1833.95,1754.0,1770.0,1767.55,1784.55,4366960,7793040775.75,127796,1419839,32.51,2017,5,-0.83,Slight negative
LT,EQ,2017-05-31,1767.55,1772.5,1785.0,1750.7,1756.0,1760.7,1769.22,2000488,3539300426.0,92989,1194770,59.72,2017,5,-0.39,Slight
LT,EQ,2017-06-01,1760.7,1760.0,1798.0,1748.0,1792.1,1792.8,1772.42,1932123,3424526119.95,72013,957738,49.57,2017,6,1.82,Positive
LT,EQ,2017-06-02,1792.8,1800.0,1805.0,1778.1,1784.85,1784.0,1787.39,950214,1698404867.45,45529,436632,45.95,2017,6,-0.49,Slight
LT,EQ,2017-06-05,1784.0,1795.0,1809.4,1783.5,1804.35,1804.9,1802.25,1270946,2290566187.9,62246,690909,54.36,2017,6,1.17,Positive
LT,EQ,2017-06-06,1804.9,1807.7,1808.05,1772.15,1773.0,1775.15,1783.32,954046,1701371764.6,50045,494546,51.84,2017,6,-1.65,Negative
LT,EQ,2017-06-07,1775.15,1774.0,1794.5,1773.0,1786.3,1788.6,1784.63,885027,1579445359.05,53026,466130,52.67,2017,6,0.76,Slight positive
LT,EQ,2017-06-08,1788.6,1789.0,1799.0,1771.5,1772.5,1774.25,1782.77,952653,1698360787.8,39123,534176,56.07,2017,6,-0.8,Slight negative
LT,EQ,2017-06-09,1774.25,1777.0,1783.9,1761.6,1779.8,1778.2,1773.47,1088138,1929776592.8,44515,583696,53.64,2017,6,0.22,Slight
LT,EQ,2017-06-12,1778.2,1777.8,1778.0,1708.9,1743.0,1736.6,1732.36,2712638,4699270947.05,98321,1530043,56.4,2017,6,-2.34,Negative
LT,EQ,2017-06-13,1736.6,1744.55,1754.7,1736.55,1740.85,1739.0,1743.56,941516,1641589969.05,57523,476292,50.59,2017,6,0.14,Slight
LT,EQ,2017-06-14,1739.0,1742.0,1771.35,1734.8,1759.0,1764.45,1755.83,1386438,2434354273.5,61835,667755,48.16,2017,6,1.46,Positive
LT,EQ,2017-06-15,1764.45,1757.15,1761.9,1730.0,1735.0,1735.35,1739.34,987395,1717415596.0,50173,491047,49.73,2017,6,-1.65,Negative
LT,EQ,2017-06-16,1735.35,1734.85,1751.0,1720.7,1730.5,1726.7,1730.99,1495435,2588577741.2,61005,905579,60.56,2017,6,-0.5,Slight
LT,EQ,2017-06-19,1726.7,1736.0,1760.0,1732.2,1759.0,1755.8,1745.53,1187371,2072594015.5,47845,619628,52.18,2017,6,1.69,Positive
LT,EQ,2017-06-20,1755.8,1758.7,1768.95,1740.2,1750.6,1750.5,1752.57,1043648,1829066892.3,45980,507190,48.6,2017,6,-0.3,Slight
LT,EQ,2017-06-21,1750.5,1758.5,1782.0,1751.0,1752.8,1754.2,1765.66,2371285,4186881845.8,79145,911466,38.44,2017,6,0.21,Slight
LT,EQ,2017-06-22,1754.2,1760.0,1765.6,1732.3,1736.5,1736.4,1746.83,1174506,2051657575.15,55886,612220,52.13,2017,6,-1.01,Negative
