Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
MARUTI,EQ,2017-05-15,6730.2,6759.4,6839.1,6733.45,6824.0,6823.9,6796.84,336356,2286157837.9,31377,154743,46.01,2017,5,0.0,Slight
MARUTI,EQ,2017-05-16,6823.9,6850.0,6977.55,6830.0,6968.4,6953.95,6902.22,707624,4884173800.35,49047,360641,50.97,2017,5,1.91,Positive
MARUTI,EQ,2017-05-17,6953.95,6950.0,6979.0,6885.85,6945.0,6958.2,6931.6,445461,3087757535.3,65280,260033,58.37,2017,5,0.06,Slight
MARUTI,EQ,2017-05-18,6958.2,6918.3,6948.0,6814.45,6822.0,6831.05,6869.68,406814,2794683945.35,37063,188907,46.44,2017,5,-1.83,Negative
MARUTI,EQ,2017-05-19,6831.05,6854.8,6893.9,6691.55,6756.3,6790.55,6791.6,552223,3750475037.3,64293,234662,42.49,2017,5,-0.59,Slight negative
MARUTI,EQ,2017-05-22,6790.55,6803.95,6843.95,6689.25,6694.3,6701.7,6732.22,327493,2204755982.95,36146,158645,48.44,2017,5,-1.31,Negative
MARUTI,EQ,2017-05-23,6701.7,6765.0,6910.0,6743.65,6867.95,6878.85,6855.36,956457,6556860387.15,98981,414258,43.31,2017,5,2.64,Positive
MARUTI,EQ,2017-05-24,6878.85,6903.0,6912.55,6813.0,6865.0,6869.65,6863.75,433647,2976444464.5,48950,191595,44.18,2017,5,-0.13,Slight
MARUTI,EQ,2017-05-25,6869.65,6879.95,7018.0,6835.0,6970.0,6985.7,6916.65,435721,3013729805.95,44648,177404,40.72,2017,5,1.69,Positive
MARUTI,EQ,2017-05-26,6985.7,6971.15,7085.05,6936.2,7068.05,7064.8,7049.7,373937,2636144373.95,30388,92677,24.78,2017,5,1.13,Positive
MARUTI,EQ,2017-05-29,7064.8,7050.0,7197.8,7025.55,7144.0,7134.45,7130.02,427378,3047215056.0,46353,131172,30.69,2017,5,0.99,Slight positive
MARUTI,EQ,2017-05-30,7134.45,7134.45,7206.6,7084.15,7138.05,7147.5,7136.66,403698,2881054388.05,34630,166452,41.23,2017,5,0.18,Slight
MARUTI,EQ,2017-05-31,7147.5,7138.0,7248.0,7134.95,7219.75,7211.0,7211.55,650259,4689375538.75,69023,355423,54.66,2017,5,0.89,Slight positive
MARUTI,EQ,2017-06-01,7211.0,7242.0,7245.0,7110.1,7150.0,7146.6,7165.03,649217,4651660714.4,74481,276770,42.63,2017,6,-0.89,Slight negative
MARUTI,EQ,2017-06-02,7146.6,7182.0,7187.7,7100.0,7110.6,7114.7,7135.0,310268,2213761589.2,33719,153510,49.48,2017,6,-0.45,Slight
MARUTI,EQ,2017-06-05,7114.7,7139.8,7161.9,7091.1,7116.05,7125.7,7126.86,296147,2110599116.05,31551,137016,46.27,2017,6,0.15,Slight
MARUTI,EQ,2017-06-06,7125.7,7134.0,7154.3,7085.05,7118.95,7112.1,7110.16,324579,2307809562.65,45217,197591,60.88,2017,6,-0.19,Slight
MARUTI,EQ,2017-06-07,7112.1,7135.0,7225.0,7107.6,7198.0,7205.7,7189.75,518152,3725380789.55,44672,192737,37.2,2017,6,1.32,Positive
MARUTI,EQ,2017-06-08,7205.7,7199.0,7274.95,7198.0,7260.0,7249.5,7231.51,426525,3084419776.25,56722,229606,53.83,2017,6,0.61,Slight positive
MARUTI,EQ,2017-06-09,7249.5,7271.0,7480.9,7230.0,7474.9,7464.85,7384.15,1122640,8289742220.9,91222,395926,35.27,2017,6,2.97,Positive
MARUTI,EQ,2017-06-12,7464.85,7445.0,7450.0,7355.5,7375.0,7373.65,7395.21,454342,3359955209.2,45067,192329,42.33,2017,6,-1.22,Negative
MARUTI,EQ,2017-06-13,7373.65,7394.6,7455.0,7335.0,7342.0,7348.95,7394.22,607567,4492481373.45,58498,256546,42.23,2017,6,-0.33,Slight
MARUTI,EQ,2017-06-14,7348.95,7343.0,7392.45,7331.85,7352.0,7351.05,7359.55,277472,2042069845.15,36585,116310,41.92,2017,6,0.03,Slight
MARUTI,EQ,2017-06-15,7351.05,7348.35,7393.0,7272.15,7302.95,7312.3,7323.55,388150,2842635979.65,44880,166096,42.79,2017,6,-0.53,Slight negative
MARUTI,EQ,2017-06-16,7312.3,7332.0,7360.05,7250.0,7272.0,7263.9,7284.75,547028,3984961154.25,51164,343895,62.87,2017,6,-0.66,Slight negative
MARUTI,EQ,2017-06-19,7263.9,7314.0,7322.15,7235.0,7250.0,7249.25,7267.32,372747,2708872699.55,37153,214919,57.66,2017,6,-0.2,Slight
MARUTI,EQ,2017-06-20,7249.25,7265.0,7283.65,7190.3,7207.05,7207.25,7242.38,757716,5487664321.95,54031,513331,67.75,2017,6,-0.58,Slight negative
MARUTI,EQ,2017-06-21,7207.25,7220.0,7284.5,7153.3,7279.0,7268.2,7227.2,460423,3327567635.15,46064,230633,50.09,2017,6,0.85,Slight positive
MARUTI,EQ,2017-06-22,7268.2,7291.0,7352.0,7288.0,7320.0,7316.1,7326.33,436033,3194523105.05,64237,239676,54.97,2017,6,0.66,Slight positive
MARUTI,EQ,2017-06-23,7316.1,7321.25,7331.65,7205.0,7225.0,7219.15,7235.37,355854,2574735785.95,53841,178046,50.03,2017,6,-1.33,Negative
MARUTI,EQ,2017-06-27,7219.15,7239.5,7267.2,7155.1,7175.0,7183.35,7190.3,365667,2629253656.9,42155,177272,48.48,2017,6,-0.5,Slight
MARUTI,EQ,2017-06-28,7183.35,7213.95,7324.0,7205.0,7230.1,7225.05,7259.6,637214,4625918523.6,61871,308168,48.36,2017,6,0.58,Slight positive
MARUTI,EQ,2017-06-29,7225.05,7254.9,7290.0,7205.0,7213.8,7224.35,7238.32,543979,3937495489.85,40635,303446,55.78,2017,6,-0.01,Slight
MARUTI,EQ,2017-06-30,7224.35,7214.8,7233.6,7157.15,7201.25,7217.6,7193.36,367886,2646335813.4,48492,198560,53.97,2017,6,-0.09,Slight
MARUTI,EQ,2017-07-03,7217.6,7238.9,7365.0,7211.2,7359.0,7354.0,7322.32,556846,4077405610.5,58041,220432,39.59,2017,7,1.89,Positive
MARUTI,EQ,2017-07-04,7354.0,7386.0,7415.05,7340.0,7364.0,7376.15,7377.94,428293,3159920421.6,45813,169247,39.52,2017,7,0.3,Slight
MARUTI,EQ,2017-07-05,7376.15,7374.75,7394.0,7332.0,7378.0,7377.65,7367.13,273869,2017627913.15,40371,152185,55.57,2017,7,0.02,Slight
MARUTI,EQ,2017-07-06,7377.65,7377.65,7498.0,7376.2,7476.75,7474.05,7455.72,416512,3105395941.65,48144,186357,44.74,2017,7,1.31,Positive
MARUTI,EQ,2017-07-07,7474.05,7470.0,7474.05,7420.0,7428.0,7432.8,7437.78,339803,2527380002.1,32659,189042,55.63,2017,7,-0.55,Slight negative
MARUTI,EQ,2017-07-10,7432.8,7500.5,7500.5,6700.0,7433.3,7430.45,7437.62,47433,352788666.4,4351,22111,46.62,2017,7,-0.03,Slight
