Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
RELIANCE,EQ,2017-05-15,1350.45,1356.4,1356.4,1333.5,1343.6,1344.1,1344.22,1540213,2070378803.2,75812,802733,52.12,2017,5,0.0,Slight
RELIANCE,EQ,2017-05-16,1344.1,1346.05,1376.9,1341.0,1356.2,1356.3,1360.59,2892947,3936121463.6,79767,1238129,42.8,2017,5,0.91,Slight positive
RELIANCE,EQ,2017-05-17,1356.3,1353.0,1365.95,1347.75,1350.0,1353.1,1354.16,2250304,3047263294.2,56277,1225837,54.47,2017,5,-0.24,Slight
RELIANCE,EQ,2017-05-18,1353.1,1340.25,1350.0,1324.1,1327.45,1327.35,1336.14,2237916,2990177747.2,84723,1339478,59.85,2017,5,-1.9,Negative
RELIANCE,EQ,2017-05-19,1327.35,1333.0,1335.7,1310.0,1318.2,1318.85,1321.99,2928883,3871939701.45,115988,1444387,49.32,2017,5,-0.64,Slight negative
RELIANCE,EQ,2017-05-22,1318.85,1326.5,1333.6,1315.2,1326.0,1324.15,1322.82,2011859,2661318292.65,89828,1123947,55.87,2017,5,0.4,Slight
RELIANCE,EQ,2017-05-23,1324.15,1325.7,1329.85,1302.0,1304.55,1305.55,1313.55,2108223,2769246986.8,81667,1172410,55.61,2017,5,-1.4,Negative
RELIANCE,EQ,2017-05-24,1305.55,1307.5,1313.7,1295.1,1299.0,1297.7,1302.71,3274804,4266122161.8,78535,1782580,54.43,2017,5,-0.6,Slight negative
RELIANCE,EQ,2017-05-25,1297.7,1300.0,1312.4,1296.45,1301.5,1302.45,1303.19,5925335,7721842990.45,114553,4678965,78.97,2017,5,0.37,Slight
RELIANCE,EQ,2017-05-26,1302.45,1303.95,1344.4,1300.0,1339.0,1337.3,1320.18,4898639,6467102968.55,111248,2843822,58.05,2017,5,2.68,Positive
RELIANCE,EQ,2017-05-29,1337.3,1337.0,1365.45,1335.6,1355.25,1356.9,1352.77,5491170,7428268296.7,88604,2590759,47.18,2017,5,1.47,Positive
RELIANCE,EQ,2017-05-30,1356.9,1355.9,1364.7,1348.5,1360.0,1359.35,1357.25,2207727,2996431672.15,71958,1133031,51.32,2017,5,0.18,Slight
