,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
0,TITAN,EQ,2017-05-15,495.0,489.65,490.0,472.4,486.0,483.65,479.93,3897357,1870464545.25,52478,1722661,44.2,2017,5,0.0,Slight
1,TITAN,EQ,2017-05-16,483.65,486.0,491.0,480.8,490.0,488.3,487.32,1308863,637831624.7,33942,563667,43.07,2017,5,0.96,Slight positive
2,TITAN,EQ,2017-05-17,488.3,490.0,490.1,477.3,481.0,481.75,482.25,859054,414281441.95,26686,448314,52.19,2017,5,-1.34,Negative
3,TITAN,EQ,2017-05-18,481.75,479.0,482.6,470.05,470.85,471.65,474.78,811219,385152612.25,24621,438716,54.08,2017,5,-2.1,Negative
4,TITAN,EQ,2017-05-19,471.65,475.0,479.5,460.35,469.65,471.15,469.05,1022479,479589060.05,27225,263561,25.78,2017,5,-0.11,Slight
5,TITAN,EQ,2017-05-22,471.15,474.0,483.75,472.2,481.9,481.4,478.3,1725108,825127681.65,25751,777453,45.07,2017,5,2.18,Positive
6,TITAN,EQ,2017-05-23,481.4,478.65,485.6,472.95,475.85,478.35,479.94,1651642,792690042.5,38743,766712,46.42,2017,5,-0.63,Slight negative
7,TITAN,EQ,2017-05-24,478.35,474.25,478.95,460.1,470.45,469.2,469.91,1477366,694229941.0,35081,959757,64.96,2017,5,-1.91,Negative
8,TITAN,EQ,2017-05-25,469.2,471.1,471.85,461.0,464.0,463.9,466.31,974154,454254480.25,24584,557552,57.23,2017,5,-1.13,Negative
9,TITAN,EQ,2017-05-26,463.9,464.8,477.95,462.9,471.0,473.45,469.18,1594613,748163103.9,44946,695755,43.63,2017,5,2.06,Positive
10,TITAN,EQ,2017-05-29,473.45,471.8,494.15,469.0,470.1,470.65,480.91,2314193,1112912577.1,41024,562642,24.31,2017,5,-0.59,Slight negative
11,TITAN,EQ,2017-05-30,470.65,470.0,471.0,462.45,470.1,469.8,467.57,1496350,699648238.95,17891,1082365,72.33,2017,5,-0.18,Slight
