,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
0,ADANIPOWER,EQ,2017-05-15,30.25,30.4,30.5,30.1,30.35,30.25,30.28,2666848,80742504.0,4292,861729,32.31,2017,5,0.0,Slight
1,ADANIPOWER,EQ,2017-05-16,30.25,30.35,33.65,30.35,32.8,32.85,32.59,39322702,1281593925.15,57037,5217922,13.27,2017,5,8.6,Bull run
2,ADANIPOWER,EQ,2017-05-17,32.85,32.95,33.75,32.45,33.0,33.1,33.13,27368209,906737552.5,38034,3760475,13.74,2017,5,0.76,Slight positive
3,ADANIPOWER,EQ,2017-05-18,33.1,32.8,32.85,31.7,31.9,31.9,32.37,9833756,318269585.1,15013,2046350,20.81,2017,5,-3.63,Among top losers
4,ADANIPOWER,EQ,2017-05-19,31.9,33.25,33.25,32.0,32.45,32.4,32.55,12551755,408574123.25,20421,2456282,19.57,2017,5,1.57,Positive
5,ADANIPOWER,EQ,2017-05-22,32.4,32.7,32.8,31.1,31.25,31.45,31.97,6438711,205840505.7,10188,1333782,20.72,2017,5,-2.93,Negative
6,ADANIPOWER,EQ,2017-05-23,31.45,31.25,31.25,29.7,29.8,29.85,30.13,8810234,265422289.15,14648,2235158,25.37,2017,5,-5.09,Among top losers
7,ADANIPOWER,EQ,2017-05-24,29.85,29.9,30.0,27.85,28.0,28.0,28.79,15417083,443896246.9,24652,4221244,27.38,2017,5,-6.2,Among top losers
8,ADANIPOWER,EQ,2017-05-25,28.0,28.0,28.95,27.4,28.55,28.65,28.1,12744420,358177755.65,18914,2396425,18.8,2017,5,2.32,Positive
9,ADANIPOWER,EQ,2017-05-26,28.65,28.55,29.65,28.3,28.8,28.9,28.99,11266349,326562961.2,16300,2701720,23.98,2017,5,0.87,Slight positive
10,ADANIPOWER,EQ,2017-05-29,28.9,26.65,28.5,26.35,26.55,26.7,27.02,20070770,542260985.5,28823,3792218,18.89,2017,5,-7.61,Bear drop
11,ADANIPOWER,EQ,2017-05-30,26.7,26.6,27.7,25.85,27.4,27.35,26.92,13584241,365656261.2,18697,1568107,11.54,2017,5,2.43,Positive
12,ADANIPOWER,EQ,2017-05-31,27.35,27.6,28.15,27.15,27.9,27.7,27.57,12954263,357118050.2,15130,3140616,24.24,2017,5,1.28,Positive
13,ADANIPOWER,EQ,2017-06-01,27.7,27.75,28.35,26.75,26.95,26.95,27.24,7640715,208123187.1,14155,2556508,33.46,2017,6,-2.71,Negative
14,ADANIPOWER,EQ,2017-06-02,26.95,27.2,27.45,26.9,27.2,27.2,27.15,7471650,202835652.1,11217,1944799,26.03,2017,6,0.93,Slight positive
15,ADANIPOWER,EQ,2017-06-05,27.2,27.3,27.45,26.75,26.85,26.8,27.0,4881688,131805825.65,8494,1654497,33.89,2017,6,-1.47,Negative
16,ADANIPOWER,EQ,2017-06-06,26.8,26.8,27.45,26.55,27.2,27.25,27.04,11028116,298186872.45,16601,1703813,15.45,2017,6,1.68,Positive
17,ADANIPOWER,EQ,2017-06-07,27.25,27.85,28.0,27.2,27.25,27.35,27.48,9992617,274631451.35,13901,2509556,25.11,2017,6,0.37,Slight
18,ADANIPOWER,EQ,2017-06-08,27.35,27.45,27.45,26.85,26.9,26.9,26.97,5149689,138902139.25,7050,1438235,27.93,2017,6,-1.65,Negative
19,ADANIPOWER,EQ,2017-06-09,26.9,27.0,27.0,26.45,26.7,26.8,26.7,5559464,148442256.55,9098,1169696,21.04,2017,6,-0.37,Slight
20,ADANIPOWER,EQ,2017-06-12,26.8,26.75,28.35,26.5,27.75,27.8,27.5,11146080,306524473.4,14686,2246309,20.15,2017,6,3.73,Among top gainers
21,ADANIPOWER,EQ,2017-06-13,27.8,27.8,28.0,27.3,27.3,27.45,27.61,8127530,224440283.1,11016,1325825,16.31,2017,6,-1.26,Negative
22,ADANIPOWER,EQ,2017-06-14,27.45,27.2,28.0,26.85,27.8,27.7,27.3,8415127,229773826.45,11938,1358098,16.14,2017,6,0.91,Slight positive
