,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
0,APOLLOTYRE,EQ,2017-05-15,227.05,227.6,232.4,225.05,231.55,231.9,230.08,4347614,1000315389.4,40744,1801217,41.43,2017,5,0.0,Slight
1,APOLLOTYRE,EQ,2017-05-16,231.9,232.0,235.35,230.7,234.1,234.4,233.88,3426685,801445480.7,29264,1570680,45.84,2017,5,1.08,Positive
2,APOLLOTYRE,EQ,2017-05-17,234.4,234.1,239.05,231.7,237.6,237.35,236.18,5219959,1232858851.8,50958,1845182,35.35,2017,5,1.26,Positive
3,APOLLOTYRE,EQ,2017-05-18,237.35,235.1,239.9,230.05,230.8,232.65,235.29,3965961,933169912.7,34539,1615604,40.74,2017,5,-1.98,Negative
4,APOLLOTYRE,EQ,2017-05-19,232.65,234.4,237.75,230.1,234.0,234.65,234.28,5363574,1256551941.15,48236,3057294,57.0,2017,5,0.86,Slight positive
5,APOLLOTYRE,EQ,2017-05-22,234.65,234.0,237.55,230.9,232.0,233.75,235.54,4429589,1043366039.35,27541,2771288,62.56,2017,5,-0.38,Slight
6,APOLLOTYRE,EQ,2017-05-23,233.75,232.0,233.0,225.65,228.65,230.5,230.1,3349365,770672309.5,35957,1161396,34.68,2017,5,-1.39,Negative
7,APOLLOTYRE,EQ,2017-05-24,230.5,229.0,230.45,217.25,222.4,221.45,222.93,4210918,938721506.9,38765,1221278,29.0,2017,5,-3.93,Among top losers
8,APOLLOTYRE,EQ,2017-05-25,221.45,223.7,228.0,218.8,227.0,226.9,223.86,2798923,626555140.25,45779,871667,31.14,2017,5,2.46,Positive
9,APOLLOTYRE,EQ,2017-05-26,226.9,227.45,236.0,223.8,232.45,232.1,231.85,2473018,573376469.55,26252,662749,26.8,2017,5,2.29,Positive
10,APOLLOTYRE,EQ,2017-05-29,232.1,232.0,234.35,225.05,226.3,225.65,228.11,2325611,530494596.4,17109,847385,36.44,2017,5,-2.78,Negative
11,APOLLOTYRE,EQ,2017-05-30,225.65,224.0,229.75,222.85,229.0,228.2,227.88,2050162,467190212.7,22093,919479,44.85,2017,5,1.13,Positive
12,APOLLOTYRE,EQ,2017-05-31,228.2,229.3,231.65,227.5,228.7,228.6,228.71,2233535,510838747.85,38237,1089201,48.77,2017,5,0.18,Slight
13,APOLLOTYRE,EQ,2017-06-01,228.6,228.0,243.9,227.5,242.2,242.8,240.12,7092775,1703099417.5,49488,1047288,14.77,2017,6,6.21,Among top gainers
14,APOLLOTYRE,EQ,2017-06-02,242.8,243.15,248.85,241.6,246.4,247.15,246.31,5512657,1357802275.7,42130,1530915,27.77,2017,6,1.79,Positive
15,APOLLOTYRE,EQ,2017-06-05,247.15,245.15,254.5,245.15,247.55,248.2,250.5,3539094,886527616.2,24665,857445,24.23,2017,6,0.42,Slight
16,APOLLOTYRE,EQ,2017-06-06,248.2,248.95,260.9,242.15,259.05,259.35,254.05,6377588,1620195792.85,51911,1478421,23.18,2017,6,4.49,Among top gainers
17,APOLLOTYRE,EQ,2017-06-07,259.35,261.95,264.75,257.3,258.3,259.45,260.92,6591199,1719742848.65,54687,1109180,16.83,2017,6,0.04,Slight
18,APOLLOTYRE,EQ,2017-06-08,259.45,259.95,264.35,257.0,258.5,258.2,260.87,5124556,1336825677.2,39935,1503123,29.33,2017,6,-0.48,Slight
19,APOLLOTYRE,EQ,2017-06-09,258.2,260.1,262.5,255.7,258.0,258.0,258.78,4079827,1055761654.45,33438,1157135,28.36,2017,6,-0.08,Slight
20,APOLLOTYRE,EQ,2017-06-12,258.0,256.8,262.4,254.35,260.2,260.35,259.41,3182739,825622439.7,30315,534094,16.78,2017,6,0.91,Slight positive
21,APOLLOTYRE,EQ,2017-06-13,260.35,261.0,266.6,253.95,254.75,257.3,262.7,8151583,2141439955.0,71756,2782367,34.13,2017,6,-1.17,Negative
22,APOLLOTYRE,EQ,2017-06-14,257.3,254.4,259.9,251.5,259.7,258.15,255.45,6064458,1549180500.4,56181,1609872,26.55,2017,6,0.33,Slight
23,APOLLOTYRE,EQ,2017-06-15,258.15,257.0,260.6,254.95,257.1,257.2,257.87,3452982,890405903.25,41086,1509633,43.72,2017,6,-0.37,Slight
24,APOLLOTYRE,EQ,2017-06-16,257.2,257.3,259.65,254.65,255.65,255.65,256.83,2155363,553562280.45,22384,561817,26.07,2017,6,-0.6,Slight negative
25,APOLLOTYRE,EQ,2017-06-19,255.65,256.95,258.4,253.05,257.0,256.7,255.91,2695737,689870043.25,18091,924083,34.28,2017,6,0.41,Slight
26,APOLLOTYRE,EQ,2017-06-20,256.7,256.95,265.0,256.95,262.3,261.75,262.56,4810795,1263108684.95,36389,940109,19.54,2017,6,1.97,Positive
27,APOLLOTYRE,EQ,2017-06-21,261.75,262.0,266.3,258.8,260.5,260.3,262.61,6463867,1697481180.7,50097,2853256,44.14,2017,6,-0.55,Slight negative
28,APOLLOTYRE,EQ,2017-06-22,260.3,261.1,263.35,255.0,255.5,257.3,260.63,3234463,842992496.65,32614,1148708,35.51,2017,6,-1.15,Negative
29,APOLLOTYRE,EQ,2017-06-23,257.3,256.9,257.0,246.0,246.5,247.05,249.95,4146341,1036364963.5,32343,1200628,28.96,2017,6,-3.98,Among top losers
30,APOLLOTYRE,EQ,2017-06-27,247.05,245.35,245.4,238.9,242.75,243.25,242.37,2949329,714826094.2,29772,612071,20.75,2017,6,-1.54,Negative
31,APOLLOTYRE,EQ,2017-06-28,243.25,240.0,245.75,237.5,245.1,244.3,241.41,4211405,1016691003.9,47558,1363134,32.37,2017,6,0.43,Slight
32,APOLLOTYRE,EQ,2017-06-29,244.3,246.5,247.3,241.85,242.6,242.9,244.47,2014274,492420301.4,16875,431614,21.43,2017,6,-0.57,Slight negative
33,APOLLOTYRE,EQ,2017-06-30,242.9,240.0,243.1,239.0,240.5,240.7,240.84,2152305,518361912.6,20251,698777,32.47,2017,6,-0.91,Slight negative
34,APOLLOTYRE,EQ,2017-07-03,240.7,241.0,255.05,241.0,255.05,254.6,250.54,5023488,1258589731.5,36090,1295483,25.79,2017,7,5.77,Among top gainers
35,APOLLOTYRE,EQ,2017-07-04,254.6,255.7,256.75,250.35,252.35,251.2,253.13,3128081,791799165.95,22516,710819,22.72,2017,7,-1.34,Negative
36,APOLLOTYRE,EQ,2017-07-05,251.2,252.8,257.9,251.0,254.55,254.55,255.03,2260574,576509339.4,14398,363703,16.09,2017,7,1.33,Positive
37,APOLLOTYRE,EQ,2017-07-06,254.55,256.25,260.0,255.0,255.95,256.4,257.54,2911311,749779700.55,32852,1173300,40.3,2017,7,0.73,Slight positive
38,APOLLOTYRE,EQ,2017-07-07,256.4,254.9,260.0,252.9,258.4,258.75,257.48,3812270,981592822.95,33089,1448537,38.0,2017,7,0.92,Slight positive
39,APOLLOTYRE,EQ,2017-07-10,258.75,260.0,260.0,251.0,257.0,257.25,257.19,301951,77659751.75,2437,131468,43.54,2017,7,-0.58,Slight negative
40,APOLLOTYRE,EQ,2017-07-11,257.25,257.4,259.7,247.4,249.3,249.6,255.06,3938837,1004626996.85,29226,1936074,49.15,2017,7,-2.97,Negative
41,APOLLOTYRE,EQ,2017-07-12,249.6,247.7,254.0,245.5,252.0,252.25,249.41,3907251,974525350.75,33747,1509767,38.64,2017,7,1.06,Positive
42,APOLLOTYRE,EQ,2017-07-13,252.25,251.45,254.85,250.0,251.4,251.5,251.88,2118858,533692391.1,18203,578052,27.28,2017,7,-0.3,Slight
43,APOLLOTYRE,EQ,2017-07-14,251.5,252.5,252.5,249.0,250.8,251.0,250.77,1480370,371237358.7,28111,534644,36.12,2017,7,-0.2,Slight
44,APOLLOTYRE,EQ,2017-07-17,251.0,251.0,254.75,246.7,253.0,253.35,250.57,3015300,755544684.15,37213,1105291,36.66,2017,7,0.94,Slight positive
45,APOLLOTYRE,EQ,2017-07-18,253.35,252.85,256.9,249.95,252.15,252.85,253.21,3368756,852995662.3,33977,1148242,34.09,2017,7,-0.2,Slight
46,APOLLOTYRE,EQ,2017-07-19,252.85,253.9,257.35,253.15,256.2,255.9,255.1,3036591,774642681.5,25107,847007,27.89,2017,7,1.21,Positive
47,APOLLOTYRE,EQ,2017-07-20,255.9,256.0,257.45,252.25,253.9,253.7,254.47,1830875,465903308.9,18798,340655,18.61,2017,7,-0.86,Slight negative
48,APOLLOTYRE,EQ,2017-07-21,253.7,253.0,255.7,250.3,252.0,252.4,252.85,2795175,706767245.65,29463,886681,31.72,2017,7,-0.51,Slight negative
49,APOLLOTYRE,EQ,2017-07-24,252.4,254.3,255.5,251.05,253.35,253.7,253.12,1905074,482210603.7,29995,780347,40.96,2017,7,0.52,Slight positive
50,APOLLOTYRE,EQ,2017-07-25,253.7,253.8,265.7,252.55,265.4,264.55,260.97,6443067,1681466546.7,51622,1369717,21.26,2017,7,4.28,Among top gainers
51,APOLLOTYRE,EQ,2017-07-26,264.55,265.8,268.9,264.25,266.05,266.9,266.72,5575016,1486954904.0,63472,2712544,48.66,2017,7,0.89,Slight positive
52,APOLLOTYRE,EQ,2017-07-27,266.9,266.2,267.15,258.75,262.8,261.9,262.15,2727039,714906667.8,28450,1076361,39.47,2017,7,-1.87,Negative
53,APOLLOTYRE,EQ,2017-07-28,261.9,261.4,265.4,259.45,263.1,263.2,262.08,2729167,715252232.05,41196,892248,32.69,2017,7,0.5,Slight
54,APOLLOTYRE,EQ,2017-07-31,263.2,263.65,269.9,261.2,266.0,266.5,265.9,4278814,1137733183.7,35971,1846294,43.15,2017,7,1.25,Positive
55,APOLLOTYRE,EQ,2017-08-01,266.5,267.7,268.0,263.0,266.0,266.95,265.93,2285358,607749253.7,25176,1160505,50.78,2017,8,0.17,Slight
56,APOLLOTYRE,EQ,2017-08-02,266.95,266.0,279.0,263.75,276.4,277.75,273.37,8790037,2402911571.15,65108,2382728,27.11,2017,8,4.05,Among top gainers
57,APOLLOTYRE,EQ,2017-08-03,277.75,278.5,278.6,269.3,270.3,270.85,274.23,5013187,1374749844.6,38846,1304176,26.01,2017,8,-2.48,Negative
58,APOLLOTYRE,EQ,2017-08-04,270.85,261.0,270.4,259.1,263.6,262.25,265.08,10772073,2855422279.55,62879,3997687,37.11,2017,8,-3.18,Among top losers
59,APOLLOTYRE,EQ,2017-08-07,262.25,255.6,288.45,255.6,285.3,285.5,281.12,18908914,5315733177.15,115126,2269840,12.0,2017,8,8.87,Bull run
60,APOLLOTYRE,EQ,2017-08-08,285.5,285.0,285.0,271.75,280.75,280.45,278.07,8342293,2319713153.4,57536,2179255,26.12,2017,8,-1.77,Negative
61,APOLLOTYRE,EQ,2017-08-09,280.45,276.15,279.0,267.5,270.25,270.25,272.42,6919830,1885066153.85,41646,3102703,44.84,2017,8,-3.64,Among top losers
62,APOLLOTYRE,EQ,2017-08-10,270.25,269.7,275.75,257.45,264.4,262.6,267.98,4651785,1246600344.4,33989,826041,17.76,2017,8,-2.83,Negative
63,APOLLOTYRE,EQ,2017-08-11,262.6,260.1,262.5,252.0,258.25,257.05,257.56,4783508,1232053537.85,42865,1542198,32.24,2017,8,-2.11,Negative
64,APOLLOTYRE,EQ,2017-08-14,257.05,260.3,264.75,258.65,262.4,262.9,261.92,2552441,668537424.85,19917,690503,27.05,2017,8,2.28,Positive
65,APOLLOTYRE,EQ,2017-08-16,262.9,265.0,273.95,259.5,272.0,272.7,267.2,4475188,1195762226.4,47265,1293740,28.91,2017,8,3.73,Among top gainers
66,APOLLOTYRE,EQ,2017-08-17,272.7,272.85,274.75,268.35,268.9,269.25,271.38,3452974,937077967.05,44008,1373724,39.78,2017,8,-1.27,Negative
67,APOLLOTYRE,EQ,2017-08-18,269.25,267.4,271.8,265.3,270.05,270.15,269.06,2175670,585378664.85,27653,435349,20.01,2017,8,0.33,Slight
68,APOLLOTYRE,EQ,2017-08-21,270.15,270.0,273.7,266.85,267.8,268.9,269.95,2921377,788628001.35,38842,1240004,42.45,2017,8,-0.46,Slight
69,APOLLOTYRE,EQ,2017-08-22,268.9,270.25,271.7,255.4,259.9,259.65,259.94,4894280,1272241667.85,78509,1498057,30.61,2017,8,-3.44,Among top losers
70,APOLLOTYRE,EQ,2017-08-23,259.65,260.0,264.95,256.0,259.55,259.8,259.3,3009326,780329754.6,26844,493359,16.39,2017,8,0.06,Slight
71,APOLLOTYRE,EQ,2017-08-24,259.8,261.0,261.4,253.6,256.8,257.0,256.33,3459869,886866518.15,39584,1233063,35.64,2017,8,-1.08,Negative
72,APOLLOTYRE,EQ,2017-08-28,257.0,257.05,257.65,251.2,252.05,252.6,253.03,5360565,1356377048.05,67113,3318236,61.9,2017,8,-1.71,Negative
73,APOLLOTYRE,EQ,2017-08-29,252.6,249.5,254.65,246.15,249.1,249.15,249.93,6524043,1630558220.3,50986,1583002,24.26,2017,8,-1.37,Negative
74,APOLLOTYRE,EQ,2017-08-30,249.15,251.0,253.3,247.6,248.1,248.35,249.84,3302942,825199985.85,31638,1106276,33.49,2017,8,-0.32,Slight
75,APOLLOTYRE,EQ,2017-08-31,248.35,248.35,254.2,248.35,253.8,253.4,252.44,4619190,1166077649.9,36760,1558638,33.74,2017,8,2.03,Positive
76,APOLLOTYRE,EQ,2017-09-01,253.4,256.0,257.05,252.6,256.4,256.35,254.88,3278369,835586924.7,28095,1007813,30.74,2017,9,1.16,Positive
77,APOLLOTYRE,EQ,2017-09-04,256.35,257.0,257.0,248.25,250.4,250.7,251.68,4478038,1127017228.2,26431,1027006,22.93,2017,9,-2.2,Negative
78,APOLLOTYRE,EQ,2017-09-05,250.7,250.85,255.0,250.7,253.5,253.45,253.4,2357609,597417304.0,23916,728505,30.9,2017,9,1.1,Positive
79,APOLLOTYRE,EQ,2017-09-06,253.45,251.1,257.1,250.1,254.5,254.85,254.31,2563552,651941791.3,27092,607163,23.68,2017,9,0.55,Slight positive
80,APOLLOTYRE,EQ,2017-09-07,254.85,256.8,257.6,252.25,253.05,253.2,254.49,2377279,604995068.35,20885,953627,40.11,2017,9,-0.65,Slight negative
81,APOLLOTYRE,EQ,2017-09-08,253.2,253.45,255.4,250.3,253.0,252.4,252.94,1600999,404958186.7,13990,553798,34.59,2017,9,-0.32,Slight
82,APOLLOTYRE,EQ,2017-09-11,252.4,253.8,257.2,252.05,255.85,256.2,254.93,2212611,564056912.4,24840,718210,32.46,2017,9,1.51,Positive
83,APOLLOTYRE,EQ,2017-09-12,256.2,257.65,264.5,256.1,264.25,263.35,261.22,3002793,784398813.1,24909,820903,27.34,2017,9,2.79,Positive
84,APOLLOTYRE,EQ,2017-09-13,263.35,266.0,266.55,258.2,259.55,260.0,263.15,4176745,1099121556.15,40493,1486458,35.59,2017,9,-1.27,Negative
85,APOLLOTYRE,EQ,2017-09-14,260.0,260.5,263.1,258.45,260.3,259.45,260.57,1673275,436003353.25,36431,622733,37.22,2017,9,-0.21,Slight
86,APOLLOTYRE,EQ,2017-09-15,259.45,258.3,260.45,253.55,255.05,255.7,256.32,2512542,644011918.95,25013,933264,37.14,2017,9,-1.45,Negative
87,APOLLOTYRE,EQ,2017-09-18,255.7,259.5,262.95,255.5,261.0,261.55,258.95,3148346,815269600.15,32096,970209,30.82,2017,9,2.29,Positive
88,APOLLOTYRE,EQ,2017-09-19,261.55,261.25,263.3,257.5,258.9,258.5,261.02,1709213,446135740.75,16045,352686,20.63,2017,9,-1.17,Negative
89,APOLLOTYRE,EQ,2017-09-20,258.5,268.0,269.0,261.65,262.25,262.25,264.55,5085001,1345218935.7,65273,1572064,30.92,2017,9,1.45,Positive
90,APOLLOTYRE,EQ,2017-09-21,262.25,262.7,263.8,254.8,258.0,257.4,257.63,3027899,780070577.9,23249,1162656,38.4,2017,9,-1.85,Negative
91,APOLLOTYRE,EQ,2017-09-22,257.4,259.75,263.0,248.65,251.5,251.35,257.84,4945207,1275062737.0,37941,1529115,30.92,2017,9,-2.35,Negative
92,APOLLOTYRE,EQ,2017-09-25,251.35,253.2,253.2,245.0,249.65,249.8,248.58,2827572,702869419.6,36138,664605,23.5,2017,9,-0.62,Slight negative
93,APOLLOTYRE,EQ,2017-09-26,249.8,243.0,252.2,243.0,247.2,248.0,247.31,3655722,904089541.25,36757,1022287,27.96,2017,9,-0.72,Slight negative
94,APOLLOTYRE,EQ,2017-09-27,248.0,248.55,250.1,239.3,241.15,241.7,246.07,2004251,493179161.75,18120,420622,20.99,2017,9,-2.54,Negative
