,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
0,BERGEPAINT,EQ,2017-05-15,256.35,258.5,263.15,258.3,260.25,259.5,260.44,693178,180528272.7,11114,351310,50.68,2017,5,0.0,Slight
1,BERGEPAINT,EQ,2017-05-16,259.5,261.25,262.35,258.25,261.2,261.5,260.38,455581,118622574.75,13715,243949,53.55,2017,5,0.77,Slight positive
2,BERGEPAINT,EQ,2017-05-17,261.5,261.2,263.95,259.0,261.1,260.9,261.91,325496,85251043.65,6697,95378,29.3,2017,5,-0.23,Slight
3,BERGEPAINT,EQ,2017-05-18,260.9,258.9,259.2,253.0,253.05,254.1,256.31,361411,92633849.2,5965,137486,38.04,2017,5,-2.61,Negative
4,BERGEPAINT,EQ,2017-05-19,254.1,254.85,255.95,241.6,248.15,247.8,249.47,479054,119509883.9,9143,150223,31.36,2017,5,-2.48,Negative
5,BERGEPAINT,EQ,2017-05-22,247.8,251.05,251.05,244.5,249.95,249.15,247.42,260390,64425055.95,5812,94671,36.36,2017,5,0.54,Slight positive
6,BERGEPAINT,EQ,2017-05-23,249.15,250.9,250.9,236.95,243.0,244.1,243.58,719976,175371158.25,15117,355647,49.4,2017,5,-2.03,Negative
7,BERGEPAINT,EQ,2017-05-24,244.1,243.0,244.1,235.1,241.8,242.45,240.34,481018,115608095.65,12865,251716,52.33,2017,5,-0.68,Slight negative
8,BERGEPAINT,EQ,2017-05-25,242.45,242.5,245.3,238.9,242.8,242.65,242.36,594837,144164179.75,15713,321453,54.04,2017,5,0.08,Slight
9,BERGEPAINT,EQ,2017-05-26,242.65,242.95,261.0,242.7,259.9,258.0,256.65,1166089,299280405.4,17147,331553,28.43,2017,5,6.33,Among top gainers
10,BERGEPAINT,EQ,2017-05-29,258.0,259.0,266.85,256.0,256.15,256.9,260.05,774619,201439665.1,11894,153034,19.76,2017,5,-0.43,Slight
11,BERGEPAINT,EQ,2017-05-30,256.9,256.0,266.65,249.5,256.0,256.0,258.32,1693223,437392542.9,24560,428151,25.29,2017,5,-0.35,Slight
