,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
0,CASTROLIND,EQ,2017-05-15,437.7,438.0,452.0,435.5,449.75,449.85,445.95,2018406,900103147.15,29885,1637034,81.11,2017,5,0.0,Slight
1,CASTROLIND,EQ,2017-05-16,449.85,451.9,452.0,442.25,443.8,443.0,443.78,534824,237342389.7,9438,387126,72.38,2017,5,-1.52,Negative
2,CASTROLIND,EQ,2017-05-17,443.0,443.6,444.5,438.35,439.0,439.55,440.69,377225,166238432.75,12293,223768,59.32,2017,5,-0.78,Slight negative
3,CASTROLIND,EQ,2017-05-18,439.55,437.95,440.0,432.25,434.2,433.95,435.1,398719,173482318.0,7171,211541,53.06,2017,5,-1.27,Negative
4,CASTROLIND,EQ,2017-05-19,433.95,436.65,446.85,434.0,438.5,437.1,439.51,886466,389611035.25,14752,354918,40.04,2017,5,0.73,Slight positive
5,CASTROLIND,EQ,2017-05-22,437.1,435.0,436.5,421.25,424.05,424.95,426.92,490688,209485598.6,10053,212233,43.25,2017,5,-2.78,Negative
6,CASTROLIND,EQ,2017-05-23,424.95,425.0,428.25,410.05,412.0,411.9,414.35,460503,190807451.4,10753,216518,47.02,2017,5,-3.07,Among top losers
7,CASTROLIND,EQ,2017-05-24,411.9,410.0,420.4,408.1,418.05,418.8,414.82,1200856,498144074.9,12980,448341,37.34,2017,5,1.68,Positive
8,CASTROLIND,EQ,2017-05-25,418.8,419.8,423.2,411.05,413.4,414.45,416.25,771538,321150340.55,10059,382656,49.6,2017,5,-1.04,Negative
9,CASTROLIND,EQ,2017-05-26,414.45,414.45,424.75,414.45,421.25,420.5,421.0,623334,262424396.85,9299,273865,43.94,2017,5,1.46,Positive
10,CASTROLIND,EQ,2017-05-29,420.5,421.5,422.95,414.5,416.6,416.9,417.5,317132,132403720.7,9060,173544,54.72,2017,5,-0.86,Slight negative
11,CASTROLIND,EQ,2017-05-30,416.9,416.6,425.4,415.25,425.0,422.3,420.99,829826,349348245.85,10427,418316,50.41,2017,5,1.3,Positive
12,CASTROLIND,EQ,2017-05-31,422.3,425.0,429.9,420.2,422.85,424.15,425.84,1709936,728160533.75,26165,739337,43.24,2017,5,0.44,Slight
13,CASTROLIND,EQ,2017-06-01,424.15,423.0,425.75,415.8,423.0,423.2,421.84,1027416,433409084.3,13373,521582,50.77,2017,6,-0.22,Slight
14,CASTROLIND,EQ,2017-06-02,423.2,425.0,426.0,415.5,418.0,418.4,419.11,531324,222683820.2,14142,253848,47.78,2017,6,-1.13,Negative
15,CASTROLIND,EQ,2017-06-05,418.4,419.0,421.35,411.5,411.65,412.7,416.05,469164,195195355.05,7182,264660,56.41,2017,6,-1.36,Negative
16,CASTROLIND,EQ,2017-06-06,412.7,411.0,415.55,408.25,411.0,410.7,411.56,528713,217597395.6,9196,220990,41.8,2017,6,-0.48,Slight
17,CASTROLIND,EQ,2017-06-07,410.7,411.45,415.0,411.0,413.0,413.85,413.59,340084,140654633.35,6654,179964,52.92,2017,6,0.77,Slight positive
18,CASTROLIND,EQ,2017-06-08,413.85,418.0,418.75,412.25,412.65,412.95,414.31,228776,94783313.0,4592,99059,43.3,2017,6,-0.22,Slight
19,CASTROLIND,EQ,2017-06-09,412.95,412.95,415.0,406.1,407.0,408.1,410.77,423179,173829070.45,6020,238627,56.39,2017,6,-1.17,Negative
20,CASTROLIND,EQ,2017-06-12,408.1,407.5,407.85,401.8,402.95,402.9,403.5,603418,243480824.65,14164,309355,51.27,2017,6,-1.27,Negative
21,CASTROLIND,EQ,2017-06-13,402.9,403.0,408.7,400.0,400.5,401.15,404.7,795858,322082125.4,12273,471566,59.25,2017,6,-0.43,Slight
22,CASTROLIND,EQ,2017-06-14,401.15,401.35,403.75,396.65,397.0,397.55,399.0,565027,225443578.55,9484,338787,59.96,2017,6,-0.9,Slight negative
23,CASTROLIND,EQ,2017-06-15,397.55,396.4,413.5,396.1,409.75,409.5,406.76,1922785,782104031.7,21797,849544,44.18,2017,6,3.01,Among top gainers
24,CASTROLIND,EQ,2017-06-16,409.5,410.0,413.45,407.05,410.55,411.3,410.31,937341,384602018.15,9552,409872,43.73,2017,6,0.44,Slight
26,CASTROLIND,EQ,2017-06-19,411.3,412.0,418.0,410.1,411.9,412.35,414.88,853754,354201726.2,11885,282183,33.05,2017,6,0.26,Slight
27,CASTROLIND,EQ,2017-06-20,412.35,414.0,416.2,410.45,412.9,414.0,412.48,1201021,495398522.7,13092,575422,47.91,2017,6,0.4,Slight
28,CASTROLIND,EQ,2017-06-21,414.0,413.9,419.35,412.1,415.15,415.4,415.91,838245,348633197.65,24114,482629,57.58,2017,6,0.34,Slight
29,CASTROLIND,EQ,2017-06-22,415.4,416.0,420.0,410.6,412.0,412.0,416.42,612198,254930979.55,9670,297757,48.64,2017,6,-0.82,Slight negative
30,CASTROLIND,EQ,2017-06-23,412.0,412.9,414.0,406.0,409.45,409.65,409.68,620280,254115368.1,21794,356977,57.55,2017,6,-0.57,Slight negative
31,CASTROLIND,EQ,2017-06-27,409.65,410.5,411.55,402.2,406.95,406.35,405.74,494380,200591674.6,9399,213024,43.09,2017,6,-0.81,Slight negative
32,CASTROLIND,EQ,2017-06-28,406.35,406.95,407.0,402.5,403.0,403.55,404.41,590036,238613723.55,8595,422365,71.58,2017,6,-0.69,Slight negative
33,CASTROLIND,EQ,2017-06-29,403.55,404.1,407.6,399.5,402.4,400.8,402.45,1156871,465577299.95,20133,839593,72.57,2017,6,-0.68,Slight negative
34,CASTROLIND,EQ,2017-06-30,400.8,401.5,405.9,398.45,404.5,404.7,402.28,686472,276153073.55,21485,338673,49.34,2017,6,0.97,Slight positive
35,CASTROLIND,EQ,2017-07-03,404.7,406.75,407.65,400.7,401.0,401.55,402.44,308206,124035450.65,9574,178903,58.05,2017,7,-0.78,Slight negative
36,CASTROLIND,EQ,2017-07-04,401.55,402.25,404.85,398.2,400.1,400.3,401.64,492935,197980016.65,13650,331114,67.17,2017,7,-0.31,Slight
37,CASTROLIND,EQ,2017-07-05,400.3,400.25,402.3,399.0,399.65,399.95,400.0,440616,176247782.45,6761,299004,67.86,2017,7,-0.09,Slight
38,CASTROLIND,EQ,2017-07-06,399.95,400.8,403.45,399.0,399.7,399.95,400.13,819342,327847018.65,13156,615956,75.18,2017,7,0.0,Slight
39,CASTROLIND,EQ,2017-07-07,399.95,399.2,402.65,398.25,399.8,400.1,400.16,1011035,404572551.7,25359,665770,65.85,2017,7,0.04,Slight
40,CASTROLIND,EQ,2017-07-10,400.1,399.25,404.25,399.25,402.55,403.0,402.89,117943,47518470.95,1207,80491,68.25,2017,7,0.72,Slight positive
41,CASTROLIND,EQ,2017-07-11,403.0,403.45,404.25,398.5,400.0,399.35,401.32,966602,387915106.25,32103,683961,70.76,2017,7,-0.91,Slight negative
42,CASTROLIND,EQ,2017-07-12,399.35,399.35,409.5,396.15,409.4,408.4,403.26,1025028,413354652.9,16337,579190,56.5,2017,7,2.27,Positive
43,CASTROLIND,EQ,2017-07-13,408.4,410.0,412.4,405.0,405.0,406.25,408.81,826869,338033211.6,12319,393312,47.57,2017,7,-0.53,Slight negative
44,CASTROLIND,EQ,2017-07-14,406.25,406.9,409.4,401.7,406.7,406.3,406.27,441910,179536917.2,8246,193941,43.89,2017,7,0.01,Slight
45,CASTROLIND,EQ,2017-07-17,406.3,409.9,412.0,407.0,408.5,408.75,409.87,550841,225775037.3,15833,198208,35.98,2017,7,0.6,Slight positive
46,CASTROLIND,EQ,2017-07-18,408.75,408.5,409.3,404.0,406.0,406.55,406.63,508946,206952991.55,9451,342173,67.23,2017,7,-0.54,Slight negative
47,CASTROLIND,EQ,2017-07-19,406.55,407.0,410.7,406.05,409.0,408.55,408.99,371492,151936291.6,6825,225748,60.77,2017,7,0.49,Slight
48,CASTROLIND,EQ,2017-07-20,408.55,409.2,412.35,403.25,405.05,404.45,408.1,923347,376817541.55,14199,535773,58.03,2017,7,-1.0,Slight negative
49,CASTROLIND,EQ,2017-07-21,404.45,406.0,412.0,405.6,410.0,410.0,409.77,874510,358348867.5,15107,473527,54.15,2017,7,1.37,Positive
50,CASTROLIND,EQ,2017-07-24,410.0,410.0,411.05,407.9,409.05,409.65,409.33,266118,108928905.9,3585,157612,59.23,2017,7,-0.09,Slight
51,CASTROLIND,EQ,2017-07-25,409.65,409.75,415.85,407.0,410.65,411.85,412.79,1154430,476538091.85,16909,750579,65.02,2017,7,0.54,Slight positive
52,CASTROLIND,EQ,2017-07-26,411.85,412.0,412.2,407.4,408.95,408.0,409.04,551279,225496435.5,11459,263332,47.77,2017,7,-0.93,Slight negative
53,CASTROLIND,EQ,2017-07-27,408.0,408.05,411.75,402.4,404.75,404.5,405.79,3306581,1341763685.55,33156,2810128,84.99,2017,7,-0.86,Slight negative
54,CASTROLIND,EQ,2017-07-28,404.5,405.25,406.85,400.0,402.5,402.6,403.21,498769,201109739.65,8398,268586,53.85,2017,7,-0.47,Slight
55,CASTROLIND,EQ,2017-07-31,402.6,405.0,405.2,400.0,400.5,400.65,401.16,676321,271310218.9,9425,358059,52.94,2017,7,-0.48,Slight
56,CASTROLIND,EQ,2017-08-01,400.65,400.25,403.95,399.25,399.6,399.95,401.2,360391,144588591.2,7201,158889,44.09,2017,8,-0.17,Slight
57,CASTROLIND,EQ,2017-08-02,399.95,401.8,402.8,394.1,394.55,396.4,397.57,472840,187986343.2,8923,211641,44.76,2017,8,-0.89,Slight negative
58,CASTROLIND,EQ,2017-08-03,396.4,396.0,396.0,390.35,391.75,391.75,392.38,781950,306824582.5,15562,476088,60.88,2017,8,-1.17,Negative
59,CASTROLIND,EQ,2017-08-04,391.75,390.0,397.35,386.05,395.35,396.1,391.31,787623,308205686.25,11683,424629,53.91,2017,8,1.11,Positive
