,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
0,CUMMINSIND,EQ,2017-05-15,1052.25,1068.0,1070.9,1046.75,1066.0,1066.05,1055.68,145671,153782519.65,10148,67829,46.56,2017,5,0.0,Slight
1,CUMMINSIND,EQ,2017-05-16,1066.05,1066.2,1068.95,1042.0,1046.0,1047.75,1053.93,176596,186119438.9,9849,111884,63.36,2017,5,-0.02,Slight
2,CUMMINSIND,EQ,2017-05-17,1047.75,1047.75,1052.95,1010.15,1016.0,1016.45,1024.25,261366,267704448.55,20344,140100,53.6,2017,5,-0.03,Slight
3,CUMMINSIND,EQ,2017-05-18,1016.45,1010.0,1070.0,982.05,1058.05,1054.45,1035.72,984418,1019581267.35,33701,447682,45.48,2017,5,0.04,Slight
4,CUMMINSIND,EQ,2017-05-19,1054.45,1015.0,1015.0,932.55,980.0,972.95,972.51,2807183,2730015541.45,86579,882502,31.44,2017,5,-0.08,Slight
5,CUMMINSIND,EQ,2017-05-22,972.95,980.0,980.0,907.8,939.95,930.8,930.29,1380001,1283794322.35,59940,498067,36.09,2017,5,-0.04,Slight
6,CUMMINSIND,EQ,2017-05-23,930.8,921.0,939.7,884.55,924.0,926.2,916.15,783589,717881265.0,30995,462626,59.04,2017,5,-0.0,Slight
7,CUMMINSIND,EQ,2017-05-24,926.2,930.0,934.95,908.0,920.0,914.8,917.04,323044,296244982.85,13799,164652,50.97,2017,5,-0.01,Slight
8,CUMMINSIND,EQ,2017-05-25,914.8,927.5,928.85,898.25,927.95,925.05,916.86,574618,526841441.8,27357,363336,63.23,2017,5,0.01,Slight
9,CUMMINSIND,EQ,2017-05-26,925.05,940.0,956.35,923.15,945.0,949.95,945.98,314033,297067459.6,6967,197646,62.94,2017,5,0.03,Slight
10,CUMMINSIND,EQ,2017-05-29,949.95,949.0,956.75,931.55,933.6,936.0,945.97,204901,193831099.9,5455,121049,59.08,2017,5,-0.01,Slight
11,CUMMINSIND,EQ,2017-05-30,936.0,930.0,950.0,918.0,927.2,931.45,932.42,266113,248130164.3,7409,129467,48.65,2017,5,-0.0,Slight
12,CUMMINSIND,EQ,2017-05-31,931.45,945.0,954.4,931.5,937.0,941.4,944.09,216181,204094943.45,6739,130069,60.17,2017,5,0.01,Slight
13,CUMMINSIND,EQ,2017-06-01,941.4,944.95,945.0,915.0,920.9,925.1,929.7,183427,170532432.25,18300,94853,51.71,2017,6,-0.02,Slight
14,CUMMINSIND,EQ,2017-06-02,925.1,928.0,959.0,924.25,938.2,943.2,948.39,329563,312553497.3,13495,109078,33.1,2017,6,0.02,Slight
15,CUMMINSIND,EQ,2017-06-05,943.2,944.9,946.9,928.2,931.45,932.7,933.34,149617,139643540.3,4864,87788,58.68,2017,6,-0.01,Slight
16,CUMMINSIND,EQ,2017-06-06,932.7,935.0,935.4,911.75,915.0,914.65,918.91,148737,136676652.3,9754,80804,54.33,2017,6,-0.02,Slight
17,CUMMINSIND,EQ,2017-06-07,914.65,911.0,918.85,907.3,912.5,912.25,913.43,465138,424869698.95,16816,356728,76.69,2017,6,-0.0,Slight
18,CUMMINSIND,EQ,2017-06-08,912.25,907.3,925.3,906.95,921.5,919.9,918.79,191004,175491763.0,13529,90853,47.57,2017,6,0.01,Slight
19,CUMMINSIND,EQ,2017-06-09,919.9,925.9,927.0,911.05,914.4,917.3,916.81,130979,120082937.15,9630,70045,53.48,2017,6,-0.0,Slight
20,CUMMINSIND,EQ,2017-06-12,917.3,919.25,919.25,888.0,896.5,898.2,895.48,281253,251857182.7,15064,153601,54.61,2017,6,-0.02,Slight
21,CUMMINSIND,EQ,2017-06-13,898.2,899.0,922.4,898.0,910.1,913.05,907.82,162355,147388416.65,8181,78978,48.65,2017,6,0.02,Slight
