,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
1,DHFL,N6,2017-05-15,1007.25,1009.9,1009.9,1009.9,1009.9,1009.9,1009.9,50,50495.0,1,50,100.0,2017,5,0.0,Slight
2,DHFL,N8,2017-05-15,1055.0,1055.2,1055.2,1055.2,1055.2,1055.2,1055.2,48,50649.6,2,48,100.0,2017,5,0.04,Slight
3,DHFL,,2017-05-15,1070.0,1070.0,1070.0,1070.0,1070.0,1070.0,1070.0,1,1070.0,1,1,100.0,2017,5,0.01,Slight
4,DHFL,NB,2017-05-15,1040.0,1050.0,1050.0,1050.0,1050.0,1050.0,1050.0,6,6300.0,1,6,100.0,2017,5,-0.02,Slight
5,DHFL,NC,2017-05-15,1071.0,1070.0,1072.5,1070.0,1072.0,1072.28,1071.94,1488,1595041.8,15,1488,100.0,2017,5,0.02,Slight
6,DHFL,NH,2017-05-15,1150.0,1149.0,1149.0,1149.0,1149.0,1149.0,1149.0,34,39066.0,1,34,100.0,2017,5,0.07,Slight
7,DHFL,NL,2017-05-15,1044.3,1050.0,1058.0,1040.5,1040.6,1040.6,1040.76,185,192540.25,5,185,100.0,2017,5,-0.09,Slight
8,DHFL,NN,2017-05-15,1050.0,1050.0,1050.0,1043.0,1043.0,1043.0,1043.83,100,104383.25,5,100,100.0,2017,5,0.0,Slight
9,DHFL,NP,2017-05-15,1061.21,1061.5,1062.5,1061.5,1062.0,1062.15,1062.11,1620,1720626.02,21,1620,100.0,2017,5,0.02,Slight
11,DHFL,N2,2017-05-16,1008.0,1001.3,1001.3,1000.0,1000.0,1000.0,1001.2,27,27032.5,2,27,100.0,2017,5,-0.06,Slight
12,DHFL,N6,2017-05-16,1009.9,1009.0,1015.0,1009.0,1010.0,1012.31,1012.09,302,305651.4,15,262,86.75,2017,5,0.01,Slight
13,DHFL,N8,2017-05-16,1055.2,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,34,36040.0,3,34,100.0,2017,5,0.05,Slight
14,DHFL,NC,2017-05-16,1072.28,1071.7,1073.0,1070.0,1070.0,1071.42,1071.59,669,716896.7,13,655,97.91,2017,5,0.01,Slight
15,DHFL,NH,2017-05-16,1149.0,1150.0,1175.0,1150.0,1175.0,1175.0,1166.67,150,175000.0,5,150,100.0,2017,5,0.1,Slight
16,DHFL,NL,2017-05-16,1040.6,1041.2,1045.25,1041.2,1043.7,1043.61,1043.66,928,968512.0,39,928,100.0,2017,5,-0.11,Slight
17,DHFL,NP,2017-05-16,1062.15,1063.1,1063.39,1060.0,1061.0,1061.03,1061.79,3621,3844734.58,46,3307,91.33,2017,5,0.02,Slight
19,DHFL,N2,2017-05-17,1000.0,996.8,996.8,996.7,996.7,996.7,996.76,34,33889.8,2,34,100.0,2017,5,-0.06,Slight
20,DHFL,N6,2017-05-17,1012.31,1007.02,1014.0,1007.02,1012.1,1012.1,1009.37,85,85796.6,9,80,94.12,2017,5,0.02,Slight
21,DHFL,N8,2017-05-17,1060.0,1055.0,1057.02,1055.0,1057.02,1057.02,1056.35,102,107747.36,2,102,100.0,2017,5,0.04,Slight
22,DHFL,NC,2017-05-17,1071.42,1072.0,1072.0,1069.0,1069.0,1069.66,1071.3,765,819545.0,7,765,100.0,2017,5,0.01,Slight
23,DHFL,NH,2017-05-17,1175.0,1175.0,1175.0,1175.0,1175.0,1175.0,1175.0,338,397150.0,4,338,100.0,2017,5,0.1,Slight
24,DHFL,NL,2017-05-17,1043.61,1048.0,1048.0,1043.56,1044.5,1044.18,1044.09,730,762184.4,8,530,72.6,2017,5,-0.11,Slight
25,DHFL,NN,2017-05-17,1043.0,1043.0,1043.0,1042.5,1042.5,1042.5,1042.91,151,157480.0,7,151,100.0,2017,5,-0.0,Slight
26,DHFL,NP,2017-05-17,1061.03,1062.5,1062.5,1050.0,1057.07,1057.07,1060.89,2985,3166762.62,37,2985,100.0,2017,5,0.01,Slight
28,DHFL,N6,2017-05-18,1012.1,1010.0,1015.0,1004.01,1015.0,1015.0,1012.32,1901,1924422.45,29,1626,85.53,2017,5,-0.04,Slight
29,DHFL,NC,2017-05-18,1069.66,1070.1,1070.1,1070.0,1070.1,1070.1,1070.01,217,232191.7,5,217,100.0,2017,5,0.05,Slight
30,DHFL,NE,2017-05-18,1055.15,1062.0,1062.0,1062.0,1062.0,1062.0,1062.0,10,10620.0,1,10,100.0,2017,5,-0.01,Slight
31,DHFL,NP,2017-05-18,1057.07,1050.0,1067.0,1050.0,1060.52,1060.52,1061.61,3185,3381216.1,19,2345,73.63,2017,5,-0.0,Slight
33,DHFL,N6,2017-05-19,1015.0,1016.6,1016.6,1016.6,1016.6,1016.6,1016.6,10,10166.0,1,10,100.0,2017,5,-0.04,Slight
34,DHFL,N8,2017-05-19,1057.02,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,5,5300.0,1,5,100.0,2017,5,0.04,Slight
