Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
EXIDEIND,EQ,2017-05-15,244.85,245.35,247.25,244.2,245.5,245.8,245.63,957470,235182853.4,10111,370038,38.65,2017,5,0.0,Slight
EXIDEIND,EQ,2017-05-16,245.8,246.4,247.8,243.05,245.7,244.7,244.73,1023539,250486340.35,14018,344354,33.64,2017,5,-0.45,Slight
EXIDEIND,EQ,2017-05-17,244.7,244.7,244.9,242.15,242.9,243.2,243.38,1145096,278692851.05,11088,612394,53.48,2017,5,-0.61,Slight negative
EXIDEIND,EQ,2017-05-18,243.2,242.05,242.65,237.35,240.0,239.85,239.8,970233,232664377.35,14371,516311,53.22,2017,5,-1.38,Negative
EXIDEIND,EQ,2017-05-19,239.85,240.9,244.4,233.45,238.1,238.15,239.05,2505511,598936709.7,18102,717386,28.63,2017,5,-0.71,Slight negative
EXIDEIND,EQ,2017-05-22,238.15,238.5,239.9,228.2,230.0,230.8,234.82,1081432,253941714.7,11197,315880,29.21,2017,5,-3.09,Among top losers
EXIDEIND,EQ,2017-05-23,230.8,231.0,232.3,223.15,226.85,227.05,227.69,1661614,378338519.0,15477,394469,23.74,2017,5,-1.62,Negative
EXIDEIND,EQ,2017-05-24,227.05,226.9,232.0,219.2,223.05,222.15,226.05,1354743,306241014.6,12942,466543,34.44,2017,5,-2.16,Negative
EXIDEIND,EQ,2017-05-25,222.15,224.6,229.7,223.4,226.1,227.8,227.12,1618095,367497021.35,12994,517655,31.99,2017,5,2.54,Positive
EXIDEIND,EQ,2017-05-26,227.8,227.4,234.8,226.5,234.0,233.35,231.87,1519584,352342661.35,15234,689846,45.4,2017,5,2.44,Positive
EXIDEIND,EQ,2017-05-29,233.35,232.85,233.95,227.5,228.85,228.45,230.1,661490,152211972.1,5847,230309,34.82,2017,5,-2.1,Negative
EXIDEIND,EQ,2017-05-30,228.45,227.95,232.95,225.4,229.0,227.35,229.16,1255827,287783603.85,11595,583690,46.48,2017,5,-0.48,Slight
EXIDEIND,EQ,2017-05-31,227.35,228.2,234.15,228.2,231.2,230.25,231.35,1504782,348130529.85,12586,692014,45.99,2017,5,1.28,Positive
EXIDEIND,EQ,2017-06-01,230.25,230.0,232.4,227.3,227.9,228.05,229.09,1195050,273768217.55,10286,485150,40.6,2017,6,-0.96,Slight negative
EXIDEIND,EQ,2017-06-02,228.05,228.2,231.9,225.6,227.6,227.2,228.52,1597496,365062899.85,14149,897742,56.2,2017,6,-0.37,Slight
EXIDEIND,EQ,2017-06-05,227.2,227.4,229.8,226.95,227.8,227.4,227.9,921399,209989850.3,6509,587515,63.76,2017,6,0.09,Slight
EXIDEIND,EQ,2017-06-06,227.4,227.7,230.85,222.45,224.2,223.95,225.7,1218624,275042632.8,12557,420197,34.48,2017,6,-1.52,Negative
EXIDEIND,EQ,2017-06-07,223.95,224.4,226.55,222.6,224.4,223.55,223.95,929561,208176654.75,9106,534291,57.48,2017,6,-0.18,Slight
EXIDEIND,EQ,2017-06-08,223.55,224.9,227.55,223.9,224.05,224.3,225.55,1334935,301093034.25,24609,596675,44.7,2017,6,0.34,Slight
EXIDEIND,EQ,2017-06-09,224.3,223.9,225.95,222.65,222.9,223.0,223.85,848845,190015827.75,9470,405938,47.82,2017,6,-0.58,Slight negative
EXIDEIND,EQ,2017-06-12,223.0,221.9,225.85,220.9,224.15,224.3,223.76,821268,183764871.45,11213,388167,47.26,2017,6,0.58,Slight positive
EXIDEIND,EQ,2017-06-13,224.3,226.5,229.85,225.3,227.5,227.65,227.9,2004290,456786048.75,19291,897424,44.78,2017,6,1.49,Positive
EXIDEIND,EQ,2017-06-14,227.65,227.75,229.2,225.5,225.9,226.05,227.2,1364704,310059236.2,13481,635068,46.54,2017,6,-0.7,Slight negative
EXIDEIND,EQ,2017-06-15,226.05,225.5,226.55,220.3,221.0,220.95,222.15,1596360,354633759.25,12513,1017025,63.71,2017,6,-2.26,Negative
EXIDEIND,EQ,2017-06-16,220.95,221.0,223.5,220.6,222.0,221.95,221.87,946486,209993974.95,9257,298424,31.53,2017,6,0.45,Slight
EXIDEIND,EQ,2017-06-19,221.95,224.6,227.0,222.0,226.2,226.2,224.48,1243619,279168653.6,11580,565929,45.51,2017,6,1.91,Positive
EXIDEIND,EQ,2017-06-20,226.2,226.4,228.25,223.85,225.5,225.25,226.46,1085902,245913425.0,10384,461945,42.54,2017,6,-0.42,Slight
EXIDEIND,EQ,2017-06-21,225.25,225.25,227.5,224.6,225.25,225.25,226.02,974541,220262282.1,8067,394545,40.49,2017,6,0.0,Slight
EXIDEIND,EQ,2017-06-22,225.25,225.4,226.3,216.85,218.3,219.05,222.53,1242406,276467380.65,13478,500910,40.32,2017,6,-2.75,Negative
EXIDEIND,EQ,2017-06-23,219.05,217.9,218.7,212.1,216.6,216.4,215.86,1907732,411805280.55,16166,664462,34.83,2017,6,-1.21,Negative
EXIDEIND,EQ,2017-06-27,216.4,216.1,216.55,212.05,213.2,212.75,213.73,1114671,238235751.5,25985,570771,51.21,2017,6,-1.69,Negative
EXIDEIND,EQ,2017-06-28,212.75,211.0,217.65,208.75,217.65,216.8,213.8,1824125,389993884.35,22500,648415,35.55,2017,6,1.9,Positive
EXIDEIND,EQ,2017-06-29,216.8,216.2,221.45,216.0,218.0,218.0,218.68,2388648,522359896.5,18762,1136345,47.57,2017,6,0.55,Slight positive
EXIDEIND,EQ,2017-06-30,218.0,216.05,222.0,215.55,221.85,220.5,219.0,921455,201799637.7,11950,469037,50.9,2017,6,1.15,Positive
EXIDEIND,EQ,2017-07-03,220.5,220.0,224.45,219.1,224.0,223.5,222.11,1155586,256670661.45,10286,541012,46.82,2017,7,1.36,Positive
EXIDEIND,EQ,2017-07-04,223.5,222.5,228.4,220.55,226.75,226.25,225.31,1488027,335268486.55,13498,360745,24.24,2017,7,1.23,Positive
EXIDEIND,EQ,2017-07-05,226.25,225.25,229.95,225.1,227.3,228.3,228.14,1331210,303702688.9,13384,701859,52.72,2017,7,0.91,Slight positive
EXIDEIND,EQ,2017-07-06,228.3,227.8,229.7,227.15,228.05,228.45,228.58,983144,224729160.55,13220,596150,60.64,2017,7,0.07,Slight
EXIDEIND,EQ,2017-07-07,228.45,226.55,231.0,226.55,229.3,229.95,229.64,1038560,238489783.25,16606,405646,39.06,2017,7,0.66,Slight positive
EXIDEIND,EQ,2017-07-10,229.95,232.0,232.0,228.35,229.25,229.35,230.18,228479,52591339.5,2433,93952,41.12,2017,7,-0.26,Slight
EXIDEIND,EQ,2017-07-11,229.35,229.8,230.5,223.7,224.4,224.15,226.73,901872,204480818.4,12496,395942,43.9,2017,7,-2.27,Negative
EXIDEIND,EQ,2017-07-12,224.15,224.4,228.3,223.9,226.7,226.35,226.29,948700,214680466.3,16893,379431,39.99,2017,7,0.98,Slight positive
EXIDEIND,EQ,2017-07-13,226.35,226.5,228.6,225.0,226.7,226.35,226.59,573596,129968696.0,7370,118078,20.59,2017,7,0.0,Slight
EXIDEIND,EQ,2017-07-14,226.35,225.85,226.7,221.2,223.1,222.8,223.69,1240420,277464625.85,17590,513825,41.42,2017,7,-1.57,Negative
EXIDEIND,EQ,2017-07-17,222.8,222.8,224.35,221.1,222.0,221.5,222.39,559000,124315992.3,7635,329766,58.99,2017,7,-0.58,Slight negative
EXIDEIND,EQ,2017-07-18,221.5,221.0,224.65,220.6,221.4,221.2,222.43,658003,146362095.35,8202,233183,35.44,2017,7,-0.14,Slight
EXIDEIND,EQ,2017-07-19,221.2,221.3,223.2,216.65,218.6,218.25,218.65,1929559,421902261.3,22230,1189060,61.62,2017,7,-1.33,Negative
