,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
0,JINDALSTEL,EQ,2017-05-15,112.1,112.9,114.85,112.3,114.7,114.2,113.84,5730419,652322564.2,22627,1197305,20.89,2017,5,0.0,Slight
1,JINDALSTEL,EQ,2017-05-16,114.2,115.15,115.75,113.5,113.75,114.1,114.53,5083003,582139920.45,18359,1081322,21.27,2017,5,-0.09,Slight
2,JINDALSTEL,EQ,2017-05-17,114.1,114.5,118.2,114.2,116.35,116.4,116.62,14511700,1692387134.85,49346,4838996,33.35,2017,5,2.02,Positive
3,JINDALSTEL,EQ,2017-05-18,116.4,114.7,115.8,112.6,112.95,113.3,113.83,6952070,791375394.45,23427,1894268,27.25,2017,5,-2.66,Negative
4,JINDALSTEL,EQ,2017-05-19,113.3,113.8,115.5,109.3,112.7,112.15,112.6,7976703,898192980.5,30938,1806216,22.64,2017,5,-1.02,Negative
5,JINDALSTEL,EQ,2017-05-22,112.15,113.45,115.8,111.95,114.45,113.75,114.08,7699472,878360429.45,28263,1833565,23.81,2017,5,1.43,Positive
6,JINDALSTEL,EQ,2017-05-23,113.75,114.85,116.4,102.7,107.9,108.15,108.85,39016051,4246776833.6,130143,5521903,14.15,2017,5,-4.92,Among top losers
7,JINDALSTEL,EQ,2017-05-24,108.15,109.9,113.9,108.9,110.8,111.1,111.54,18762989,2092734445.75,62087,4301240,22.92,2017,5,2.73,Positive
8,JINDALSTEL,EQ,2017-05-25,111.1,112.0,119.5,111.3,118.3,118.5,114.97,15373769,1767578343.0,49672,4319815,28.1,2017,5,6.66,Among top gainers
9,JINDALSTEL,EQ,2017-05-26,118.5,119.0,125.75,119.0,124.9,125.0,122.99,18661412,2295108131.9,77863,5187820,27.8,2017,5,5.49,Among top gainers
10,JINDALSTEL,EQ,2017-05-29,125.0,127.0,129.4,119.2,120.85,120.45,124.14,13503169,1676268057.1,50212,2301166,17.04,2017,5,-3.64,Among top losers
11,JINDALSTEL,EQ,2017-05-30,120.45,120.0,124.45,117.1,123.2,123.5,121.22,11227909,1361032689.65,41227,1790333,15.95,2017,5,2.53,Positive
12,JINDALSTEL,EQ,2017-05-31,123.5,123.0,124.3,121.2,121.4,121.75,122.13,5671848,692710148.85,22699,1243076,21.92,2017,5,-1.42,Negative
13,JINDALSTEL,EQ,2017-06-01,121.75,121.75,121.9,118.4,120.8,120.3,119.85,5848472,700946491.9,21483,503627,8.61,2017,6,-1.19,Negative
14,JINDALSTEL,EQ,2017-06-02,120.3,121.2,123.45,120.6,121.95,121.85,122.08,6266169,764964056.25,24158,819893,13.08,2017,6,1.29,Positive
15,JINDALSTEL,EQ,2017-06-05,121.85,121.9,123.7,121.05,121.4,121.8,122.28,4337415,530365416.85,17213,730390,16.84,2017,6,-0.04,Slight
16,JINDALSTEL,EQ,2017-06-06,121.8,121.9,122.4,117.5,117.65,118.2,119.53,5601738,669550866.65,19990,1155665,20.63,2017,6,-2.96,Negative
17,JINDALSTEL,EQ,2017-06-07,118.2,118.3,119.75,117.7,119.35,119.1,118.83,3348433,397910541.9,12896,599854,17.91,2017,6,0.76,Slight positive
18,JINDALSTEL,EQ,2017-06-08,119.1,120.25,125.45,120.25,121.7,121.85,123.36,14349883,1770238935.35,55345,1810823,12.62,2017,6,2.31,Positive
