,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
0,MRPL,EQ,2017-05-15,129.0,131.35,135.45,131.2,134.0,134.2,133.31,1866640,248834764.55,16937,524064,28.08,2017,5,0.0,Slight
1,MRPL,EQ,2017-05-16,134.2,133.2,134.6,130.55,131.8,131.7,132.02,891972,117761689.3,8787,322721,36.18,2017,5,-0.02,Slight
2,MRPL,EQ,2017-05-17,131.7,131.25,136.35,131.25,134.5,135.1,134.39,4107759,552043517.7,23368,1760745,42.86,2017,5,0.03,Slight
3,MRPL,EQ,2017-05-18,135.1,139.7,142.8,135.0,135.95,136.1,139.44,10309477,1437569029.6,63863,2073114,20.11,2017,5,0.01,Slight
4,MRPL,EQ,2017-05-19,136.1,139.0,139.0,132.15,133.6,133.6,135.85,2148214,291842448.75,19220,660925,30.77,2017,5,-0.02,Slight
5,MRPL,EQ,2017-05-22,133.6,134.85,134.85,128.35,128.95,129.25,131.29,1911642,250988322.35,15580,759173,39.71,2017,5,-0.03,Slight
6,MRPL,EQ,2017-05-23,129.25,130.35,130.35,120.1,124.6,124.7,126.0,2571835,324054221.45,25724,1046448,40.69,2017,5,-0.04,Slight
7,MRPL,EQ,2017-05-24,124.7,125.85,127.0,122.3,123.25,123.3,124.4,1688484,210044249.0,20464,672710,39.84,2017,5,-0.01,Slight
8,MRPL,EQ,2017-05-25,123.3,124.85,130.95,123.0,130.2,130.15,127.99,2420541,309811818.75,17824,936756,38.7,2017,5,0.06,Slight
9,MRPL,EQ,2017-05-26,130.15,129.4,135.75,129.15,134.6,134.35,132.89,1872542,248840577.55,13166,648317,34.62,2017,5,0.03,Slight
10,MRPL,EQ,2017-05-29,134.35,133.05,133.5,128.35,128.85,128.95,130.3,918740,119714159.5,19384,417885,45.48,2017,5,-0.04,Slight
11,MRPL,EQ,2017-05-30,128.95,129.0,131.0,127.05,128.9,129.15,129.26,1050077,135733434.3,10848,352706,33.59,2017,5,0.0,Slight
12,MRPL,EQ,2017-05-31,129.15,129.3,132.5,129.0,132.0,131.15,130.97,1371655,179650573.7,18078,447426,32.62,2017,5,0.02,Slight
13,MRPL,EQ,2017-06-01,131.15,133.5,138.8,133.5,134.6,134.85,136.05,3824947,520372864.2,31462,1026504,26.84,2017,6,0.03,Slight
14,MRPL,EQ,2017-06-02,134.85,136.0,136.3,132.5,132.95,132.9,133.39,1588343,211872632.3,11734,743843,46.83,2017,6,-0.01,Slight
15,MRPL,EQ,2017-06-05,132.9,133.0,133.55,131.2,131.6,131.85,132.35,953409,126184567.95,10162,414270,43.45,2017,6,-0.01,Slight
16,MRPL,EQ,2017-06-06,131.85,131.6,132.6,128.05,128.3,128.45,129.84,1155695,150052613.75,11253,447071,38.68,2017,6,-0.03,Slight
17,MRPL,EQ,2017-06-07,128.45,129.0,130.5,128.5,129.6,129.15,129.35,846869,109544894.1,7991,274365,32.4,2017,6,0.01,Slight
18,MRPL,EQ,2017-06-08,129.15,129.5,130.9,128.55,129.1,129.05,129.62,766893,99407838.95,5601,276923,36.11,2017,6,-0.0,Slight
19,MRPL,EQ,2017-06-09,129.05,128.95,132.5,124.5,129.0,129.55,129.92,1293915,168108901.65,14930,344282,26.61,2017,6,0.0,Slight
20,MRPL,EQ,2017-06-12,129.55,128.95,130.8,128.1,129.3,129.2,129.56,663919,86014364.6,10042,192052,28.93,2017,6,-0.0,Slight
21,MRPL,EQ,2017-06-13,129.2,129.2,130.3,127.6,128.0,127.95,128.77,651913,83946763.85,11476,324348,49.75,2017,6,-0.01,Slight
22,MRPL,EQ,2017-06-14,127.95,128.4,129.25,127.25,127.9,127.95,128.22,894873,114737036.55,17078,425085,47.5,2017,6,0.0,Slight
23,MRPL,EQ,2017-06-15,127.95,127.9,129.6,127.1,128.0,127.95,128.35,988847,126922138.65,25472,438115,44.31,2017,6,0.0,Slight
24,MRPL,EQ,2017-06-16,127.95,128.25,128.95,126.7,126.8,126.95,127.38,575830,73347204.5,7607,249901,43.4,2017,6,-0.01,Slight
25,MRPL,EQ,2017-06-19,126.95,129.4,129.8,127.55,127.7,127.75,128.1,573616,73480199.5,9544,290947,50.72,2017,6,0.01,Slight
26,MRPL,EQ,2017-06-20,127.75,128.0,128.75,126.1,126.5,126.75,127.22,823739,104795535.5,12576,476328,57.83,2017,6,-0.01,Slight
27,MRPL,EQ,2017-06-21,126.75,126.5,126.5,123.0,124.3,124.05,124.25,1324910,164618680.25,18413,511909,38.64,2017,6,-0.02,Slight
28,MRPL,EQ,2017-06-22,124.05,125.75,126.4,122.05,122.35,122.45,123.99,1322060,163920882.75,20891,397126,30.04,2017,6,-0.01,Slight
29,MRPL,EQ,2017-06-23,122.45,123.15,123.55,116.8,117.8,117.35,119.65,1345520,160992965.9,20032,556404,41.35,2017,6,-0.04,Slight
30,MRPL,EQ,2017-06-27,117.35,117.0,120.35,115.0,119.6,119.65,117.19,1334380,156371285.25,14478,557439,41.78,2017,6,0.02,Slight
31,MRPL,EQ,2017-06-28,119.65,119.0,122.25,118.5,119.5,119.55,120.44,1669076,201031607.35,15877,678501,40.65,2017,6,-0.0,Slight
32,MRPL,EQ,2017-06-29,119.55,120.1,121.3,118.25,119.75,118.9,119.28,3242086,386703167.0,23499,2122723,65.47,2017,6,-0.01,Slight
33,MRPL,EQ,2017-06-30,118.9,118.65,118.9,117.35,118.6,118.25,118.06,653905,77199584.9,11469,241047,36.86,2017,6,-0.01,Slight
34,MRPL,EQ,2017-07-03,118.25,118.5,120.65,118.35,120.0,119.85,119.76,714430,85559132.15,15181,355373,49.74,2017,7,0.01,Slight
35,MRPL,EQ,2017-07-04,119.85,120.1,122.0,120.1,120.8,120.85,121.12,962912,116630388.3,12211,480904,49.94,2017,7,0.01,Slight
36,MRPL,EQ,2017-07-05,120.85,121.0,123.5,119.6,122.7,122.85,121.56,1235413,150177320.05,18099,552198,44.7,2017,7,0.02,Slight
37,MRPL,EQ,2017-07-06,122.85,122.9,127.05,120.3,123.0,123.1,123.37,2056013,253659506.85,22976,654407,31.83,2017,7,0.0,Slight
38,MRPL,EQ,2017-07-07,123.1,122.85,123.55,121.2,121.3,121.75,122.13,984795,120273415.3,15139,440187,44.7,2017,7,-0.01,Slight
39,MRPL,EQ,2017-07-10,121.75,121.35,122.8,121.35,122.4,122.4,122.17,198244,24220185.4,1687,117749,59.4,2017,7,0.01,Slight
40,MRPL,EQ,2017-07-11,122.4,122.4,124.75,121.85,123.5,122.8,123.13,2135202,262911041.8,27367,924226,43.29,2017,7,0.0,Slight
41,MRPL,EQ,2017-07-12,122.8,124.35,128.65,123.1,127.25,127.1,126.37,6603453,834495459.45,47656,2028981,30.73,2017,7,0.04,Slight
42,MRPL,EQ,2017-07-13,127.1,129.3,129.3,126.1,126.9,126.95,127.21,2219304,282324412.6,16576,986217,44.44,2017,7,-0.0,Slight
43,MRPL,EQ,2017-07-14,126.95,126.75,129.9,124.5,125.0,125.4,126.94,1920268,243767032.8,18633,784280,40.84,2017,7,-0.01,Slight
44,MRPL,EQ,2017-07-17,125.4,125.5,126.65,121.35,122.85,123.1,123.33,9162008,1129952401.35,31048,4802050,52.41,2017,7,-0.02,Slight
45,MRPL,EQ,2017-07-18,123.1,121.5,124.65,121.5,123.4,123.25,123.35,1221375,150658361.2,15111,555221,45.46,2017,7,0.0,Slight
46,MRPL,EQ,2017-07-19,123.25,123.0,132.45,123.0,130.9,130.65,129.61,5271618,683241427.8,29728,2497343,47.37,2017,7,0.06,Slight
47,MRPL,EQ,2017-07-20,130.65,131.55,132.85,124.55,126.4,126.0,127.27,4099955,521789384.15,31555,1324194,32.3,2017,7,-0.04,Slight
48,MRPL,EQ,2017-07-21,126.0,126.75,129.9,126.05,126.8,126.6,127.68,3346626,427304841.3,21611,1418036,42.37,2017,7,0.0,Slight
49,MRPL,EQ,2017-07-24,126.6,118.4,123.9,116.25,119.7,119.55,121.11,22650748,2743206685.3,49873,5230786,23.09,2017,7,-0.06,Slight
50,MRPL,EQ,2017-07-25,119.55,119.0,123.6,118.7,123.15,122.8,121.44,3548509,430923819.25,22467,1135407,32.0,2017,7,0.03,Slight
51,MRPL,EQ,2017-07-26,122.8,124.0,124.0,120.5,121.15,121.05,121.73,1603490,195200190.8,13795,670743,41.83,2017,7,-0.01,Slight
52,MRPL,EQ,2017-07-27,121.05,121.15,123.9,120.35,122.6,121.8,121.83,5878173,716114575.85,17524,4146370,70.54,2017,7,0.01,Slight
53,MRPL,EQ,2017-07-28,121.8,121.45,125.4,120.7,124.3,124.15,123.27,2199387,271126214.05,14664,891761,40.55,2017,7,0.02,Slight
54,MRPL,EQ,2017-07-31,124.15,123.9,125.4,123.0,123.75,124.25,124.18,1265717,157178503.3,10311,547270,43.24,2017,7,0.0,Slight
55,MRPL,EQ,2017-08-01,124.25,124.3,130.3,123.5,128.7,128.85,128.7,4240173,545711247.0,23910,1102622,26.0,2017,8,0.04,Slight
56,MRPL,EQ,2017-08-02,128.85,128.9,130.0,124.2,127.8,128.05,126.66,3911868,495461870.8,18516,785382,20.08,2017,8,-0.01,Slight
57,MRPL,EQ,2017-08-03,128.05,127.2,129.9,126.75,128.0,128.0,128.45,2679182,344143741.4,13827,1099488,41.04,2017,8,-0.0,Slight
58,MRPL,EQ,2017-08-04,128.0,128.3,130.2,127.0,130.0,129.85,128.95,1870292,241167810.0,11259,680796,36.4,2017,8,0.01,Slight
59,MRPL,EQ,2017-08-07,129.85,130.5,132.8,129.6,132.2,132.2,131.35,2665024,350042305.6,13602,587262,22.04,2017,8,0.02,Slight
60,MRPL,EQ,2017-08-08,132.2,132.85,141.2,132.45,138.65,139.0,137.9,7887620,1087690886.5,40094,2068635,26.23,2017,8,0.05,Slight
61,MRPL,EQ,2017-08-09,139.0,137.8,137.8,132.15,133.05,134.4,134.78,2992806,403371567.45,15369,1089203,36.39,2017,8,-0.03,Slight
62,MRPL,EQ,2017-08-10,134.4,126.3,127.05,115.0,121.7,119.5,121.03,5028311,608554672.8,23121,1972975,39.24,2017,8,-0.11,Slight
63,MRPL,EQ,2017-08-11,119.5,115.25,120.45,114.2,119.0,118.6,117.8,3552428,418467463.75,20824,1576526,44.38,2017,8,-0.01,Slight
