,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
0,NBCC,EQ,2017-05-15,194.25,194.5,198.65,194.5,198.3,197.6,196.41,514453,101045645.85,4624,228886,44.49,2017,5,0.0,Slight
1,NBCC,EQ,2017-05-16,197.6,198.0,199.95,196.2,199.0,198.25,198.16,623932,123640647.8,10242,253139,40.57,2017,5,0.0,Slight
2,NBCC,EQ,2017-05-17,198.25,198.6,202.95,197.0,200.6,200.35,200.41,1919273,384642411.75,23920,841130,43.83,2017,5,0.01,Slight
3,NBCC,EQ,2017-05-18,200.35,197.0,199.25,193.5,193.6,194.2,196.2,786742,154356715.9,7908,398233,50.62,2017,5,-0.03,Slight
4,NBCC,EQ,2017-05-19,194.2,196.0,197.75,192.5,193.5,193.55,194.92,585718,114170576.25,6411,217995,37.22,2017,5,-0.0,Slight
5,NBCC,EQ,2017-05-22,193.55,195.2,196.0,188.1,189.0,189.2,191.58,967519,185355739.45,9651,501747,51.86,2017,5,-0.02,Slight
6,NBCC,EQ,2017-05-23,189.2,187.2,188.25,178.2,181.0,180.95,182.94,1203078,220090177.85,12737,527011,43.81,2017,5,-0.04,Slight
7,NBCC,EQ,2017-05-24,180.95,181.8,185.0,178.7,181.8,180.65,182.17,1119511,203940473.15,11612,513704,45.89,2017,5,-0.0,Slight
8,NBCC,EQ,2017-05-25,180.65,182.0,188.7,181.75,186.75,186.95,186.08,1159454,215747272.6,11713,520120,44.86,2017,5,0.03,Slight
9,NBCC,EQ,2017-05-26,186.95,189.0,196.2,188.45,196.15,194.7,193.72,1964565,380573571.25,14281,689109,35.08,2017,5,0.04,Slight
10,NBCC,EQ,2017-05-29,194.7,198.0,199.5,193.5,194.6,194.9,196.26,2262374,444009850.25,16537,885396,39.14,2017,5,0.0,Slight
11,NBCC,EQ,2017-05-30,194.9,193.2,196.7,189.65,196.0,196.1,194.21,1361403,264403311.5,12695,574062,42.17,2017,5,0.01,Slight
12,NBCC,EQ,2017-05-31,196.1,195.9,197.4,192.7,195.4,194.95,195.26,467123,91208681.65,8774,188043,40.26,2017,5,-0.01,Slight
13,NBCC,EQ,2017-06-01,194.95,193.0,194.9,190.5,193.35,193.45,193.25,475100,91811932.7,4522,146890,30.92,2017,6,-0.01,Slight
14,NBCC,EQ,2017-06-02,193.45,195.25,198.5,194.3,195.4,195.65,196.36,1119595,219839439.3,10661,316308,28.25,2017,6,0.01,Slight
15,NBCC,EQ,2017-06-05,195.65,195.0,203.8,195.0,203.5,201.15,199.59,2218936,442880404.6,16283,1156154,52.1,2017,6,0.03,Slight
16,NBCC,EQ,2017-06-06,201.15,206.5,208.55,201.25,202.2,202.25,204.71,3198706,654797232.9,27653,877174,27.42,2017,6,0.01,Slight
17,NBCC,EQ,2017-06-07,202.25,202.5,203.45,199.85,201.3,200.9,201.23,717153,144313347.4,7457,258410,36.03,2017,6,-0.01,Slight
18,NBCC,EQ,2017-06-08,200.9,203.0,203.0,198.05,198.4,198.4,199.06,638129,127029064.95,6665,312354,48.95,2017,6,-0.01,Slight
19,NBCC,EQ,2017-06-09,198.4,198.1,200.8,196.1,198.35,198.55,198.66,636230,126393989.35,5639,228767,35.96,2017,6,0.0,Slight
20,NBCC,EQ,2017-06-12,198.55,196.5,200.7,196.1,198.4,198.6,198.44,564101,111942109.85,5712,197122,34.94,2017,6,0.0,Slight
