,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
0,RBLBANK,EQ,2017-05-15,556.55,557.5,564.9,551.1,564.25,563.9,560.31,888219,497674867.95,17580,387382,43.61,2017,5,0.0,Slight
1,RBLBANK,EQ,2017-05-16,563.9,564.8,567.7,559.0,561.6,562.6,562.26,495571,278640917.4,8172,203735,41.11,2017,5,-0.0,Slight
2,RBLBANK,EQ,2017-05-17,562.6,563.0,569.9,558.0,564.7,564.25,563.94,831318,468817558.0,13860,253851,30.54,2017,5,0.0,Slight
3,RBLBANK,EQ,2017-05-18,564.25,559.8,563.0,551.0,553.5,552.15,555.33,1050920,583612037.35,27124,615645,58.58,2017,5,-0.02,Slight
4,RBLBANK,EQ,2017-05-19,552.15,560.95,567.0,551.4,553.8,555.45,558.44,1292735,721910060.6,39632,569809,44.08,2017,5,0.01,Slight
5,RBLBANK,EQ,2017-05-22,555.45,557.5,559.95,542.6,545.5,544.85,548.78,676006,370977954.8,13070,285523,42.24,2017,5,-0.02,Slight
6,RBLBANK,EQ,2017-05-23,544.85,546.0,547.4,502.2,522.0,524.5,525.03,1588845,834193700.8,31571,531438,33.45,2017,5,-0.04,Slight
7,RBLBANK,EQ,2017-05-24,524.5,524.95,539.7,518.2,526.3,524.35,529.33,1343057,710921387.3,25418,486475,36.22,2017,5,-0.0,Slight
8,RBLBANK,EQ,2017-05-25,524.35,527.8,549.45,525.75,548.2,545.6,537.94,1052847,566367161.5,17723,446922,42.45,2017,5,0.04,Slight
9,RBLBANK,EQ,2017-05-26,545.6,549.4,552.5,505.3,515.6,516.55,521.74,7280565,3798585459.8,92398,3695651,50.76,2017,5,-0.05,Slight
10,RBLBANK,EQ,2017-05-29,516.55,519.0,527.9,504.0,507.05,508.15,514.44,2977390,1531691905.15,42525,1197065,40.21,2017,5,-0.02,Slight
11,RBLBANK,EQ,2017-05-30,508.15,505.4,514.0,495.85,511.0,509.5,507.62,1418146,719881872.8,21947,333261,23.5,2017,5,0.0,Slight
12,RBLBANK,EQ,2017-05-31,509.5,511.0,537.9,509.9,536.0,527.7,523.48,3068601,1606363621.05,44628,1326531,43.23,2017,5,0.04,Slight
13,RBLBANK,EQ,2017-06-01,527.7,533.0,554.25,531.0,549.6,550.1,543.29,3657981,1987343545.05,54169,1189994,32.53,2017,6,0.04,Slight
14,RBLBANK,EQ,2017-06-02,550.1,552.0,558.0,546.05,550.0,550.85,552.57,1634243,903033424.7,26334,526126,32.19,2017,6,0.0,Slight
15,RBLBANK,EQ,2017-06-05,550.85,552.9,552.9,540.0,542.8,542.95,546.73,761989,416601092.6,14325,286938,37.66,2017,6,-0.01,Slight
16,RBLBANK,EQ,2017-06-06,542.95,543.4,550.8,537.5,541.4,542.8,544.27,1075850,585553292.75,18819,234654,21.81,2017,6,-0.0,Slight
17,RBLBANK,EQ,2017-06-07,542.8,543.0,552.7,539.35,550.3,549.45,545.51,1431120,780683985.8,20354,640881,44.78,2017,6,0.01,Slight
