,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
0,RELINFRA,EQ,2017-05-15,609.5,606.8,609.35,600.3,604.95,605.4,605.23,1437325,869916495.75,25522,272876,18.98,2017,5,0.0,Slight
1,RELINFRA,EQ,2017-05-16,605.4,606.0,614.2,601.0,609.8,611.05,609.49,1934562,1179087310.55,30765,400984,20.73,2017,5,0.93,Slight positive
2,RELINFRA,EQ,2017-05-17,611.05,607.0,614.2,603.5,605.05,605.25,608.28,1504208,914978534.15,35758,256693,17.06,2017,5,-0.95,Slight negative
3,RELINFRA,EQ,2017-05-18,605.25,597.7,601.85,576.15,576.45,578.65,588.48,1963168,1155279223.05,37708,390203,19.88,2017,5,-4.39,Among top losers
4,RELINFRA,EQ,2017-05-19,578.65,578.7,586.35,567.4,571.0,569.55,575.27,1795870,1033103490.7,35619,306193,17.05,2017,5,-1.57,Negative
5,RELINFRA,EQ,2017-05-22,569.55,572.0,575.0,552.75,556.0,555.25,562.68,1392634,783601775.6,29319,185983,13.35,2017,5,-2.51,Negative
6,RELINFRA,EQ,2017-05-23,555.25,550.1,553.5,522.4,522.4,526.25,532.82,3179920,1694311107.45,56756,600676,18.89,2017,5,-5.22,Among top losers
7,RELINFRA,EQ,2017-05-24,526.25,526.0,529.7,479.2,492.0,493.7,503.49,4611031,2321605543.9,74734,520320,11.28,2017,5,-6.19,Among top losers
8,RELINFRA,EQ,2017-05-25,493.7,495.75,502.85,488.55,495.85,497.15,496.53,2976503,1477937174.0,40255,685204,23.02,2017,5,0.7,Slight positive
9,RELINFRA,EQ,2017-05-26,497.15,496.15,513.95,496.05,508.2,508.5,508.09,2344838,1191395623.0,33768,547816,23.36,2017,5,2.28,Positive
10,RELINFRA,EQ,2017-05-29,508.5,506.0,506.0,445.6,454.3,451.95,466.94,5113595,2387719100.5,88914,861145,16.84,2017,5,-11.12,Bear drop
11,RELINFRA,EQ,2017-05-30,451.95,453.95,470.8,436.2,463.1,462.0,459.37,4198597,1928711216.9,65104,312264,7.44,2017,5,2.22,Positive
12,RELINFRA,EQ,2017-05-31,462.0,464.0,484.0,455.25,480.8,478.9,470.56,5799887,2729195043.05,80462,1294401,22.32,2017,5,3.66,Among top gainers
13,RELINFRA,EQ,2017-06-01,478.9,481.0,487.9,475.2,477.85,479.6,481.61,2584206,1244574504.15,38796,227711,8.81,2017,6,0.15,Slight
14,RELINFRA,EQ,2017-06-02,479.6,482.1,490.7,478.65,485.15,484.05,484.88,2517358,1220604072.2,41140,511152,20.31,2017,6,0.93,Slight positive
15,RELINFRA,EQ,2017-06-05,484.05,491.3,498.5,489.25,491.5,492.3,493.68,2178491,1075478230.2,42944,392749,18.03,2017,6,1.7,Positive
16,RELINFRA,EQ,2017-06-06,492.3,496.45,496.85,470.9,480.7,480.15,480.85,2543392,1222999514.25,42291,475996,18.72,2017,6,-2.47,Negative
17,RELINFRA,EQ,2017-06-07,480.15,479.25,491.5,476.05,488.0,488.6,484.27,2814064,1362780525.8,43628,198945,7.07,2017,6,1.76,Positive
18,RELINFRA,EQ,2017-06-08,488.6,489.9,491.9,478.2,478.65,480.95,484.24,1959745,948989990.35,52147,517020,26.38,2017,6,-1.57,Negative
19,RELINFRA,EQ,2017-06-09,480.95,478.9,478.9,466.6,473.6,473.95,471.82,2465174,1163116402.0,38166,579770,23.52,2017,6,-1.46,Negative
20,RELINFRA,EQ,2017-06-12,473.95,467.9,477.9,467.0,471.0,471.85,472.94,1476969,698516764.2,26489,177803,12.04,2017,6,-0.44,Slight
21,RELINFRA,EQ,2017-06-13,471.85,470.1,479.5,465.5,467.0,470.2,473.54,1878876,889718325.05,31616,279165,14.86,2017,6,-0.35,Slight
22,RELINFRA,EQ,2017-06-14,470.2,469.8,476.55,462.75,474.6,473.95,469.76,2245218,1054717443.1,33547,191090,8.51,2017,6,0.8,Slight positive
23,RELINFRA,EQ,2017-06-15,473.95,472.9,479.4,470.75,474.0,475.85,475.65,1527861,726721640.7,22896,206956,13.55,2017,6,0.4,Slight
24,RELINFRA,EQ,2017-06-16,475.85,477.0,485.6,475.0,478.0,479.55,480.61,1904792,915467315.35,29501,273514,14.36,2017,6,0.78,Slight positive
25,RELINFRA,EQ,2017-06-19,479.55,481.1,486.5,480.5,486.0,484.65,484.16,1275237,617424186.9,19766,157651,12.36,2017,6,1.06,Positive
26,RELINFRA,EQ,2017-06-20,484.65,487.0,489.5,478.0,480.4,479.95,482.88,1194474,576784920.2,18323,188356,15.77,2017,6,-0.97,Slight negative
27,RELINFRA,EQ,2017-06-21,479.95,477.7,493.8,477.5,490.25,490.2,488.29,2101331,1026060363.8,31922,480858,22.88,2017,6,2.14,Positive
28,RELINFRA,EQ,2017-06-22,490.2,492.9,506.0,490.5,494.0,493.6,498.75,2813820,1403399342.75,46298,244837,8.7,2017,6,0.69,Slight positive
29,RELINFRA,EQ,2017-06-23,493.6,494.0,509.45,486.25,503.5,503.85,500.41,3163984,1583279341.6,46374,259203,8.19,2017,6,2.08,Positive
30,RELINFRA,EQ,2017-06-27,503.85,505.1,508.9,491.1,503.3,503.55,502.17,2320156,1165101443.15,41476,163540,7.05,2017,6,-0.06,Slight
31,RELINFRA,EQ,2017-06-28,503.55,503.1,508.0,498.1,503.2,503.8,503.73,1314849,662330332.05,28145,108148,8.23,2017,6,0.05,Slight
32,RELINFRA,EQ,2017-06-29,503.8,505.0,507.95,499.1,503.05,503.5,503.85,1239125,624332928.9,19923,134736,10.87,2017,6,-0.06,Slight
33,RELINFRA,EQ,2017-06-30,503.5,501.2,501.95,491.7,498.5,497.45,496.06,1182964,586825277.9,20230,166669,14.09,2017,6,-1.2,Negative
34,RELINFRA,EQ,2017-07-03,497.45,499.5,511.8,496.35,507.75,508.4,506.38,1477819,748337989.45,22056,143815,9.73,2017,7,2.2,Positive
35,RELINFRA,EQ,2017-07-04,508.4,510.1,510.5,496.6,500.0,500.15,502.33,1078951,541994239.4,19497,107507,9.96,2017,7,-1.62,Negative
36,RELINFRA,EQ,2017-07-05,500.15,502.75,509.0,499.0,508.8,507.4,505.36,1067780,539609320.45,18276,111506,10.44,2017,7,1.45,Positive
37,RELINFRA,EQ,2017-07-06,507.4,508.95,516.5,505.75,508.3,508.5,511.02,1425362,728384146.45,25141,140759,9.88,2017,7,0.22,Slight
38,RELINFRA,EQ,2017-07-07,508.5,508.5,519.45,506.25,515.45,514.85,513.56,1793408,921019905.6,39215,428396,23.89,2017,7,1.25,Positive
39,RELINFRA,EQ,2017-07-10,514.85,535.0,535.0,473.0,516.15,516.4,519.03,325058,168715428.35,4420,96055,29.55,2017,7,0.3,Slight
40,RELINFRA,EQ,2017-07-11,516.4,517.0,521.8,507.5,509.6,509.45,515.0,1089192,560929317.7,22589,180094,16.53,2017,7,-1.35,Negative
41,RELINFRA,EQ,2017-07-12,509.45,509.6,515.5,508.1,513.45,513.4,511.89,1237420,633419520.9,26077,232269,18.77,2017,7,0.78,Slight positive
42,RELINFRA,EQ,2017-07-13,513.4,516.0,517.2,510.6,514.55,515.4,514.13,1137068,584605901.65,26037,245917,21.63,2017,7,0.39,Slight
43,RELINFRA,EQ,2017-07-14,515.4,516.0,521.65,513.05,518.8,519.4,518.55,1360641,705557123.05,30206,160601,11.8,2017,7,0.78,Slight positive
44,RELINFRA,EQ,2017-07-17,519.4,520.0,521.4,513.4,515.5,516.35,516.61,874243,451642054.9,21329,71405,8.17,2017,7,-0.59,Slight negative
45,RELINFRA,EQ,2017-07-18,516.35,514.0,520.9,510.8,514.0,514.35,516.45,968765,500316450.4,24516,228696,23.61,2017,7,-0.39,Slight
46,RELINFRA,EQ,2017-07-19,514.35,515.25,517.95,510.1,517.0,516.25,514.83,860811,443170532.55,22163,158924,18.46,2017,7,0.37,Slight
47,RELINFRA,EQ,2017-07-20,516.25,518.0,525.5,513.8,520.2,519.6,521.36,1160142,604854475.5,18903,88179,7.6,2017,7,0.65,Slight positive
48,RELINFRA,EQ,2017-07-21,519.6,521.95,522.2,499.05,510.5,511.3,512.3,1124601,576129451.35,20407,119525,10.63,2017,7,-1.6,Negative
49,RELINFRA,EQ,2017-07-24,511.3,511.0,515.4,505.0,506.2,506.75,510.72,746981,381495576.15,13826,150584,20.16,2017,7,-0.89,Slight negative
50,RELINFRA,EQ,2017-07-25,506.75,508.5,511.0,504.45,506.8,507.45,507.18,905626,459316261.75,14610,129921,14.35,2017,7,0.14,Slight
51,RELINFRA,EQ,2017-07-26,507.45,508.45,512.5,505.25,509.0,509.5,509.27,825157,420227412.55,14002,78771,9.55,2017,7,0.4,Slight
52,RELINFRA,EQ,2017-07-27,509.5,510.0,520.0,505.8,506.1,508.55,513.3,2356795,1209750362.95,32638,973988,41.33,2017,7,-0.19,Slight
53,RELINFRA,EQ,2017-07-28,508.55,505.7,531.9,502.6,524.85,526.0,523.83,3611758,1891938324.8,49230,322693,8.93,2017,7,3.43,Among top gainers
54,RELINFRA,EQ,2017-07-31,526.0,527.0,534.4,524.9,528.1,528.65,529.63,1725572,913911376.25,22506,199792,11.58,2017,7,0.5,Slight
55,RELINFRA,EQ,2017-08-01,528.65,531.5,532.5,523.1,526.65,526.6,526.81,1296488,683005365.55,24854,165679,12.78,2017,8,-0.39,Slight
56,RELINFRA,EQ,2017-08-02,526.6,528.95,538.9,527.0,530.45,532.35,533.66,1818422,970424391.55,35427,316564,17.41,2017,8,1.09,Positive
57,RELINFRA,EQ,2017-08-03,532.35,532.05,544.0,523.85,524.35,526.25,533.7,2532498,1351583243.2,38923,242707,9.58,2017,8,-1.15,Negative
58,RELINFRA,EQ,2017-08-04,526.25,522.0,532.65,520.7,529.6,530.45,528.59,1308293,691547087.0,23631,156270,11.94,2017,8,0.8,Slight positive
59,RELINFRA,EQ,2017-08-07,530.45,532.0,548.0,528.35,544.0,542.2,537.92,1504888,809512262.75,22888,206893,13.75,2017,8,2.22,Positive
60,RELINFRA,EQ,2017-08-08,542.2,542.0,545.9,520.6,527.55,528.3,535.4,2040973,1092738366.0,30663,178311,8.74,2017,8,-2.56,Negative
61,RELINFRA,EQ,2017-08-09,528.3,528.3,540.0,507.05,507.15,514.4,528.92,2291404,1211959614.25,36667,266238,11.62,2017,8,-2.63,Negative
62,RELINFRA,EQ,2017-08-10,514.4,508.0,513.9,452.25,480.0,474.45,486.4,3722914,1810807920.65,54377,453008,12.17,2017,8,-7.77,Bear drop
63,RELINFRA,EQ,2017-08-11,474.45,465.65,476.45,450.6,467.0,469.2,466.59,2364344,1103169782.05,40648,364492,15.42,2017,8,-1.11,Negative
64,RELINFRA,EQ,2017-08-14,469.2,476.5,494.4,472.45,487.6,489.55,485.14,1772296,859806090.85,35929,224703,12.68,2017,8,4.34,Among top gainers
65,RELINFRA,EQ,2017-08-16,489.55,490.4,502.6,482.2,495.5,494.35,492.4,2104952,1036478853.3,36448,337269,16.02,2017,8,0.98,Slight positive
66,RELINFRA,EQ,2017-08-17,494.35,496.6,504.8,489.0,493.1,491.4,497.12,1485534,738486203.55,31529,180932,12.18,2017,8,-0.6,Slight negative
67,RELINFRA,EQ,2017-08-18,491.4,485.45,496.4,481.5,486.9,487.8,488.87,1573202,769096267.7,35871,129988,8.26,2017,8,-0.73,Slight negative
68,RELINFRA,EQ,2017-08-21,487.8,490.0,494.35,465.4,468.35,468.7,481.1,1862840,896218383.6,35793,218591,11.73,2017,8,-3.92,Among top losers
69,RELINFRA,EQ,2017-08-22,468.7,477.75,478.5,458.05,466.3,465.65,469.03,2491036,1168379974.4,50674,303353,12.18,2017,8,-0.65,Slight negative
70,RELINFRA,EQ,2017-08-23,465.65,471.7,476.6,468.9,474.1,474.8,473.3,1655184,783391081.8,33314,375479,22.69,2017,8,1.96,Positive
71,RELINFRA,EQ,2017-08-24,474.8,475.5,485.95,472.2,480.7,479.9,480.59,1598138,768053659.0,31953,404122,25.29,2017,8,1.07,Positive
72,RELINFRA,EQ,2017-08-28,479.9,482.0,492.0,481.5,483.8,483.8,486.85,1710061,832540867.4,28235,383382,22.42,2017,8,0.81,Slight positive
73,RELINFRA,EQ,2017-08-29,483.8,485.95,520.8,485.6,498.2,498.2,509.28,11154685,5680826975.9,138260,556877,4.99,2017,8,2.98,Positive
74,RELINFRA,EQ,2017-08-30,498.2,503.9,513.95,503.5,506.5,507.0,508.47,3291052,1673406457.55,47750,416527,12.66,2017,8,1.77,Positive
75,RELINFRA,EQ,2017-08-31,507.0,508.5,513.45,501.15,510.75,509.25,507.73,2549868,1294649123.85,30410,573281,22.48,2017,8,0.44,Slight
