,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
0,TATACHEM,EQ,2017-05-15,628.4,628.9,636.8,627.1,        629.60,629.8,632.46,348768,220583436.85,16519,137793,39.51,2017,5,0.0,Slight
1,TATACHEM,EQ,2017-05-16,629.8,629.9,647.0,629.9,        645.00,643.9,640.36,426939,273393190.5,8398,221740,51.94,2017,5,2.24,Positive
2,TATACHEM,EQ,2017-05-17,643.9,645.0,647.0,636.05,        636.10,638.1,640.51,304687,195155159.95,8663,79983,26.25,2017,5,-0.9,Slight negative
3,TATACHEM,EQ,2017-05-18,638.1,635.0,635.0,622.2,        630.00,624.9,626.25,470858,294872875.0,10717,224935,47.77,2017,5,-2.07,Negative
4,TATACHEM,EQ,2017-05-19,624.9,628.0,635.6,610.0,        618.00,616.45,623.41,285139,177758045.35,7906,67972,23.84,2017,5,-1.35,Negative
5,TATACHEM,EQ,2017-05-22,616.45,612.1,624.4,596.4,        599.00,598.9,610.18,401429,244944495.85,13679,89764,22.36,2017,5,-2.85,Negative
6,TATACHEM,EQ,2017-05-23,598.9,595.1,609.45,580.95,        603.30,601.9,599.46,739125,443077220.7,20995,354761,48.0,2017,5,0.5,Slight
7,TATACHEM,EQ,2017-05-24,601.9,604.0,609.9,591.55,        595.00,596.05,600.37,374373,224763927.3,19123,142474,38.06,2017,5,-0.97,Slight negative
8,TATACHEM,EQ,2017-05-25,596.05,596.55,619.0,596.55,        613.00,615.25,609.58,472017,287732778.45,15844,127670,27.05,2017,5,3.22,Among top gainers
9,TATACHEM,EQ,2017-05-26,615.25,617.3,625.95,606.0,        609.45,610.4,614.91,1217053,748379313.35,27245,171107,14.06,2017,5,-0.79,Slight negative
10,TATACHEM,EQ,2017-05-29,610.4,612.0,617.9,605.0,        609.20,608.25,610.05,532092,324603952.2,17088,199576,37.51,2017,5,-0.35,Slight
11,TATACHEM,EQ,2017-05-30,608.25,609.0,629.5,601.75,        627.95,627.15,618.9,467679,289447719.6,13601,166441,35.59,2017,5,3.11,Among top gainers
12,TATACHEM,EQ,2017-05-31,627.15,630.0,632.95,622.45,        625.95,628.3,628.98,333451,209735165.3,11613,86969,26.08,2017,5,0.18,Slight
13,TATACHEM,EQ,2017-06-01,628.3,632.0,641.0,630.0,        639.00,637.45,637.51,545589,347815769.7,21787,129717,23.78,2017,6,1.46,Positive
14,TATACHEM,EQ,2017-06-02,637.45,638.5,645.9,636.85,        637.00,639.7,641.17,622003,398810678.7,12269,386904,62.2,2017,6,0.35,Slight
15,TATACHEM,EQ,2017-06-05,639.7,641.8,647.9,631.8,        635.25,637.75,641.63,619030,397187785.5,11733,207115,33.46,2017,6,-0.3,Slight
16,TATACHEM,EQ,2017-06-06,637.75,637.9,640.0,620.15,        622.00,621.5,627.82,388282,243770686.25,18801,118306,30.47,2017,6,-2.55,Negative
17,TATACHEM,EQ,2017-06-07,621.5,624.0,629.95,618.05,        625.00,624.95,624.19,594558,371115589.75,16331,268699,45.19,2017,6,0.56,Slight positive
