,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
0,VOLTAS,EQ,2017-05-15,433.55,436.0,436.4,430.1,433.4,431.85,432.15,696583,301025281.0,14160,327583,47.03,2017,5,0.0,Slight
1,VOLTAS,EQ,2017-05-16,431.85,432.0,438.2,430.7,433.0,432.45,433.46,996780,432061360.65,19456,366664,36.78,2017,5,0.14,Slight
2,VOLTAS,EQ,2017-05-17,432.45,435.0,435.0,427.25,430.85,430.2,429.93,686830,295286658.05,11494,307390,44.75,2017,5,-0.52,Slight negative
3,VOLTAS,EQ,2017-05-18,430.2,425.1,427.0,412.7,414.5,414.1,418.14,1231618,514991210.0,18700,571822,46.43,2017,5,-3.74,Among top losers
4,VOLTAS,EQ,2017-05-19,414.1,414.35,419.9,410.95,416.0,415.75,414.98,869457,360804142.6,29631,313872,36.1,2017,5,0.4,Slight
5,VOLTAS,EQ,2017-05-22,415.75,420.0,420.0,413.85,417.0,415.65,415.98,633783,263643094.85,17175,243815,38.47,2017,5,-0.02,Slight
6,VOLTAS,EQ,2017-05-23,415.65,420.0,420.0,403.4,405.95,409.85,410.31,1795730,736798885.95,44062,523655,29.16,2017,5,-1.4,Negative
7,VOLTAS,EQ,2017-05-24,409.85,428.0,450.8,423.1,447.15,446.5,443.9,17793994,7898705060.3,167272,5533301,31.1,2017,5,8.94,Bull run
8,VOLTAS,EQ,2017-05-25,446.5,451.0,484.0,443.2,476.15,474.75,462.79,6345884,2936782982.55,71716,1250047,19.7,2017,5,6.33,Among top gainers
9,VOLTAS,EQ,2017-05-26,474.75,470.1,501.75,470.1,499.75,498.5,494.63,7060217,3492226766.05,72145,1747315,24.75,2017,5,5.0,Among top gainers
10,VOLTAS,EQ,2017-05-29,498.5,496.9,499.75,482.25,485.5,484.6,485.77,3146132,1528283415.25,31950,1663513,52.87,2017,5,-2.79,Negative
11,VOLTAS,EQ,2017-05-30,484.6,481.6,491.0,477.75,487.3,485.6,485.34,2205065,1070207272.7,34675,1033969,46.89,2017,5,0.21,Slight
12,VOLTAS,EQ,2017-05-31,485.6,485.6,494.0,483.05,486.55,486.35,487.08,1405724,684706989.45,24328,509791,36.27,2017,5,0.15,Slight
13,VOLTAS,EQ,2017-06-01,486.35,486.5,512.6,482.4,509.2,508.85,505.43,4560228,2304885166.85,65413,895218,19.63,2017,6,4.63,Among top gainers
14,VOLTAS,EQ,2017-06-02,508.85,513.35,514.0,498.3,501.45,500.45,503.41,2365246,1190679763.65,39411,592903,25.07,2017,6,-1.65,Negative
15,VOLTAS,EQ,2017-06-05,500.45,501.0,503.0,493.55,494.75,494.95,497.33,1025382,509949767.4,29820,254832,24.85,2017,6,-1.1,Negative
16,VOLTAS,EQ,2017-06-06,494.95,495.0,498.3,484.4,485.95,487.0,488.42,1495351,730357619.9,46226,760770,50.88,2017,6,-1.61,Negative
17,VOLTAS,EQ,2017-06-07,487.0,490.0,490.0,480.2,484.2,483.25,482.84,1913739,924037466.65,41063,1179282,61.62,2017,6,-0.77,Slight negative
18,VOLTAS,EQ,2017-06-08,483.25,487.5,496.55,484.2,487.0,487.65,490.11,1991047,975824602.55,26565,566211,28.44,2017,6,0.91,Slight positive
19,VOLTAS,EQ,2017-06-09,487.65,488.0,494.4,483.1,492.05,492.35,488.29,1047346,511406651.3,18980,354734,33.87,2017,6,0.96,Slight positive
20,VOLTAS,EQ,2017-06-12,492.35,494.0,494.0,483.4,487.2,486.55,486.95,839096,408598745.05,15080,303312,36.15,2017,6,-1.18,Negative
21,VOLTAS,EQ,2017-06-13,486.55,487.9,492.95,484.0,491.0,491.55,489.93,1003567,491675606.75,30859,406977,40.55,2017,6,1.03,Positive
22,VOLTAS,EQ,2017-06-14,491.55,488.7,494.0,482.25,491.05,491.45,487.24,971911,473558530.05,14933,313693,32.28,2017,6,-0.02,Slight
23,VOLTAS,EQ,2017-06-15,491.45,490.0,496.65,486.25,496.05,494.4,490.58,1103603,541404033.7,19710,486901,44.12,2017,6,0.6,Slight positive
24,VOLTAS,EQ,2017-06-16,494.4,497.9,501.55,485.25,488.6,489.55,491.82,2190283,1077216987.15,27412,739283,33.75,2017,6,-0.98,Slight negative
25,VOLTAS,EQ,2017-06-19,489.55,489.0,492.0,471.2,473.5,474.15,476.62,2123153,1011934007.15,46299,729195,34.34,2017,6,-3.15,Among top losers
26,VOLTAS,EQ,2017-06-20,474.15,474.5,476.4,466.4,470.5,470.85,470.67,1711291,805459303.3,29532,381638,22.3,2017,6,-0.7,Slight negative
27,VOLTAS,EQ,2017-06-21,470.85,467.2,474.95,464.5,468.65,468.3,470.04,1052674,494801681.75,26785,275722,26.19,2017,6,-0.54,Slight negative
28,VOLTAS,EQ,2017-06-22,468.3,468.9,471.45,464.05,464.4,465.7,467.85,963813,450919459.85,20061,354559,36.79,2017,6,-0.56,Slight negative
