,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
0,ASHOKA,EQ,2017-05-15,210.35,211.0,217.5,206.15,216.3,216.05,212.63,159997,34020520.45,3506,88509,55.32,2017,5,0.0,Slight
1,ASHOKA,EQ,2017-05-16,216.05,212.3,216.0,211.0,214.0,214.9,213.24,213214,45466299.1,2860,151941,71.26,2017,5,-0.53,Slight negative
2,ASHOKA,EQ,2017-05-17,214.9,214.3,218.7,212.1,216.55,217.0,215.97,383131,82743402.1,3297,261939,68.37,2017,5,0.98,Slight positive
3,ASHOKA,EQ,2017-05-18,217.0,216.0,216.6,208.0,210.0,209.65,211.74,78709,16665707.55,1372,35458,45.05,2017,5,-3.39,Among top losers
4,ASHOKA,EQ,2017-05-19,209.65,212.1,213.9,205.05,206.05,206.25,209.95,398725,83713500.05,2060,301747,75.68,2017,5,-1.62,Negative
5,ASHOKA,EQ,2017-05-22,206.25,208.5,209.15,198.95,201.05,201.6,204.11,126516,25822846.35,2941,86762,68.58,2017,5,-2.25,Negative
6,ASHOKA,EQ,2017-05-23,201.6,205.0,205.0,192.85,196.0,197.65,197.09,97570,19229881.9,1844,53598,54.93,2017,5,-1.96,Negative
7,ASHOKA,EQ,2017-05-24,197.65,197.65,201.3,194.45,198.0,196.0,197.8,91289,18057305.1,2539,50139,54.92,2017,5,-0.83,Slight negative
8,ASHOKA,EQ,2017-05-25,196.0,200.0,202.75,197.1,199.9,199.55,199.91,97592,19510048.15,3595,23283,23.86,2017,5,1.81,Positive
9,ASHOKA,EQ,2017-05-26,199.55,199.95,203.9,198.7,199.9,199.9,200.24,137024,27437143.0,2379,89490,65.31,2017,5,0.18,Slight
10,ASHOKA,EQ,2017-05-29,199.9,200.0,203.85,198.5,201.0,200.05,200.33,59339,11887294.0,969,37367,62.97,2017,5,0.08,Slight
11,ASHOKA,EQ,2017-05-30,200.05,202.05,202.05,193.0,196.0,194.9,197.83,143106,28310528.9,1616,116345,81.3,2017,5,-2.57,Negative
12,ASHOKA,EQ,2017-05-31,194.9,196.95,198.0,188.6,191.0,190.35,193.14,164095,31694064.25,4195,114227,69.61,2017,5,-2.33,Negative
13,ASHOKA,EQ,2017-06-01,190.35,191.1,192.9,186.15,187.75,187.5,189.06,63366,11980171.75,1427,39893,62.96,2017,6,-1.5,Negative
14,ASHOKA,EQ,2017-06-02,187.5,188.2,193.5,188.2,190.0,190.25,190.46,88745,16902130.15,1947,47272,53.27,2017,6,1.47,Positive
15,ASHOKA,EQ,2017-06-05,190.25,190.35,194.5,190.35,191.6,192.0,192.94,558436,107743685.5,1894,528408,94.62,2017,6,0.92,Slight positive
16,ASHOKA,EQ,2017-06-06,192.0,192.25,193.7,185.1,188.2,187.6,188.63,95631,18039340.8,2803,52811,55.22,2017,6,-2.29,Negative
17,ASHOKA,EQ,2017-06-07,187.6,187.75,190.7,184.55,186.0,186.15,187.03,121724,22766203.45,1810,83650,68.72,2017,6,-0.77,Slight negative
18,ASHOKA,EQ,2017-06-08,186.15,186.2,189.9,184.4,185.4,186.25,186.87,134107,25061006.6,1821,99604,74.27,2017,6,0.05,Slight
19,ASHOKA,EQ,2017-06-09,186.25,187.7,187.7,184.45,184.65,185.05,185.07,265993,49227963.35,3412,235242,88.44,2017,6,-0.64,Slight negative
20,ASHOKA,EQ,2017-06-12,185.05,186.0,192.4,186.0,189.5,189.8,190.31,163046,31029704.25,3237,71308,43.73,2017,6,2.57,Positive
21,ASHOKA,EQ,2017-06-13,189.8,191.4,193.6,190.05,193.0,192.25,191.41,86024,16465818.3,2199,37099,43.13,2017,6,1.29,Positive
22,ASHOKA,EQ,2017-06-14,192.25,191.05,194.7,189.5,190.1,190.65,190.83,53418,10193668.4,1541,25441,47.63,2017,6,-0.83,Slight negative
23,ASHOKA,EQ,2017-06-15,190.65,190.15,194.35,186.65,192.1,190.55,191.75,79358,15216574.75,1695,44624,56.23,2017,6,-0.05,Slight
24,ASHOKA,EQ,2017-06-16,190.55,193.65,195.4,191.1,192.0,193.3,193.78,248739,48200383.0,2036,213584,85.87,2017,6,1.44,Positive
25,ASHOKA,EQ,2017-06-19,193.3,195.4,196.15,192.85,195.6,194.8,194.69,60229,11726166.15,1696,37615,62.45,2017,6,0.78,Slight positive
26,ASHOKA,EQ,2017-06-20,194.8,198.0,205.0,196.85,198.5,199.2,200.04,380970,76208565.3,5076,221832,58.23,2017,6,2.26,Positive
27,ASHOKA,EQ,2017-06-21,199.2,199.2,199.2,194.25,199.0,198.25,197.16,66151,13042336.65,1331,37384,56.51,2017,6,-0.48,Slight
28,ASHOKA,EQ,2017-06-22,198.25,198.85,198.95,190.6,191.15,191.55,193.37,94821,18335832.7,2415,64930,68.48,2017,6,-3.38,Among top losers
29,ASHOKA,EQ,2017-06-23,191.55,193.6,193.6,183.0,184.3,184.15,185.84,167822,31187968.55,4111,129874,77.39,2017,6,-3.86,Among top losers
30,ASHOKA,EQ,2017-06-27,184.15,184.2,186.6,180.0,183.1,182.75,182.46,59962,10940840.9,2091,37682,62.84,2017,6,-0.76,Slight negative
31,ASHOKA,EQ,2017-06-28,182.75,182.75,187.35,178.75,182.45,183.65,183.06,122700,22461348.55,1882,76683,62.5,2017,6,0.49,Slight
32,ASHOKA,EQ,2017-06-29,183.65,186.35,188.0,182.0,186.7,186.65,185.25,364933,67602741.0,2190,327188,89.66,2017,6,1.63,Positive
33,ASHOKA,EQ,2017-06-30,186.65,189.05,189.05,182.2,185.2,184.6,184.77,48648,8988588.85,1047,25780,52.99,2017,6,-1.1,Negative
34,ASHOKA,EQ,2017-07-03,184.6,183.55,187.55,183.55,185.9,185.75,185.52,30493,5657131.2,844,17948,58.86,2017,7,0.62,Slight positive
35,ASHOKA,EQ,2017-07-04,185.75,186.0,193.5,184.8,187.3,188.3,188.88,71274,13461960.95,1674,30518,42.82,2017,7,1.37,Positive
36,ASHOKA,EQ,2017-07-05,188.3,187.5,191.0,186.15,189.25,190.0,189.54,62665,11877325.65,1748,38290,61.1,2017,7,0.9,Slight positive
37,ASHOKA,EQ,2017-07-06,190.0,191.0,192.4,187.0,187.7,187.25,189.0,95826,18110897.1,1023,78531,81.95,2017,7,-1.45,Negative
38,ASHOKA,EQ,2017-07-07,187.25,188.0,190.7,185.2,190.05,190.0,187.53,129313,24250570.4,1386,103134,79.76,2017,7,1.47,Positive
39,ASHOKA,EQ,2017-07-10,190.0,191.65,191.65,186.0,188.2,188.45,188.66,4308,812754.95,152,2633,61.12,2017,7,-0.82,Slight negative
40,ASHOKA,EQ,2017-07-11,188.45,189.8,192.0,186.75,190.5,189.45,189.43,41384,7839447.2,748,30787,74.39,2017,7,0.53,Slight positive
41,ASHOKA,EQ,2017-07-12,189.45,194.0,194.0,189.0,191.4,191.65,192.45,124623,23983833.95,1169,86679,69.55,2017,7,1.16,Positive
42,ASHOKA,EQ,2017-07-13,191.65,193.8,198.0,192.3,193.0,193.8,194.46,98544,19162866.2,2321,48370,49.08,2017,7,1.12,Positive
43,ASHOKA,EQ,2017-07-14,193.8,194.55,195.2,188.0,189.65,190.95,190.81,175199,33429737.7,2530,142875,81.55,2017,7,-1.47,Negative
44,ASHOKA,EQ,2017-07-17,190.95,190.05,192.0,188.0,188.0,188.5,188.95,17269,3262907.15,375,10791,62.49,2017,7,-1.28,Negative
45,ASHOKA,EQ,2017-07-18,188.5,188.0,189.85,185.45,186.65,187.0,188.17,24401,4591540.8,463,13256,54.33,2017,7,-0.8,Slight negative
46,ASHOKA,EQ,2017-07-19,187.0,189.65,196.0,188.05,190.0,189.7,189.24,37894,7171215.0,422,27012,71.28,2017,7,1.44,Positive
47,ASHOKA,EQ,2017-07-20,189.7,189.3,193.0,186.55,186.75,187.1,188.88,89424,16890169.3,2268,67225,75.18,2017,7,-1.37,Negative
48,ASHOKA,EQ,2017-07-21,187.1,189.35,191.85,187.3,187.3,188.05,189.22,57480,10876401.85,3004,38732,67.38,2017,7,0.51,Slight positive
49,ASHOKA,EQ,2017-07-24,188.05,189.5,189.5,183.65,185.5,184.8,185.19,295727,54766818.55,1638,270493,91.47,2017,7,-1.73,Negative
50,ASHOKA,EQ,2017-07-25,184.8,185.85,187.35,184.0,184.05,185.0,185.15,75400,13960134.25,1354,53335,70.74,2017,7,0.11,Slight
51,ASHOKA,EQ,2017-07-26,185.0,184.3,186.85,180.7,181.0,181.95,183.55,86737,15920793.4,994,75114,86.6,2017,7,-1.65,Negative
52,ASHOKA,EQ,2017-07-27,181.95,181.6,187.35,181.6,184.0,183.95,183.51,120282,22072436.1,3935,75579,62.83,2017,7,1.1,Positive
53,ASHOKA,EQ,2017-07-28,183.95,186.7,188.2,183.0,187.2,184.3,184.29,524796,96713380.25,612,510390,97.25,2017,7,0.19,Slight
54,ASHOKA,EQ,2017-07-31,184.3,182.6,188.0,182.6,185.65,185.55,185.7,73422,13634801.5,768,45360,61.78,2017,7,0.68,Slight positive
55,ASHOKA,EQ,2017-08-01,185.55,185.8,185.8,179.05,179.05,179.95,181.25,86648,15704632.75,1283,67086,77.42,2017,8,-3.02,Among top losers
