Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
BAJAJELEC,EQ,2017-05-15,350.75,351.2,352.3,339.1,342.0,341.15,344.83,150265,51815366.05,2733,91705,61.03,2017,5,0.0,Slight
BAJAJELEC,EQ,2017-05-16,341.15,342.9,350.5,341.65,346.6,347.0,346.14,118849,41138046.6,2671,53340,44.88,2017,5,1.71,Positive
BAJAJELEC,EQ,2017-05-17,347.0,347.1,352.0,345.85,349.5,349.85,349.9,108592,37996454.75,2259,46366,42.7,2017,5,0.82,Slight positive
BAJAJELEC,EQ,2017-05-18,349.85,346.95,346.95,331.5,336.0,334.1,339.31,158652,53831647.2,3454,91087,57.41,2017,5,-4.5,Among top losers
BAJAJELEC,EQ,2017-05-19,334.1,339.05,344.0,332.0,335.5,336.2,338.64,129244,43767310.5,3097,47468,36.73,2017,5,0.63,Slight positive
BAJAJELEC,EQ,2017-05-22,336.2,338.0,339.95,297.4,313.2,313.25,315.99,436640,137973274.35,9573,128883,29.52,2017,5,-6.83,Among top losers
BAJAJELEC,EQ,2017-05-23,313.25,314.0,318.5,299.3,316.5,315.55,309.44,174457,53983977.45,4615,59422,34.06,2017,5,0.73,Slight positive
BAJAJELEC,EQ,2017-05-24,315.55,316.0,344.0,316.0,330.0,327.95,333.41,713070,237741133.5,11873,139627,19.58,2017,5,3.93,Among top gainers
BAJAJELEC,EQ,2017-05-25,327.95,329.95,348.5,327.05,347.0,346.2,343.29,527663,181142947.45,9390,169067,32.04,2017,5,5.56,Among top gainers
BAJAJELEC,EQ,2017-05-26,346.2,342.2,361.4,340.0,361.4,359.45,354.09,498356,176462146.85,13974,249504,50.07,2017,5,3.83,Among top gainers
BAJAJELEC,EQ,2017-05-29,359.45,361.65,363.7,342.1,350.05,348.7,353.31,1121276,396159339.4,22652,452341,40.34,2017,5,-2.99,Negative
BAJAJELEC,EQ,2017-05-30,348.7,347.05,348.7,339.75,343.15,342.85,343.25,82976,28481334.9,1904,32621,39.31,2017,5,-1.68,Negative
BAJAJELEC,EQ,2017-05-31,342.85,342.85,359.9,338.45,342.0,342.05,350.14,211629,74100129.55,4857,83582,39.49,2017,5,-0.23,Slight
BAJAJELEC,EQ,2017-06-01,342.05,342.5,348.3,340.5,342.0,341.45,344.58,72157,24863940.85,2851,28619,39.66,2017,6,-0.18,Slight
BAJAJELEC,EQ,2017-06-02,341.45,342.1,357.9,342.1,353.0,352.15,352.99,598382,211225493.0,12285,257155,42.98,2017,6,3.13,Among top gainers
BAJAJELEC,EQ,2017-06-05,352.15,355.0,362.0,352.3,358.1,357.6,358.78,423436,151919379.4,10184,130218,30.75,2017,6,1.55,Positive
BAJAJELEC,EQ,2017-06-06,357.6,360.0,360.9,354.6,358.3,357.65,358.34,173160,62049330.7,4249,84956,49.06,2017,6,0.01,Slight
BAJAJELEC,EQ,2017-06-07,357.65,360.0,367.0,355.25,357.75,357.9,363.73,578218,210313260.85,17732,213347,36.9,2017,6,0.07,Slight
BAJAJELEC,EQ,2017-06-08,357.9,359.95,361.65,355.0,357.55,356.5,358.26,102728,36803539.35,2038,31560,30.72,2017,6,-0.39,Slight
BAJAJELEC,EQ,2017-06-09,356.5,359.1,359.1,348.6,351.0,350.0,351.96,230990,81299942.5,2567,184465,79.86,2017,6,-1.82,Negative
BAJAJELEC,EQ,2017-06-12,350.0,350.0,354.65,345.5,348.0,348.45,349.51,115013,40198557.6,2442,53947,46.91,2017,6,-0.44,Slight
BAJAJELEC,EQ,2017-06-13,348.45,349.0,352.0,341.7,342.2,343.5,348.69,252957,88204622.75,4272,105494,41.7,2017,6,-1.42,Negative
BAJAJELEC,EQ,2017-06-14,343.5,345.8,351.45,343.05,350.0,349.3,348.12,149255,51959137.7,4861,66412,44.5,2017,6,1.69,Positive
BAJAJELEC,EQ,2017-06-15,349.3,350.8,351.6,344.0,346.15,345.6,347.8,97936,34062084.65,2290,32622,33.31,2017,6,-1.06,Negative
BAJAJELEC,EQ,2017-06-16,345.6,348.0,350.0,342.35,342.35,343.95,345.94,96898,33520958.2,2022,43843,45.25,2017,6,-0.48,Slight
BAJAJELEC,EQ,2017-06-19,343.95,343.35,349.8,343.35,347.0,346.8,347.35,89955,31246314.9,3496,44733,49.73,2017,6,0.83,Slight positive
