,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
0,BOMDYEING,EQ,2017-05-15,83.0,83.15,83.75,81.9,82.15,82.2,82.57,1553427,128260940.65,8074,     479867,         30.89,2017,5,0.0,Slight
1,BOMDYEING,EQ,2017-05-16,82.2,81.9,84.0,81.75,83.8,83.4,82.88,2149649,178160638.5,9804,     561852,         26.14,2017,5,0.01,Slight
2,BOMDYEING,EQ,2017-05-17,83.4,82.55,83.8,82.05,82.25,82.25,82.71,1267468,104835445.55,7220,     395417,         31.20,2017,5,-0.01,Slight
3,BOMDYEING,EQ,2017-05-18,82.25,80.85,81.85,78.55,78.9,78.95,80.3,1156424,92865679.1,7001,     538431,         46.56,2017,5,-0.04,Slight
4,BOMDYEING,EQ,2017-05-19,78.95,79.75,80.35,76.35,77.3,77.15,78.07,1444416,112771641.5,7588,     518874,         35.92,2017,5,-0.02,Slight
5,BOMDYEING,EQ,2017-05-22,77.15,76.5,77.55,73.65,74.0,74.0,75.88,1104857,83832213.75,7459,     418671,         37.89,2017,5,-0.04,Slight
6,BOMDYEING,EQ,2017-05-23,74.0,73.5,74.25,68.5,70.1,70.45,70.86,1943788,137732634.0,9539,     545391,         28.06,2017,5,-0.05,Slight
7,BOMDYEING,EQ,2017-05-24,70.45,68.65,70.15,66.3,67.3,66.95,68.15,1897802,129330437.75,9297,     700948,         36.93,2017,5,-0.05,Slight
8,BOMDYEING,EQ,2017-05-25,66.95,67.85,70.45,67.5,70.2,69.85,68.98,1161153,80100339.5,7276,     386944,         33.32,2017,5,0.04,Slight
9,BOMDYEING,EQ,2017-05-26,69.85,70.2,73.75,69.9,73.75,73.0,72.03,1691870,121863387.15,8618,     519995,         30.73,2017,5,0.05,Slight
10,BOMDYEING,EQ,2017-05-29,73.0,73.4,73.9,70.0,70.45,70.5,71.88,1343625,96584796.5,7788,     495425,         36.87,2017,5,-0.03,Slight
11,BOMDYEING,EQ,2017-05-30,70.5,69.8,72.35,68.65,71.9,71.8,70.77,984550,69674546.4,6605,     256820,         26.09,2017,5,0.02,Slight
12,BOMDYEING,EQ,2017-05-31,71.8,71.3,72.6,70.5,71.25,71.35,71.65,919733,65895538.6,5296,     305972,         33.27,2017,5,-0.01,Slight
13,BOMDYEING,EQ,2017-06-01,71.35,70.7,72.75,70.6,70.8,70.95,71.49,747866,53463402.2,5013,     255044,         34.10,2017,6,-0.01,Slight
14,BOMDYEING,EQ,2017-06-02,70.95,71.4,72.0,69.55,69.9,69.95,70.83,1546778,109563375.55,6619,     488708,         31.60,2017,6,-0.01,Slight
15,BOMDYEING,EQ,2017-06-05,69.95,70.15,77.8,70.1,76.75,76.65,75.32,5748721,432969142.25,26488,    1657954,         28.84,2017,6,0.1,Slight
16,BOMDYEING,EQ,2017-06-06,76.65,77.35,79.8,77.1,77.7,77.65,78.34,4039520,316462817.45,21212,     933554,         23.11,2017,6,0.01,Slight
17,BOMDYEING,EQ,2017-06-07,77.65,77.9,82.3,76.2,81.85,81.3,79.78,3244765,258859309.05,14513,     981450,         30.25,2017,6,0.05,Slight
18,BOMDYEING,EQ,2017-06-08,81.3,81.8,84.7,81.55,84.0,84.1,83.32,4655632,387915892.05,19640,    1473799,         31.66,2017,6,0.03,Slight
19,BOMDYEING,EQ,2017-06-09,84.1,84.2,85.0,82.1,83.05,83.4,83.71,2388526,199938510.65,11578,     690660,         28.92,2017,6,-0.01,Slight
20,BOMDYEING,EQ,2017-06-12,83.4,82.75,83.35,81.25,82.2,82.05,82.16,964902,79277450.1,5965,     252166,         26.13,2017,6,-0.02,Slight
21,BOMDYEING,EQ,2017-06-13,82.05,81.55,84.15,80.55,81.05,81.3,82.43,2432014,200482393.85,11874,     378748,         15.57,2017,6,-0.01,Slight
22,BOMDYEING,EQ,2017-06-14,81.3,81.5,85.6,81.5,83.65,83.4,83.96,4156918,349019230.0,19528,    1023523,         24.62,2017,6,0.03,Slight
23,BOMDYEING,EQ,2017-06-15,83.4,84.5,84.95,82.0,82.5,82.5,83.29,2537394,211349473.55,12012,     763333,         30.08,2017,6,-0.01,Slight
24,BOMDYEING,EQ,2017-06-16,82.5,82.85,83.8,81.55,82.05,82.35,82.68,1376462,113805965.25,6823,     433291,         31.48,2017,6,-0.0,Slight
25,BOMDYEING,EQ,2017-06-19,82.35,82.7,82.8,81.1,81.3,81.4,81.84,1066193,87255243.95,5388,     284511,         26.68,2017,6,-0.01,Slight
26,BOMDYEING,EQ,2017-06-20,81.4,80.85,85.85,80.25,85.6,85.2,83.7,3920900,328170274.5,16613,    1323196,         33.75,2017,6,0.05,Slight
27,BOMDYEING,EQ,2017-06-21,85.2,86.5,89.25,85.5,87.25,87.45,87.47,6737076,589295627.0,28929,    1904791,         28.27,2017,6,0.03,Slight
28,BOMDYEING,EQ,2017-06-22,87.45,87.55,90.65,84.8,86.6,86.15,88.56,4467999,395701219.05,22631,    1182022,         26.46,2017,6,-0.01,Slight
29,BOMDYEING,EQ,2017-06-23,86.15,86.45,87.15,82.45,83.55,83.25,84.27,2064946,174013616.0,11733,     589881,         28.57,2017,6,-0.03,Slight
30,BOMDYEING,EQ,2017-06-27,83.25,83.8,83.85,80.15,80.5,80.7,81.38,1338738,108945978.65,7384,     442909,         33.08,2017,6,-0.03,Slight
31,BOMDYEING,EQ,2017-06-28,80.7,80.95,82.85,80.55,81.5,81.7,81.69,1860606,151984195.55,10717,     432447,         23.24,2017,6,0.01,Slight
32,BOMDYEING,EQ,2017-06-29,81.7,82.2,83.6,81.2,81.9,82.0,82.37,1373048,113093257.55,7814,     287417,         20.93,2017,6,0.0,Slight
33,BOMDYEING,EQ,2017-06-30,82.0,81.75,81.75,80.25,80.8,80.75,80.83,1327412,107288996.5,6518,     360323,         27.14,2017,6,-0.02,Slight
34,BOMDYEING,EQ,2017-07-03,80.75,81.0,86.2,80.8,85.9,85.4,83.89,2960378,248331722.0,14759,     842340,         28.45,2017,7,0.06,Slight
