,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
0,CENTURYPLY,EQ,2017-05-15,255.65,256.75,267.9,254.05,267.5,266.65,263.57,206437,54410401.3,4110,116668,56.52,2017,5,0.0,Slight
1,CENTURYPLY,EQ,2017-05-16,266.65,270.0,271.0,263.2,265.4,266.1,266.37,221371,58966972.4,7157,136850,61.82,2017,5,-0.0,Slight
2,CENTURYPLY,EQ,2017-05-17,266.1,267.95,267.95,262.0,264.0,264.85,264.49,429282,113540198.6,2234,377919,88.04,2017,5,-0.0,Slight
3,CENTURYPLY,EQ,2017-05-18,264.85,264.0,264.0,253.6,261.0,260.35,259.43,73215,18993938.55,1794,24816,33.89,2017,5,-0.02,Slight
4,CENTURYPLY,EQ,2017-05-19,260.35,261.35,265.0,252.5,254.6,254.05,256.99,105993,27239163.5,2206,50131,47.3,2017,5,-0.02,Slight
5,CENTURYPLY,EQ,2017-05-22,254.05,251.1,258.85,250.5,256.0,255.5,253.36,74288,18821410.5,1261,31392,42.26,2017,5,0.01,Slight
6,CENTURYPLY,EQ,2017-05-23,255.5,257.45,259.85,245.1,246.85,247.95,247.35,677476,167573573.75,6409,461830,68.17,2017,5,-0.03,Slight
7,CENTURYPLY,EQ,2017-05-24,247.95,249.8,252.95,240.0,240.5,241.05,244.63,189657,46396521.35,5541,134353,70.84,2017,5,-0.03,Slight
8,CENTURYPLY,EQ,2017-05-25,241.05,242.7,253.5,242.0,253.5,252.65,249.25,238187,59369274.6,5150,160745,67.49,2017,5,0.05,Slight
9,CENTURYPLY,EQ,2017-05-26,252.65,254.85,260.8,253.05,259.95,259.65,258.16,158287,40862666.0,4469,105512,66.66,2017,5,0.03,Slight
10,CENTURYPLY,EQ,2017-05-29,259.65,261.45,261.9,253.5,260.0,259.45,257.99,98371,25378657.45,1538,65089,66.17,2017,5,-0.0,Slight
11,CENTURYPLY,EQ,2017-05-30,259.45,254.95,262.1,254.05,254.5,258.0,259.48,111289,28877500.35,4779,47682,42.85,2017,5,-0.01,Slight
12,CENTURYPLY,EQ,2017-05-31,258.0,257.1,267.8,255.15,264.0,264.4,262.06,355145,93070173.85,6838,110799,31.2,2017,5,0.02,Slight
13,CENTURYPLY,EQ,2017-06-01,264.4,267.9,282.0,262.85,273.0,273.4,273.92,621533,170252334.7,9562,267050,42.97,2017,6,0.03,Slight
14,CENTURYPLY,EQ,2017-06-02,273.4,275.7,278.4,269.45,275.0,274.15,275.57,351995,96999152.45,6327,198423,56.37,2017,6,0.0,Slight
15,CENTURYPLY,EQ,2017-06-05,274.15,275.65,283.65,275.6,281.5,281.5,280.63,316887,88929513.55,6048,139599,44.05,2017,6,0.03,Slight
16,CENTURYPLY,EQ,2017-06-06,281.5,282.0,287.35,277.25,281.8,282.1,282.35,346635,97871772.1,7622,198141,57.16,2017,6,0.0,Slight
17,CENTURYPLY,EQ,2017-06-07,282.1,284.8,296.9,282.0,290.25,290.95,290.25,492289,142885518.95,10345,201431,40.92,2017,6,0.03,Slight
18,CENTURYPLY,EQ,2017-06-08,290.95,292.0,294.95,286.65,291.5,290.6,291.76,274571,80109568.75,5589,123099,44.83,2017,6,-0.0,Slight
19,CENTURYPLY,EQ,2017-06-09,290.6,293.1,301.0,289.65,300.0,299.6,296.41,601320,178238863.05,6125,350796,58.34,2017,6,0.03,Slight
20,CENTURYPLY,EQ,2017-06-12,299.6,304.0,310.6,299.65,304.0,306.05,306.69,1270518,389659522.0,16772,910353,71.65,2017,6,0.02,Slight
21,CENTURYPLY,EQ,2017-06-13,306.05,308.8,309.25,298.05,299.6,299.4,301.16,332917,100259710.05,7789,161324,48.46,2017,6,-0.02,Slight
