,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
0,FORTIS,EQ,2017-05-15,208.4,208.4,209.65,204.05,        206.75,205.25,205.66,9078354,1867054982.65,24607,5980115,65.87,2017,5,0.0,Slight
1,FORTIS,EQ,2017-05-16,205.25,206.25,209.45,205.45,        207.70,207.9,207.86,2146212,446110937.1,15071,1127662,52.54,2017,5,1.29,Positive
2,FORTIS,EQ,2017-05-17,207.9,208.0,210.8,204.9,        205.30,205.9,208.01,3032479,630785426.7,21453,1609171,53.06,2017,5,-0.96,Slight negative
3,FORTIS,EQ,2017-05-18,205.9,204.0,205.25,195.0,        195.80,196.85,200.05,2852401,570619895.75,18709,1337328,46.88,2017,5,-4.4,Among top losers
4,FORTIS,EQ,2017-05-19,196.85,197.8,204.9,196.45,        204.20,203.55,200.95,4144993,832917326.1,37949,1424440,34.37,2017,5,3.4,Among top gainers
5,FORTIS,EQ,2017-05-22,203.55,206.0,206.25,193.5,        195.40,194.8,198.74,3379385,671631356.5,25848,1700659,50.32,2017,5,-4.3,Among top losers
6,FORTIS,EQ,2017-05-23,194.8,195.5,199.0,191.2,        196.95,196.55,196.18,3746973,735080892.7,29372,2086212,55.68,2017,5,0.9,Slight positive
7,FORTIS,EQ,2017-05-24,196.55,197.65,200.2,192.5,        194.50,194.35,196.82,2471551,486456184.1,24620,1254518,50.76,2017,5,-1.12,Negative
8,FORTIS,EQ,2017-05-25,194.35,192.5,203.5,192.1,        202.50,202.55,199.13,2337720,465502529.9,16209,666465,28.51,2017,5,4.22,Among top gainers
9,FORTIS,EQ,2017-05-26,202.55,205.1,206.25,201.75,        202.75,202.75,204.18,2141143,437178776.75,14747,855686,39.96,2017,5,0.1,Slight
10,FORTIS,EQ,2017-05-29,202.75,200.4,203.05,194.9,        196.00,196.1,197.75,928548,183618279.55,7854,231726,24.96,2017,5,-3.28,Among top losers
11,FORTIS,EQ,2017-05-30,196.1,195.0,200.5,193.65,        197.90,198.15,197.15,1134162,223596868.25,8038,227986,20.1,2017,5,1.05,Positive
12,FORTIS,EQ,2017-05-31,198.15,198.85,200.8,194.6,        195.55,195.15,196.35,1517166,297893928.15,9887,741440,48.87,2017,5,-1.51,Negative
13,FORTIS,EQ,2017-06-01,195.15,195.9,200.25,195.15,        199.80,198.35,197.35,837394,165259710.35,6033,248194,29.64,2017,6,1.64,Positive
14,FORTIS,EQ,2017-06-02,198.35,200.05,201.6,191.75,        193.20,192.95,195.33,2967855,579722984.45,15457,1540619,51.91,2017,6,-2.72,Negative
15,FORTIS,EQ,2017-06-05,192.95,194.0,196.9,193.6,        194.75,194.9,195.37,1688838,329943733.9,12741,654094,38.73,2017,6,1.01,Positive
16,FORTIS,EQ,2017-06-06,194.9,195.4,195.45,189.1,        190.40,191.05,192.04,3708378,712161812.1,17057,2344287,63.22,2017,6,-1.98,Negative
17,FORTIS,EQ,2017-06-07,191.05,191.1,198.7,191.1,        194.50,194.05,195.63,3368728,659018005.25,21279,1095546,32.52,2017,6,1.57,Positive
18,FORTIS,EQ,2017-06-08,194.05,195.9,196.85,191.8,        192.50,192.95,193.47,2996960,579821552.1,15869,1350749,45.07,2017,6,-0.57,Slight negative
