,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
0,GUJALKALI,EQ,2017-05-15,456.1,456.7,464.8,455.1,456.55,457.35,460.06,60405,27789977.35,2243,29828,49.38,2017,5,0.0,Slight
1,GUJALKALI,EQ,2017-05-16,457.35,459.0,459.0,455.0,455.0,455.25,455.49,32471,14790098.85,2258,23153,71.3,2017,5,-0.0,Slight
2,GUJALKALI,EQ,2017-05-17,455.25,457.05,476.4,455.25,474.0,472.65,468.7,145701,68289878.85,3612,81294,55.8,2017,5,0.04,Slight
3,GUJALKALI,EQ,2017-05-18,472.65,465.0,474.0,461.5,461.5,461.85,464.49,64087,29767587.35,2295,36631,57.16,2017,5,-0.02,Slight
4,GUJALKALI,EQ,2017-05-19,461.85,466.7,466.75,455.0,455.0,455.35,459.99,51272,23584654.65,1359,34417,67.13,2017,5,-0.01,Slight
5,GUJALKALI,EQ,2017-05-22,455.35,458.5,459.75,454.0,455.0,455.25,455.42,78001,35523472.05,1975,65876,84.46,2017,5,-0.0,Slight
6,GUJALKALI,EQ,2017-05-23,455.25,455.05,457.05,432.0,432.95,435.15,442.9,186681,82680867.9,3826,144436,77.37,2017,5,-0.04,Slight
7,GUJALKALI,EQ,2017-05-24,435.15,439.0,445.9,428.5,443.45,440.5,435.65,66041,28770884.95,1895,40932,61.98,2017,5,0.01,Slight
8,GUJALKALI,EQ,2017-05-25,440.5,443.25,448.9,440.0,441.0,443.15,444.19,46811,20793075.2,1448,23034,49.21,2017,5,0.01,Slight
9,GUJALKALI,EQ,2017-05-26,443.15,441.5,450.0,411.95,430.6,426.2,436.03,327961,143001677.6,7013,105167,32.07,2017,5,-0.04,Slight
10,GUJALKALI,EQ,2017-05-29,426.2,426.55,428.1,406.25,411.65,410.7,415.47,120012,49860831.35,3077,71764,59.8,2017,5,-0.04,Slight
11,GUJALKALI,EQ,2017-05-30,410.7,411.0,413.8,402.9,411.5,409.55,408.25,40982,16730913.65,1377,23150,56.49,2017,5,-0.0,Slight
12,GUJALKALI,EQ,2017-05-31,409.55,410.0,411.8,404.2,407.0,408.6,408.35,45738,18677175.45,1468,29045,63.5,2017,5,-0.0,Slight
13,GUJALKALI,EQ,2017-06-01,408.6,410.0,419.6,408.0,416.0,415.6,414.93,46398,19251957.6,3624,26329,56.75,2017,6,0.02,Slight
14,GUJALKALI,EQ,2017-06-02,415.6,411.05,417.35,405.5,406.6,406.4,409.27,67368,27571950.65,4052,51907,77.05,2017,6,-0.02,Slight
15,GUJALKALI,EQ,2017-06-05,406.4,407.0,412.0,406.0,409.9,407.2,408.96,33333,13631728.05,1055,19353,58.06,2017,6,0.0,Slight
16,GUJALKALI,EQ,2017-06-06,407.2,405.0,412.0,405.0,408.65,407.7,408.22,20430,8339918.5,816,10417,50.99,2017,6,0.0,Slight
17,GUJALKALI,EQ,2017-06-07,407.7,408.7,409.95,400.5,402.5,402.1,404.28,41879,16930990.75,2882,30111,71.9,2017,6,-0.01,Slight
18,GUJALKALI,EQ,2017-06-08,402.1,404.45,414.0,402.05,409.3,409.0,408.26,62062,25337360.45,3592,40076,64.57,2017,6,0.02,Slight
19,GUJALKALI,EQ,2017-06-09,409.0,411.65,412.85,402.55,403.0,404.1,406.22,41971,17049540.6,1518,21190,50.49,2017,6,-0.01,Slight
20,GUJALKALI,EQ,2017-06-12,404.1,405.0,409.9,400.6,402.0,401.9,403.41,37193,15003864.05,1302,25684,69.06,2017,6,-0.01,Slight
21,GUJALKALI,EQ,2017-06-13,401.9,404.15,408.7,401.9,402.05,403.5,405.2,29529,11965261.95,1457,12860,43.55,2017,6,0.0,Slight
22,GUJALKALI,EQ,2017-06-14,403.5,400.05,404.95,398.1,399.75,399.95,400.25,37289,14924923.8,1264,23719,63.61,2017,6,-0.01,Slight
23,GUJALKALI,EQ,2017-06-15,399.95,400.9,427.0,400.9,411.1,409.05,415.22,230722,95801151.9,5872,63815,27.66,2017,6,0.02,Slight
24,GUJALKALI,EQ,2017-06-16,409.05,414.6,414.6,408.2,409.0,409.65,411.24,56095,23068523.5,1814,25741,45.89,2017,6,0.0,Slight
25,GUJALKALI,EQ,2017-06-19,409.65,411.85,414.0,404.0,404.95,405.05,408.74,39986,16343753.35,1115,24179,60.47,2017,6,-0.01,Slight
26,GUJALKALI,EQ,2017-06-20,405.05,404.0,408.6,398.4,401.75,401.45,402.96,37373,15059680.45,1132,21349,57.12,2017,6,-0.01,Slight
27,GUJALKALI,EQ,2017-06-21,401.45,401.0,405.15,399.55,401.3,400.95,402.25,23990,9650075.95,927,13275,55.34,2017,6,-0.0,Slight
28,GUJALKALI,EQ,2017-06-22,400.95,403.2,404.0,392.0,393.8,393.85,397.9,60782,24185235.15,2253,42028,69.15,2017,6,-0.02,Slight
29,GUJALKALI,EQ,2017-06-23,393.85,395.5,395.5,382.7,387.0,386.2,387.21,80461,31154949.05,3218,52548,65.31,2017,6,-0.02,Slight
30,GUJALKALI,EQ,2017-06-27,386.2,388.5,392.95,385.4,388.0,387.1,387.05,120703,46717983.75,929,112162,92.92,2017,6,0.0,Slight
31,GUJALKALI,EQ,2017-06-28,387.1,388.0,392.0,385.0,386.9,387.05,388.09,37613,14597259.25,1026,22754,60.5,2017,6,-0.0,Slight
32,GUJALKALI,EQ,2017-06-29,387.05,388.05,398.65,388.0,392.0,393.3,392.53,41295,16209385.15,1514,25074,60.72,2017,6,0.02,Slight
33,GUJALKALI,EQ,2017-06-30,393.3,390.4,392.5,387.0,388.9,387.65,388.91,20858,8111935.7,882,9649,46.26,2017,6,-0.01,Slight
