,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
0,IRCON,EQ,2018-09-28,475.0,412.0,465.0,409.1,412.95,415.3,436.73,5675479,2478674414.2,182952,1617374,28.5,2018,9,0.0,Slight
1,IRCON,EQ,2018-10-01,415.3,418.1,434.85,406.6,428.25,427.0,419.97,624624,262323344.65,20363,148088,23.71,2018,10,0.03,Slight
2,IRCON,EQ,2018-10-03,427.0,431.35,437.85,418.55,419.05,421.4,427.59,279765,119625810.9,9172,110748,39.59,2018,10,-0.01,Slight
3,IRCON,EQ,2018-10-04,421.4,419.0,419.0,404.0,405.45,407.1,410.83,232364,95462083.7,10440,111715,48.08,2018,10,-0.03,Slight
4,IRCON,EQ,2018-10-05,407.1,407.0,409.1,388.3,397.95,399.8,396.4,373530,148067647.05,9636,203317,54.43,2018,10,-0.02,Slight
5,IRCON,EQ,2018-10-08,399.8,398.0,400.0,380.0,380.9,382.05,390.29,134318,52423470.3,5565,52484,39.07,2018,10,-0.04,Slight
6,IRCON,EQ,2018-10-09,382.05,382.5,386.25,355.0,363.2,363.65,367.64,251694,92532166.75,7718,103145,40.98,2018,10,-0.05,Slight
7,IRCON,EQ,2018-10-10,363.65,367.0,384.4,356.7,365.8,365.05,366.37,682482,250043646.2,13613,323172,47.35,2018,10,0.0,Slight
8,IRCON,EQ,2018-10-11,365.05,359.8,373.1,350.05,360.05,360.95,364.06,191987,69894994.0,5894,75420,39.28,2018,10,-0.01,Slight
9,IRCON,EQ,2018-10-12,360.95,371.0,373.4,362.1,368.0,368.0,368.49,258969,95428123.5,15564,162837,62.88,2018,10,0.02,Slight
10,IRCON,EQ,2018-10-15,368.0,374.0,378.8,368.55,375.75,375.4,373.44,228108,85184517.7,14338,117217,51.39,2018,10,0.02,Slight
11,IRCON,EQ,2018-10-16,375.4,378.4,392.0,372.0,378.0,379.4,380.91,234268,89234387.15,8717,97125,41.46,2018,10,0.01,Slight
12,IRCON,EQ,2018-10-17,379.4,384.8,384.8,365.6,367.0,367.6,374.28,109997,41169398.15,6052,51024,46.39,2018,10,-0.03,Slight
13,IRCON,EQ,2018-10-19,367.6,367.1,367.1,360.0,362.5,361.75,362.49,59494,21565694.45,2294,25445,42.77,2018,10,-0.02,Slight
14,IRCON,EQ,2018-10-22,361.75,363.9,364.9,355.0,355.3,355.8,358.06,50845,18205365.3,2189,21815,42.9,2018,10,-0.02,Slight
15,IRCON,EQ,2018-10-23,355.8,355.8,355.8,346.05,349.0,347.85,351.06,60941,21393923.45,2042,29271,48.03,2018,10,-0.02,Slight
16,IRCON,EQ,2018-10-24,347.85,353.0,354.6,344.0,345.6,345.5,347.29,55627,19318566.05,2211,20966,37.69,2018,10,-0.01,Slight
17,IRCON,EQ,2018-10-25,345.5,343.8,349.35,338.0,342.0,342.7,342.42,53967,18479461.4,2596,18472,34.23,2018,10,-0.01,Slight
18,IRCON,EQ,2018-10-26,342.7,343.2,353.0,340.95,347.0,346.55,346.11,61398,21250700.6,2066,26053,42.43,2018,10,0.01,Slight
19,IRCON,EQ,2018-10-29,346.55,350.0,351.85,345.0,347.6,348.55,349.22,57626,20123924.15,2088,34573,60.0,2018,10,0.01,Slight
20,IRCON,EQ,2018-10-30,348.55,350.9,357.45,347.1,348.0,348.35,350.42,77720,27234755.4,3689,37382,48.1,2018,10,-0.0,Slight
21,IRCON,EQ,2018-10-31,348.35,350.9,351.8,344.55,348.5,347.4,348.06,40403,14062825.1,2888,20922,51.78,2018,10,-0.0,Slight
22,IRCON,EQ,2018-11-01,347.4,349.1,362.0,347.0,357.0,356.4,355.15,143203,50858995.35,6345,72201,50.42,2018,11,0.03,Slight
23,IRCON,EQ,2018-11-02,356.4,360.6,371.2,358.65,362.7,360.9,365.45,181775,66430114.7,10149,100878,55.5,2018,11,0.01,Slight
24,IRCON,EQ,2018-11-05,360.9,363.0,369.0,362.0,366.0,365.65,365.56,43301,15829041.3,1523,22309,51.52,2018,11,0.01,Slight
25,IRCON,EQ,2018-11-06,365.65,370.0,370.0,362.0,364.0,364.0,364.03,40031,14572325.4,1149,21115,52.75,2018,11,-0.0,Slight
26,IRCON,EQ,2018-11-07,364.0,367.4,373.55,364.95,373.5,371.35,369.57,49929,18452019.95,1289,33510,67.12,2018,11,0.02,Slight
27,IRCON,EQ,2018-11-09,371.35,373.5,390.0,372.1,389.9,385.3,381.81,134013,51167114.7,2974,91562,68.32,2018,11,0.04,Slight
28,IRCON,EQ,2018-11-12,385.3,388.75,417.65,388.5,410.0,407.6,406.45,309997,125999607.8,10743,148070,47.76,2018,11,0.06,Slight
29,IRCON,EQ,2018-11-13,407.6,407.0,419.8,404.0,416.0,415.6,412.64,284187,117267744.0,11863,147606,51.94,2018,11,0.02,Slight
30,IRCON,EQ,2018-11-14,415.6,425.0,425.0,408.0,421.9,421.15,418.65,514841,215538998.55,17637,258957,50.3,2018,11,0.01,Slight
31,IRCON,EQ,2018-11-15,421.15,424.2,431.8,415.0,420.0,422.35,425.15,301507,128185188.05,13383,118901,39.44,2018,11,0.0,Slight
32,IRCON,EQ,2018-11-16,422.35,421.3,427.0,412.05,413.1,414.95,417.94,102809,42967705.6,3678,45945,44.69,2018,11,-0.02,Slight
