Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
ITDC,EQ,2017-05-15,611.35,616.8,663.2,602.4,648.1,650.15,645.77,217237,140286090.1,8827,37494,17.26,2017,5,0.0,Slight
ITDC,EQ,2017-05-16,650.15,654.0,655.95,633.05,639.0,636.7,642.75,55988,35986166.4,2853,17726,31.66,2017,5,-2.07,Negative
ITDC,EQ,2017-05-17,636.7,638.1,642.9,624.0,624.0,626.75,633.59,23787,15071122.75,980,9924,41.72,2017,5,-1.56,Negative
ITDC,EQ,2017-05-18,626.75,621.8,624.0,601.5,604.0,604.65,614.44,37216,22866933.3,1498,16716,44.92,2017,5,-3.53,Among top losers
ITDC,EQ,2017-05-19,604.65,610.05,618.0,590.9,591.0,594.3,605.41,43801,26517497.35,2121,17563,40.1,2017,5,-1.71,Negative
ITDC,EQ,2017-05-22,594.3,588.1,603.0,559.85,576.9,574.65,580.43,44113,25604656.5,1934,18646,42.27,2017,5,-3.31,Among top losers
ITDC,EQ,2017-05-23,574.65,581.35,581.35,541.0,553.35,553.8,555.66,41536,23079950.8,2105,13365,32.18,2017,5,-3.63,Among top losers
ITDC,EQ,2017-05-24,553.8,560.95,561.0,504.05,511.05,516.15,530.21,58400,30964223.75,2741,24353,41.7,2017,5,-6.8,Among top losers
ITDC,EQ,2017-05-25,516.15,504.0,527.3,497.0,507.1,508.15,510.71,61922,31624393.5,2349,25573,41.3,2017,5,-1.55,Negative
ITDC,EQ,2017-05-26,508.15,508.0,517.0,498.0,512.0,511.05,510.33,30179,15401160.0,1226,11628,38.53,2017,5,0.57,Slight positive
ITDC,EQ,2017-05-29,511.05,515.7,539.5,508.0,510.1,511.85,523.35,33406,17483044.85,1502,11289,33.79,2017,5,0.16,Slight
ITDC,EQ,2017-05-30,511.85,512.05,512.05,501.0,501.05,504.7,505.66,21330,10785690.55,1020,9766,45.79,2017,5,-1.4,Negative
ITDC,EQ,2017-05-31,504.7,487.0,537.4,487.0,523.0,520.65,523.64,120804,63257431.75,4929,25238,20.89,2017,5,3.16,Among top gainers
ITDC,EQ,2017-06-01,520.65,523.25,533.8,513.75,520.4,519.15,523.23,36433,19062768.45,1437,13302,36.51,2017,6,-0.29,Slight
ITDC,EQ,2017-06-02,519.15,519.0,525.0,489.0,496.0,498.4,503.87,53199,26805287.5,1901,23562,44.29,2017,6,-4.0,Among top losers
ITDC,EQ,2017-06-05,498.4,491.0,548.2,491.0,542.0,539.1,536.34,262721,140909080.75,8680,47209,17.97,2017,6,8.17,Bull run
ITDC,EQ,2017-06-06,539.1,544.5,555.0,536.0,539.0,539.2,544.44,76206,41489847.55,2980,24041,31.55,2017,6,0.02,Slight
ITDC,EQ,2017-06-07,539.2,541.0,633.0,541.0,602.0,614.1,598.72,575619,344632840.25,17725,66253,11.51,2017,6,13.89,Bull run
ITDC,EQ,2017-06-08,614.1,606.0,638.7,601.0,609.9,609.95,621.25,355619,220929739.3,13593,64417,18.11,2017,6,-0.68,Slight negative
ITDC,EQ,2017-06-09,609.95,610.0,626.5,605.1,606.45,608.4,615.6,99799,61435945.3,3517,26379,26.43,2017,6,-0.25,Slight
ITDC,EQ,2017-06-12,608.4,603.95,616.4,589.0,590.35,593.2,602.56,73418,44238996.7,2974,18620,25.36,2017,6,-2.5,Negative
ITDC,EQ,2017-06-13,593.2,598.9,624.8,598.15,608.0,608.0,612.48,148609,91020434.5,6680,28093,18.9,2017,6,2.49,Positive
ITDC,EQ,2017-06-14,608.0,610.4,615.0,601.0,601.3,604.3,607.58,49090,29826271.3,1920,11108,22.63,2017,6,-0.61,Slight negative
ITDC,EQ,2017-06-15,604.3,604.95,622.0,600.5,608.0,606.85,610.23,71653,43724869.05,3847,16390,22.87,2017,6,0.42,Slight
ITDC,EQ,2017-06-16,606.85,610.0,614.8,591.0,594.5,595.6,605.35,51258,31028957.4,1997,15754,30.73,2017,6,-1.85,Negative
ITDC,EQ,2017-06-19,595.6,602.8,611.0,591.25,595.5,594.5,601.68,37445,22529912.35,1705,11351,30.31,2017,6,-0.18,Slight
ITDC,EQ,2017-06-20,594.5,597.9,597.9,565.0,569.95,569.1,577.45,50730,29293786.7,1808,23488,46.3,2017,6,-4.27,Among top losers
ITDC,EQ,2017-06-21,569.1,567.0,587.05,561.1,572.95,571.55,576.22,44493,25637571.55,1655,11478,25.8,2017,6,0.43,Slight
ITDC,EQ,2017-06-22,571.55,575.45,584.75,561.55,564.55,564.55,574.03,31750,18225563.85,1435,8654,27.26,2017,6,-1.22,Negative
ITDC,EQ,2017-06-23,564.55,568.7,569.6,546.25,551.05,549.7,555.65,24651,13697247.45,1282,11046,44.81,2017,6,-2.63,Negative
ITDC,EQ,2017-06-27,549.7,554.45,559.1,527.55,531.05,535.4,540.63,29473,15933972.9,1416,15994,54.27,2017,6,-2.6,Negative
ITDC,EQ,2017-06-28,535.4,532.85,544.85,527.55,528.45,529.85,533.21,26226,13984042.8,1124,11558,44.07,2017,6,-1.04,Negative
ITDC,EQ,2017-06-29,529.85,533.05,554.8,533.0,541.0,538.85,545.0,55181,30073592.9,2219,14517,26.31,2017,6,1.7,Positive
ITDC,EQ,2017-06-30,538.85,538.0,546.0,536.95,538.0,539.95,541.23,38375,20769729.9,1734,11556,30.11,2017,6,0.2,Slight
ITDC,EQ,2017-07-03,539.95,543.0,555.0,540.1,545.5,545.05,546.18,29934,16349361.95,1521,10536,35.2,2017,7,0.94,Slight positive
ITDC,EQ,2017-07-04,545.05,545.15,549.2,530.0,532.75,532.65,539.75,17952,9689653.75,700,8897,49.56,2017,7,-2.28,Negative
ITDC,EQ,2017-07-05,532.65,535.85,548.8,527.55,531.1,531.05,535.76,27209,14577472.85,1356,10680,39.25,2017,7,-0.3,Slight
ITDC,EQ,2017-07-06,531.05,533.75,615.0,532.15,606.8,604.45,591.67,476968,282206277.15,15134,79273,16.62,2017,7,13.82,Bull run
ITDC,EQ,2017-07-07,604.45,604.0,615.1,587.05,590.1,589.7,601.98,138478,83360798.0,5402,36512,26.37,2017,7,-2.44,Negative
ITDC,EQ,2017-07-10,589.7,590.0,597.5,572.0,575.0,575.45,582.88,18844,10983818.95,821,12735,67.58,2017,7,-2.42,Negative
ITDC,EQ,2017-07-11,575.45,579.0,584.7,561.55,565.0,564.5,573.63,43320,24849743.65,1740,19045,43.96,2017,7,-1.9,Negative
ITDC,EQ,2017-07-12,564.5,560.1,615.0,560.1,599.8,600.4,600.38,212183,127390904.25,7564,51657,24.35,2017,7,6.36,Among top gainers
ITDC,EQ,2017-07-13,600.4,604.8,606.8,580.0,583.0,581.55,594.33,60446,35924785.65,2481,21051,34.83,2017,7,-3.14,Among top losers
ITDC,EQ,2017-07-14,581.55,584.7,604.0,579.0,585.0,585.75,591.24,65217,38558739.7,2826,18451,28.29,2017,7,0.72,Slight positive
ITDC,EQ,2017-07-17,585.75,589.5,594.9,575.0,583.5,582.5,584.23,30902,18053965.3,1356,10711,34.66,2017,7,-0.55,Slight negative
ITDC,EQ,2017-07-18,582.5,582.0,591.85,572.5,574.0,574.55,581.85,30371,17671218.0,1654,13193,43.44,2017,7,-1.36,Negative
ITDC,EQ,2017-07-19,574.55,578.0,593.9,574.0,583.7,583.75,585.25,42884,25097774.55,2617,11234,26.2,2017,7,1.6,Positive
ITDC,EQ,2017-07-20,583.75,584.0,586.7,569.0,573.5,572.55,575.95,26378,15192442.55,1384,12495,47.37,2017,7,-1.92,Negative
