,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
0,JETAIRWAYS,EQ,2017-05-15,519.45,520.0,533.4,517.1,527.8,527.5,526.08,1837033,966429811.4,25433,430754,23.45,2017,5,0.0,Slight
1,JETAIRWAYS,EQ,2017-05-16,527.5,527.0,536.5,524.65,534.0,534.15,531.79,1382182,735036275.45,23991,284837,20.61,2017,5,1.26,Positive
2,JETAIRWAYS,EQ,2017-05-17,534.15,532.0,534.75,526.2,530.0,528.9,529.75,690466,365774206.0,10219,53551,7.76,2017,5,-0.98,Slight negative
3,JETAIRWAYS,EQ,2017-05-18,528.9,525.15,538.6,517.5,517.7,522.7,529.55,1701102,900810165.8,25651,309608,18.2,2017,5,-1.17,Negative
4,JETAIRWAYS,EQ,2017-05-19,522.7,525.6,532.9,517.45,521.0,520.4,524.69,1272799,667824672.75,20409,257037,20.19,2017,5,-0.44,Slight
5,JETAIRWAYS,EQ,2017-05-22,520.4,521.7,525.15,469.0,479.5,475.65,491.44,3217513,1581202627.25,46980,659957,20.51,2017,5,-8.6,Bear drop
6,JETAIRWAYS,EQ,2017-05-23,475.65,485.0,489.0,465.3,471.9,472.85,477.05,2924779,1395251624.6,38240,255332,8.73,2017,5,-0.59,Slight negative
7,JETAIRWAYS,EQ,2017-05-24,472.85,473.3,479.9,458.0,466.0,464.8,468.39,2343019,1097440973.45,37266,402723,17.19,2017,5,-1.7,Negative
8,JETAIRWAYS,EQ,2017-05-25,464.8,468.1,473.3,459.9,469.7,468.95,467.5,1917412,896385540.8,25019,435427,22.71,2017,5,0.89,Slight positive
9,JETAIRWAYS,EQ,2017-05-26,468.95,477.7,491.75,475.1,483.75,483.4,484.19,2668448,1292044525.35,29370,350943,13.15,2017,5,3.08,Among top gainers
10,JETAIRWAYS,EQ,2017-05-29,483.4,481.7,485.35,470.0,476.3,474.6,477.85,949984,453951592.6,12123,111663,11.75,2017,5,-1.82,Negative
11,JETAIRWAYS,EQ,2017-05-30,474.6,471.0,475.05,454.5,458.0,459.65,463.0,1804222,835362146.05,23946,259546,14.39,2017,5,-3.15,Among top losers
12,JETAIRWAYS,EQ,2017-05-31,459.65,439.0,482.0,438.25,478.65,477.9,466.81,8231445,3842523967.95,95239,490441,5.96,2017,5,3.97,Among top gainers
13,JETAIRWAYS,EQ,2017-06-01,477.9,481.0,487.5,467.55,485.0,484.5,477.04,2948808,1406713262.5,41770,433395,14.7,2017,6,1.38,Positive
14,JETAIRWAYS,EQ,2017-06-02,484.5,485.0,489.75,478.8,483.8,484.85,484.38,1484965,719287679.35,19135,127407,8.58,2017,6,0.07,Slight
15,JETAIRWAYS,EQ,2017-06-05,484.85,482.0,500.5,479.0,499.85,497.15,490.69,2013452,987985368.7,25179,259591,12.89,2017,6,2.54,Positive
16,JETAIRWAYS,EQ,2017-06-06,497.15,502.5,508.0,493.2,497.7,497.2,500.25,2998048,1499783791.95,37769,239330,7.98,2017,6,0.01,Slight
17,JETAIRWAYS,EQ,2017-06-07,497.2,500.8,515.4,496.0,514.55,509.1,504.11,1886376,950943309.55,24059,376830,19.98,2017,6,2.39,Positive
18,JETAIRWAYS,EQ,2017-06-08,509.1,524.0,527.0,516.0,520.0,519.8,521.62,3777232,1970264565.7,46564,326511,8.64,2017,6,2.1,Positive
19,JETAIRWAYS,EQ,2017-06-09,519.8,520.9,530.5,514.55,528.7,527.95,523.3,2236841,1170539767.7,30138,285844,12.78,2017,6,1.57,Positive
20,JETAIRWAYS,EQ,2017-06-12,527.95,524.0,538.6,524.0,534.8,534.8,533.72,2316549,1236378972.35,38546,322264,13.91,2017,6,1.3,Positive
21,JETAIRWAYS,EQ,2017-06-13,534.8,535.1,539.95,528.3,529.1,530.3,534.91,1802366,964101900.45,23646,270187,14.99,2017,6,-0.84,Slight negative
