,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
0,JKLAKSHMI,EQ,2017-05-15,504.3,504.0,519.4,504.0,511.0,510.8,512.21,65942,33775964.9,2066,34858,52.86,2017,5,0.0,Slight
1,JKLAKSHMI,EQ,2017-05-16,510.8,514.6,532.95,513.0,532.0,527.5,521.11,161032,83916057.45,4959,94000,58.37,2017,5,0.03,Slight
2,JKLAKSHMI,EQ,2017-05-17,527.5,530.9,536.95,513.0,513.9,516.2,523.78,95207,49867819.25,2878,57507,60.4,2017,5,-0.02,Slight
3,JKLAKSHMI,EQ,2017-05-18,516.2,491.7,504.0,472.0,484.55,478.95,482.76,493737,238354954.1,14686,243734,49.37,2017,5,-0.07,Slight
4,JKLAKSHMI,EQ,2017-05-19,478.95,481.8,488.85,465.0,469.0,469.55,483.69,334922,161996878.05,15246,248638,74.24,2017,5,-0.02,Slight
5,JKLAKSHMI,EQ,2017-05-22,469.55,477.05,477.8,465.6,475.9,475.75,473.27,89813,42505797.5,4030,57661,64.2,2017,5,0.01,Slight
6,JKLAKSHMI,EQ,2017-05-23,475.75,475.0,488.8,471.05,480.4,485.6,483.17,207823,100413983.0,5890,148141,71.28,2017,5,0.02,Slight
7,JKLAKSHMI,EQ,2017-05-24,485.6,485.9,491.0,473.0,478.0,481.9,485.3,171731,83340599.35,19884,100506,58.53,2017,5,-0.01,Slight
8,JKLAKSHMI,EQ,2017-05-25,481.9,480.0,483.8,467.55,482.0,478.05,473.46,61135,28944914.25,2598,32046,52.42,2017,5,-0.01,Slight
9,JKLAKSHMI,EQ,2017-05-26,478.05,479.5,486.0,473.0,481.0,481.15,479.95,59289,28455901.1,2027,43116,72.72,2017,5,0.01,Slight
10,JKLAKSHMI,EQ,2017-05-29,481.15,484.25,511.0,478.1,495.0,496.3,498.05,297128,147983393.55,9959,192069,64.64,2017,5,0.03,Slight
11,JKLAKSHMI,EQ,2017-05-30,496.3,495.9,500.8,482.0,493.05,495.4,496.04,91024,45151121.6,2538,60717,66.7,2017,5,-0.0,Slight
12,JKLAKSHMI,EQ,2017-05-31,495.4,495.4,500.85,488.0,488.5,489.5,492.16,92350,45451247.3,2987,64584,69.93,2017,5,-0.01,Slight
13,JKLAKSHMI,EQ,2017-06-01,489.5,484.5,494.9,484.5,485.05,485.9,489.49,23680,11591067.8,1818,13673,57.74,2017,6,-0.01,Slight
14,JKLAKSHMI,EQ,2017-06-02,485.9,486.0,496.45,485.1,490.5,488.85,489.62,59652,29206577.55,2202,44274,74.22,2017,6,0.01,Slight
15,JKLAKSHMI,EQ,2017-06-05,488.85,490.0,504.4,488.85,499.05,498.9,496.5,129970,64530465.8,3453,86437,66.51,2017,6,0.02,Slight
16,JKLAKSHMI,EQ,2017-06-06,498.9,492.1,498.9,485.2,491.4,490.2,490.81,173293,85053174.2,4931,102666,59.24,2017,6,-0.02,Slight
17,JKLAKSHMI,EQ,2017-06-07,490.2,492.65,493.95,484.2,487.6,487.25,487.22,48764,23758936.35,1745,28165,57.76,2017,6,-0.01,Slight
18,JKLAKSHMI,EQ,2017-06-08,487.25,486.55,489.4,479.0,482.5,483.1,482.71,87483,42228930.3,2212,43402,49.61,2017,6,-0.01,Slight
19,JKLAKSHMI,EQ,2017-06-09,483.1,487.85,487.85,478.5,480.0,480.4,481.4,50889,24497718.6,3047,30241,59.43,2017,6,-0.01,Slight
20,JKLAKSHMI,EQ,2017-06-12,480.4,480.4,483.8,466.6,468.5,473.8,477.92,36947,17657796.5,1908,25896,70.09,2017,6,-0.01,Slight
21,JKLAKSHMI,EQ,2017-06-13,473.8,471.8,476.7,463.9,475.0,472.1,468.02,114328,53507992.75,5252,85467,74.76,2017,6,-0.0,Slight
22,JKLAKSHMI,EQ,2017-06-14,472.1,469.35,486.0,469.35,486.0,482.3,479.22,44130,21147818.25,2433,20237,45.86,2017,6,0.02,Slight
23,JKLAKSHMI,EQ,2017-06-15,482.3,482.0,486.8,475.0,480.0,478.2,480.8,25430,12226723.75,1047,15726,61.84,2017,6,-0.01,Slight
24,JKLAKSHMI,EQ,2017-06-16,478.2,476.75,502.95,476.75,494.8,496.95,495.56,173854,86155049.7,3746,139140,80.03,2017,6,0.04,Slight
25,JKLAKSHMI,EQ,2017-06-19,496.95,507.0,508.65,493.9,495.0,495.25,499.95,63885,31939035.2,2232,38210,59.81,2017,6,-0.0,Slight
26,JKLAKSHMI,EQ,2017-06-20,495.25,499.5,499.5,480.55,483.0,484.4,488.88,35115,17167015.45,1196,19643,55.94,2017,6,-0.02,Slight
27,JKLAKSHMI,EQ,2017-06-21,484.4,481.0,496.45,475.2,493.0,494.85,491.23,112138,55085419.1,3229,69765,62.21,2017,6,0.02,Slight
28,JKLAKSHMI,EQ,2017-06-22,494.85,495.75,499.35,487.0,487.75,488.9,491.3,50737,24927172.65,2059,25055,49.38,2017,6,-0.01,Slight
29,JKLAKSHMI,EQ,2017-06-23,488.9,490.0,495.75,480.0,489.5,489.6,489.39,52664,25773328.4,2011,30790,58.46,2017,6,0.0,Slight
30,JKLAKSHMI,EQ,2017-06-27,489.6,486.6,495.05,484.05,495.0,493.3,490.31,51831,25413180.75,1620,38270,73.84,2017,6,0.01,Slight
31,JKLAKSHMI,EQ,2017-06-28,493.3,493.8,494.7,481.5,483.0,484.0,486.75,26726,13008870.95,3383,16410,61.4,2017,6,-0.02,Slight
32,JKLAKSHMI,EQ,2017-06-29,484.0,482.25,489.45,479.95,485.5,482.95,484.77,40889,19821947.2,1952,26275,64.26,2017,6,-0.0,Slight
33,JKLAKSHMI,EQ,2017-06-30,482.95,482.95,492.1,472.0,485.0,484.9,483.07,70767,34185673.35,5131,42785,60.46,2017,6,0.0,Slight
34,JKLAKSHMI,EQ,2017-07-03,484.9,489.5,489.5,478.0,479.4,479.5,482.7,39393,19014918.15,1752,26852,68.16,2017,7,-0.01,Slight
35,JKLAKSHMI,EQ,2017-07-04,479.5,480.1,487.0,472.85,473.1,476.1,481.31,70453,33909673.75,3225,56324,79.95,2017,7,-0.01,Slight
36,JKLAKSHMI,EQ,2017-07-05,476.1,475.75,480.0,473.95,474.95,474.6,477.06,35367,16872342.45,1474,22114,62.53,2017,7,-0.0,Slight
37,JKLAKSHMI,EQ,2017-07-06,474.6,475.0,479.0,473.3,475.0,474.55,475.41,36018,17123197.35,1677,24104,66.92,2017,7,-0.0,Slight
38,JKLAKSHMI,EQ,2017-07-07,474.55,473.0,473.85,468.45,470.0,470.25,470.31,57403,26997278.6,3535,42212,73.54,2017,7,-0.01,Slight
39,JKLAKSHMI,EQ,2017-07-10,470.25,470.0,474.6,467.6,469.5,470.85,471.33,5604,2641331.15,307,2875,51.3,2017,7,0.0,Slight
40,JKLAKSHMI,EQ,2017-07-11,470.85,470.85,478.95,462.6,465.0,464.55,471.01,135124,63644720.55,2736,91880,68.0,2017,7,-0.01,Slight
41,JKLAKSHMI,EQ,2017-07-12,464.55,465.45,472.7,459.0,470.9,470.35,467.99,59029,27624984.55,2700,32145,54.46,2017,7,0.01,Slight
42,JKLAKSHMI,EQ,2017-07-13,470.35,474.5,476.55,467.0,468.0,469.7,473.09,189911,89844916.0,8046,142917,75.25,2017,7,-0.0,Slight
