,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
0,LAXMIMACH,EQ,2017-05-15,4552.4,4619.95,4670.0,4550.05,4606.0,4614.05,4629.76,4275,19792243.95,1097,2447,57.24,2017,5,0.0,Slight
1,LAXMIMACH,EQ,2017-05-16,4614.05,4566.05,4650.0,4564.1,4582.0,4589.8,4612.18,4467,20602592.7,805,2961,66.29,2017,5,-0.01,Slight
2,LAXMIMACH,EQ,2017-05-17,4589.8,4500.0,4675.2,4500.0,4610.0,4637.25,4608.88,6320,29128119.85,1035,2876,45.51,2017,5,0.01,Slight
3,LAXMIMACH,EQ,2017-05-18,4637.25,4599.95,4624.8,4515.1,4515.1,4544.45,4567.74,4500,20554835.9,831,2776,61.69,2017,5,-0.02,Slight
4,LAXMIMACH,EQ,2017-05-19,4544.45,4586.9,4648.0,4490.0,4521.0,4522.7,4556.21,4190,19090528.5,990,1944,46.4,2017,5,-0.0,Slight
5,LAXMIMACH,EQ,2017-05-22,4522.7,4599.0,4599.0,4451.15,4451.15,4462.6,4506.94,2424,10924821.75,513,1730,71.37,2017,5,-0.01,Slight
6,LAXMIMACH,EQ,2017-05-23,4462.6,4493.1,4535.0,4316.5,4369.65,4371.45,4404.49,4562,20093272.8,1251,2088,45.77,2017,5,-0.02,Slight
7,LAXMIMACH,EQ,2017-05-24,4371.45,4388.05,4444.0,4351.1,4355.0,4360.35,4409.06,4432,19540953.2,960,3203,72.27,2017,5,-0.0,Slight
8,LAXMIMACH,EQ,2017-05-25,4360.35,4336.55,4416.0,4336.55,4402.25,4405.8,4390.88,2897,12720380.55,608,1900,65.59,2017,5,0.01,Slight
9,LAXMIMACH,EQ,2017-05-26,4405.8,4377.4,4588.95,4377.4,4500.0,4499.05,4502.75,5362,24143770.25,1355,3328,62.07,2017,5,0.02,Slight
10,LAXMIMACH,EQ,2017-05-29,4499.05,4476.85,4525.15,4465.0,4506.0,4497.1,4492.95,2381,10697707.45,779,1361,57.16,2017,5,-0.0,Slight
11,LAXMIMACH,EQ,2017-05-30,4497.1,4483.9,4698.0,4455.0,4648.0,4629.65,4613.15,18428,85011082.8,1690,15983,86.73,2017,5,0.03,Slight
12,LAXMIMACH,EQ,2017-05-31,4629.65,4655.05,4658.0,4610.0,4610.35,4624.7,4632.02,4394,20353094.0,1341,2837,64.57,2017,5,-0.0,Slight
13,LAXMIMACH,EQ,2017-06-01,4624.7,4650.0,4818.15,4640.0,4755.0,4755.7,4748.13,15356,72912279.7,2855,8211,53.47,2017,6,0.03,Slight
14,LAXMIMACH,EQ,2017-06-02,4755.7,4760.0,4989.0,4756.05,4920.0,4952.05,4867.63,22647,110237223.2,3764,10591,46.77,2017,6,0.04,Slight
15,LAXMIMACH,EQ,2017-06-05,4952.05,4988.0,5136.0,4958.05,5070.0,5076.9,5057.64,18306,92585191.3,2800,9393,51.31,2017,6,0.03,Slight
16,LAXMIMACH,EQ,2017-06-06,5076.9,5070.0,5179.0,5031.0,5040.0,5059.35,5121.33,12467,63847680.8,2047,6853,54.97,2017,6,-0.0,Slight
17,LAXMIMACH,EQ,2017-06-07,5059.35,5015.0,5120.0,5015.0,5070.0,5047.95,5060.19,3363,17017405.75,912,1987,59.08,2017,6,-0.0,Slight
18,LAXMIMACH,EQ,2017-06-08,5047.95,5077.95,5312.0,5035.0,5175.85,5192.55,5218.37,20188,105348442.75,3871,7306,36.19,2017,6,0.03,Slight
19,LAXMIMACH,EQ,2017-06-09,5192.55,5199.95,5318.3,5144.95,5299.9,5283.7,5244.05,9615,50421514.85,2437,5196,54.04,2017,6,0.02,Slight
20,LAXMIMACH,EQ,2017-06-12,5283.7,5290.0,5359.0,5151.0,5175.05,5179.9,5256.65,7556,39719233.95,1363,3416,45.21,2017,6,-0.02,Slight
21,LAXMIMACH,EQ,2017-06-13,5179.9,5276.0,5294.95,5190.0,5200.0,5216.0,5248.28,5205,27317282.1,1224,2084,40.04,2017,6,0.01,Slight
22,LAXMIMACH,EQ,2017-06-14,5216.0,5216.0,5377.7,5210.0,5330.0,5304.9,5309.34,13478,71559286.65,2659,4332,32.14,2017,6,0.02,Slight
23,LAXMIMACH,EQ,2017-06-15,5304.9,5339.0,5349.95,5190.1,5203.0,5216.2,5271.0,4866,25648694.7,1119,3197,65.7,2017,6,-0.02,Slight
24,LAXMIMACH,EQ,2017-06-16,5216.2,5221.3,5258.0,5190.1,5210.25,5214.9,5228.04,3767,19694019.85,738,1995,52.96,2017,6,-0.0,Slight
25,LAXMIMACH,EQ,2017-06-19,5214.9,5214.0,5257.7,5125.0,5149.0,5154.4,5156.65,6728,34693942.65,935,5316,79.01,2017,6,-0.01,Slight
26,LAXMIMACH,EQ,2017-06-20,5154.4,5150.0,5187.3,5061.0,5071.0,5074.85,5126.66,3865,19814546.0,758,3012,77.93,2017,6,-0.02,Slight
27,LAXMIMACH,EQ,2017-06-21,5074.85,5011.0,5117.85,5011.0,5052.0,5067.4,5061.71,4718,23881153.7,746,2972,62.99,2017,6,-0.0,Slight
28,LAXMIMACH,EQ,2017-06-22,5067.4,5129.7,5163.0,5030.0,5050.0,5048.9,5091.82,3643,18549483.65,797,2642,72.52,2017,6,-0.0,Slight
29,LAXMIMACH,EQ,2017-06-23,5048.9,5135.0,5135.0,4925.0,4949.7,4940.85,4964.11,4138,20541506.9,1066,2657,64.21,2017,6,-0.02,Slight
30,LAXMIMACH,EQ,2017-06-27,4940.85,5040.0,5040.0,4835.65,4880.0,4875.15,4879.38,4356,21254571.5,1141,2558,58.72,2017,6,-0.01,Slight
31,LAXMIMACH,EQ,2017-06-28,4875.15,4810.0,5045.8,4810.0,4908.6,4884.5,4908.64,2454,12045805.25,887,1409,57.42,2017,6,0.0,Slight
32,LAXMIMACH,EQ,2017-06-29,4884.5,4883.6,4975.0,4868.05,4905.0,4905.65,4920.31,2122,10440891.25,614,1423,67.06,2017,6,0.0,Slight
33,LAXMIMACH,EQ,2017-06-30,4905.65,4940.0,5139.8,4864.0,5105.0,5055.55,5022.98,5268,26461078.95,1016,3779,71.74,2017,6,0.03,Slight
34,LAXMIMACH,EQ,2017-07-03,5055.55,5099.55,5494.0,5060.05,5434.0,5421.65,5346.25,30277,161868391.85,5699,11821,39.04,2017,7,0.07,Slight
35,LAXMIMACH,EQ,2017-07-04,5421.65,5470.0,5568.9,5405.05,5422.0,5427.35,5480.26,10224,56030186.4,2652,3693,36.12,2017,7,0.0,Slight
36,LAXMIMACH,EQ,2017-07-05,5427.35,5469.95,5536.0,5360.1,5365.0,5378.65,5454.87,9717,53004963.4,1938,4959,51.03,2017,7,-0.01,Slight
37,LAXMIMACH,EQ,2017-07-06,5378.65,5365.0,5495.95,5297.3,5344.9,5331.25,5401.46,5053,27293568.3,1437,2602,51.49,2017,7,-0.01,Slight
38,LAXMIMACH,EQ,2017-07-07,5331.25,5320.0,5369.0,5301.0,5318.0,5320.35,5327.3,4194,22342681.0,594,3212,76.59,2017,7,-0.0,Slight
39,LAXMIMACH,EQ,2017-07-10,5320.35,5400.0,5450.0,5365.0,5380.0,5396.15,5402.15,804,4343327.95,218,551,68.53,2017,7,0.01,Slight
40,LAXMIMACH,EQ,2017-07-11,5396.15,5448.95,5448.95,5346.2,5387.0,5374.1,5401.92,2616,14131423.25,624,1432,54.74,2017,7,-0.0,Slight
41,LAXMIMACH,EQ,2017-07-12,5374.1,5400.0,5410.0,5340.0,5350.0,5361.1,5376.2,1501,8069675.5,374,1034,68.89,2017,7,-0.0,Slight
42,LAXMIMACH,EQ,2017-07-13,5361.1,5378.05,5378.05,5290.9,5348.0,5313.6,5331.31,3932,20962699.65,935,1864,47.41,2017,7,-0.01,Slight
43,LAXMIMACH,EQ,2017-07-14,5313.6,5376.95,5376.95,5216.15,5272.0,5281.85,5280.9,3383,17865276.75,919,1894,55.99,2017,7,-0.01,Slight
44,LAXMIMACH,EQ,2017-07-17,5281.85,5280.05,5393.95,5250.0,5335.0,5354.6,5349.96,3479,18612516.05,945,2134,61.34,2017,7,0.01,Slight
45,LAXMIMACH,EQ,2017-07-18,5354.6,5349.95,5349.95,5282.0,5292.0,5289.9,5302.07,4166,22088427.7,618,3745,89.89,2017,7,-0.01,Slight
46,LAXMIMACH,EQ,2017-07-19,5289.9,5311.85,5469.95,5255.0,5358.4,5380.5,5409.61,7176,38819389.85,1412,3618,50.42,2017,7,0.02,Slight
47,LAXMIMACH,EQ,2017-07-20,5380.5,5335.0,5401.0,5335.0,5335.1,5347.05,5362.32,2407,12907104.0,818,1564,64.98,2017,7,-0.01,Slight
48,LAXMIMACH,EQ,2017-07-21,5347.05,5391.4,5391.4,5289.95,5291.5,5297.75,5325.54,1964,10459364.4,405,1539,78.36,2017,7,-0.01,Slight
49,LAXMIMACH,EQ,2017-07-24,5297.75,5251.0,5348.95,5251.0,5290.0,5291.35,5310.83,1272,6755380.8,408,825,64.86,2017,7,-0.0,Slight
50,LAXMIMACH,EQ,2017-07-25,5291.35,5254.6,5325.0,5221.4,5240.0,5245.75,5260.35,2755,14492261.1,480,2079,75.46,2017,7,-0.01,Slight
51,LAXMIMACH,EQ,2017-07-26,5245.75,5283.45,5300.0,5241.0,5294.7,5275.6,5274.7,29664,156468718.5,966,28131,94.83,2017,7,0.01,Slight
52,LAXMIMACH,EQ,2017-07-27,5275.6,5252.05,5599.0,5250.0,5500.05,5524.05,5447.97,15334,83539164.4,2795,8621,56.22,2017,7,0.05,Slight
53,LAXMIMACH,EQ,2017-07-28,5524.05,5433.0,5893.75,5433.0,5760.0,5754.3,5751.57,48805,280705224.2,5577,37969,77.8,2017,7,0.04,Slight
54,LAXMIMACH,EQ,2017-07-31,5754.3,5753.0,5990.0,5753.0,5920.0,5913.5,5854.69,20190,118206175.2,2116,14748,73.05,2017,7,0.03,Slight
55,LAXMIMACH,EQ,2017-08-01,5913.5,5950.0,5989.0,5853.8,5885.0,5900.7,5924.03,6010,35603412.6,1177,3954,65.79,2017,8,-0.0,Slight
56,LAXMIMACH,EQ,2017-08-02,5900.7,5888.0,5910.0,5850.0,5860.0,5874.25,5887.86,3773,22214898.6,641,2684,71.14,2017,8,-0.0,Slight
57,LAXMIMACH,EQ,2017-08-03,5874.25,5870.05,5910.0,5670.0,5820.0,5793.85,5799.78,6360,36886573.4,1358,3875,60.93,2017,8,-0.01,Slight
58,LAXMIMACH,EQ,2017-08-04,5793.85,5873.35,5873.4,5691.0,5852.0,5834.1,5799.38,3201,18563800.3,800,2030,63.42,2017,8,0.01,Slight
59,LAXMIMACH,EQ,2017-08-07,5834.1,5838.0,6045.0,5838.0,5899.0,5891.85,5938.59,29019,172331799.0,5347,8013,27.61,2017,8,0.01,Slight
60,LAXMIMACH,EQ,2017-08-08,5891.85,5939.95,5939.95,5850.0,5910.0,5895.2,5894.98,8556,50437480.85,2241,6132,71.67,2017,8,0.0,Slight
61,LAXMIMACH,EQ,2017-08-09,5895.2,5899.95,5975.0,5827.0,5875.0,5884.45,5866.18,3695,21675526.1,572,2729,73.86,2017,8,-0.0,Slight
62,LAXMIMACH,EQ,2017-08-10,5884.45,5850.15,5897.2,5760.0,5815.0,5809.7,5835.0,8311,48494688.6,1271,6472,77.87,2017,8,-0.01,Slight
