,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
0,LUXIND,EQ,2017-05-15,819.5,822.0,824.2,817.1,819.0,819.6,819.78,3182,2608550.05,149,2498,78.5,2017,5,0.0,Slight
1,LUXIND,EQ,2017-05-16,819.6,830.0,830.0,815.0,820.0,817.5,820.12,7161,5872873.95,328,6192,86.47,2017,5,-0.0,Slight
2,LUXIND,EQ,2017-05-17,817.5,810.05,822.7,807.8,821.0,819.8,817.77,5347,4372630.55,322,3914,73.2,2017,5,0.0,Slight
3,LUXIND,EQ,2017-05-18,819.8,815.2,835.0,815.2,818.0,820.05,824.05,5656,4660844.55,308,4032,71.29,2017,5,0.0,Slight
4,LUXIND,EQ,2017-05-19,820.05,833.85,835.0,811.25,817.0,817.8,819.67,5101,4181112.75,263,3856,75.59,2017,5,-0.0,Slight
5,LUXIND,EQ,2017-05-22,817.8,824.95,824.95,810.25,820.0,817.05,816.31,3114,2541990.15,170,2227,71.52,2017,5,-0.0,Slight
6,LUXIND,EQ,2017-05-23,817.05,823.8,830.0,770.0,829.95,807.3,792.86,27937,22150051.25,1311,16733,59.9,2017,5,-0.01,Slight
7,LUXIND,EQ,2017-05-24,807.3,806.6,812.0,787.2,790.0,792.0,797.8,8642,6894624.4,822,5501,63.65,2017,5,-0.02,Slight
8,LUXIND,EQ,2017-05-25,792.0,795.1,820.0,765.0,810.0,807.3,792.77,32330,25630249.55,2056,21791,67.4,2017,5,0.02,Slight
9,LUXIND,EQ,2017-05-26,807.3,820.0,828.95,800.0,810.0,811.45,814.39,43671,35565248.75,1944,20269,46.41,2017,5,0.01,Slight
10,LUXIND,EQ,2017-05-29,811.45,819.95,819.95,795.1,795.1,799.55,803.76,3544,2848540.65,471,2001,56.46,2017,5,-0.01,Slight
11,LUXIND,EQ,2017-05-30,799.55,800.05,800.05,790.35,790.35,792.85,793.07,2069,1640851.6,271,1027,49.64,2017,5,-0.01,Slight
12,LUXIND,EQ,2017-05-31,792.85,790.05,800.0,790.05,800.0,796.75,796.28,2073,1650697.5,193,1291,62.28,2017,5,0.0,Slight
13,LUXIND,EQ,2017-06-01,796.75,799.95,800.0,788.05,788.25,789.15,794.15,3489,2770779.85,231,2818,80.77,2017,6,-0.01,Slight
14,LUXIND,EQ,2017-06-02,789.15,795.05,834.0,791.0,815.0,817.5,820.7,69170,56768124.1,3697,22713,32.84,2017,6,0.04,Slight
15,LUXIND,EQ,2017-06-05,817.5,828.0,849.0,827.9,829.5,834.65,838.12,27103,22715649.25,1563,12761,47.08,2017,6,0.02,Slight
16,LUXIND,EQ,2017-06-06,834.65,829.5,909.0,815.0,863.0,867.65,873.95,243523,212825897.6,11540,35941,14.76,2017,6,0.04,Slight
17,LUXIND,EQ,2017-06-07,867.65,878.75,905.0,872.0,900.0,896.65,891.82,65488,58403557.4,2859,31258,47.73,2017,6,0.03,Slight
18,LUXIND,EQ,2017-06-08,896.65,900.0,905.0,876.0,881.0,881.05,891.41,20068,17888886.05,1272,7094,35.35,2017,6,-0.02,Slight
19,LUXIND,EQ,2017-06-09,881.05,889.75,920.0,881.05,903.3,904.95,905.0,41686,37725865.65,2273,13814,33.14,2017,6,0.03,Slight
20,LUXIND,EQ,2017-06-12,904.95,899.8,943.0,882.3,938.0,923.9,917.99,68522,62902826.35,2459,37568,54.83,2017,6,0.02,Slight
21,LUXIND,EQ,2017-06-13,923.9,939.95,945.0,901.0,912.0,924.3,928.79,146891,136431255.6,3886,82938,56.46,2017,6,0.0,Slight
22,LUXIND,EQ,2017-06-14,924.3,929.0,1079.95,927.0,1050.5,1044.6,1020.76,1121584,1144871240.75,44658,222695,19.86,2017,6,0.13,Slight
23,LUXIND,EQ,2017-06-15,1044.6,1044.6,1115.0,1040.0,1087.0,1085.0,1087.04,643703,699728242.05,26466,94062,14.61,2017,6,0.04,Slight
24,LUXIND,EQ,2017-06-16,1085.0,1094.9,1111.95,1075.0,1089.0,1087.45,1087.96,129836,141255833.1,5527,38312,29.51,2017,6,0.0,Slight
25,LUXIND,EQ,2017-06-19,1087.45,1099.9,1118.4,1081.2,1085.0,1089.9,1099.38,122683,134875684.1,5337,24589,20.04,2017,6,0.0,Slight
26,LUXIND,EQ,2017-06-20,1089.9,1094.7,1105.0,1082.25,1085.0,1086.75,1091.32,46608,50864208.05,1947,15898,34.11,2017,6,-0.0,Slight
27,LUXIND,EQ,2017-06-21,1086.75,1088.0,1098.8,1072.1,1075.25,1081.1,1087.65,56239,61168119.65,2280,13944,24.79,2017,6,-0.01,Slight
28,LUXIND,EQ,2017-06-22,1081.1,1084.75,1094.4,1072.1,1075.0,1075.9,1082.45,32898,35610312.55,1798,16986,51.63,2017,6,-0.0,Slight
29,LUXIND,EQ,2017-06-23,1075.9,1070.0,1081.75,1003.6,1015.0,1014.65,1022.71,52072,53254461.75,2703,23979,46.05,2017,6,-0.06,Slight
30,LUXIND,EQ,2017-06-27,1014.65,1015.1,1060.0,1011.1,1024.95,1029.85,1028.79,70031,72047254.85,2808,40539,57.89,2017,6,0.01,Slight
31,LUXIND,EQ,2017-06-28,1029.85,1036.0,1042.0,1005.1,1015.9,1011.15,1020.03,12048,12289273.8,834,6192,51.39,2017,6,-0.02,Slight
32,LUXIND,EQ,2017-06-29,1011.15,1025.0,1040.0,1010.0,1012.0,1014.15,1024.85,18399,18856243.25,996,8453,45.94,2017,6,0.0,Slight
33,LUXIND,EQ,2017-06-30,1014.15,1014.95,1040.0,1004.05,1015.0,1012.4,1021.11,27547,28128518.55,1652,10053,36.49,2017,6,-0.0,Slight
34,LUXIND,EQ,2017-07-03,1012.4,1010.0,1028.0,1010.0,1010.0,1013.8,1017.24,15694,15964607.05,934,7789,49.63,2017,7,0.0,Slight
35,LUXIND,EQ,2017-07-04,1013.8,1023.0,1103.0,1020.0,1071.85,1079.6,1080.16,183662,198383573.8,7947,35926,19.56,2017,7,0.06,Slight
