Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
MINDAIND,EQ,2017-05-15,495.65,495.95,522.0,495.9,522.0,517.9,514.9,110264,56774826.35,3648,68819,62.41,2017,5,0.0,Slight
MINDAIND,EQ,2017-05-16,517.9,523.7,568.0,500.1,551.0,545.6,543.53,1185514,644366847.3,28000,220287,18.58,2017,5,5.35,Among top gainers
MINDAIND,EQ,2017-05-17,545.6,555.0,571.0,541.15,559.0,560.1,558.38,465042,259668618.65,14208,181463,39.02,2017,5,2.66,Positive
MINDAIND,EQ,2017-05-18,560.1,556.95,558.0,542.2,547.0,545.25,551.99,90333,49863139.2,3951,47989,53.12,2017,5,-2.65,Negative
MINDAIND,EQ,2017-05-19,545.25,549.7,588.8,547.0,560.0,560.8,568.56,371398,211163187.55,10466,184909,49.79,2017,5,2.85,Positive
MINDAIND,EQ,2017-05-22,560.8,563.0,576.4,560.0,565.05,564.05,567.88,138675,78750999.4,4642,67056,48.35,2017,5,0.58,Slight positive
MINDAIND,EQ,2017-05-23,564.05,569.0,569.9,535.8,551.1,552.9,549.15,106114,58272252.6,5351,54683,51.53,2017,5,-1.98,Negative
MINDAIND,EQ,2017-05-24,552.9,558.85,574.0,549.95,558.7,555.55,562.32,105480,59313137.2,5337,45363,43.01,2017,5,0.48,Slight
MINDAIND,EQ,2017-05-25,555.55,553.45,571.0,553.45,571.0,568.9,565.53,49019,27721802.15,2056,26919,54.92,2017,5,2.4,Positive
MINDAIND,EQ,2017-05-26,568.9,574.3,607.0,568.55,597.0,596.15,593.38,168413,99932532.45,8374,62260,36.97,2017,5,4.79,Among top gainers
MINDAIND,EQ,2017-05-29,596.15,601.45,618.8,595.1,611.0,607.2,607.32,126105,76585904.5,4735,56431,44.75,2017,5,1.85,Positive
MINDAIND,EQ,2017-05-30,607.2,608.0,617.9,598.3,607.0,605.05,607.61,75919,46128924.85,3020,29392,38.71,2017,5,-0.35,Slight
MINDAIND,EQ,2017-05-31,605.05,608.0,633.4,606.55,629.05,627.3,622.77,98244,61183587.5,4743,40720,41.45,2017,5,3.68,Among top gainers
MINDAIND,EQ,2017-06-01,627.3,630.05,641.35,625.0,626.0,625.9,632.15,87292,55181660.25,3180,49236,56.4,2017,6,-0.22,Slight
MINDAIND,EQ,2017-06-02,625.9,630.0,630.0,610.0,620.05,619.3,622.43,65991,41074471.9,2733,33677,51.03,2017,6,-1.05,Negative
MINDAIND,EQ,2017-06-05,619.3,624.4,632.8,620.0,627.0,627.75,628.49,52506,32999356.05,3399,31827,60.62,2017,6,1.36,Positive
MINDAIND,EQ,2017-06-06,627.75,627.7,630.0,615.55,623.1,628.7,627.35,37754,23684833.4,2704,22786,60.35,2017,6,0.15,Slight
MINDAIND,EQ,2017-06-07,628.7,628.6,630.0,619.95,624.95,623.85,626.13,24800,15528010.35,2293,17173,69.25,2017,6,-0.77,Slight negative
MINDAIND,EQ,2017-06-08,623.85,626.25,648.45,618.3,618.3,621.8,632.23,100318,63423767.35,5144,59997,59.81,2017,6,-0.33,Slight
MINDAIND,EQ,2017-06-09,621.8,624.95,629.0,621.0,626.0,623.7,625.69,44349,27748719.55,2205,27165,61.25,2017,6,0.31,Slight
MINDAIND,EQ,2017-06-12,623.7,617.05,623.9,593.55,600.0,597.85,602.3,167130,100663176.5,7564,109578,65.56,2017,6,-4.14,Among top losers
MINDAIND,EQ,2017-06-13,597.85,596.0,614.0,585.9,593.0,595.35,601.77,71121,42798559.4,5168,35392,49.76,2017,6,-0.42,Slight
MINDAIND,EQ,2017-06-14,595.35,595.4,606.4,594.05,596.5,596.4,599.97,44584,26749065.5,3946,29474,66.11,2017,6,0.18,Slight
MINDAIND,EQ,2017-06-15,596.4,596.5,601.2,593.1,596.0,596.3,596.53,52101,31079662.95,2868,40841,78.39,2017,6,-0.02,Slight
MINDAIND,EQ,2017-06-16,596.3,597.1,598.35,586.7,591.0,591.15,591.1,56927,33649733.35,2913,36038,63.31,2017,6,-0.86,Slight negative
MINDAIND,EQ,2017-06-19,591.15,592.4,608.9,592.4,607.4,606.65,601.49,115564,69511025.55,2358,88525,76.6,2017,6,2.62,Positive
MINDAIND,EQ,2017-06-20,606.65,609.85,612.5,600.9,607.0,607.15,608.19,37923,23064569.5,2267,18985,50.06,2017,6,0.08,Slight
MINDAIND,EQ,2017-06-21,607.15,610.1,610.1,595.1,598.6,598.4,602.98,26194,15794531.8,2015,18328,69.97,2017,6,-1.44,Negative
MINDAIND,EQ,2017-06-22,598.4,598.6,608.0,596.65,600.0,598.55,600.7,42213,25357223.85,2340,23717,56.18,2017,6,0.03,Slight
MINDAIND,EQ,2017-06-23,598.55,605.0,607.85,597.55,604.0,604.3,601.41,66166,39793094.1,5282,53321,80.59,2017,6,0.96,Slight positive
MINDAIND,EQ,2017-06-27,604.3,607.0,609.0,598.0,599.0,600.45,601.8,28422,17104381.4,1093,21778,76.62,2017,6,-0.64,Slight negative
MINDAIND,EQ,2017-06-28,600.45,600.05,608.0,598.55,602.0,604.05,602.82,25552,15403229.75,1996,20774,81.3,2017,6,0.6,Slight positive
MINDAIND,EQ,2017-06-29,604.05,608.0,631.15,607.0,628.8,628.25,622.97,89087,55498324.45,3341,58129,65.25,2017,6,4.01,Among top gainers
MINDAIND,EQ,2017-06-30,628.25,628.25,644.8,614.85,643.9,640.35,631.55,82339,52001214.65,5912,48439,58.83,2017,6,1.93,Positive
MINDAIND,EQ,2017-07-03,640.35,646.2,660.25,631.55,655.0,652.65,654.44,133001,87040625.1,3866,85101,63.99,2017,7,1.92,Positive
MINDAIND,EQ,2017-07-04,652.65,658.65,664.4,648.0,651.0,656.75,655.99,49092,32203722.2,2393,21934,44.68,2017,7,0.63,Slight positive
MINDAIND,EQ,2017-07-05,656.75,651.05,687.35,651.05,670.0,671.8,669.53,338451,226603130.0,6716,221471,65.44,2017,7,2.29,Positive
MINDAIND,EQ,2017-07-06,671.8,675.95,685.0,665.0,672.0,670.55,675.83,72103,48729196.2,3529,37727,52.32,2017,7,-0.19,Slight
MINDAIND,EQ,2017-07-07,670.55,673.0,677.95,650.4,672.75,670.7,668.41,47672,31864604.1,2527,24820,52.06,2017,7,0.02,Slight
MINDAIND,EQ,2017-07-10,670.7,672.0,675.5,655.0,672.05,672.45,672.37,8188,5505349.4,262,6396,78.11,2017,7,0.26,Slight
MINDAIND,EQ,2017-07-11,672.45,678.95,683.45,670.05,675.4,674.1,675.57,73258,49491056.55,4501,49472,67.53,2017,7,0.25,Slight
MINDAIND,EQ,2017-07-12,674.1,676.95,685.0,674.0,681.0,680.2,679.89,40066,27240622.9,2591,26092,65.12,2017,7,0.9,Slight positive
MINDAIND,EQ,2017-07-13,680.2,687.0,689.0,678.0,687.0,686.15,685.5,81173,55644446.75,2623,55153,67.95,2017,7,0.87,Slight positive
MINDAIND,EQ,2017-07-14,686.15,687.0,689.0,674.0,683.8,682.55,680.44,40505,27561197.45,1900,28956,71.49,2017,7,-0.52,Slight negative
MINDAIND,EQ,2017-07-17,682.55,689.5,691.0,677.95,683.1,684.45,685.72,42025,28817388.05,1995,27154,64.61,2017,7,0.28,Slight
MINDAIND,EQ,2017-07-18,684.45,685.0,687.0,658.15,670.0,667.9,674.51,58951,39762748.6,3014,36322,61.61,2017,7,-2.42,Negative
MINDAIND,EQ,2017-07-19,667.9,667.9,685.0,667.9,684.0,683.85,681.09,43362,29533548.7,1578,30465,70.26,2017,7,2.39,Positive
MINDAIND,EQ,2017-07-20,683.85,682.0,710.0,680.0,705.4,705.95,703.92,131388,92486824.55,4331,75199,57.23,2017,7,3.23,Among top gainers
MINDAIND,EQ,2017-07-21,705.95,710.0,749.75,710.0,746.0,742.65,732.4,235365,172381862.0,8044,85626,36.38,2017,7,5.2,Among top gainers
MINDAIND,EQ,2017-07-24,742.65,752.7,784.4,745.0,766.0,759.65,764.88,302324,231243029.15,10863,155432,51.41,2017,7,2.29,Positive
MINDAIND,EQ,2017-07-25,759.65,764.95,830.0,740.0,829.1,817.8,797.17,421455,335970477.5,11955,165229,39.2,2017,7,7.65,Bull run
MINDAIND,EQ,2017-07-26,817.8,832.0,845.0,763.4,777.0,776.7,806.06,551665,444677024.2,21595,205070,37.17,2017,7,-5.03,Among top losers
MINDAIND,EQ,2017-07-27,776.7,782.0,806.0,765.0,778.0,773.5,780.13,181573,141650340.4,9095,64238,35.38,2017,7,-0.41,Slight
MINDAIND,EQ,2017-07-28,773.5,771.5,790.0,755.0,782.0,785.5,777.63,90539,70405484.95,4452,36106,39.88,2017,7,1.55,Positive
MINDAIND,EQ,2017-07-31,785.5,785.5,806.0,782.4,792.0,791.5,790.85,124635,98567893.2,4504,75642,60.69,2017,7,0.76,Slight positive
MINDAIND,EQ,2017-08-01,791.5,797.95,797.95,776.5,779.15,780.55,785.58,56197,44146977.75,3511,33407,59.45,2017,8,-1.38,Negative
MINDAIND,EQ,2017-08-02,780.55,783.0,792.0,775.55,788.0,788.65,787.44,91590,72121395.4,3611,62674,68.43,2017,8,1.04,Positive
MINDAIND,EQ,2017-08-03,788.65,788.0,791.8,773.0,776.1,778.4,782.73,86882,68005159.15,3010,58484,67.31,2017,8,-1.3,Negative
MINDAIND,EQ,2017-08-04,778.4,778.0,778.0,769.2,770.0,770.75,772.74,35126,27143429.35,1853,20601,58.65,2017,8,-0.98,Slight negative
MINDAIND,EQ,2017-08-07,770.75,775.0,775.0,759.0,762.0,762.0,761.78,140815,107270615.35,3001,116651,82.84,2017,8,-1.14,Negative
MINDAIND,EQ,2017-08-08,762.0,753.0,778.0,753.0,775.0,774.6,764.3,68336,52229375.05,4016,40470,59.22,2017,8,1.65,Positive
MINDAIND,EQ,2017-08-09,774.6,774.0,786.7,762.5,773.3,776.35,775.58,443725,344145840.9,3300,382516,86.21,2017,8,0.23,Slight
MINDAIND,EQ,2017-08-10,776.35,765.2,803.9,735.0,765.0,757.25,777.24,133491,103754227.65,6939,75495,56.55,2017,8,-2.46,Negative
MINDAIND,EQ,2017-08-11,757.25,730.0,770.7,725.0,754.3,755.1,749.56,89060,66755906.55,4022,50643,56.86,2017,8,-0.28,Slight
MINDAIND,EQ,2017-08-14,755.1,758.55,789.9,758.55,786.0,782.15,774.41,72926,56474323.85,2578,53573,73.46,2017,8,3.58,Among top gainers
MINDAIND,EQ,2017-08-16,782.15,794.9,806.6,783.05,798.0,799.85,794.98,69519,55265967.05,3559,40286,57.95,2017,8,2.26,Positive
MINDAIND,EQ,2017-08-17,799.85,799.85,807.6,785.0,788.0,792.1,796.74,43350,34538695.55,2583,24087,55.56,2017,8,-0.97,Slight negative
MINDAIND,EQ,2017-08-18,792.1,786.75,787.1,770.55,781.2,780.05,779.67,180100,140417785.2,2969,158940,88.25,2017,8,-1.52,Negative
MINDAIND,EQ,2017-08-21,780.05,780.5,786.0,759.0,772.05,771.8,770.81,113138,87208081.9,4423,81107,71.69,2017,8,-1.06,Negative
MINDAIND,EQ,2017-08-22,771.8,773.0,780.0,769.0,773.5,773.4,773.12,49733,38449801.0,1054,40922,82.28,2017,8,0.21,Slight
MINDAIND,EQ,2017-08-23,773.4,784.5,784.5,770.75,779.0,778.15,775.49,62719,48637918.05,1897,47350,75.5,2017,8,0.61,Slight positive
MINDAIND,EQ,2017-08-24,778.15,787.35,787.35,777.0,779.8,778.8,781.3,15343,11987558.45,950,9548,62.23,2017,8,0.08,Slight
