,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
0,NCC,EQ,2017-05-15,93.8,94.1,97.9,94.05,97.9,97.35,96.08,3616693,347479475.0,13933,1120046,30.97,2017,5,0.0,Slight
1,NCC,EQ,2017-05-16,97.35,98.15,100.8,97.1,100.6,100.4,99.01,8251673,817007444.25,28908,2698728,32.71,2017,5,3.13,Among top gainers
2,NCC,EQ,2017-05-17,100.4,100.95,103.65,100.1,101.35,101.45,102.05,9866001,1006802565.15,40313,3276414,33.21,2017,5,1.05,Positive
3,NCC,EQ,2017-05-18,101.45,99.8,100.85,96.55,96.9,97.0,98.8,4163676,411364891.55,18977,1196998,28.75,2017,5,-4.39,Among top losers
4,NCC,EQ,2017-05-19,97.0,97.8,99.25,94.25,95.7,95.45,96.53,3782348,365114174.7,19517,706203,18.67,2017,5,-1.6,Negative
5,NCC,EQ,2017-05-22,95.45,96.0,97.95,94.65,95.0,95.25,96.56,3829849,369811145.85,16697,1116014,29.14,2017,5,-0.21,Slight
6,NCC,EQ,2017-05-23,95.25,95.0,95.0,89.2,89.65,90.95,91.94,5042864,463628116.45,18975,1159894,23.0,2017,5,-4.51,Among top losers
7,NCC,EQ,2017-05-24,90.95,87.05,87.9,80.2,83.95,83.25,83.91,11587471,972301570.35,45469,3024219,26.1,2017,5,-8.47,Bear drop
8,NCC,EQ,2017-05-25,83.25,83.4,86.9,77.9,85.75,85.85,83.8,16966835,1421897577.9,48995,5495472,32.39,2017,5,3.12,Among top gainers
9,NCC,EQ,2017-05-26,85.85,86.0,88.05,85.1,87.45,87.6,86.8,3286675,285273174.45,12678,515820,15.69,2017,5,2.04,Positive
10,NCC,EQ,2017-05-29,87.6,87.9,88.4,84.55,85.25,85.1,86.27,2762009,238289375.65,10291,639940,23.17,2017,5,-2.85,Negative
11,NCC,EQ,2017-05-30,85.1,85.75,85.75,82.7,84.65,84.3,84.02,3156651,265236617.65,13025,583882,18.5,2017,5,-0.94,Slight negative
12,NCC,EQ,2017-05-31,84.3,84.5,88.5,84.5,87.8,87.9,87.24,5956202,519616953.0,22518,1372268,23.04,2017,5,4.27,Among top gainers
13,NCC,EQ,2017-06-01,87.9,87.7,88.45,86.65,86.85,86.85,87.33,2406887,210193700.25,12120,696095,28.92,2017,6,-1.19,Negative
14,NCC,EQ,2017-06-02,86.85,87.7,89.5,86.6,87.65,88.0,88.13,7742009,682298250.2,22081,3531831,45.62,2017,6,1.32,Positive
15,NCC,EQ,2017-06-05,88.0,88.1,88.35,86.8,87.05,87.1,87.62,2289444,200591410.6,16039,622945,27.21,2017,6,-1.02,Negative
16,NCC,EQ,2017-06-06,87.1,86.9,87.5,84.15,85.1,85.0,85.56,3517344,300934702.6,15192,654428,18.61,2017,6,-2.41,Negative
17,NCC,EQ,2017-06-07,85.0,85.1,88.8,84.8,87.0,87.55,86.49,6046788,522976753.95,21679,1997240,33.03,2017,6,3.0,Positive
18,NCC,EQ,2017-06-08,87.55,87.25,87.45,85.75,86.05,86.15,86.39,2057305,177732426.35,8203,423793,20.6,2017,6,-1.6,Negative
19,NCC,EQ,2017-06-09,86.15,86.0,91.25,85.6,90.75,90.5,89.68,13217751,1185312182.8,41385,2793732,21.14,2017,6,5.05,Among top gainers
20,NCC,EQ,2017-06-12,90.5,90.85,93.2,90.05,91.35,91.2,91.75,7056436,647403016.0,26900,1822078,25.82,2017,6,0.77,Slight positive
21,NCC,EQ,2017-06-13,91.2,91.85,93.05,90.4,91.15,90.65,91.93,3998221,367540426.0,17934,1223644,30.6,2017,6,-0.6,Slight negative
23,NCC,EQ,2017-06-14,90.65,90.9,92.0,89.8,90.75,90.6,90.85,4277038,388553775.65,15519,1563120,36.55,2017,6,-0.06,Slight
24,NCC,EQ,2017-06-15,90.6,90.4,91.55,89.5,90.45,90.5,90.45,3035635,274558624.95,13333,1250780,41.2,2017,6,-0.11,Slight
25,NCC,EQ,2017-06-16,90.5,90.5,92.0,89.75,90.1,90.3,90.83,3720466,337942467.8,21999,1505707,40.47,2017,6,-0.22,Slight
26,NCC,EQ,2017-06-19,90.3,91.0,91.9,90.45,91.6,91.25,91.14,2366151,215644037.05,10013,1023235,43.24,2017,6,1.05,Positive
27,NCC,EQ,2017-06-20,91.25,92.95,92.95,89.95,90.7,91.0,91.68,4540548,416297534.0,16439,1840808,40.54,2017,6,-0.27,Slight
28,NCC,EQ,2017-06-21,91.0,90.6,91.95,90.35,90.95,91.0,91.11,2169580,197659652.0,7532,616341,28.41,2017,6,0.0,Slight
29,NCC,EQ,2017-06-22,91.0,91.1,93.15,90.65,91.8,91.6,91.86,5095304,468031764.0,17965,1695539,33.28,2017,6,0.66,Slight positive
