,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
0,RAYMOND,EQ,2017-05-15,763.45,765.0,779.0,757.05,773.9,772.8,770.09,292498,225249137.55,9033,55467,18.96,2017,5,0.0,Slight
1,RAYMOND,EQ,2017-05-16,772.8,773.45,801.45,768.1,783.5,785.0,788.89,823956,650006994.6,18238,179377,21.77,2017,5,1.58,Positive
2,RAYMOND,EQ,2017-05-17,785.0,786.0,804.95,778.4,785.5,783.65,792.72,598094,474121199.8,13968,127637,21.34,2017,5,-0.17,Slight
3,RAYMOND,EQ,2017-05-18,783.65,779.35,779.95,740.2,744.0,746.95,762.57,319834,243895555.8,7713,92200,28.83,2017,5,-4.68,Among top losers
4,RAYMOND,EQ,2017-05-19,746.95,748.0,767.5,714.0,722.0,723.1,740.3,561346,415561909.4,13328,137648,24.52,2017,5,-3.19,Among top losers
5,RAYMOND,EQ,2017-05-22,723.1,728.3,741.3,705.5,710.6,715.95,724.56,384821,278826926.4,11424,51189,13.3,2017,5,-0.99,Slight negative
6,RAYMOND,EQ,2017-05-23,715.95,713.0,723.8,681.25,698.25,699.55,699.33,501206,350509713.7,12935,126651,25.27,2017,5,-2.29,Negative
7,RAYMOND,EQ,2017-05-24,699.55,704.9,705.5,642.2,667.0,662.25,674.73,591516,399116303.75,16424,141211,23.87,2017,5,-5.33,Among top losers
8,RAYMOND,EQ,2017-05-25,662.25,630.0,686.25,598.1,682.9,678.3,651.28,2850149,1856244030.6,54827,315039,11.05,2017,5,2.42,Positive
9,RAYMOND,EQ,2017-05-26,678.3,681.7,733.9,679.65,718.65,721.15,710.37,1455736,1034107349.7,32550,237806,16.34,2017,5,6.32,Among top gainers
10,RAYMOND,EQ,2017-05-29,721.15,721.95,732.0,690.8,695.7,695.5,709.2,410356,291026256.55,11904,55650,13.56,2017,5,-3.56,Among top losers
11,RAYMOND,EQ,2017-05-30,695.5,692.9,700.0,679.1,694.0,695.45,692.08,328214,227148924.1,8238,54841,16.71,2017,5,-0.01,Slight
12,RAYMOND,EQ,2017-05-31,695.45,695.0,720.0,691.2,694.9,694.2,704.84,495558,349288831.55,12826,120266,24.27,2017,5,-0.18,Slight
13,RAYMOND,EQ,2017-06-01,694.2,696.0,708.8,674.1,693.5,693.9,697.14,378903,264146785.75,10342,51076,13.48,2017,6,-0.04,Slight
14,RAYMOND,EQ,2017-06-02,693.9,707.8,714.5,697.4,702.1,702.65,706.31,426635,301334551.6,9861,64055,15.01,2017,6,1.26,Positive
15,RAYMOND,EQ,2017-06-05,702.65,705.1,757.0,705.0,749.45,751.25,739.27,1863074,1377323053.35,36896,201205,10.8,2017,6,6.92,Among top gainers
16,RAYMOND,EQ,2017-06-06,751.25,756.0,759.5,721.3,729.15,728.45,741.59,1165454,864293244.4,25036,171125,14.68,2017,6,-3.03,Among top losers
17,RAYMOND,EQ,2017-06-07,728.45,730.0,741.8,721.0,725.0,729.05,731.45,530090,387736821.5,11395,202308,38.16,2017,6,0.08,Slight
18,RAYMOND,EQ,2017-06-08,729.05,726.4,737.8,721.5,733.0,733.5,731.23,308103,225293151.9,10843,63597,20.64,2017,6,0.61,Slight positive
19,RAYMOND,EQ,2017-06-09,733.5,734.5,736.45,725.55,729.0,732.1,729.9,194159,141717097.7,5991,49516,25.5,2017,6,-0.19,Slight
20,RAYMOND,EQ,2017-06-12,732.1,731.55,741.55,713.05,719.75,717.7,726.26,298904,217082904.2,10033,52812,17.67,2017,6,-1.97,Negative
21,RAYMOND,EQ,2017-06-13,717.7,723.0,747.5,718.6,731.4,730.85,735.79,966568,711188681.6,25790,114480,11.84,2017,6,1.83,Positive
22,RAYMOND,EQ,2017-06-14,730.85,713.55,730.05,703.8,727.0,721.6,713.36,853674,608979192.9,19312,95684,11.21,2017,6,-1.27,Negative
23,RAYMOND,EQ,2017-06-15,721.6,723.0,738.75,720.0,731.6,729.9,730.65,410749,300114891.95,11669,58513,14.25,2017,6,1.15,Positive
24,RAYMOND,EQ,2017-06-16,729.9,732.0,749.9,730.55,740.0,739.95,744.27,868955,646737621.6,19109,123650,14.23,2017,6,1.38,Positive
25,RAYMOND,EQ,2017-06-19,739.95,740.1,749.3,729.25,735.0,731.7,738.4,233023,172065179.15,7083,48854,20.97,2017,6,-1.11,Negative
26,RAYMOND,EQ,2017-06-20,731.7,732.9,746.05,732.0,736.0,735.35,740.11,344875,255245789.05,8902,50566,14.66,2017,6,0.5,Slight
27,RAYMOND,EQ,2017-06-21,735.35,732.1,752.5,732.1,745.9,743.4,744.8,551585,410820800.45,13993,97101,17.6,2017,6,1.09,Positive
28,RAYMOND,EQ,2017-06-22,743.4,747.0,752.0,726.15,731.0,731.0,740.85,263233,195014866.7,8303,54661,20.77,2017,6,-1.67,Negative
29,RAYMOND,EQ,2017-06-23,731.0,734.0,738.3,707.05,714.0,712.3,719.69,321669,231503530.85,9108,64125,19.94,2017,6,-2.56,Negative
30,RAYMOND,EQ,2017-06-27,712.3,716.0,722.4,692.05,700.0,699.8,702.36,356308,250254743.0,10039,60683,17.03,2017,6,-1.75,Negative
31,RAYMOND,EQ,2017-06-28,699.8,702.0,721.0,701.25,714.0,714.3,712.02,688127,489962738.15,19307,195108,28.35,2017,6,2.07,Positive
32,RAYMOND,EQ,2017-06-29,714.3,720.0,730.0,710.4,726.0,721.8,718.7,757780,544613023.25,13675,347640,45.88,2017,6,1.05,Positive
33,RAYMOND,EQ,2017-06-30,721.8,719.0,734.75,710.1,723.0,724.7,723.4,326097,235898950.3,9840,78843,24.18,2017,6,0.4,Slight
34,RAYMOND,EQ,2017-07-03,724.7,737.05,770.3,725.05,769.9,768.05,758.3,1094256,829778980.65,26404,188533,17.23,2017,7,5.98,Among top gainers
35,RAYMOND,EQ,2017-07-04,768.05,772.0,781.95,761.8,767.0,765.25,771.0,716903,552729120.85,17602,76838,10.72,2017,7,-0.36,Slight
