,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
0,SONATSOFTW,EQ,2017-05-15,163.6,164.9,165.0,162.1,162.45,162.65,163.09,53383,8706165.55,1251,35924,67.29,2017,5,0.0,Slight
1,SONATSOFTW,EQ,2017-05-16,162.65,163.0,163.95,158.0,158.5,158.6,160.17,270635,43346778.55,5672,155739,57.55,2017,5,-0.02,Slight
2,SONATSOFTW,EQ,2017-05-17,158.6,158.5,159.85,157.55,158.0,158.25,158.62,56955,9034082.85,1206,37437,65.73,2017,5,-0.0,Slight
3,SONATSOFTW,EQ,2017-05-18,158.25,158.25,161.75,156.55,156.75,157.4,158.69,169341,26872646.85,3728,85633,50.57,2017,5,-0.01,Slight
4,SONATSOFTW,EQ,2017-05-19,157.4,156.6,159.0,150.3,151.7,151.9,154.0,167554,25803272.65,2082,117644,70.21,2017,5,-0.03,Slight
5,SONATSOFTW,EQ,2017-05-22,151.9,153.4,153.4,150.0,150.05,150.45,151.17,111525,16859640.15,3503,75527,67.72,2017,5,-0.01,Slight
6,SONATSOFTW,EQ,2017-05-23,150.45,150.0,150.25,144.55,146.5,146.05,146.52,220787,32349931.1,6312,156354,70.82,2017,5,-0.03,Slight
7,SONATSOFTW,EQ,2017-05-24,146.05,147.0,148.0,143.85,144.0,146.0,145.99,143541,20955344.85,2590,86947,60.57,2017,5,-0.0,Slight
8,SONATSOFTW,EQ,2017-05-25,146.0,144.0,150.45,143.0,150.0,149.65,147.2,152779,22489070.0,3115,103014,67.43,2017,5,0.03,Slight
9,SONATSOFTW,EQ,2017-05-26,149.65,150.0,153.0,146.6,149.45,149.65,148.98,166213,24762185.3,4221,101839,61.27,2017,5,0.0,Slight
10,SONATSOFTW,EQ,2017-05-29,149.65,151.6,152.7,148.0,149.9,148.6,150.28,97412,14638594.6,2008,67754,69.55,2017,5,-0.01,Slight
11,SONATSOFTW,EQ,2017-05-30,148.6,152.9,152.9,148.75,149.65,149.8,150.3,116285,17477665.15,2562,77761,66.87,2017,5,0.01,Slight
12,SONATSOFTW,EQ,2017-05-31,149.8,149.7,152.05,147.6,150.0,148.95,149.57,138676,20742097.0,2583,100020,72.12,2017,5,-0.01,Slight
13,SONATSOFTW,EQ,2017-06-01,148.95,147.5,157.25,147.5,153.5,153.05,153.01,972944,148866179.5,10993,798433,82.06,2017,6,0.03,Slight
14,SONATSOFTW,EQ,2017-06-02,153.05,155.05,163.7,153.1,160.0,159.35,159.14,473285,75320366.85,10671,260370,55.01,2017,6,0.04,Slight
15,SONATSOFTW,EQ,2017-06-05,159.35,160.1,166.8,159.95,162.5,162.9,163.77,207187,33930200.95,4618,86285,41.65,2017,6,0.02,Slight
16,SONATSOFTW,EQ,2017-06-06,162.9,163.9,168.5,161.0,164.0,164.1,165.84,273667,45384942.6,5480,119759,43.76,2017,6,0.01,Slight
17,SONATSOFTW,EQ,2017-06-07,164.1,164.95,168.7,159.0,159.9,160.75,163.8,392254,64252314.75,6905,138758,35.37,2017,6,-0.02,Slight
18,SONATSOFTW,EQ,2017-06-08,160.75,162.3,162.3,157.25,158.5,158.45,158.78,86270,13698353.8,2992,47161,54.67,2017,6,-0.01,Slight
19,SONATSOFTW,EQ,2017-06-09,158.45,160.3,162.0,157.65,160.25,160.4,160.16,130731,20938125.75,3004,57083,43.66,2017,6,0.01,Slight
20,SONATSOFTW,EQ,2017-06-12,160.4,159.0,161.0,156.0,156.2,156.3,157.29,125785,19785272.65,2410,81667,64.93,2017,6,-0.03,Slight
