Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
SUZLON,EQ,2017-05-15,20.75,20.85,20.9,19.25,19.75,19.6,19.98,119371670,2385262420.3,60296,41900872,35.1,2017,5,0.0,Slight
SUZLON,EQ,2017-05-16,19.6,19.75,20.1,19.45,19.65,19.7,19.76,44577475,881039183.95,26573,12082938,27.11,2017,5,0.51,Slight positive
SUZLON,EQ,2017-05-17,19.7,19.75,20.0,19.6,19.9,19.9,19.84,37090719,736038666.95,27347,10901257,29.39,2017,5,1.02,Positive
SUZLON,EQ,2017-05-18,19.9,19.7,20.8,19.55,20.1,20.0,20.2,85301999,1723069836.6,39877,23132614,27.12,2017,5,0.5,Slight
SUZLON,EQ,2017-05-19,20.0,20.45,21.35,20.35,20.85,20.6,20.77,125514828,2606910856.4,76680,33704388,26.85,2017,5,3.0,Positive
SUZLON,EQ,2017-05-22,20.6,22.2,22.25,20.15,20.4,20.4,21.05,191193553,4025047117.35,106259,57016441,29.82,2017,5,-0.97,Slight negative
SUZLON,EQ,2017-05-23,20.4,20.55,20.7,19.45,19.75,19.75,19.91,102149537,2033406980.2,52697,23064053,22.58,2017,5,-3.19,Among top losers
SUZLON,EQ,2017-05-24,19.75,19.7,19.75,18.75,18.9,18.85,19.15,96386605,1845904777.85,60808,22517556,23.36,2017,5,-4.56,Among top losers
SUZLON,EQ,2017-05-25,18.85,19.0,19.65,18.45,19.35,19.35,19.22,99163576,1905957925.9,50681,27576416,27.81,2017,5,2.65,Positive
SUZLON,EQ,2017-05-26,19.35,19.45,19.9,19.2,19.85,19.8,19.66,44853728,881749443.2,31251,15167335,33.82,2017,5,2.33,Positive
SUZLON,EQ,2017-05-29,19.8,19.8,20.0,19.05,19.1,19.15,19.38,39664456,768827439.85,21305,10567732,26.64,2017,5,-3.28,Among top losers
SUZLON,EQ,2017-05-30,19.15,19.0,19.5,18.75,19.1,19.15,19.2,44928626,862656455.4,17533,10598374,23.59,2017,5,0.0,Slight
SUZLON,EQ,2017-05-31,19.15,19.15,19.45,19.15,19.25,19.3,19.31,24815841,479163465.75,15419,7878893,31.75,2017,5,0.78,Slight positive
SUZLON,EQ,2017-06-01,19.3,19.3,19.85,19.25,19.45,19.5,19.57,44047119,861967502.45,20415,16722971,37.97,2017,6,1.04,Positive
SUZLON,EQ,2017-06-02,19.5,19.55,19.9,19.55,19.8,19.75,19.75,27965439,552263809.5,17154,13009790,46.52,2017,6,1.28,Positive
SUZLON,EQ,2017-06-05,19.75,19.85,20.2,19.75,19.85,19.85,19.96,30939318,617575855.1,17179,9954375,32.17,2017,6,0.51,Slight positive
SUZLON,EQ,2017-06-06,19.85,19.95,20.0,19.3,19.35,19.35,19.55,26459361,517293610.55,17211,8839688,33.41,2017,6,-2.52,Negative
SUZLON,EQ,2017-06-07,19.35,19.45,19.6,19.3,19.4,19.35,19.45,30657966,596434146.75,10470,11763887,38.37,2017,6,0.0,Slight
