,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
0,VIPIND,EQ,2017-05-15,202.05,203.65,205.0,198.1,198.95,199.2,200.7,145003,29102299.85,2102,66456,45.83,2017,5,0.0,Slight
1,VIPIND,EQ,2017-05-16,199.2,200.4,205.0,198.9,201.0,200.9,202.3,357349,72291505.0,6281,101836,28.5,2017,5,0.85,Slight positive
2,VIPIND,EQ,2017-05-17,200.9,201.55,202.05,198.5,199.0,199.65,200.71,128429,25777567.6,3750,64230,50.01,2017,5,-0.62,Slight negative
3,VIPIND,EQ,2017-05-18,199.65,199.1,202.0,192.05,192.55,193.3,198.79,441208,87708685.85,6837,240717,54.56,2017,5,-3.18,Among top losers
4,VIPIND,EQ,2017-05-19,193.3,199.0,204.0,194.25,196.5,195.95,198.82,723731,143889069.85,10066,184810,25.54,2017,5,1.37,Positive
5,VIPIND,EQ,2017-05-22,195.95,199.0,200.5,190.25,192.6,192.85,195.55,282636,55269091.75,3895,121074,42.84,2017,5,-1.58,Negative
6,VIPIND,EQ,2017-05-23,192.85,193.9,194.25,181.0,182.5,183.2,186.01,186052,34606724.45,3689,80316,43.17,2017,5,-5.0,Among top losers
7,VIPIND,EQ,2017-05-24,183.2,184.5,188.95,178.95,183.2,183.4,184.57,202226,37325142.7,4182,88883,43.95,2017,5,0.11,Slight
8,VIPIND,EQ,2017-05-25,183.4,184.6,188.9,183.0,186.8,187.55,186.62,135681,25320724.0,2113,46103,33.98,2017,5,2.26,Positive
9,VIPIND,EQ,2017-05-26,187.55,188.7,196.75,187.0,193.8,193.75,192.82,227242,43816190.9,5012,115495,50.82,2017,5,3.31,Among top gainers
10,VIPIND,EQ,2017-05-29,193.75,194.75,195.25,188.0,189.65,189.6,191.05,119168,22767156.85,1889,45770,38.41,2017,5,-2.14,Negative
11,VIPIND,EQ,2017-05-30,189.6,189.9,194.8,186.1,189.9,189.35,190.82,181446,34622984.1,2814,31568,17.4,2017,5,-0.13,Slight
12,VIPIND,EQ,2017-05-31,189.35,189.95,195.5,188.35,194.0,192.7,193.13,184799,35690058.4,6418,89080,48.2,2017,5,1.77,Positive
13,VIPIND,EQ,2017-06-01,192.7,194.75,201.85,192.0,197.1,197.9,198.81,389321,77400381.75,5381,99812,25.64,2017,6,2.7,Positive
14,VIPIND,EQ,2017-06-02,197.9,198.4,202.8,196.1,197.5,197.9,199.42,177078,35312337.4,3462,49537,27.97,2017,6,0.0,Slight
15,VIPIND,EQ,2017-06-05,197.9,199.5,202.0,196.25,199.3,198.7,199.83,218575,43677236.1,3065,72162,33.01,2017,6,0.4,Slight
16,VIPIND,EQ,2017-06-06,198.7,199.5,201.0,196.25,196.3,197.35,198.37,118831,23572419.85,2675,53234,44.8,2017,6,-0.68,Slight negative
17,VIPIND,EQ,2017-06-07,197.35,197.1,200.85,193.45,193.8,194.25,196.46,142355,27967669.2,3829,82303,57.82,2017,6,-1.57,Negative
18,VIPIND,EQ,2017-06-08,194.25,195.55,197.5,193.0,194.5,194.65,195.0,144436,28165159.0,2885,64737,44.82,2017,6,0.21,Slight
19,VIPIND,EQ,2017-06-09,194.65,195.4,199.55,192.5,194.25,195.25,195.78,228540,44744586.9,7969,98680,43.18,2017,6,0.31,Slight
20,VIPIND,EQ,2017-06-12,195.25,195.0,198.9,193.4,195.05,195.45,196.3,153109,30054926.3,2072,63240,41.3,2017,6,0.1,Slight
21,VIPIND,EQ,2017-06-13,195.45,195.75,199.0,194.5,196.65,197.0,197.37,164448,32456605.6,1984,56076,34.1,2017,6,0.79,Slight positive
22,VIPIND,EQ,2017-06-14,197.0,197.75,203.4,193.5,194.7,195.45,198.85,561699,111692704.85,6935,214416,38.17,2017,6,-0.79,Slight negative
23,VIPIND,EQ,2017-06-15,195.45,195.85,196.25,192.0,192.5,192.55,194.07,128054,24851916.45,2077,64790,50.6,2017,6,-1.48,Negative
24,VIPIND,EQ,2017-06-16,192.55,193.4,196.0,192.5,194.0,194.6,194.35,133536,25952074.5,2118,72124,54.01,2017,6,1.06,Positive
25,VIPIND,EQ,2017-06-19,194.6,195.4,198.5,194.4,194.6,195.2,196.88,267164,52599078.8,4592,114662,42.92,2017,6,0.31,Slight
