Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
WELSPUNIND,EQ,2017-05-15,89.4,89.7,93.9,89.2,90.0,90.25,90.94,3056833,277998324.85,12247,1939157,63.44,2017,5,0.0,Slight
WELSPUNIND,EQ,2017-05-16,90.25,90.9,91.0,90.0,90.5,90.65,90.36,792353,71598203.4,6460,576788,72.79,2017,5,0.44,Slight
WELSPUNIND,EQ,2017-05-17,90.65,90.9,91.55,88.3,88.4,88.85,89.91,1886102,169577027.65,11102,1507068,79.9,2017,5,-1.99,Negative
WELSPUNIND,EQ,2017-05-18,88.85,88.7,89.4,86.3,87.0,86.9,87.58,582904,51049999.95,6843,372116,63.84,2017,5,-2.19,Negative
WELSPUNIND,EQ,2017-05-19,86.9,88.0,88.0,84.7,84.8,85.05,86.12,503081,43326835.15,3637,344163,68.41,2017,5,-2.13,Negative
WELSPUNIND,EQ,2017-05-22,85.05,85.85,86.0,81.35,84.7,83.7,83.89,2447619,205332830.45,5958,2050154,83.76,2017,5,-1.59,Negative
WELSPUNIND,EQ,2017-05-23,83.7,85.5,85.65,79.0,83.15,84.75,82.76,1212547,100345988.5,6234,704405,58.09,2017,5,1.25,Positive
WELSPUNIND,EQ,2017-05-24,84.75,84.45,84.45,81.0,83.1,82.8,82.42,1220369,100585178.45,10011,847135,69.42,2017,5,-2.3,Negative
WELSPUNIND,EQ,2017-05-25,82.8,83.0,84.0,82.1,82.9,82.95,82.85,393982,32639705.35,3097,230592,58.53,2017,5,0.18,Slight
WELSPUNIND,EQ,2017-05-26,82.95,84.0,84.7,82.55,83.7,84.1,84.11,385599,32431999.15,2628,232070,60.18,2017,5,1.39,Positive
WELSPUNIND,EQ,2017-05-29,84.1,84.0,84.2,81.9,81.9,82.1,82.75,197875,16375120.4,1679,125490,63.42,2017,5,-2.38,Negative
WELSPUNIND,EQ,2017-05-30,82.1,82.15,89.0,80.4,82.0,82.6,82.16,416603,34227466.4,3428,227116,54.52,2017,5,0.61,Slight positive
WELSPUNIND,EQ,2017-05-31,82.6,83.0,83.0,81.0,81.3,81.6,81.84,379930,31094008.4,4441,252712,66.52,2017,5,-1.21,Negative
WELSPUNIND,EQ,2017-06-01,81.6,82.7,84.9,81.75,83.8,84.05,83.09,1170875,97287963.1,3401,941642,80.42,2017,6,3.0,Positive
WELSPUNIND,EQ,2017-06-02,84.05,84.85,84.85,83.1,83.55,83.8,83.61,688135,57537844.8,2842,543284,78.95,2017,6,-0.3,Slight
WELSPUNIND,EQ,2017-06-05,83.8,84.8,85.45,84.0,85.15,85.05,84.93,522429,44372293.95,3578,418758,80.16,2017,6,1.49,Positive
WELSPUNIND,EQ,2017-06-06,85.05,85.0,85.5,83.1,83.5,83.6,84.28,209066,17620992.1,3478,125232,59.9,2017,6,-1.7,Negative
WELSPUNIND,EQ,2017-06-07,83.6,83.85,84.25,82.7,83.1,83.3,83.53,1058547,88415174.55,6360,897511,84.79,2017,6,-0.36,Slight
WELSPUNIND,EQ,2017-06-08,83.3,83.75,83.8,83.0,83.1,83.4,83.41,919932,76727350.75,4506,839894,91.3,2017,6,0.12,Slight
WELSPUNIND,EQ,2017-06-09,83.4,83.5,83.9,82.4,82.55,82.7,83.03,246426,20461054.3,4709,159773,64.84,2017,6,-0.84,Slight negative
WELSPUNIND,EQ,2017-06-12,82.7,82.55,84.0,82.5,82.8,82.8,83.12,449756,37385275.0,6403,280859,62.45,2017,6,0.12,Slight
WELSPUNIND,EQ,2017-06-13,82.8,84.0,84.0,82.0,82.1,82.55,83.01,235155,19520636.65,3739,124636,53.0,2017,6,-0.3,Slight
WELSPUNIND,EQ,2017-06-14,82.55,80.25,82.0,79.9,80.5,81.15,80.67,1048552,84585771.55,8071,725049,69.15,2017,6,-1.7,Negative
