Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
ASIANPAINT,EQ,2017-05-15,1132.95,1142.9,1149.9,1135.0,1149.9,1148.05,1145.57,729473,8.356653663E8,20868,471377,64.62,2017,5,0.0,Slight
ASIANPAINT,EQ,2017-05-16,1148.05,1148.9,1149.7,1129.6,1143.5,1142.85,1137.2,913600,1.0389462542E9,35436,641893,70.26,2017,5,-0.00452941945037241,Slight
ASIANPAINT,EQ,2017-05-17,1142.85,1143.0,1159.0,1136.55,1156.75,1154.95,1149.76,579709,6.665239013E8,24824,282528,48.74,2017,5,0.010587566172288697,Slight
ASIANPAINT,EQ,2017-05-18,1154.95,1147.15,1159.8,1140.0,1154.8,1151.35,1149.89,702003,8.072265058E8,23468,436095,62.12,2017,5,-0.0031170180527296735,Slight
ASIANPAINT,EQ,2017-05-19,1151.35,1139.85,1144.8,1098.8,1131.0,1123.15,1124.84,1732673,1.9489858277E9,87720,1021656,58.96,2017,5,-0.024492986494115448,Slight
ASIANPAINT,EQ,2017-05-22,1123.15,1124.25,1137.85,1104.0,1115.0,1112.55,1114.62,1058940,1.18031367785E9,35354,634686,59.94,2017,5,-0.009437742064728786,Slight
ASIANPAINT,EQ,2017-05-23,1112.55,1119.95,1126.55,1091.45,1100.0,1098.9,1100.96,1374392,1.5131456934E9,39196,938302,68.27,2017,5,-0.012269111500606592,Slight
ASIANPAINT,EQ,2017-05-24,1098.9,1095.0,1107.05,1080.5,1095.0,1091.2,1091.35,1551698,1.6934525196E9,41861,1178089,75.92,2017,5,-0.007007007007007048,Slight
ASIANPAINT,EQ,2017-05-25,1091.2,1095.55,1125.0,1090.05,1112.95,1113.2,1103.08,1226634,1.35307300365E9,25147,780546,63.63,2017,5,0.020161290322580645,Slight
ASIANPAINT,EQ,2017-05-26,1113.2,1124.95,1148.8,1124.0,1131.1,1132.45,1136.19,915210,1.03985209005E9,26431,503139,54.98,2017,5,0.017292490118577076,Slight
ASIANPAINT,EQ,2017-05-29,1132.45,1125.0,1150.0,1125.0,1150.0,1146.55,1142.72,460152,5.25823543E8,18073,154068,33.48,2017,5,0.012450880833590807,Slight
ASIANPAINT,EQ,2017-05-30,1146.55,1150.0,1166.1,1147.0,1159.05,1159.45,1157.02,460978,5.3336299835E8,14351,175817,38.14,2017,5,0.011251144738563597,Slight
ASIANPAINT,EQ,2017-05-31,1159.45,1159.0,1165.0,1144.55,1148.3,1151.2,1154.09,1488564,1.7179350138E9,68693,1216029,81.69,2017,5,-0.007115442666781663,Slight
ASIANPAINT,EQ,2017-06-01,1151.2,1150.0,1162.0,1133.1,1160.45,1160.45,1147.48,578030,6.632775628E8,30430,300818,52.04,2017,6,0.008035093815149408,Slight
ASIANPAINT,EQ,2017-06-02,1160.45,1161.2,1174.9,1160.2,1162.0,1164.3,1167.23,437401,5.105466979E8,18139,171177,39.14,2017,6,0.0033176784867938376,Slight
ASIANPAINT,EQ,2017-06-05,1164.3,1165.0,1176.4,1159.5,1162.0,1161.55,1166.51,425935,4.9685589565E8,23829,215478,50.59,2017,6,-0.002361934209396204,Slight
ASIANPAINT,EQ,2017-06-06,1161.55,1162.15,1165.3,1141.05,1155.0,1153.15,1150.02,787798,9.0598541765E8,30990,481260,61.09,2017,6,-0.007231716241229274,Slight
ASIANPAINT,EQ,2017-06-07,1153.15,1154.0,1168.0,1146.0,1164.5,1161.5,1160.05,531046,6.160408967E8,51084,291088,54.81,2017,6,0.00724103542470616,Slight
ASIANPAINT,EQ,2017-06-08,1161.5,1174.8,1174.8,1140.2,1144.8,1143.3,1151.03,1202971,1.3846596893E9,54584,849885,70.65,2017,6,-0.015669393026259186,Slight
ASIANPAINT,EQ,2017-06-09,1143.3,1145.0,1157.6,1132.15,1155.25,1155.75,1145.61,559008,6.404045928E8,21138,258341,46.21,2017,6,0.010889530307006075,Slight
ASIANPAINT,EQ,2017-06-12,1155.75,1154.4,1158.65,1142.6,1151.0,1150.7,1149.27,649908,7.469171643E8,23877,444767,68.44,2017,6,-0.00436945706251348,Slight
ASIANPAINT,EQ,2017-06-13,1150.7,1151.2,1154.25,1142.25,1148.0,1149.7,1149.64,855507,9.835282948E8,31829,707267,82.67,2017,6,-8.690362388111584E-4,Slight
