Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
AXISBANK,EQ,2017-05-15,503.0,505.0,508.5,498.4,500.25,500.1,502.95,8806756,4.42938419325E9,109965,4320438,49.06,2017,5,0.0,Slight
AXISBANK,EQ,2017-05-16,500.1,502.1,504.5,493.5,502.05,501.5,499.85,8610492,4.30393830725E9,101028,4027982,46.78,2017,5,0.002799440111977559,Slight
AXISBANK,EQ,2017-05-17,501.5,501.35,506.75,498.5,502.0,502.8,502.88,6443135,3.24015419285E9,84189,2876528,44.64,2017,5,0.0025922233300099927,Slight
AXISBANK,EQ,2017-05-18,502.8,498.0,499.1,490.25,492.85,492.0,494.96,9227022,4.5669928292E9,95624,5348691,57.97,2017,5,-0.02147971360381864,Slight
AXISBANK,EQ,2017-05-19,492.0,495.75,503.85,494.2,501.9,501.7,499.1,7611430,3.79889995675E9,72985,4190505,55.06,2017,5,0.019715447154471523,Slight
AXISBANK,EQ,2017-05-22,501.7,504.0,507.45,499.5,502.0,502.3,503.0,4970982,2.5003826113E9,62027,2665857,53.63,2017,5,0.0011959338249950622,Slight
AXISBANK,EQ,2017-05-23,502.3,502.25,506.1,495.2,500.5,500.6,500.17,7549551,3.77602809015E9,69512,4120666,54.58,2017,5,-0.003384431614572942,Slight
AXISBANK,EQ,2017-05-24,500.6,503.0,505.0,495.0,499.65,499.3,498.39,7271148,3.6239019912E9,61592,4986725,68.58,2017,5,-0.0025968837395126073,Slight
AXISBANK,EQ,2017-05-25,499.3,502.0,509.9,495.85,507.85,507.45,504.39,9157557,4.61902257805E9,106201,4220728,46.09,2017,5,0.01632285199278986,Slight
AXISBANK,EQ,2017-05-26,507.45,508.0,513.0,505.0,510.5,511.45,508.86,5995136,3.0506826347E9,72779,2824290,47.11,2017,5,0.007882550004926594,Slight
AXISBANK,EQ,2017-05-29,511.45,511.9,515.0,502.2,507.45,507.25,507.58,5441466,2.76199551445E9,62036,2462115,45.25,2017,5,-0.00821194642682567,Slight
AXISBANK,EQ,2017-05-30,507.25,505.0,516.95,503.65,514.0,514.4,512.4,4725430,2.4213204293E9,81509,1690453,35.77,2017,5,0.014095613602759936,Slight
AXISBANK,EQ,2017-05-31,514.4,514.0,516.0,509.5,514.05,514.05,513.03,7263061,3.7261740664E9,127912,4571507,62.94,2017,5,-6.804043545879136E-4,Slight
AXISBANK,EQ,2017-06-01,514.05,512.15,515.95,505.5,510.0,509.3,509.17,8105813,4.12726452485E9,50261,5638214,69.56,2017,6,-0.009240346269818001,Slight
AXISBANK,EQ,2017-06-02,509.3,513.5,513.5,506.35,507.5,508.05,509.46,4474040,2.2793645385E9,69112,2589478,57.88,2017,6,-0.002454349106616925,Slight
AXISBANK,EQ,2017-06-05,508.05,507.35,516.75,507.0,513.8,513.65,513.15,3858825,1.9801390673E9,57915,1623770,42.08,2017,6,0.011022537151855066,Slight
AXISBANK,EQ,2017-06-06,513.65,514.0,514.4,505.55,509.75,510.2,509.31,3866339,1.96915333835E9,42061,1846559,47.76,2017,6,-0.006716635841526309,Slight
AXISBANK,EQ,2017-06-07,510.2,510.0,515.45,508.1,514.45,514.2,511.95,3389166,1.7350935321E9,63216,1606010,47.39,2017,6,0.007840062720501875,Slight
AXISBANK,EQ,2017-06-08,514.2,514.0,521.8,511.35,515.0,515.75,517.07,5980728,3.09244224275E9,91962,2729718,45.64,2017,6,0.0030143912874367063,Slight
AXISBANK,EQ,2017-06-09,515.75,515.0,516.35,509.4,513.1,513.65,513.11,3242063,1.663543219E9,49349,1170363,36.1,2017,6,-0.004071740184197814,Slight
AXISBANK,EQ,2017-06-12,513.65,512.45,513.1,506.0,507.15,507.5,509.94,2360518,1.2037310954E9,43179,977595,41.41,2017,6,-0.011973133456633851,Slight
AXISBANK,EQ,2017-06-13,507.5,509.0,512.3,505.5,507.0,506.45,508.42,2181945,1.10934860865E9,51764,950074,43.54,2017,6,-0.002068965517241402,Slight
AXISBANK,EQ,2017-06-14,506.45,509.0,510.9,501.55,508.85,509.5,507.45,4648343,2.3588243912E9,66054,2697523,58.03,2017,6,0.006022312172968726,Slight
AXISBANK,EQ,2017-06-15,509.5,508.85,509.3,504.0,507.4,507.6,506.77,3425367,1.7358673268E9,58545,2109450,61.58,2017,6,-0.00372914622178602,Slight
AXISBANK,EQ,2017-06-16,507.6,507.65,514.3,507.5,509.15,510.45,510.27,4999502,2.55109021215E9,56697,2959675,59.2,2017,6,0.005614657210401824,Slight
AXISBANK,EQ,2017-06-19,510.45,511.0,525.35,509.3,518.0,520.15,517.27,6844723,3.54056081415E9,70602,3499580,51.13,2017,6,0.019002840630815924,Slight
AXISBANK,EQ,2017-06-20,520.15,520.2,521.7,510.5,512.95,511.85,515.15,4388846,2.2609234598E9,55076,2203975,50.22,2017,6,-0.015956935499375092,Slight
AXISBANK,EQ,2017-06-21,511.85,511.05,512.5,506.75,507.35,507.75,509.19,4346995,2.21346612265E9,73840,2500935,57.53,2017,6,-0.008010159226335885,Slight
AXISBANK,EQ,2017-06-22,507.75,508.9,514.45,506.65,508.0,508.0,510.48,3463745,1.7681666373E9,67487,1707367,49.29,2017,6,4.923682914820286E-4,Slight
AXISBANK,EQ,2017-06-23,508.0,509.6,510.45,503.65,505.0,504.65,506.14,3548884,1.79624762315E9,55281,1827409,51.49,2017,6,-0.006594488188976423,Slight
AXISBANK,EQ,2017-06-27,504.65,506.0,506.7,484.45,494.0,492.85,491.01,9842829,4.8328876964E9,110049,6251831,63.52,2017,6,-0.02338254235608829,Slight
AXISBANK,EQ,2017-06-28,492.85,493.8,500.35,490.05,496.45,492.0,493.28,12691859,6.26065680625E9,76061,10038114,79.09,2017,6,-0.0017246626762707166,Slight
AXISBANK,EQ,2017-06-29,492.0,498.0,514.4,497.7,510.7,512.1,510.39,11855524,6.05088186595E9,96263,4570578,38.55,2017,6,0.04085365853658541,Slight
AXISBANK,EQ,2017-06-30,512.1,510.6,520.0,508.1,519.0,517.35,513.68,7600005,3.90395996735E9,70339,3757896,49.45,2017,6,0.010251903925014644,Slight
AXISBANK,EQ,2017-07-03,517.35,517.1,521.8,515.0,517.0,517.25,518.62,3701949,1.9198995223E9,50518,1560626,42.16,2017,7,-1.9329274185758718E-4,Slight
AXISBANK,EQ,2017-07-04,517.25,516.8,517.55,506.55,507.7,508.4,510.84,4086213,2.08741111505E9,44090,2037542,49.86,2017,7,-0.017109714838086074,Slight
AXISBANK,EQ,2017-07-05,508.4,507.75,515.4,507.75,514.55,513.9,512.56,3154406,1.6168291908E9,45895,1393508,44.18,2017,7,0.010818253343823761,Slight
AXISBANK,EQ,2017-07-06,513.9,511.0,512.85,508.15,509.45,509.5,510.69,3514758,1.79494443525E9,29962,1894962,53.91,2017,7,-0.008561977038334263,Slight
AXISBANK,EQ,2017-07-07,509.5,508.25,508.95,501.25,504.5,503.15,504.92,3509920,1.7722411291E9,69429,1645142,46.87,2017,7,-0.012463199214916629,Slight
AXISBANK,EQ,2017-07-10,503.15,521.0,529.75,506.7,510.0,509.95,510.48,1245716,6.359148846E8,7548,768768,61.71,2017,7,0.013514856404650723,Slight
AXISBANK,EQ,2017-07-11,509.95,512.0,512.4,505.8,507.8,506.8,508.44,3928279,1.99728916935E9,71571,2473178,62.96,2017,7,-0.006177076183939557,Slight
AXISBANK,EQ,2017-07-12,506.8,508.9,509.9,504.2,507.3,506.75,506.27,5504892,2.7869560872E9,70653,4230384,76.85,2017,7,-9.865824782954098E-5,Slight
AXISBANK,EQ,2017-07-13,506.75,508.0,516.85,508.0,511.75,511.9,512.99,22231839,1.140464388215E10,76818,19190329,86.32,2017,7,0.010162802170695564,Slight
AXISBANK,EQ,2017-07-14,511.9,514.0,514.5,507.7,512.5,512.95,512.02,3160157,1.61806055865E9,38720,1508491,47.73,2017,7,0.002051181871459403,Slight
AXISBANK,EQ,2017-07-17,512.95,513.1,514.0,508.5,510.05,510.5,510.49,3169635,1.6180812781E9,36620,1956608,61.73,2017,7,-0.004776293985768682,Slight
AXISBANK,EQ,2017-07-18,510.5,509.0,522.7,508.35,516.3,516.55,516.84,7864083,4.06447983355E9,99239,4398520,55.93,2017,7,0.011851126346718813,Slight
AXISBANK,EQ,2017-07-19,516.55,518.0,521.95,516.05,520.55,520.2,519.44,8119092,4.21740286355E9,49078,6045489,74.46,2017,7,0.007066111702642709,Slight
AXISBANK,EQ,2017-07-20,520.2,520.8,544.2,520.7,539.15,540.0,535.9,16391849,8.78436029785E9,180579,7134255,43.52,2017,7,0.03806228373702413,Slight
AXISBANK,EQ,2017-07-21,540.0,540.0,542.4,532.25,540.4,540.8,538.2,5567645,2.9965114056E9,69704,1782212,32.01,2017,7,0.0014814814814813973,Slight
AXISBANK,EQ,2017-07-24,540.8,541.0,546.4,531.4,535.5,534.8,540.13,4779353,2.5814545946E9,63022,1861535,38.95,2017,7,-0.011094674556213019,Slight
AXISBANK,EQ,2017-07-25,534.8,533.5,547.5,529.95,547.4,544.95,539.81,8181916,4.4166886531E9,103163,2796497,34.18,2017,7,0.01897905759162321,Slight
