Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
BAJFINANCE,EQ,2017-05-15,1314.75,1323.0,1348.5,1317.65,1332.0,1332.95,1335.96,634195,8.472579197E8,16701,188623,29.74,2017,5,0.0,Slight
BAJFINANCE,EQ,2017-05-16,1332.95,1337.4,1358.8,1327.2,1346.0,1347.75,1344.96,788530,1.0605424841E9,22552,274106,34.76,2017,5,1.1103192167748193,Positive
BAJFINANCE,EQ,2017-05-17,1347.75,1350.0,1374.0,1297.5,1320.0,1324.8,1343.51,2408302,3.23556975555E9,67508,468034,19.43,2017,5,-1.7028380634390685,Negative
BAJFINANCE,EQ,2017-05-18,1324.8,1299.0,1343.0,1296.05,1310.7,1314.55,1325.97,1210985,1.60572764265E9,34422,305579,25.23,2017,5,-0.7737016908212561,Slight negative
BAJFINANCE,EQ,2017-05-19,1314.55,1324.0,1333.9,1265.55,1288.0,1289.15,1295.81,1167010,1.5122258777E9,32394,346261,29.67,2017,5,-1.932220151382592,Negative
BAJFINANCE,EQ,2017-05-22,1289.15,1299.0,1304.0,1237.35,1240.0,1242.15,1264.99,873873,1.10544365265E9,39772,391500,44.8,2017,5,-3.6458131326843266,Among top losers
BAJFINANCE,EQ,2017-05-23,1242.15,1249.9,1265.0,1190.55,1230.7,1233.75,1231.01,1348383,1.6598675899E9,60446,466036,34.56,2017,5,-0.6762468300929912,Slight negative
BAJFINANCE,EQ,2017-05-24,1233.75,1234.0,1254.9,1210.0,1225.0,1224.35,1231.39,787101,9.692307409E8,42989,266289,33.83,2017,5,-0.7619047619047693,Slight negative
BAJFINANCE,EQ,2017-05-25,1224.35,1230.0,1268.0,1228.25,1263.0,1258.85,1250.15,905807,1.1323954074E9,38094,349445,38.58,2017,5,2.8178217013109,Positive
BAJFINANCE,EQ,2017-05-26,1258.85,1261.7,1326.7,1261.7,1314.85,1317.8,1305.26,1306793,1.70570198125E9,40302,456603,34.94,2017,5,4.6828454541843785,Among top gainers
BAJFINANCE,EQ,2017-05-29,1317.8,1319.4,1333.0,1301.9,1309.95,1307.45,1318.58,652289,8.6009335245E8,24119,192661,29.54,2017,5,-0.7853999089391341,Slight negative
BAJFINANCE,EQ,2017-05-30,1307.45,1305.2,1324.9,1303.7,1322.35,1321.55,1317.44,513005,6.7585192735E8,25635,204921,39.95,2017,5,1.0784351218019739,Positive
BAJFINANCE,EQ,2017-05-31,1321.55,1323.0,1334.9,1316.1,1329.4,1326.95,1326.64,726284,9.6351760555E8,42248,356399,49.07,2017,5,0.40861110060157324,Slight
BAJFINANCE,EQ,2017-06-01,1326.95,1334.0,1339.0,1320.25,1323.8,1327.35,1329.35,387968,5.1574385635E8,12771,156031,40.22,2017,6,0.03014431591242048,Slight
BAJFINANCE,EQ,2017-06-02,1327.35,1332.4,1365.0,1318.0,1362.0,1361.25,1346.17,668081,8.993487437E8,21491,198882,29.77,2017,6,2.553960899536678,Positive
BAJFINANCE,EQ,2017-06-05,1361.25,1368.55,1372.65,1348.05,1361.75,1363.1,1361.85,570009,7.7626784005E8,16609,161674,28.36,2017,6,0.13590449954085648,Slight
BAJFINANCE,EQ,2017-06-06,1363.1,1363.4,1367.9,1325.0,1333.65,1336.65,1342.1,601678,8.0751482735E8,22461,242587,40.32,2017,6,-1.9404299024282752,Negative
BAJFINANCE,EQ,2017-06-07,1336.65,1341.1,1360.0,1335.1,1341.3,1343.15,1346.68,550988,7.42007098E8,15482,219513,39.84,2017,6,0.48629035274754046,Slight
BAJFINANCE,EQ,2017-06-08,1343.15,1344.9,1372.0,1344.7,1360.0,1361.7,1360.76,570819,7.7674807345E8,19214,220896,38.7,2017,6,1.381081785355318,Positive
BAJFINANCE,EQ,2017-06-09,1361.7,1358.0,1382.0,1343.7,1370.0,1376.85,1367.45,530582,7.2554190015E8,23351,178831,33.7,2017,6,1.1125798634060264,Positive
