Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
CIPLA,EQ,2017-05-15,567.95,567.0,572.45,561.0,566.65,569.0,568.17,606569,3.446363748E8,20905,349445,57.61,2017,5,0.0,Slight
CIPLA,EQ,2017-05-16,569.0,566.65,570.0,564.0,565.7,565.6,565.88,330195,1.868504074E8,13421,166079,50.3,2017,5,-0.005975395430579925,Slight
CIPLA,EQ,2017-05-17,565.6,565.1,566.0,560.05,561.05,562.35,562.01,895238,5.0312835025E8,35003,641507,71.66,2017,5,-0.005746110325318246,Slight
CIPLA,EQ,2017-05-18,562.35,559.3,564.95,556.8,560.9,560.1,560.16,2155599,1.20747734335E9,12636,1862981,86.43,2017,5,-0.004001066951186983,Slight
CIPLA,EQ,2017-05-19,560.1,561.3,566.65,558.65,564.2,564.95,561.86,685662,3.8524871965E8,10878,376701,54.94,2017,5,0.008659168005713305,Slight
CIPLA,EQ,2017-05-22,564.95,567.0,567.7,553.1,555.75,563.1,563.25,948063,5.3399687145E8,15992,713759,75.29,2017,5,-0.0032746260731038547,Slight
CIPLA,EQ,2017-05-23,563.1,558.6,558.8,531.25,532.95,533.2,538.11,1225772,6.5959773345E8,24881,487893,39.8,2017,5,-0.05309891671106371,Slight
CIPLA,EQ,2017-05-24,533.2,531.0,536.35,514.0,521.3,519.65,522.69,1340656,7.0075314545E8,35256,505963,37.74,2017,5,-0.025412603150787822,Slight
CIPLA,EQ,2017-05-25,519.65,522.0,525.0,496.4,504.7,504.0,505.53,4378940,2.213673893E9,66378,1981607,45.25,2017,5,-0.03011642451650145,Slight
CIPLA,EQ,2017-05-26,504.0,483.0,504.75,480.2,491.25,488.9,489.42,7010307,3.43101567955E9,112619,1655216,23.61,2017,5,-0.029960317460317507,Slight
CIPLA,EQ,2017-05-29,488.9,492.0,507.5,488.9,505.95,505.35,496.36,4118338,2.04416572755E9,57601,2685163,65.2,2017,5,0.033646962569032615,Slight
CIPLA,EQ,2017-05-30,505.35,504.8,517.6,501.4,510.0,510.5,512.29,1047968,5.3686530585E8,23806,258147,24.63,2017,5,0.01019095676263971,Slight
CIPLA,EQ,2017-05-31,510.5,514.8,520.1,505.0,519.4,516.35,513.96,1366315,7.022247978E8,56012,658731,48.21,2017,5,0.011459353574926587,Slight
CIPLA,EQ,2017-06-01,516.35,519.7,529.9,513.05,514.6,515.55,518.86,1433241,7.43649419E8,30567,682004,47.58,2017,6,-0.0015493366902296275,Slight
CIPLA,EQ,2017-06-02,515.55,517.7,533.9,517.7,531.3,530.05,529.73,2152367,1.1401686352E9,33284,908858,42.23,2017,6,0.02812530307438658,Slight
CIPLA,EQ,2017-06-05,530.05,531.3,536.7,528.0,534.95,534.8,533.57,802335,4.280981056E8,16665,291592,36.34,2017,6,0.008961418734081692,Slight
CIPLA,EQ,2017-06-06,534.8,537.7,539.55,522.35,537.0,534.65,530.06,765557,4.0579466535E8,15481,215307,28.12,2017,6,-2.8047868362000237E-4,Slight
CIPLA,EQ,2017-06-07,534.65,536.4,543.45,530.7,538.1,540.2,538.88,719071,3.8748941025E8,25362,236293,32.86,2017,6,0.01038062283737037,Slight
CIPLA,EQ,2017-06-08,540.2,538.75,554.7,537.1,549.15,550.15,548.23,1396596,7.656580646E8,29069,518966,37.16,2017,6,0.018419104035542262,Slight
CIPLA,EQ,2017-06-09,550.15,554.5,555.8,545.25,549.05,551.1,550.12,867969,4.774908366E8,22000,260265,29.99,2017,6,0.0017268017813324467,Slight
CIPLA,EQ,2017-06-12,551.1,549.0,555.2,544.55,551.7,553.35,551.05,910344,5.016463632E8,31472,517997,56.9,2017,6,0.004082743603701687,Slight
CIPLA,EQ,2017-06-13,553.35,553.35,555.0,546.55,550.45,551.55,553.03,946713,5.235630808E8,21221,535255,56.54,2017,6,-0.003252914068853471,Slight
CIPLA,EQ,2017-06-14,551.55,551.5,554.5,536.35,539.15,539.9,542.28,1176535,6.3801411555E8,31781,536939,45.64,2017,6,-0.021122291723325134,Slight
CIPLA,EQ,2017-06-15,539.9,539.7,550.9,537.05,548.0,549.45,546.09,826366,4.512716201E8,19794,196101,23.73,2017,6,0.01768846082607903,Slight
CIPLA,EQ,2017-06-16,549.45,548.0,551.95,535.05,535.05,536.75,540.0,1127326,6.0875594095E8,33579,501913,44.52,2017,6,-0.023114023114023195,Slight
CIPLA,EQ,2017-06-19,536.75,537.1,542.5,524.0,541.2,539.75,530.48,1723168,9.140987123E8,34838,734337,42.62,2017,6,0.0055891942244993015,Slight
CIPLA,EQ,2017-06-20,539.75,539.75,549.5,536.0,547.5,547.85,544.7,774728,4.219929366E8,22560,263456,34.01,2017,6,0.015006947660954187,Slight
CIPLA,EQ,2017-06-21,547.85,544.5,546.0,535.2,539.9,541.0,539.31,784293,4.2297680495E8,35681,263292,33.57,2017,6,-0.012503422469654144,Slight
CIPLA,EQ,2017-06-22,541.0,540.0,545.55,539.05,540.15,540.15,541.63,750732,4.0662085235E8,19190,196402,26.16,2017,6,-0.0015711645101664006,Slight
CIPLA,EQ,2017-06-23,540.15,540.9,544.0,538.3,542.45,541.15,541.04,603986,3.267825192E8,27670,248543,41.15,2017,6,0.0018513375914097937,Slight
CIPLA,EQ,2017-06-27,541.15,542.5,551.6,533.1,534.9,534.65,539.54,1038604,5.60366123E8,25290,458054,44.1,2017,6,-0.012011457082139888,Slight
CIPLA,EQ,2017-06-28,534.65,535.4,538.65,531.0,536.65,536.85,535.12,601643,3.2195011445E8,21918,228130,37.92,2017,6,0.004114841485083785,Slight
CIPLA,EQ,2017-06-29,536.85,538.45,546.95,534.25,546.9,543.75,540.46,1252382,6.768646545E8,22486,695141,55.51,2017,6,0.012852752165409289,Slight
CIPLA,EQ,2017-06-30,543.75,545.0,558.9,542.5,557.6,555.6,552.36,830751,4.588733059E8,20310,282400,33.99,2017,6,0.021793103448275904,Slight
CIPLA,EQ,2017-07-03,555.6,559.0,559.9,548.85,552.5,551.85,553.68,490390,2.715187003E8,12025,133001,27.12,2017,7,-0.006749460043196544,Slight
