Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
GAIL,EQ,2017-05-15,409.2,413.05,415.25,410.0,413.8,414.0,412.83,1077551,4.448487812E8,22153,459059,42.6,2017,5,0.0,Slight
GAIL,EQ,2017-05-16,414.0,415.8,416.0,410.25,411.0,411.4,412.85,2434834,1.0052160647E9,46472,1771251,72.75,2017,5,-0.006280193236715031,Slight
GAIL,EQ,2017-05-17,411.4,411.5,412.9,405.6,408.5,408.3,408.42,2002105,8.17707001E8,48972,1405319,70.19,2017,5,-0.00753524550315986,Slight
GAIL,EQ,2017-05-18,408.3,406.35,409.0,401.5,403.0,404.75,407.03,2132140,8.678450903E8,39137,1405640,65.93,2017,5,-0.00869458731325009,Slight
GAIL,EQ,2017-05-19,404.75,404.0,406.35,396.0,401.35,401.05,400.31,2847835,1.1400220724E9,64928,1922275,67.5,2017,5,-0.009141445336627519,Slight
GAIL,EQ,2017-05-22,401.05,404.3,404.3,387.05,388.85,390.2,394.05,2356287,9.285060597E8,47455,982053,41.68,2017,5,-0.02705398329385369,Slight
GAIL,EQ,2017-05-23,390.2,380.1,386.45,365.5,380.0,380.35,374.7,9935103,3.72263532205E9,103859,4352691,43.81,2017,5,-0.025243464889800015,Slight
GAIL,EQ,2017-05-24,380.35,382.0,392.75,375.15,392.0,390.65,386.42,4051382,1.56554472025E9,67002,1782890,44.01,2017,5,0.0270803207571972,Slight
GAIL,EQ,2017-05-25,390.65,392.55,403.95,391.9,396.8,401.0,399.79,7771785,3.1070713225E9,92446,5353155,68.88,2017,5,0.02649430436452073,Slight
GAIL,EQ,2017-05-26,401.0,399.7,403.0,398.0,401.7,401.75,400.61,2024741,8.111272741E8,53478,1524152,75.28,2017,5,0.0018703241895261845,Slight
GAIL,EQ,2017-05-29,401.75,400.0,405.75,395.15,400.5,401.15,399.97,2131677,8.526140639E8,21058,1256936,58.96,2017,5,-0.0014934660858743566,Slight
GAIL,EQ,2017-05-30,401.15,398.15,408.55,398.0,406.4,405.45,405.55,2062918,8.366159241E8,44832,1255144,60.84,2017,5,0.010719182350741647,Slight
GAIL,EQ,2017-05-31,405.45,406.4,417.8,406.4,413.0,414.0,413.02,7712717,3.18551828325E9,96928,6246802,80.99,2017,5,0.02108768035516096,Slight
GAIL,EQ,2017-06-01,414.0,414.0,415.0,407.45,410.5,410.35,410.3,1704028,6.9916213955E8,29092,1175295,68.97,2017,6,-0.008816425120772893,Slight
GAIL,EQ,2017-06-02,410.35,411.25,413.4,399.5,401.6,402.35,403.17,2592907,1.04539318315E9,59428,1641469,63.31,2017,6,-0.019495552577068354,Slight
GAIL,EQ,2017-06-05,402.35,402.1,404.8,397.05,397.9,398.0,400.73,1600250,6.41273683E8,24436,853305,53.32,2017,6,-0.010811482540077104,Slight
GAIL,EQ,2017-06-06,398.0,398.35,404.0,394.25,398.85,398.9,399.58,1634672,6.5317807925E8,31929,750577,45.92,2017,6,0.0022613065326632592,Slight
GAIL,EQ,2017-06-07,398.9,399.5,408.7,399.5,402.1,402.6,404.4,2110469,8.5347700175E8,26293,760565,36.04,2017,6,0.009275507646026688,Slight
GAIL,EQ,2017-06-08,402.6,402.5,404.55,384.55,385.25,388.6,391.51,3973648,1.5557337246E9,37408,2485385,62.55,2017,6,-0.03477396920019871,Slight
GAIL,EQ,2017-06-09,388.6,388.0,388.0,378.45,381.0,381.15,381.54,3245904,1.2384283473E9,68096,1468159,45.23,2017,6,-0.019171384457025334,Slight
GAIL,EQ,2017-06-12,381.15,381.0,387.25,376.65,380.9,381.4,384.03,2976063,1.1428932876E9,42087,1303506,43.8,2017,6,6.559097468188378E-4,Slight
