Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
HDFC,EQ,2017-05-15,1549.8,1554.5,1572.6,1554.1,1561.0,1559.5,1562.62,1270297,1.98498992195E9,59917,955875,75.25,2017,5,0.0,Slight
HDFC,EQ,2017-05-16,1559.5,1558.0,1569.0,1554.0,1568.0,1566.55,1564.05,2114918,3.307844027E9,79354,1652379,78.13,2017,5,0.45206797050336356,Slight
HDFC,EQ,2017-05-17,1566.55,1565.5,1570.95,1549.75,1550.1,1552.5,1557.08,2161434,3.3655262332E9,80317,1794472,83.02,2017,5,-0.8968752992244075,Slight negative
HDFC,EQ,2017-05-18,1552.5,1547.0,1558.6,1526.5,1545.0,1537.05,1539.03,2404372,3.7004072448E9,85842,1837821,76.44,2017,5,-0.9951690821256068,Slight negative
HDFC,EQ,2017-05-19,1537.05,1545.0,1548.0,1515.35,1526.5,1520.6,1526.14,2142433,3.26965172875E9,113875,1601236,74.74,2017,5,-1.0702319378029372,Negative
HDFC,EQ,2017-05-22,1520.6,1530.0,1530.0,1510.25,1519.95,1519.85,1518.84,1920867,2.9174812348E9,70390,1541085,80.23,2017,5,-0.049322635801657244,Slight
HDFC,EQ,2017-05-23,1519.85,1521.7,1537.2,1503.45,1510.0,1511.5,1521.2,1408855,2.14314858805E9,56848,969791,68.84,2017,5,-0.5493963220054551,Slight negative
HDFC,EQ,2017-05-24,1511.5,1519.0,1541.75,1512.4,1525.0,1524.85,1527.9,2209471,3.3758511612E9,75808,1361319,61.61,2017,5,0.8832285808799146,Slight positive
HDFC,EQ,2017-05-25,1524.85,1533.9,1546.0,1530.5,1539.0,1539.75,1539.88,4099792,6.31318391085E9,91104,3327557,81.16,2017,5,0.9771452929796434,Slight positive
HDFC,EQ,2017-05-26,1539.75,1538.1,1563.0,1530.25,1544.5,1547.9,1548.63,1871008,2.8974906799E9,59347,1270174,67.89,2017,5,0.5293067056340374,Slight positive
HDFC,EQ,2017-05-29,1547.9,1546.0,1601.25,1546.0,1596.75,1598.85,1586.02,3464406,5.4946266778E9,75137,1961992,56.63,2017,5,3.2915563020866863,Among top gainers
HDFC,EQ,2017-05-30,1598.85,1595.7,1604.0,1575.05,1582.6,1579.5,1588.05,1605211,2.5491493478E9,77293,1019565,63.52,2017,5,-1.2102448634956318,Negative
HDFC,EQ,2017-05-31,1579.5,1581.0,1596.15,1565.4,1576.8,1569.85,1571.89,4907685,7.71431961925E9,160031,3833239,78.11,2017,5,-0.6109528331750611,Slight negative
HDFC,EQ,2017-06-01,1569.85,1551.8,1587.4,1551.8,1577.25,1583.75,1575.11,2990228,4.70994158905E9,155736,1983472,66.33,2017,6,0.8854349141637795,Slight positive
HDFC,EQ,2017-06-02,1583.75,1582.0,1612.8,1582.0,1595.35,1604.65,1602.17,3427957,5.4921667655E9,99348,2572628,75.05,2017,6,1.3196527229676458,Positive
HDFC,EQ,2017-06-05,1604.65,1606.4,1612.0,1591.15,1605.0,1606.15,1603.91,2988075,4.792593901E9,81217,2167100,72.52,2017,6,0.09347832860748449,Slight
HDFC,EQ,2017-06-06,1606.15,1610.0,1624.85,1602.5,1603.7,1605.75,1611.85,2170920,3.4992046559E9,48603,1537563,70.83,2017,6,-0.02490427419606456,Slight
HDFC,EQ,2017-06-07,1605.75,1609.7,1611.5,1590.6,1600.0,1599.35,1598.75,1726464,2.7601907404E9,69120,1256284,72.77,2017,6,-0.3985676475167424,Slight
HDFC,EQ,2017-06-08,1599.35,1608.9,1635.0,1605.0,1631.0,1633.55,1628.23,2289492,3.72782826955E9,104016,1459772,63.76,2017,6,2.1383687122893704,Positive
HDFC,EQ,2017-06-09,1633.55,1628.0,1649.0,1620.1,1646.1,1647.2,1636.33,2633241,4.30885989405E9,73460,1898414,72.09,2017,6,0.8356034403599578,Slight positive
HDFC,EQ,2017-06-12,1647.2,1644.0,1651.8,1633.85,1647.0,1647.5,1643.89,2000556,3.2886948134E9,71819,1467513,73.36,2017,6,0.01821272462360093,Slight
HDFC,EQ,2017-06-13,1647.5,1642.05,1682.2,1642.05,1665.0,1667.65,1667.32,2737084,4.5636005599E9,143134,1840910,67.26,2017,6,1.2230652503793682,Positive
HDFC,EQ,2017-06-14,1667.65,1661.55,1668.0,1644.0,1647.1,1651.1,1651.72,6519614,1.076859496885E10,139220,6014688,92.26,2017,6,-0.9924144754594898,Slight negative
HDFC,EQ,2017-06-15,1651.1,1648.7,1653.7,1629.55,1635.0,1636.85,1642.13,5678766,9.32529580585E9,73070,5097448,89.76,2017,6,-0.8630609896432682,Slight negative
HDFC,EQ,2017-06-16,1636.85,1634.3,1651.0,1629.15,1635.2,1640.85,1641.87,2692532,4.42079450395E9,73989,1737533,64.53,2017,6,0.2443718117115191,Slight
HDFC,EQ,2017-06-19,1640.85,1659.0,1660.0,1645.2,1659.6,1654.2,1652.88,2907637,4.80597686585E9,62546,2321542,79.84,2017,6,0.8136027059146258,Slight positive
HDFC,EQ,2017-06-20,1654.2,1651.15,1660.0,1627.9,1632.15,1631.5,1636.96,2304515,3.77238981845E9,67469,1652828,71.72,2017,6,-1.3722645387498515,Negative
HDFC,EQ,2017-06-21,1631.5,1632.15,1638.0,1615.5,1626.0,1628.25,1622.59,2359678,3.8288005849E9,85584,1833784,77.71,2017,6,-0.199203187250996,Slight
HDFC,EQ,2017-06-22,1628.25,1626.1,1660.0,1626.1,1650.1,1653.8,1651.94,3438975,5.68099691625E9,129910,2724127,79.21,2017,6,1.5691693536004885,Positive
HDFC,EQ,2017-06-23,1653.8,1660.0,1661.0,1642.1,1650.2,1651.35,1651.51,2590704,4.27858357325E9,119288,1946085,75.12,2017,6,-0.14814366912565277,Slight
HDFC,EQ,2017-06-27,1651.35,1655.7,1667.0,1639.7,1650.15,1651.05,1652.48,3612290,5.96924417305E9,149871,2858502,79.13,2017,6,-0.018166954310107158,Slight
HDFC,EQ,2017-06-28,1651.05,1656.5,1658.8,1623.1,1624.0,1629.0,1637.6,1683069,2.75619035845E9,96590,1174145,69.76,2017,6,-1.335513763968381,Negative
HDFC,EQ,2017-06-29,1629.0,1629.4,1654.9,1620.1,1627.4,1632.2,1638.4,2783220,4.56002476385E9,101152,2117744,76.09,2017,6,0.19643953345611084,Slight
HDFC,EQ,2017-06-30,1632.2,1625.0,1625.0,1606.95,1611.9,1614.95,1616.13,1866235,3.0160856773E9,105847,1326587,71.08,2017,6,-1.05685577747825,Negative
HDFC,EQ,2017-07-03,1614.95,1610.35,1629.0,1600.7,1617.05,1621.65,1617.86,1518180,2.4561994603E9,64639,860304,56.67,2017,7,0.4148735254961482,Slight
HDFC,EQ,2017-07-04,1621.65,1626.35,1646.5,1616.4,1639.05,1640.65,1634.35,1909048,3.12005637245E9,63997,1288073,67.47,2017,7,1.1716461628588166,Positive
HDFC,EQ,2017-07-05,1640.65,1639.05,1640.0,1622.25,1631.0,1629.1,1627.52,1317408,2.14411187015E9,51340,949820,72.1,2017,7,-0.7039892725444294,Slight negative
HDFC,EQ,2017-07-06,1629.1,1623.05,1654.0,1623.05,1642.8,1647.9,1644.66,2397552,3.94316507495E9,105496,1741973,72.66,2017,7,1.1540114173470126,Positive
HDFC,EQ,2017-07-07,1647.9,1650.0,1650.0,1617.0,1630.5,1629.15,1625.21,3405664,5.5349053624E9,100232,2576114,75.64,2017,7,-1.1378117604223557,Negative
HDFC,EQ,2017-07-10,1629.15,1678.0,1678.0,1620.9,1636.0,1638.85,1634.95,380665,6.2236822185E8,10092,196329,51.58,2017,7,0.5954025105116053,Slight positive
HDFC,EQ,2017-07-11,1638.85,1640.4,1649.1,1629.9,1645.0,1642.75,1640.78,1547377,2.53891035805E9,79097,1066330,68.91,2017,7,0.23797174848217292,Slight
HDFC,EQ,2017-07-12,1642.75,1647.0,1648.0,1626.05,1638.55,1639.95,1636.0,2067988,3.383223775E9,116796,1546900,74.8,2017,7,-0.17044589864556106,Slight
HDFC,EQ,2017-07-13,1639.95,1640.2,1665.0,1640.2,1656.4,1656.9,1656.06,2728741,4.5189685502E9,104978,2048254,75.06,2017,7,1.0335680965883134,Positive
HDFC,EQ,2017-07-14,1656.9,1649.0,1649.9,1637.05,1647.1,1647.7,1644.49,1214121,1.99660805365E9,60177,784200,64.59,2017,7,-0.5552537871929534,Slight negative
HDFC,EQ,2017-07-17,1647.7,1649.0,1658.9,1645.55,1652.3,1652.35,1652.59,1080487,1.7856067614E9,51996,778584,72.06,2017,7,0.28221156763973193,Slight
HDFC,EQ,2017-07-18,1652.35,1655.0,1676.95,1649.1,1652.0,1653.0,1657.0,2073732,3.43617141135E9,60483,1532245,73.89,2017,7,0.03933791266983938,Slight
HDFC,EQ,2017-07-19,1653.0,1661.0,1661.0,1641.85,1651.3,1654.85,1649.27,2812906,4.6392349617E9,130535,2367126,84.15,2017,7,0.11191772534784689,Slight
HDFC,EQ,2017-07-20,1654.85,1665.1,1665.15,1642.8,1650.25,1651.0,1650.9,1042156,1.7204943903E9,65111,805462,77.29,2017,7,-0.2326494848475638,Slight
HDFC,EQ,2017-07-21,1651.0,1655.7,1655.7,1622.35,1640.1,1640.95,1641.66,2044159,3.3558083423E9,103548,1449468,70.91,2017,7,-0.6087219866747399,Slight negative
