Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
HDFCBANK,EQ,2017-05-15,1551.65,1550.0,1557.2,1542.25,1553.0,1553.4,1550.73,701195,1.0873675998E9,15104,309282,44.11,2017,5,0.0,Slight
HDFCBANK,EQ,2017-05-16,1553.4,1555.0,1562.0,1548.25,1561.85,1559.65,1555.11,897594,1.39585678725E9,21073,347734,38.74,2017,5,0.004023432470709411,Slight
HDFCBANK,EQ,2017-05-17,1559.65,1558.8,1565.4,1551.5,1557.5,1557.15,1557.51,868118,1.3521025169E9,32732,367931,42.38,2017,5,-0.001602923732888789,Slight
HDFCBANK,EQ,2017-05-18,1557.15,1549.0,1561.5,1548.1,1557.5,1557.1,1556.99,776820,1.20949965615E9,13648,518101,66.7,2017,5,-3.2109944449912916E-5,Slight
HDFCBANK,EQ,2017-05-19,1557.1,1559.5,1569.9,1545.25,1568.05,1561.25,1556.93,713534,1.11092560925E9,18458,296680,41.58,2017,5,0.0026652109691093,Slight
HDFCBANK,EQ,2017-05-22,1561.25,1565.1,1580.0,1563.1,1579.0,1576.0,1572.46,715013,1.12433191215E9,24974,413491,57.83,2017,5,0.00944755804643715,Slight
HDFCBANK,EQ,2017-05-23,1576.0,1580.0,1583.55,1565.0,1569.0,1569.1,1575.09,770043,1.21288974795E9,17873,489628,63.58,2017,5,-0.004378172588832545,Slight
HDFCBANK,EQ,2017-05-24,1569.1,1569.05,1575.45,1562.0,1567.0,1566.75,1566.76,866847,1.3581436996E9,34901,615909,71.05,2017,5,-0.001497673825759932,Slight
HDFCBANK,EQ,2017-05-25,1566.75,1567.1,1629.4,1567.1,1613.25,1617.15,1605.26,5022701,8.06275734E9,60075,3585041,71.38,2017,5,0.03216850167544286,Slight
HDFCBANK,EQ,2017-05-26,1617.15,1606.65,1632.0,1601.1,1623.0,1626.0,1617.56,1360789,2.201159155E9,31085,754482,55.44,2017,5,0.005472590668769074,Slight
HDFCBANK,EQ,2017-05-29,1626.0,1619.8,1648.0,1617.65,1626.65,1631.9,1634.94,1479085,2.41820987085E9,48257,924191,62.48,2017,5,0.0036285362853629094,Slight
HDFCBANK,EQ,2017-05-30,1631.9,1630.0,1633.5,1616.15,1631.4,1629.05,1622.75,1108546,1.798890005E9,26377,592343,53.43,2017,5,-0.0017464305410871599,Slight
HDFCBANK,EQ,2017-05-31,1629.05,1625.0,1643.0,1623.15,1640.0,1636.2,1631.48,1329728,2.1694299268E9,18717,926698,69.69,2017,5,0.0043890611092355,Slight
HDFCBANK,EQ,2017-06-01,1636.2,1639.0,1639.85,1620.55,1627.0,1628.6,1630.91,839885,1.3697796801E9,21114,481729,57.36,2017,6,-0.004644908935338062,Slight
HDFCBANK,EQ,2017-06-02,1628.6,1634.0,1646.1,1626.2,1631.85,1634.25,1636.04,803386,1.31436962275E9,17867,390838,48.65,2017,6,0.003469237381800375,Slight
HDFCBANK,EQ,2017-06-05,1634.25,1633.7,1638.95,1625.0,1638.5,1635.55,1633.27,724975,1.18408353285E9,14700,327218,45.14,2017,6,7.954719290194E-4,Slight
HDFCBANK,EQ,2017-06-06,1635.55,1635.0,1643.8,1630.0,1639.0,1638.95,1638.5,1250658,2.0492006423E9,14396,921531,73.68,2017,6,0.0020788114090062003,Slight
HDFCBANK,EQ,2017-06-07,1638.95,1640.4,1644.9,1630.35,1641.3,1640.8,1638.26,638569,1.0461389868E9,28344,447948,70.15,2017,6,0.0011287714695383685,Slight
HDFCBANK,EQ,2017-06-08,1640.8,1643.9,1659.4,1641.65,1643.6,1644.75,1648.3,1062192,1.75080805765E9,25728,582580,54.85,2017,6,0.0024073622623110957,Slight
HDFCBANK,EQ,2017-06-09,1644.75,1640.1,1670.0,1640.1,1669.9,1666.8,1660.39,1326318,2.20220956165E9,41645,878389,66.23,2017,6,0.013406292749657975,Slight
HDFCBANK,EQ,2017-06-12,1666.8,1664.0,1676.0,1660.0,1666.0,1668.75,1666.54,992853,1.65462889015E9,40006,658975,66.37,2017,6,0.0011699064074874284,Slight
HDFCBANK,EQ,2017-06-13,1668.75,1661.75,1691.9,1661.0,1674.0,1676.7,1680.14,1262905,2.12186029015E9,37080,831771,65.86,2017,6,0.004764044943820252,Slight
HDFCBANK,EQ,2017-06-14,1676.7,1675.0,1679.95,1667.0,1672.85,1671.2,1672.03,964590,1.61282404055E9,27840,714323,74.05,2017,6,-0.003280252877676388,Slight
HDFCBANK,EQ,2017-06-15,1671.2,1668.0,1675.6,1653.6,1665.0,1664.35,1662.08,881673,1.46541445225E9,17284,530656,60.19,2017,6,-0.0040988511249402445,Slight
HDFCBANK,EQ,2017-06-16,1664.35,1665.0,1674.7,1658.1,1667.0,1669.25,1665.86,938776,1.56387240455E9,18765,583858,62.19,2017,6,0.002944092288280765,Slight
HDFCBANK,EQ,2017-06-19,1669.25,1671.0,1696.0,1668.4,1690.7,1692.9,1683.38,956383,1.60995823765E9,26370,581131,60.76,2017,6,0.014168039538715047,Slight
HDFCBANK,EQ,2017-06-20,1692.9,1690.0,1694.0,1679.85,1681.55,1686.55,1686.31,915066,1.5430846855E9,22817,675274,73.8,2017,6,-0.003750959891310849,Slight
HDFCBANK,EQ,2017-06-21,1686.55,1682.6,1701.25,1679.6,1696.9,1698.7,1692.56,852733,1.4432984865E9,13383,435777,51.1,2017,6,0.007204055616495266,Slight
HDFCBANK,EQ,2017-06-22,1698.7,1694.95,1716.0,1691.2,1699.0,1698.0,1705.36,1668865,2.8460169101E9,47395,870934,52.19,2017,6,-4.12079825749129E-4,Slight
HDFCBANK,EQ,2017-06-23,1698.0,1702.0,1702.75,1675.2,1681.1,1678.65,1684.39,1304367,2.1970621635E9,40032,835308,64.04,2017,6,-0.011395759717314434,Slight
HDFCBANK,EQ,2017-06-27,1678.65,1689.0,1695.0,1656.25,1667.55,1667.65,1673.41,1500108,2.5102904325E9,41978,966813,64.45,2017,6,-0.006552884758585768,Slight
HDFCBANK,EQ,2017-06-28,1667.65,1665.0,1675.0,1657.8,1666.5,1666.45,1666.08,1112259,1.85311482975E9,33276,759351,68.27,2017,6,-7.195754504842416E-4,Slight
HDFCBANK,EQ,2017-06-29,1666.45,1667.0,1681.9,1651.1,1655.0,1663.05,1666.21,2296927,3.8271590366E9,41505,1515335,65.97,2017,6,-0.002040265234480537,Slight
