Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
HINDALCO,EQ,2017-05-15,191.05,191.95,199.9,191.9,198.7,198.45,197.53,18159344,3.5869755684E9,83798,5450720,30.02,2017,5,0.0,Slight
HINDALCO,EQ,2017-05-16,198.45,198.65,198.85,195.5,196.9,196.5,196.86,10068622,1.98207707025E9,60041,5000318,49.66,2017,5,-0.009826152683295484,Slight
HINDALCO,EQ,2017-05-17,196.5,196.1,200.35,196.1,198.25,198.85,198.52,10643485,2.1129609879E9,63106,3766725,35.39,2017,5,0.011959287531806587,Slight
HINDALCO,EQ,2017-05-18,198.85,196.0,196.7,192.3,194.1,194.0,193.96,13959394,2.70758065965E9,49142,7848028,56.22,2017,5,-0.024390243902438997,Slight
HINDALCO,EQ,2017-05-19,194.0,195.95,196.0,186.0,191.5,191.0,190.88,11428477,2.1814873733E9,75402,3402216,29.77,2017,5,-0.015463917525773196,Slight
HINDALCO,EQ,2017-05-22,191.0,192.55,194.4,189.15,190.6,190.25,190.72,9699691,1.8499272792E9,54129,4288301,44.21,2017,5,-0.003926701570680628,Slight
HINDALCO,EQ,2017-05-23,190.25,190.6,195.25,184.55,191.7,192.0,191.08,13372515,2.55520212855E9,80672,4653306,34.8,2017,5,0.009198423127463863,Slight
HINDALCO,EQ,2017-05-24,192.0,191.95,193.65,185.1,186.9,187.05,188.59,11130641,2.0991677704E9,51903,3888894,34.94,2017,5,-0.02578124999999994,Slight
HINDALCO,EQ,2017-05-25,187.05,188.0,192.0,185.85,190.95,190.55,188.4,9696039,1.82674262235E9,67678,4198436,43.3,2017,5,0.01871157444533547,Slight
HINDALCO,EQ,2017-05-26,190.55,190.7,203.15,189.4,198.25,198.4,198.46,17803837,3.53329569315E9,88063,6054344,34.01,2017,5,0.04119653634216738,Slight
HINDALCO,EQ,2017-05-29,198.4,198.3,204.9,197.25,201.8,201.25,200.84,12516450,2.51375782925E9,76781,2360308,18.86,2017,5,0.014364919354838681,Slight
HINDALCO,EQ,2017-05-30,201.25,202.45,210.35,201.15,203.65,203.15,205.93,27444380,5.6515119102E9,147733,5156524,18.79,2017,5,0.009440993788819903,Slight
HINDALCO,EQ,2017-05-31,203.15,203.95,208.25,200.0,200.4,200.7,202.87,26247788,5.3249912431E9,185648,10856168,41.36,2017,5,-0.012060054147181969,Slight
HINDALCO,EQ,2017-06-01,200.7,200.5,201.45,195.25,197.7,197.25,196.91,12262290,2.41460259085E9,68892,4906418,40.01,2017,6,-0.017189835575485743,Slight
HINDALCO,EQ,2017-06-02,197.25,198.3,200.2,194.65,197.1,197.05,196.82,8824329,1.7368005622E9,67533,2894321,32.8,2017,6,-0.001013941698352287,Slight
HINDALCO,EQ,2017-06-05,197.05,197.0,199.8,195.5,197.5,197.1,197.48,7725805,1.5257106332E9,68760,2438147,31.56,2017,6,2.5374270489714765E-4,Slight
HINDALCO,EQ,2017-06-06,197.1,197.05,198.15,194.8,195.65,195.45,196.02,6027099,1.18141638285E9,38491,1601583,26.57,2017,6,-0.00837138508371388,Slight
HINDALCO,EQ,2017-06-07,195.45,196.05,197.95,194.85,197.5,197.2,196.44,7822110,1.5365975825E9,61990,2863173,36.6,2017,6,0.008953696597595293,Slight
HINDALCO,EQ,2017-06-08,197.2,197.2,200.7,197.1,198.7,198.45,199.29,7250812,1.44497807185E9,42715,1442018,19.89,2017,6,0.006338742393509129,Slight
HINDALCO,EQ,2017-06-09,198.45,198.75,202.9,196.25,202.8,202.15,199.65,9077091,1.81226610705E9,68844,2760630,30.41,2017,6,0.018644494834971114,Slight
