Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
INFRATEL,EQ,2017-05-15,374.7,375.8,375.8,368.65,372.0,371.05,371.08,761032,2.824044414E8,27740,357531,46.98,2017,5,0.0,Slight
INFRATEL,EQ,2017-05-16,371.05,371.15,380.85,370.05,375.75,376.55,377.05,1346372,5.076458585E8,42924,677288,50.3,2017,5,1.4822800161703273,Positive
INFRATEL,EQ,2017-05-17,376.55,377.6,396.5,375.1,388.95,389.9,383.22,2268036,8.691629311E8,83975,1371275,60.46,2017,5,3.5453459035984505,Among top gainers
INFRATEL,EQ,2017-05-18,389.9,388.4,388.85,377.0,378.55,378.9,382.6,2014628,7.707910082E8,50270,1025637,50.91,2017,5,-2.8212362144139527,Negative
INFRATEL,EQ,2017-05-19,378.9,381.1,387.5,374.85,379.4,378.95,379.43,2031322,7.7075252435E8,63099,1020560,50.24,2017,5,0.01319609395619197,Slight
INFRATEL,EQ,2017-05-22,378.95,383.7,389.3,376.15,388.2,387.95,385.56,2772691,1.069052134E9,73071,1228540,44.31,2017,5,2.3749835070589786,Positive
INFRATEL,EQ,2017-05-23,387.95,385.0,390.0,378.4,379.9,379.85,382.84,3811223,1.4590707837E9,60957,2039492,53.51,2017,5,-2.087897924990325,Negative
INFRATEL,EQ,2017-05-24,379.85,379.85,382.0,367.2,368.45,369.0,372.49,3134390,1.16752076355E9,83856,1860115,59.35,2017,5,-2.8563906805317947,Negative
INFRATEL,EQ,2017-05-25,369.0,369.1,376.35,365.85,368.7,373.5,371.8,7287977,2.7096798987E9,89929,6053646,83.06,2017,5,1.2195121951219512,Positive
INFRATEL,EQ,2017-05-26,373.5,370.0,377.2,366.3,369.5,369.95,371.45,1918463,7.12610729E8,43541,788763,41.11,2017,5,-0.9504685408299897,Slight negative
INFRATEL,EQ,2017-05-29,369.95,370.0,381.4,367.7,377.1,379.35,376.57,3887542,1.46394760695E9,54997,2827505,72.73,2017,5,2.5408839032301755,Positive
INFRATEL,EQ,2017-05-30,379.35,379.35,379.85,365.65,373.0,372.25,371.46,1273594,4.730920284E8,28694,420437,33.01,2017,5,-1.871622512191913,Negative
INFRATEL,EQ,2017-05-31,372.25,374.25,374.35,360.65,368.2,366.6,365.34,3613527,1.32015561905E9,132010,2260332,62.55,2017,5,-1.5177971793149705,Negative
INFRATEL,EQ,2017-06-01,366.6,370.1,379.45,369.8,377.0,376.25,375.07,2505966,9.3991221315E8,50681,1369539,54.65,2017,6,2.632296781232945,Positive
INFRATEL,EQ,2017-06-02,376.25,376.45,382.9,371.0,373.3,374.65,376.87,1334349,5.028735424E8,37710,496717,37.23,2017,6,-0.425249169435222,Slight
INFRATEL,EQ,2017-06-05,374.65,381.3,384.9,375.6,380.55,382.45,381.61,3563721,1.35994198355E9,74109,1871029,52.5,2017,6,2.0819431469371446,Positive
INFRATEL,EQ,2017-06-06,382.45,383.0,388.9,379.8,384.7,383.15,384.02,2537956,9.7463297395E8,53194,1811141,71.36,2017,6,0.1830304614982321,Slight
