Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
INFY,EQ,2017-05-15,964.25,963.5,963.5,949.1,953.25,951.55,951.49,3648582,3.4715797448E9,75335,3052819,83.67,2017,5,0.0,Slight
INFY,EQ,2017-05-16,951.55,953.1,960.15,946.95,956.0,955.0,952.92,3065084,2.9207752194E9,71808,1858063,60.62,2017,5,0.3625663391308965,Slight
INFY,EQ,2017-05-17,955.0,951.6,958.45,943.85,952.9,952.8,949.48,1457754,1.38410951185E9,75429,792251,54.35,2017,5,-0.23036649214660163,Slight
INFY,EQ,2017-05-18,952.8,943.0,973.9,942.85,960.25,961.75,962.61,4028924,3.87828174815E9,120990,2309450,57.32,2017,5,0.9393366918555883,Slight positive
INFY,EQ,2017-05-19,961.75,961.5,962.7,947.85,957.4,957.95,954.18,2128698,2.03115537025E9,88897,1457747,68.48,2017,5,-0.3951130751234681,Slight
INFY,EQ,2017-05-22,957.95,958.4,966.9,956.55,960.0,961.45,962.29,2751526,2.64775481965E9,99616,2034031,73.92,2017,5,0.36536353671903543,Slight
INFY,EQ,2017-05-23,961.45,964.65,967.0,954.1,957.5,957.3,960.16,2019991,1.9395146648E9,80122,1436389,71.11,2017,5,-0.43163971085340797,Slight
INFY,EQ,2017-05-24,957.3,960.0,965.5,949.6,957.0,954.8,958.37,2818143,2.7008268575E9,56898,1913750,67.91,2017,5,-0.261151154288102,Slight
INFY,EQ,2017-05-25,954.8,961.0,986.6,961.0,981.0,983.3,978.16,5219257,5.10524971945E9,76160,4108984,78.73,2017,5,2.984918307498953,Positive
INFY,EQ,2017-05-26,983.3,987.0,1000.0,980.6,996.05,995.7,994.06,2494002,2.4791938819E9,63671,1477643,59.25,2017,5,1.2610596969388885,Positive
INFY,EQ,2017-05-29,995.7,990.9,996.7,975.7,986.0,985.15,983.11,3154217,3.1009290322E9,83084,2272869,72.06,2017,5,-1.059556091192133,Negative
INFY,EQ,2017-05-30,985.15,982.0,1000.0,978.65,993.0,996.2,995.45,1858455,1.85000363775E9,62012,1280033,68.88,2017,5,1.1216566005176947,Positive
INFY,EQ,2017-05-31,996.2,993.55,993.55,974.85,976.05,977.05,980.19,3881950,3.8050512028E9,121323,3086038,79.5,2017,5,-1.9223047580807158,Negative
INFY,EQ,2017-06-01,977.05,969.3,979.7,958.55,971.25,971.4,969.49,2754303,2.67026258515E9,81421,1822506,66.17,2017,6,-0.5782713269535825,Slight negative
INFY,EQ,2017-06-02,971.4,973.4,975.45,964.2,966.0,969.45,968.76,1958983,1.89779268895E9,48927,1396644,71.29,2017,6,-0.20074119827053036,Slight
INFY,EQ,2017-06-05,969.45,970.0,972.0,957.05,959.0,958.75,961.71,2731349,2.62676146275E9,83794,1941199,71.07,2017,6,-1.1037186033317907,Negative
INFY,EQ,2017-06-06,958.75,965.0,987.5,964.4,980.0,979.35,980.08,3504343,3.43452587365E9,83178,2018029,57.59,2017,6,2.1486310299869644,Positive
INFY,EQ,2017-06-07,979.35,985.0,988.9,945.0,959.3,961.3,963.75,6227523,6.0018054462E9,139990,2519343,40.45,2017,6,-1.8430591718997362,Negative
INFY,EQ,2017-06-08,961.3,962.95,962.95,948.15,956.05,956.45,952.81,3097676,2.95150157675E9,88147,1778850,57.43,2017,6,-0.5045251222303037,Slight negative
INFY,EQ,2017-06-09,956.45,938.55,950.95,923.0,949.0,948.6,937.55,7378831,6.91802823035E9,161124,3054942,41.4,2017,6,-0.8207433739348656,Slight negative
INFY,EQ,2017-06-12,948.6,943.35,965.2,940.1,964.4,963.85,953.95,4295838,4.0979967311E9,89686,2215716,51.58,2017,6,1.6076323002319206,Positive
INFY,EQ,2017-06-13,963.85,953.5,962.95,951.6,957.95,957.8,958.26,2468897,2.3658337637E9,69355,1449584,58.71,2017,6,-0.6276910307620551,Slight negative
INFY,EQ,2017-06-14,957.8,960.0,961.9,951.2,958.5,958.6,957.02,3719055,3.55919477655E9,90312,2710765,72.89,2017,6,0.083524744205478,Slight
INFY,EQ,2017-06-15,958.6,959.65,967.95,949.6,951.35,952.1,956.12,2764031,2.64275262205E9,67490,1852460,67.02,2017,6,-0.6780721886083872,Slight negative
INFY,EQ,2017-06-16,952.1,949.1,953.85,936.0,937.0,940.25,942.47,5474225,5.15926902525E9,109487,4241070,77.47,2017,6,-1.2446171620628108,Negative
INFY,EQ,2017-06-19,940.25,939.95,940.25,928.0,930.8,929.85,931.98,3427930,3.1947596654E9,82075,2297829,67.03,2017,6,-1.1060888061685699,Negative
INFY,EQ,2017-06-20,929.85,935.0,946.9,934.05,944.25,943.55,943.01,2592198,2.44447188525E9,105790,1509148,58.22,2017,6,1.4733559176211144,Positive
INFY,EQ,2017-06-21,943.55,945.0,949.0,936.05,948.55,943.35,941.04,1867932,1.7577916206E9,59945,1286468,68.87,2017,6,-0.021196544963163776,Slight
INFY,EQ,2017-06-22,943.35,947.7,968.7,935.1,939.0,940.15,953.78,4732621,4.51389587795E9,115123,2848768,60.19,2017,6,-0.3392166216144639,Slight
INFY,EQ,2017-06-23,940.15,945.0,949.15,938.0,943.05,943.25,943.77,3201509,3.0214888803E9,118944,2359021,73.68,2017,6,0.3297346168164679,Slight
INFY,EQ,2017-06-27,943.25,945.0,948.0,923.75,926.0,927.05,929.06,3452330,3.2074202265E9,113272,2392340,69.3,2017,6,-1.7174662072621305,Negative
INFY,EQ,2017-06-28,927.05,932.8,933.0,921.0,924.0,924.7,925.73,2952612,2.73331008865E9,98295,2094305,70.93,2017,6,-0.2534922603958696,Slight
INFY,EQ,2017-06-29,924.7,930.2,947.95,926.6,929.0,930.2,935.13,7957020,7.4408381099E9,103952,5660732,71.14,2017,6,0.5947874986482102,Slight positive
INFY,EQ,2017-06-30,930.2,930.8,938.0,929.0,934.4,935.55,934.42,2108350,1.9700900522E9,64325,1526984,72.43,2017,6,0.5751451300795429,Slight positive
INFY,EQ,2017-07-03,935.55,941.1,955.0,934.6,953.6,951.9,945.66,2544462,2.40619236605E9,62128,1419172,55.77,2017,7,1.747635080968417,Positive
INFY,EQ,2017-07-04,951.9,953.85,970.0,949.4,961.0,962.15,962.03,2583863,2.4857623414E9,54690,1493619,57.81,2017,7,1.076793780859334,Positive
INFY,EQ,2017-07-05,962.15,959.0,959.0,945.4,952.0,950.9,950.46,2113114,2.0084220067E9,58308,1201934,56.88,2017,7,-1.1692563529595177,Negative
