Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
IOC,EQ,2017-05-15,434.9,437.85,443.55,433.85,441.75,442.1,440.94,2539479,1.11976616085E9,54884,1480363,58.29,2017,5,0.0,Slight
IOC,EQ,2017-05-16,442.1,444.0,450.9,442.95,446.2,446.6,446.41,5201774,2.32211042315E9,90725,3466447,66.64,2017,5,1.0178692603483375,Positive
IOC,EQ,2017-05-17,446.6,447.15,449.9,442.1,444.1,444.25,446.99,3665629,1.6384984968E9,96434,2455693,66.99,2017,5,-0.5261979399910485,Slight negative
IOC,EQ,2017-05-18,444.25,444.3,445.75,439.15,439.5,439.9,441.58,2724845,1.20323402645E9,60501,1781119,65.37,2017,5,-0.979178390545869,Slight negative
IOC,EQ,2017-05-19,439.9,439.5,446.9,433.45,437.0,435.4,440.44,3458809,1.5233952967E9,119946,2130108,61.59,2017,5,-1.0229597635826324,Negative
IOC,EQ,2017-05-22,435.4,436.3,437.0,423.75,426.0,425.35,429.67,3236957,1.3908342249E9,89131,2014839,62.24,2017,5,-2.3082223242994844,Negative
IOC,EQ,2017-05-23,425.35,428.0,430.95,418.75,425.5,424.25,424.07,4187364,1.77573305425E9,96191,2582850,61.68,2017,5,-0.2586105560127008,Slight
IOC,EQ,2017-05-24,424.25,426.5,437.75,421.6,430.0,430.55,430.79,4247142,1.82960594885E9,100488,2549065,60.02,2017,5,1.4849734826163845,Positive
IOC,EQ,2017-05-25,430.55,431.45,443.5,423.5,435.75,438.95,434.9,10044217,4.3682276251E9,110511,5573543,55.49,2017,5,1.950992916037621,Positive
IOC,EQ,2017-05-26,438.95,429.0,433.5,416.0,425.9,426.05,422.3,8573880,3.6207640799E9,106678,4016702,46.85,2017,5,-2.9388313019706067,Negative
IOC,EQ,2017-05-29,426.05,427.4,432.9,416.0,416.6,419.25,421.48,4826446,2.03427333825E9,73112,2922312,60.55,2017,5,-1.5960568008449738,Negative
IOC,EQ,2017-05-30,419.25,418.7,429.2,418.5,419.0,419.55,423.27,7086540,2.99951917585E9,99612,4586792,64.73,2017,5,0.07155635062612078,Slight
IOC,EQ,2017-05-31,419.55,422.8,434.5,421.3,429.15,429.45,428.61,66923743,2.868429636125E10,361372,51722098,77.29,2017,5,2.3596710761530155,Positive
