Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
LT,EQ,2017-05-15,1740.6,1748.6,1751.55,1736.5,1742.0,1742.4,1743.15,797134,1.389521427E9,52614,529359,66.41,2017,5,0.0,Slight
LT,EQ,2017-05-16,1742.4,1747.0,1748.25,1727.55,1740.6,1740.7,1736.62,1102926,1.915364571E9,48756,674148,61.12,2017,5,-9.756657483930472E-4,Slight
LT,EQ,2017-05-17,1740.7,1743.9,1764.0,1730.5,1754.3,1755.45,1749.36,1668586,2.91895473205E9,77513,830692,49.78,2017,5,0.008473602573677255,Slight
LT,EQ,2017-05-18,1755.45,1739.65,1750.1,1716.4,1722.1,1722.6,1725.53,1437220,2.4799679841E9,47602,915874,63.73,2017,5,-0.018713150474237453,Slight
LT,EQ,2017-05-19,1722.6,1729.0,1734.0,1697.55,1720.05,1724.55,1718.73,1512094,2.5988854877E9,59280,838396,55.45,2017,5,0.0011320097526994343,Slight
LT,EQ,2017-05-22,1724.55,1733.0,1759.0,1729.0,1753.0,1751.95,1749.85,1892816,3.31214810345E9,81450,1222100,64.57,2017,5,0.01588820271955008,Slight
LT,EQ,2017-05-23,1751.95,1755.0,1764.9,1727.4,1735.5,1740.75,1744.75,975870,1.70264779375E9,54639,431247,44.19,2017,5,-0.006392876509032818,Slight
LT,EQ,2017-05-24,1740.75,1742.1,1756.9,1677.6,1689.45,1684.45,1721.17,1448713,2.4934869536E9,50761,754200,52.06,2017,5,-0.03234238115754701,Slight
LT,EQ,2017-05-25,1684.45,1692.0,1775.0,1692.0,1765.0,1768.85,1753.44,3603181,6.3179476234E9,95146,2346405,65.12,2017,5,0.05010537564190083,Slight
LT,EQ,2017-05-26,1768.85,1770.0,1799.0,1753.85,1784.1,1787.6,1779.89,2044054,3.638198841E9,71833,995635,48.71,2017,5,0.0106001074144218,Slight
LT,EQ,2017-05-29,1787.6,1783.9,1809.95,1766.0,1778.3,1782.4,1790.3,2022439,3.6207749409E9,90245,792039,39.16,2017,5,-0.0029089281718504244,Slight
LT,EQ,2017-05-30,1782.4,1816.0,1833.95,1754.0,1770.0,1767.55,1784.55,4366960,7.79304077575E9,127796,1419839,32.51,2017,5,-0.008331463195691278,Slight
LT,EQ,2017-05-31,1767.55,1772.5,1785.0,1750.7,1756.0,1760.7,1769.22,2000488,3.539300426E9,92989,1194770,59.72,2017,5,-0.0038754207801758984,Slight
LT,EQ,2017-06-01,1760.7,1760.0,1798.0,1748.0,1792.1,1792.8,1772.42,1932123,3.42452611995E9,72013,957738,49.57,2017,6,0.018231385244504975,Slight
LT,EQ,2017-06-02,1792.8,1800.0,1805.0,1778.1,1784.85,1784.0,1787.39,950214,1.69840486745E9,45529,436632,45.95,2017,6,-0.004908522980812112,Slight
LT,EQ,2017-06-05,1784.0,1795.0,1809.4,1783.5,1804.35,1804.9,1802.25,1270946,2.2905661879E9,62246,690909,54.36,2017,6,0.011715246636771351,Slight
LT,EQ,2017-06-06,1804.9,1807.7,1808.05,1772.15,1773.0,1775.15,1783.32,954046,1.7013717646E9,50045,494546,51.84,2017,6,-0.01648290764031248,Slight
LT,EQ,2017-06-07,1775.15,1774.0,1794.5,1773.0,1786.3,1788.6,1784.63,885027,1.57944535905E9,53026,466130,52.67,2017,6,0.007576824493704655,Slight
LT,EQ,2017-06-08,1788.6,1789.0,1799.0,1771.5,1772.5,1774.25,1782.77,952653,1.6983607878E9,39123,534176,56.07,2017,6,-0.008023034775802252,Slight
LT,EQ,2017-06-09,1774.25,1777.0,1783.9,1761.6,1779.8,1778.2,1773.47,1088138,1.9297765928E9,44515,583696,53.64,2017,6,0.002226292799774578,Slight
