Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
M&amp;M,EQ,2017-05-15,1367.85,1373.0,1386.65,1370.0,1374.8,1375.65,1378.31,558190,7.6935791815E8,38442,386664,69.27,2017,5,0.0,Slight
M&amp;M,EQ,2017-05-16,1375.65,1377.0,1380.5,1363.1,1364.15,1366.35,1371.22,516012,7.0756339695E8,29075,334469,64.82,2017,5,-0.006760440519027501,Slight
M&amp;M,EQ,2017-05-17,1366.35,1363.0,1384.35,1360.4,1379.0,1378.8,1378.56,920884,1.2694965695E9,32299,689649,74.89,2017,5,0.00911186738390606,Slight
M&amp;M,EQ,2017-05-18,1378.8,1369.0,1372.0,1347.5,1347.5,1352.85,1361.7,1217846,1.6583440154E9,20476,1043736,85.7,2017,5,-0.018820713664055733,Slight
M&amp;M,EQ,2017-05-19,1352.85,1350.0,1357.6,1328.5,1338.2,1333.4,1344.8,976742,1.3135216644E9,36297,773590,79.2,2017,5,-0.014377055845067686,Slight
M&amp;M,EQ,2017-05-22,1333.4,1340.15,1341.95,1301.1,1307.0,1306.25,1313.89,436797,5.739010739E8,26521,261661,59.9,2017,5,-0.02036148192590377,Slight
M&amp;M,EQ,2017-05-23,1306.25,1315.0,1338.35,1300.0,1328.35,1331.75,1324.9,780182,1.0336634489E9,40561,445992,57.17,2017,5,0.019521531100478468,Slight
M&amp;M,EQ,2017-05-24,1331.75,1331.5,1338.8,1301.45,1308.0,1308.65,1314.05,625683,8.22180435E8,29997,382266,61.1,2017,5,-0.01734559789750322,Slight
M&amp;M,EQ,2017-05-25,1308.65,1311.0,1335.9,1304.0,1335.9,1327.5,1321.97,1456698,1.9257079453E9,60911,1095811,75.23,2017,5,0.01440415695564124,Slight
M&amp;M,EQ,2017-05-26,1327.5,1334.0,1348.9,1327.5,1341.0,1340.85,1339.17,335223,4.4891997395E8,16125,156414,46.66,2017,5,0.010056497175141175,Slight
M&amp;M,EQ,2017-05-29,1340.85,1345.0,1375.75,1327.4,1362.9,1360.05,1353.03,1058764,1.4325434539E9,37535,603995,57.05,2017,5,0.01431927508669877,Slight
M&amp;M,EQ,2017-05-30,1360.05,1364.0,1379.0,1342.3,1367.65,1361.1,1362.54,2223885,3.03014065225E9,68059,815525,36.67,2017,5,7.720304400573175E-4,Slight
M&amp;M,EQ,2017-05-31,1361.1,1392.5,1448.5,1392.0,1413.7,1416.95,1424.14,3941786,5.61365617425E9,146225,1848666,46.9,2017,5,0.04103298802439214,Slight
M&amp;M,EQ,2017-06-01,1416.95,1430.0,1441.0,1416.1,1426.65,1425.25,1429.3,1712339,2.4474427759E9,55540,1120694,65.45,2017,6,0.00585765199901193,Slight
M&amp;M,EQ,2017-06-02,1425.25,1430.0,1434.75,1409.0,1421.95,1418.5,1425.52,1442389,2.0561583091E9,57116,1022592,70.9,2017,6,-0.004736011226100684,Slight
M&amp;M,EQ,2017-06-05,1418.5,1424.95,1432.5,1421.1,1423.0,1423.7,1427.16,1151951,1.64402071535E9,49138,966825,83.93,2017,6,0.003665844201621463,Slight
M&amp;M,EQ,2017-06-06,1423.7,1423.05,1429.85,1404.15,1409.0,1411.45,1410.94,803816,1.13413321095E9,24783,595729,74.11,2017,6,-0.00860434080213528,Slight
