Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
TITAN,EQ,2017-05-15,495.0,489.65,490.0,472.4,486.0,483.65,479.93,3897357,1.87046454525E9,52478,1722661,44.2,2017,5,0.0,Slight
TITAN,EQ,2017-05-16,483.65,486.0,491.0,480.8,490.0,488.3,487.32,1308863,6.378316247E8,33942,563667,43.07,2017,5,0.9614390571694478,Slight positive
TITAN,EQ,2017-05-17,488.3,490.0,490.1,477.3,481.0,481.75,482.25,859054,4.1428144195E8,26686,448314,52.19,2017,5,-1.3413884906819602,Negative
TITAN,EQ,2017-05-18,481.75,479.0,482.6,470.05,470.85,471.65,474.78,811219,3.8515261225E8,24621,438716,54.08,2017,5,-2.096523092890508,Negative
TITAN,EQ,2017-05-19,471.65,475.0,479.5,460.35,469.65,471.15,469.05,1022479,4.7958906005E8,27225,263561,25.78,2017,5,-0.1060108131029365,Slight
TITAN,EQ,2017-05-22,471.15,474.0,483.75,472.2,481.9,481.4,478.3,1725108,8.2512768165E8,25751,777453,45.07,2017,5,2.17552796349358,Positive
TITAN,EQ,2017-05-23,481.4,478.65,485.6,472.95,475.85,478.35,479.94,1651642,7.926900425E8,38743,766712,46.42,2017,5,-0.6335687577897704,Slight negative
TITAN,EQ,2017-05-24,478.35,474.25,478.95,460.1,470.45,469.2,469.91,1477366,6.94229941E8,35081,959757,64.96,2017,5,-1.9128253370962756,Negative
TITAN,EQ,2017-05-25,469.2,471.1,471.85,461.0,464.0,463.9,466.31,974154,4.5425448025E8,24584,557552,57.23,2017,5,-1.129582267689687,Negative
TITAN,EQ,2017-05-26,463.9,464.8,477.95,462.9,471.0,473.45,469.18,1594613,7.481631039E8,44946,695755,43.63,2017,5,2.0586333261478793,Positive
TITAN,EQ,2017-05-29,473.45,471.8,494.15,469.0,470.1,470.65,480.91,2314193,1.1129125771E9,41024,562642,24.31,2017,5,-0.5914035272996117,Slight negative
TITAN,EQ,2017-05-30,470.65,470.0,471.0,462.45,470.1,469.8,467.57,1496350,6.9964823895E8,17891,1082365,72.33,2017,5,-0.1806012960798823,Slight
TITAN,EQ,2017-05-31,469.8,469.4,480.0,467.55,474.9,474.9,473.05,1366115,6.4623792415E8,52831,671044,49.12,2017,5,1.08556832694763,Positive
TITAN,EQ,2017-06-01,474.9,475.95,476.45,465.3,468.6,470.7,469.95,715073,3.3604970525E8,34175,330045,46.16,2017,6,-0.884396715097913,Slight negative
TITAN,EQ,2017-06-02,470.7,472.7,474.6,467.0,469.9,471.75,471.04,596655,2.81050764E8,13922,292897,49.09,2017,6,0.22307202039515858,Slight
TITAN,EQ,2017-06-05,471.75,511.0,569.2,505.0,551.5,551.85,543.12,27100101,1.471860757135E10,321166,4407918,16.27,2017,6,16.979332273449923,Bull run
TITAN,EQ,2017-06-06,551.85,547.0,547.1,521.4,528.75,527.15,531.44,9844354,5.23167437165E9,149354,2501129,25.41,2017,6,-4.475853945818618,Among top losers
TITAN,EQ,2017-06-07,527.15,528.0,547.0,528.0,536.0,536.2,538.09,4874204,2.6227708562E9,72214,1048839,21.52,2017,6,1.7167789054348987,Positive
TITAN,EQ,2017-06-08,536.2,535.0,536.2,524.1,527.5,529.1,529.28,1883423,9.9684880175E8,51493,663147,35.21,2017,6,-1.3241327862737826,Negative
TITAN,EQ,2017-06-09,529.1,529.95,529.95,521.95,524.8,525.45,525.59,1164090,6.1183031655E8,21981,420604,36.13,2017,6,-0.6898506898506855,Slight negative
TITAN,EQ,2017-06-12,525.45,541.9,541.9,513.3,515.2,515.8,527.18,4546833,2.3970001459E9,61951,1227852,27.0,2017,6,-1.836521077171965,Negative
TITAN,EQ,2017-06-13,515.8,516.1,524.8,511.4,520.25,520.55,518.77,2382953,1.2361942688E9,54961,722889,30.34,2017,6,0.9208995734780924,Slight positive
TITAN,EQ,2017-06-14,520.55,520.5,524.1,514.0,522.7,521.9,518.47,1167358,6.05238662E8,27525,446055,38.21,2017,6,0.2593410815483667,Slight
TITAN,EQ,2017-06-15,521.9,520.0,524.0,516.2,516.25,517.65,519.75,855133,4.444551165E8,19675,209397,24.49,2017,6,-0.8143322475570033,Slight negative
TITAN,EQ,2017-06-16,517.65,516.0,520.8,511.8,512.0,516.4,517.36,667200,3.4518347965E8,20108,257861,38.65,2017,6,-0.24147590070510963,Slight
TITAN,EQ,2017-06-19,516.4,515.25,518.0,511.2,512.55,515.2,515.53,782349,4.0332524075E8,29738,458894,58.66,2017,6,-0.23237800154917349,Slight
TITAN,EQ,2017-06-20,515.2,514.0,530.85,512.05,527.0,526.7,526.09,2299154,1.2095517291E9,45467,600135,26.1,2017,6,2.2321428571428568,Positive
TITAN,EQ,2017-06-21,526.7,526.4,529.85,518.65,520.85,523.1,524.03,1357751,7.1150140685E8,33893,282975,20.84,2017,6,-0.6835010442377107,Slight negative
TITAN,EQ,2017-06-22,523.1,523.0,528.8,516.45,517.8,519.9,524.03,1005512,5.269177838E8,29685,403137,40.09,2017,6,-0.6117377174536505,Slight negative
TITAN,EQ,2017-06-23,519.9,520.85,521.0,507.65,510.85,513.3,513.76,1392507,7.154172612E8,28416,633028,45.46,2017,6,-1.2694748990190465,Negative
TITAN,EQ,2017-06-27,513.3,510.1,520.2,506.5,518.15,516.0,513.86,1386743,7.1258793235E8,44302,517541,37.32,2017,6,0.5260081823495121,Slight positive
TITAN,EQ,2017-06-28,516.0,516.4,516.6,500.6,507.0,507.3,506.55,1545428,7.8282957455E8,28373,348954,22.58,2017,6,-1.6860465116279049,Negative
TITAN,EQ,2017-06-29,507.3,510.0,518.6,507.7,511.0,509.6,511.18,1911111,9.769122302E8,18934,942579,49.32,2017,6,0.45338064261778266,Slight
TITAN,EQ,2017-06-30,509.6,508.95,525.6,503.25,525.0,524.45,517.83,1156474,5.98851962E8,23035,358196,30.97,2017,6,2.914050235478811,Positive
TITAN,EQ,2017-07-03,524.45,536.05,537.0,527.5,531.05,532.4,532.58,1304851,6.949414056E8,28170,297419,22.79,2017,7,1.515873772523583,Positive
TITAN,EQ,2017-07-04,532.4,533.5,539.0,526.0,534.25,535.55,533.7,1624088,8.6678165495E8,20096,464498,28.6,2017,7,0.5916604057099882,Slight positive
TITAN,EQ,2017-07-05,535.55,539.25,540.0,530.2,531.65,531.8,533.68,894627,4.7744503925E8,16408,310931,34.76,2017,7,-0.7002147325179723,Slight negative
TITAN,EQ,2017-07-06,531.8,532.0,536.5,528.1,534.0,533.95,533.03,1428440,7.6139999295E8,19737,492816,34.5,2017,7,0.4042873260624466,Slight
TITAN,EQ,2017-07-07,533.95,533.95,538.9,529.0,534.0,532.5,534.4,1724825,9.2174120785E8,28852,1112783,64.52,2017,7,-0.27156100758498836,Slight
TITAN,EQ,2017-07-10,532.5,540.05,540.05,523.2,536.5,536.75,535.58,511607,2.7400843355E8,4805,417465,81.6,2017,7,0.7981220657276995,Slight positive
