Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
ADANIPOWER,EQ,2017-05-15,30.25,30.4,30.5,30.1,30.35,30.25,30.28,2666848,8.0742504E7,4292,861729,32.31,2017,5,0.0,Slight
ADANIPOWER,EQ,2017-05-16,30.25,30.35,33.65,30.35,32.8,32.85,32.59,39322702,1.28159392515E9,57037,5217922,13.27,2017,5,8.595041322314053,Bull run
ADANIPOWER,EQ,2017-05-17,32.85,32.95,33.75,32.45,33.0,33.1,33.13,27368209,9.067375525E8,38034,3760475,13.74,2017,5,0.76103500761035,Slight positive
ADANIPOWER,EQ,2017-05-18,33.1,32.8,32.85,31.7,31.9,31.9,32.37,9833756,3.182695851E8,15013,2046350,20.81,2017,5,-3.62537764350454,Among top losers
ADANIPOWER,EQ,2017-05-19,31.9,33.25,33.25,32.0,32.45,32.4,32.55,12551755,4.0857412325E8,20421,2456282,19.57,2017,5,1.567398119122257,Positive
ADANIPOWER,EQ,2017-05-22,32.4,32.7,32.8,31.1,31.25,31.45,31.97,6438711,2.058405057E8,10188,1333782,20.72,2017,5,-2.9320987654320967,Negative
ADANIPOWER,EQ,2017-05-23,31.45,31.25,31.25,29.7,29.8,29.85,30.13,8810234,2.6542228915E8,14648,2235158,25.37,2017,5,-5.087440381558022,Among top losers
ADANIPOWER,EQ,2017-05-24,29.85,29.9,30.0,27.85,28.0,28.0,28.79,15417083,4.438962469E8,24652,4221244,27.38,2017,5,-6.197654941373539,Among top losers
ADANIPOWER,EQ,2017-05-25,28.0,28.0,28.95,27.4,28.55,28.65,28.1,12744420,3.5817775565E8,18914,2396425,18.8,2017,5,2.3214285714285663,Positive
ADANIPOWER,EQ,2017-05-26,28.65,28.55,29.65,28.3,28.8,28.9,28.99,11266349,3.265629612E8,16300,2701720,23.98,2017,5,0.8726003490401396,Slight positive
ADANIPOWER,EQ,2017-05-29,28.9,26.65,28.5,26.35,26.55,26.7,27.02,20070770,5.422609855E8,28823,3792218,18.89,2017,5,-7.612456747404843,Bear drop
ADANIPOWER,EQ,2017-05-30,26.7,26.6,27.7,25.85,27.4,27.35,26.92,13584241,3.656562612E8,18697,1568107,11.54,2017,5,2.4344569288389595,Positive
ADANIPOWER,EQ,2017-05-31,27.35,27.6,28.15,27.15,27.9,27.7,27.57,12954263,3.571180502E8,15130,3140616,24.24,2017,5,1.2797074954296082,Positive
ADANIPOWER,EQ,2017-06-01,27.7,27.75,28.35,26.75,26.95,26.95,27.24,7640715,2.081231871E8,14155,2556508,33.46,2017,6,-2.7075812274368234,Negative
